username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
ASPCA|2017-09-02 16:57:12|47|77|We saw devastation everywhere we went. Homes destroyed, cars abandoned, towns flooded out completely.  http://bit.ly/2etkoHi    #harvey pic.twitter.com/33J54evV7D|We saw devastation everywhere we went. Homes destroyed, cars abandoned, towns flooded out completely.      #harvey |false|904085823544598528|/ASPCA/status/904085823544598528||||
ASPCA|2017-10-12 16:50:12|11|38|Proud to be part of this group pushing for #goodfood  & better lives for farm animals. Congrats @ChiCouncil  @ChiFoodPolicy  @ChicagosMayor ! https://twitter.com/goodfoodcities /status/918499611383418881   …|Proud to be part of this group pushing for #goodfood  & better lives for farm animals. Congrats @ChiCouncil  @ChiFoodPolicy  @ChicagosMayor !  /status/918499611383418881   …|false|918579578058301440|/ASPCA/status/918579578058301440||||
ASPCA|2017-09-27 11:00:05|105|244|'September is Special Needs Pet Month! Watch Chispi''s amazing  transformation as she runs for the first time!  http://bit.ly/2fmgUL1   pic.twitter.com/hj65dkcVSK'|'September is Special Needs Pet Month! Watch Chispi''s amazing  transformation as she runs for the first time!     '|false|913055648752865282|/ASPCA/status/913055648752865282||||
ASPCA|2017-09-29 11:00:07|249|595|'In honor of Deaf Dog Awareness Week, here''s a video of an amazing deaf dog named Blue learning sign language before she was adopted! pic.twitter.com/DDzNcEyp2M'|'In honor of Deaf Dog Awareness Week, here''s a video of an amazing deaf dog named Blue learning sign language before she was adopted! '|false|913780434458181633|/ASPCA/status/913780434458181633||||
ASPCA|2017-10-31 14:18:36|29|46|Q3: Halloween candy is sweet for humans, but candy containing this artificial sweetener can be a big problem for your pets. #tricksortreats|Q3: Halloween candy is sweet for humans, but candy containing this artificial sweetener can be a big problem for your pets. #tricksortreats|false|925426795020804098|/ASPCA/status/925426795020804098||||
ASPCA|2017-09-15 16:00:04|62|65|You can donate items from our ASPCA @Amazon  Wish List to aid in our Hurricane relief efforts. Please share!  http://bddy.me/2wvM9Wr  |You can donate items from our ASPCA @Amazon  Wish List to aid in our Hurricane relief efforts. Please share!    |false|908782490164310020|/ASPCA/status/908782490164310020||||
ASPCA|2017-09-06 10:15:08|0|0|The ASPCA is not euthanizing animals. For more info our work, please visit:  https://www. aspca.org/aspca-hurrican e-harvey-fact-sheet   …|The ASPCA is not euthanizing animals. For more info our work, please visit:   aspca.org/aspca-hurrican e-harvey-fact-sheet   …|false|905434194377134080|/ASPCA/status/905434194377134080||||
ASPCA|2017-09-08 13:19:27|0|1|Thank you so much for sharing your special day with animals in need, Donna! |Thank you so much for sharing your special day with animals in need, Donna! |false|906205353590886400|/ASPCA/status/906205353590886400||||
ASPCA|2017-10-08 11:00:09|43|122|'Fido''s in #DC ! Where will he show up next? #FindYourFido  and learn how to help dog''s all month long:  http://bddy.me/2y1kvoZ   pic.twitter.com/UDlxAgiz5G'|'Fido''s in #DC ! Where will he show up next? #FindYourFido  and learn how to help dog''s all month long:     '|false|917041932022566913|/ASPCA/status/917041932022566913||||
ASPCA|2017-10-12 11:24:02|21|38|Please help support ASPCA #FindYourFido , add a #Twibbon  now! http://twibbon.com/support/aspca- findyourfido/twitter   …|Please help support ASPCA #FindYourFido , add a #Twibbon  now!  findyourfido/twitter   …|false|918497497034637312|/ASPCA/status/918497497034637312||||
