'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
AmericanHumane|2017-09-09 15:36:19|11|16|PLEASE STAY SAFE as monster storm Irma bears down on the coast of Florida. Evacuate if you can and follow these tips https://www. americanhumane.org/blog/hurricane -irmas-dangerous-path-keep-yourself-and-your-pets-safe/   …|PLEASE STAY SAFE as monster storm Irma bears down on the coast of Florida. Evacuate if you can and follow these tips  americanhumane.org/blog/hurricane -irmas-dangerous-path-keep-yourself-and-your-pets-safe/   …|false|906602185097711616|/AmericanHumane/status/906602185097711616
AmericanHumane|2017-09-15 16:45:58|3|7|Hear @RobinGanzert  on @FoxNews  discussing our work with animal victims in #HurricaneHarvey  & #HurricaneIrma http://bit.ly/2x8BDrS  |Hear @RobinGanzert  on @FoxNews  discussing our work with animal victims in #HurricaneHarvey  & #HurricaneIrma   |false|908794039721353216|/AmericanHumane/status/908794039721353216
AmericanHumane|2017-09-19 13:04:11|7|27|ARKS OF HOPE Our @AmericanHumane  team has been working w/@code3associates  to rescue, feed & help every kind of animal we can find in Florida pic.twitter.com/kdmYBanrRo|ARKS OF HOPE Our @AmericanHumane  team has been working w/@code3associates  to rescue, feed & help every kind of animal we can find in Florida |false|910187779635675137|/AmericanHumane/status/910187779635675137
AmericanHumane|2017-10-25 18:59:50|9|18|T-MINUS ONE HOUR until the East Coast premiere of the 2017 @AmericanHumane  #HeroDogAwards ! Snacks? Check. PJ's? Check. Tissues? Check! pic.twitter.com/bIGSCogPNN|T-MINUS ONE HOUR until the East Coast premiere of the 2017 @AmericanHumane  #HeroDogAwards ! Snacks? Check. PJ's? Check. Tissues? Check! |false|923323244450590720|/AmericanHumane/status/923323244450590720
AmericanHumane|2017-09-05 17:27:01|4|36|A GIANT THANK-YOU from us & these little guys to @Banfield  Foundation 4 helping fund our animal rescue vehicle aiding those in Harvey's path pic.twitter.com/d19gQPwHtk|A GIANT THANK-YOU from us & these little guys to @Banfield  Foundation 4 helping fund our animal rescue vehicle aiding those in Harvey's path |false|905180493896966151|/AmericanHumane/status/905180493896966151
AmericanHumane|2017-10-25 20:02:56|19|52|We're so proud of the 2017 @AmericanHumane  #HeroDogAwards  winners. Which of the 7 courageous canines will take home the winning title? pic.twitter.com/Bbb9DvDcz1|We're so proud of the 2017 @AmericanHumane  #HeroDogAwards  winners. Which of the 7 courageous canines will take home the winning title? |false|923339121589964800|/AmericanHumane/status/923339121589964800
AmericanHumane|2017-09-20 16:26:35|2|10|Aibek, @woodlandparkzoo 's 2-month-old snow leopard eagerly explores his outdoor exhibit in these adorable photos on @woodlandparkzoo 's blog. https://twitter.com/woodlandparkzo o/status/910542601220120576   …|Aibek, @woodlandparkzoo 's 2-month-old snow leopard eagerly explores his outdoor exhibit in these adorable photos on @woodlandparkzoo 's blog.  o/status/910542601220120576   …|false|910601102739066881|/AmericanHumane/status/910601102739066881
AmericanHumane|2017-10-11 20:47:31|16|46|Thank you, @CBSEveningNews  for helping shine a light on five of the nation's unsung heroes! https://twitter.com/CBSEveningNews /status/918249109047345159   …|Thank you, @CBSEveningNews  for helping shine a light on five of the nation's unsung heroes!  /status/918249109047345159   …|false|918276912476286976|/AmericanHumane/status/918276912476286976
AmericanHumane|2017-10-25 20:21:28|14|40|Thx to @alexavega , @TheCarlosPena  & #NexGardChewables  for helping us honor brave little Abigail, the 2017 #EmergingHeroDog ! #HeroDogAwards pic.twitter.com/Z8XEX7YirF|Thx to @alexavega , @TheCarlosPena  & #NexGardChewables  for helping us honor brave little Abigail, the 2017 #EmergingHeroDog ! #HeroDogAwards |false|923343786578673669|/AmericanHumane/status/923343786578673669
AmericanHumane|2017-09-20 15:36:54|15|40|NBC's @TODAYshow  reports on the top winner of the 2017 @HeroDogAwards . If you love dogs, you'll love this! https://www. today.com/pets/abigail-p it-bull-named-2017-hero-dog-t116488   …|NBC's @TODAYshow  reports on the top winner of the 2017 @HeroDogAwards . If you love dogs, you'll love this!  today.com/pets/abigail-p it-bull-named-2017-hero-dog-t116488   …|false|910588598558306304|/AmericanHumane/status/910588598558306304
AmericanHumane|2017-09-21 09:51:30|3|5|Can't visit Puerto de la Cruz? Watch this 360º video of @LoroParque 's Katandra Treetops, a free-flight aviary w/ hundreds of colorful birds! https://twitter.com/LoroParque/sta tus/910121859374632961   …|Can't visit Puerto de la Cruz? Watch this 360º video of @LoroParque 's Katandra Treetops, a free-flight aviary w/ hundreds of colorful birds!  tus/910121859374632961   …|false|910864065827889152|/AmericanHumane/status/910864065827889152
AmericanHumane|2017-10-11 20:42:24|9|17|Thank you, @StephenGutowski ....we have to agree! https://twitter.com/StephenGutowsk i/status/918220595875270656   …|Thank you, @StephenGutowski ....we have to agree!  i/status/918220595875270656   …|false|918275626586529792|/AmericanHumane/status/918275626586529792
AmericanHumane|2017-09-10 10:51:43|59|130|AS THE EYE OF THE STORM moves into Florida, we are watching & ready to help animals caught in the wind & water Hang on! Help will be there! pic.twitter.com/K1geyrOAx3|AS THE EYE OF THE STORM moves into Florida, we are watching & ready to help animals caught in the wind & water Hang on! Help will be there! |false|906892951409844224|/AmericanHumane/status/906892951409844224
