username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
Americares|2017-09-10 10:44:51|0|0|'@ valetum  Hello Nick, hope you are well in Austria. Here''s how you can help and join Ryan: https://cards.twitter.com/cards/8r6jg/4r ler   …'|'@ valetum  Hello Nick, hope you are well in Austria. Here''s how you can help and join Ryan:  ler   …'|false|906891224505823233|/Americares/status/906891224505823233||||
Americares|2017-09-15 02:46:31|1|8|ATTN: This must watch video from @MiamiDadeFire  could save your life! #AfterIrma  #IrmaRecovery  #FloridaStrong https://twitter.com/MiamiDadeFire/ status/908431667899092992   …|ATTN: This must watch video from @MiamiDadeFire  could save your life! #AfterIrma  #IrmaRecovery  #FloridaStrong  status/908431667899092992   …|false|908582788030500864|/Americares/status/908582788030500864||||
Americares|2017-10-12 15:59:00|7|8|'We are the world''s leading nonprofit of donated medicines & medical supplies! Take a moment to view our CharityNav https://cards.twitter.com/cards/8r6jg/4t 7dc   …'|'We are the world''s leading nonprofit of donated medicines & medical supplies! Take a moment to view our CharityNav  7dc   …'|false|918566693831573507|/Americares/status/918566693831573507||||
Americares|2017-09-10 13:59:45|0|0|'@ Fusromandah  Hello Amanda, here''s how you can help and join Ryan!!  https://cards.twitter.com/cards/8r6jg/4r ler   …'|'@ Fusromandah  Hello Amanda, here''s how you can help and join Ryan!!   ler   …'|false|906940270931046405|/Americares/status/906940270931046405||||
Americares|2017-09-29 23:01:01|8|6|As we help those recover from #HurricaneMaria  #Hurricane  #Harvey  & #Irma -awareness of the ppl around you is a critical part of #mentalhealth|As we help those recover from #HurricaneMaria  #Hurricane  #Harvey  & #Irma -awareness of the ppl around you is a critical part of #mentalhealth|false|913961853524602880|/Americares/status/913961853524602880||||
Americares|2017-09-12 12:43:34|2|1|Si tienes heridas q estan abiertas: necesitas limpiar cuanto más q pueden con jabón+agua segura #Irma  #huracanirma https://twitter.com/FLSERT/status/ 907620212169756672   …|Si tienes heridas q estan abiertas: necesitas limpiar cuanto más q pueden con jabón+agua segura #Irma  #huracanirma  907620212169756672   …|false|907645875958239232|/Americares/status/907645875958239232||||
Americares|2017-09-08 07:41:06|0|1|'^Good afternoon (assuming you''re in Denmark atm), thank you for sharing!'|'^Good afternoon (assuming you''re in Denmark atm), thank you for sharing!'|false|906120206057168897|/Americares/status/906120206057168897||||
Americares|2017-10-17 22:02:07|2|2|# Airlift30  ...Bob & Leila Macauley had the bold idea to host a TY party for supporters & staff in an airplane hangar —Michael @AmericaresCEO pic.twitter.com/Xj3wH5UDEH|# Airlift30  ...Bob & Leila Macauley had the bold idea to host a TY party for supporters & staff in an airplane hangar —Michael @AmericaresCEO |false|920470014054068224|/Americares/status/920470014054068224||||
Americares|2017-10-10 13:15:49|0|0|^Great GIF Jennifer, thanks for sharing!|^Great GIF Jennifer, thanks for sharing!|false|917800851971993603|/Americares/status/917800851971993603||||
Americares|2017-09-27 22:02:37|2|2|^TY, Crash!__NEWLINE__#Hurricane   http://bit.ly/SendHurricaneR elief   … __NEWLINE__#Harvey   http://bit.ly/HHARVEYAmerica res   … __NEWLINE__#Irma   http://bit.ly/HIrmaAmericares    __NEWLINE__#Maria   http://bit.ly/Donate4Maria   pic.twitter.com/c5wLNmjbvM|^TY, Crash!__NEWLINE__#Hurricane    elief   … __NEWLINE__#Harvey    res   … __NEWLINE__#Irma       __NEWLINE__#Maria      |false|913222383900688384|/Americares/status/913222383900688384||||
