username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
MoveTheWorld|2017-10-04 09:01:11|252|195|A quick selfie for a tourist means a lifetime of suffering for a sloth. Sign up to our Wildlife Selfie Code now:  http://ow.ly/lEMM30fCYgi   pic.twitter.com/SRxHkORTcc|A quick selfie for a tourist means a lifetime of suffering for a sloth. Sign up to our Wildlife Selfie Code now:     |false|915562444554153984|/MoveTheWorld/status/915562444554153984||||
MoveTheWorld|2017-10-06 12:56:26|12|35|Thank you for being a voice for animals @KeshaRose https://twitter.com/KeshaRose/stat us/915674938178101248   …|Thank you for being a voice for animals @KeshaRose  us/915674938178101248   …|false|916346419719606273|/MoveTheWorld/status/916346419719606273||||
MoveTheWorld|2017-09-21 12:32:48|60|165|'Our hearts go out to animals and people affected by the #MexicoEarthquake . Our local partners are urgently assessing animals'' needs pic.twitter.com/RrgsDMGWFa'|'Our hearts go out to animals and people affected by the #MexicoEarthquake . Our local partners are urgently assessing animals'' needs '|false|910904657291218945|/MoveTheWorld/status/910904657291218945||||
MoveTheWorld|2017-10-13 10:12:14|69|88|"Animals suffer just like we do during disasters, and they depend on us."  http://ow.ly/oBfG30fR3hR    #InternationalDayForDisasterReduction pic.twitter.com/6ccRxUWBQU|"Animals suffer just like we do during disasters, and they depend on us."      #InternationalDayForDisasterReduction |false|918841814475558913|/MoveTheWorld/status/918841814475558913||||
MoveTheWorld|2017-09-10 13:08:27|55|129|'Due to cancelled flights, we''re facing extreme challenges to reach animals affected by #HurricaneIrma . We''re doing all we can to get there pic.twitter.com/bfRI51HeZQ'|'Due to cancelled flights, we''re facing extreme challenges to reach animals affected by #HurricaneIrma . We''re doing all we can to get there '|false|906927360846561280|/MoveTheWorld/status/906927360846561280||||
MoveTheWorld|2017-09-27 06:23:38|34|79|Scuba diving association @PADI  will help us protect hundreds of thousands of sea animals from ghost gear:  http://ow.ly/vOLF30fsqve   pic.twitter.com/iOoHPFJoEF|Scuba diving association @PADI  will help us protect hundreds of thousands of sea animals from ghost gear:     |false|912986081087426560|/MoveTheWorld/status/912986081087426560||||
MoveTheWorld|2017-09-15 06:03:33|136|282|After arriving in Barbuda, we’ve been driving around giving abandoned, needy animals food and water:  http://ow.ly/N9AD30faX6X    #HurricaneIrma pic.twitter.com/swk63ljOzF|After arriving in Barbuda, we’ve been driving around giving abandoned, needy animals food and water:      #HurricaneIrma |false|908632370466754565|/MoveTheWorld/status/908632370466754565||||
MoveTheWorld|2017-09-19 12:27:48|22|38|'Next month, we''ll be announcing how you can help protect wild animals used as photo props for tourist selfies #NotEntertainers'|'Next month, we''ll be announcing how you can help protect wild animals used as photo props for tourist selfies #NotEntertainers'|false|910178624136974336|/MoveTheWorld/status/910178624136974336||||
MoveTheWorld|2017-09-09 14:33:14|43|88|# HurricaneIrma : Fights are cancelled. We’re working with local vets to help desperate animals in the meantime:  http://ow.ly/cvN330f2837   pic.twitter.com/UiKSXGZVI3|# HurricaneIrma : Fights are cancelled. We’re working with local vets to help desperate animals in the meantime:     |false|906586310864986112|/MoveTheWorld/status/906586310864986112||||
MoveTheWorld|2017-10-05 09:29:06|110|134|Sloths are typically gentle creatures. They suffer tremendous stress when surrounded by tourists:  http://ow.ly/F9t930fF4N1    #NotEntertainers pic.twitter.com/qHbg1l9H7O|Sloths are typically gentle creatures. They suffer tremendous stress when surrounded by tourists:      #NotEntertainers |false|915931856264101888|/MoveTheWorld/status/915931856264101888||||
