username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
atlantahumane|2017-10-26 17:14:34|17|137|# UniteAndConquer  #ATLUTD pic.twitter.com/sv1TQbV2vd  – at  Atlanta Humane Society|# UniteAndConquer  #ATLUTD   – at  Atlanta Humane Society|false|923659142316912641|/atlantahumane/status/923659142316912641||||
atlantahumane|2017-09-02 21:56:09|0|0|Thanks for your support Robin <3|Thanks for your support Robin <3|false|904161059111612416|/atlantahumane/status/904161059111612416||||
atlantahumane|2017-09-03 10:17:44|7|20|Guardian has come all the way form Texas to find love with you  pic.twitter.com/y8KVfwskuy|Guardian has come all the way form Texas to find love with you  |false|904347683992809473|/atlantahumane/status/904347683992809473|TX|31.8160381|-99.5120986|464.57546726754583
atlantahumane|2017-09-11 23:08:08|2|19|Huge thanks to @RoswellGAFire  who helped us fix a jammed door at our emergency shelter when the rain was flooding in! pic.twitter.com/l5hcYouGsI|Huge thanks to @RoswellGAFire  who helped us fix a jammed door at our emergency shelter when the rain was flooding in! |false|907440665751105542|/atlantahumane/status/907440665751105542||||
atlantahumane|2017-10-24 11:26:06|75|195|Fall in love with a Puerto Rican cutie today  __NEWLINE____NEWLINE__ http://atlantahumane.org/dogs   pic.twitter.com/OCxVQiYm1t|Fall in love with a Puerto Rican cutie today  __NEWLINE____NEWLINE__    |false|922846668697034752|/atlantahumane/status/922846668697034752||||
atlantahumane|2017-09-11 20:51:33|20|66|'We''ve been bringing dogs and cats in from #hurricaneirma  all day. pic.twitter.com/TlUKJJ6tD0'|'We''ve been bringing dogs and cats in from #hurricaneirma  all day. '|false|907406290120527872|/atlantahumane/status/907406290120527872||||
atlantahumane|2017-09-18 23:05:04|9|19|Tonight, we took in another 150 Florida animals into our temporary emergency shelter. pic.twitter.com/HmROQKtLz0|Tonight, we took in another 150 Florida animals into our temporary emergency shelter. |false|909976606181126145|/atlantahumane/status/909976606181126145|FL|27.7567667|-81.4639835|210.85168210265104
atlantahumane|2017-10-19 11:43:19|198|850|This afternoon, we’re helping about 130 animals arrive safely in Georgia from Puerto Rico! pic.twitter.com/KZx2aaPsLn|This afternoon, we’re helping about 130 animals arrive safely in Georgia from Puerto Rico! |false|921039064098275331|/atlantahumane/status/921039064098275331|GA|32.3293809|-83.1137366|218.49209183174455
atlantahumane|2017-09-07 12:48:39|21|16|To make space for animals impacted by Hurricane Irma, all of our cat and kitten adoptions are $0 through Sunday! http://atlantahumane.org/cats  |To make space for animals impacted by Hurricane Irma, all of our cat and kitten adoptions are $0 through Sunday!   |false|905835212919230465|/atlantahumane/status/905835212919230465||||
atlantahumane|2017-09-18 17:38:46|6|12|150 Florida animals are heading to our temporary emergency shelter right now to make space for lost animals locally.  https://www. facebook.com/atlantahumane/ posts/1689195337788969   … pic.twitter.com/JQbmn3z1Hj|150 Florida animals are heading to our temporary emergency shelter right now to make space for lost animals locally.   facebook.com/atlantahumane/ posts/1689195337788969   … |false|909894491934519296|/atlantahumane/status/909894491934519296|FL|27.7567667|-81.4639835|210.85168210265104
