username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
ClimateReality|2017-10-30 17:12:32|31|37|Countries around the world are showing their commitment to the Paris Agreement. And New Zealand is no exception.  http://bit.ly/2iLJQgU  |Countries around the world are showing their commitment to the Paris Agreement. And New Zealand is no exception.    |false|925108179599548421|/ClimateReality/status/925108179599548421||||
ClimateReality|2017-10-23 00:04:00|36|39|The case for repealing America’s Clean Power Plan is weak — and it won’t save the coal industry  http://nyti.ms/2xVqh7O    #ProtectCPP|The case for repealing America’s Clean Power Plan is weak — and it won’t save the coal industry      #ProtectCPP|false|922312627237347328|/ClimateReality/status/922312627237347328||||
ClimateReality|2017-09-06 06:07:10|33|50|“Science should not be something that’s just thrown about to try to dictate policy in Washington, DC.” Uh… what? http://bit.ly/2uWmxBr  |“Science should not be something that’s just thrown about to try to dictate policy in Washington, DC.” Uh… what?   |false|905371788728729600|/ClimateReality/status/905371788728729600||||
ClimateReality|2017-09-29 21:06:20|36|43|Is carbon pollution impacting human health in ways we’ve only begun to understand?  http://politi.co/2fdVax9   pic.twitter.com/t0qwjsjgBQ|Is carbon pollution impacting human health in ways we’ve only begun to understand?     |false|913932995446345728|/ClimateReality/status/913932995446345728||||
ClimateReality|2017-10-31 08:10:25|35|24|With massive fires still raging in the US, here’s a refresher on the link between climate change and wildfires: http://bit.ly/2w9w75d  |With massive fires still raging in the US, here’s a refresher on the link between climate change and wildfires:   |false|925334141440282624|/ClimateReality/status/925334141440282624||||
ClimateReality|2017-09-22 16:12:05|28|34|'Educate your community and speak truth to power. Download @algore ''s new 10-minute presentation, Truth in 10, now:  http://bit.ly/-TruthIn10   pic.twitter.com/HX1k9aYUsE'|'Educate your community and speak truth to power. Download @algore ''s new 10-minute presentation, Truth in 10, now:     '|false|911322226527539200|/ClimateReality/status/911322226527539200||||
ClimateReality|2017-09-20 10:36:21|7|9|A7. Renewable, prosperous, and healthy #Cities100|A7. Renewable, prosperous, and healthy #Cities100|false|910512964339326976|/ClimateReality/status/910512964339326976||||
ClimateReality|2017-09-21 19:07:24|17|23|Here’s how to talk to your friends about the climate crisis, according to science  http://bit.ly/2wGCzQF    #ActOnClimate pic.twitter.com/dHSN921HXd|Here’s how to talk to your friends about the climate crisis, according to science      #ActOnClimate |false|911003958897991681|/ClimateReality/status/911003958897991681||||
ClimateReality|2017-10-29 09:10:52|20|20|.@EPAScottPruitt is “discounting the future” with shoddy math and cherry-picked data  http://wapo.st/2y9qQip     #ProtectCPP|.@EPAScottPruitt is “discounting the future” with shoddy math and cherry-picked data       #ProtectCPP|false|924624578806190082|/ClimateReality/status/924624578806190082||||
ClimateReality|2017-10-30 15:42:04|23|19|How do you talk to people about climate change? Researchers found that some messages are more effective than others  http://bit.ly/2fslyDs   pic.twitter.com/mzvCHvLO2p|How do you talk to people about climate change? Researchers found that some messages are more effective than others     |false|925085413638836224|/ClimateReality/status/925085413638836224||||
