'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
commoncausefl|2017-09-22 20:27:28|0|1|To protect our democracy, we must put #CountryOverParty  & prioritize integrity of our election infrastructure. http://cmnca.us/2vaKJ7A  |To protect our democracy, we must put #CountryOverParty  & prioritize integrity of our election infrastructure.   |false|911386496292225026|/commoncausefl/status/911386496292225026
commoncausefl|2017-09-26 05:49:46|0|0|Special Election for SD40/HD116 in Miami-Dade today 7a-7p pic.twitter.com/6m2lqsYtQ7|Special Election for SD40/HD116 in Miami-Dade today 7a-7p |false|912615168156282880|/commoncausefl/status/912615168156282880
commoncausefl|2017-10-01 08:27:57|5|5|A new way to register and update your voter registration - ONLINE starting today.  http://www. orlandosentinel.com /   …/os-florida-online-voter-re… pic.twitter.com/50EpbbTVV0|A new way to register and update your voter registration - ONLINE starting today.   orlandosentinel.com /   …/os-florida-online-voter-re… |false|914466917443936256|/commoncausefl/status/914466917443936256
commoncausefl|2017-10-18 07:15:03|0|0|Public not heard: http://www. miamiherald.com/news/politics- government/state-politics/article179411246.html   …|Public not heard:  miamiherald.com/news/politics- government/state-politics/article179411246.html   …|false|920609163075571713|/commoncausefl/status/920609163075571713
commoncausefl|2017-09-08 17:29:32|0|1|Hurricane Related Advisory - Hillsborough & Orange Special Elections VR deadline 09/11:  https://tinyurl.com/y9dgtm6g    #Sayfie  #HurricaneIrma pic.twitter.com/vSp3hoBmmp|Hurricane Related Advisory - Hillsborough & Orange Special Elections VR deadline 09/11:      #Sayfie  #HurricaneIrma |false|906268290535784448|/commoncausefl/status/906268290535784448
commoncausefl|2017-10-25 12:56:42|0|0|NYC Elections Board Admits It Illegally Purged 200,000-plus Voters  http://www. commoncause.org/democracy-wire /nyc-elections-board-admits-illegal-voter-purges.html   …  via @CommonCause|NYC Elections Board Admits It Illegally Purged 200,000-plus Voters   commoncause.org/democracy-wire /nyc-elections-board-admits-illegal-voter-purges.html   …  via @CommonCause|false|923231857650659333|/commoncausefl/status/923231857650659333
commoncausefl|2017-09-22 10:42:26|1|1|For Special Election SD40/HD116 Early Voting thru Sun https://twitter.com/MDCElections/s tatus/910524063130488834   …|For Special Election SD40/HD116 Early Voting thru Sun  tatus/910524063130488834   …|false|911239269754314757|/commoncausefl/status/911239269754314757
commoncausefl|2017-10-30 10:44:44|0|0|Happy 15th anniv Help American Vote Act! Congress should honor its legacy by taking steps to secure our elections. http://ampr.gs/2hfkhRD  |Happy 15th anniv Help American Vote Act! Congress should honor its legacy by taking steps to secure our elections.   |false|925010588736114688|/commoncausefl/status/925010588736114688
commoncausefl|2017-10-24 10:30:49|0|0|Anything to do with $$$? https://twitter.com/Mdixon55/statu s/922540469179109378   …|Anything to do with $$$?  s/922540469179109378   …|false|922832755930648583|/commoncausefl/status/922832755930648583
commoncausefl|2017-09-08 16:51:45|0|0|Hurricane Related Advisory for Hillsborough & Orange Special Elections VR deadline Sept 11:  http://www. commoncause.org/press/press-re leases/hurricane-related-media-advisory.html   … pic.twitter.com/TOac5TLtpo|Hurricane Related Advisory for Hillsborough & Orange Special Elections VR deadline Sept 11:   commoncause.org/press/press-re leases/hurricane-related-media-advisory.html   … |false|906258779162992642|/commoncausefl/status/906258779162992642
commoncausefl|2017-10-24 15:18:35|0|0|The Incredible Vanishing Commission  http://www. commoncause.org/democracy-wire /incredible-vanishing-commission.html   …  via @CommonCause|The Incredible Vanishing Commission   commoncause.org/democracy-wire /incredible-vanishing-commission.html   …  via @CommonCause|false|922905175240724480|/commoncausefl/status/922905175240724480
commoncausefl|2017-09-25 14:26:53|0|0|We have a right to know who is spending $ in elections. Facebook's response is not enough. Congress & @FEC  must act! https://www. usnews.com/opinion/op-ed/ articles/2017-09-25/congress-must-follow-up-facebooks-exposing-russian-political-advertising   …|We have a right to know who is spending $ in elections. Facebook's response is not enough. Congress & @FEC  must act!  usnews.com/opinion/op-ed/ articles/2017-09-25/congress-must-follow-up-facebooks-exposing-russian-political-advertising   …|false|912382916654755841|/commoncausefl/status/912382916654755841
commoncausefl|2017-09-26 09:44:51|0|0|Its #NationalVoterRegistrationDay ! Are you ready to #BeVocalVoteLocal ? Call #866OURVOTE  w/ questions or concerns about voter registration.|Its #NationalVoterRegistrationDay ! Are you ready to #BeVocalVoteLocal ? Call #866OURVOTE  w/ questions or concerns about voter registration.|false|912674331196628993|/commoncausefl/status/912674331196628993
commoncausefl|2017-10-30 12:20:28|0|0|Call your member of Congress; urge them to support bipartisan bills to protect the independent #Russia  investigation  http://bit.ly/2yfEp0n  |Call your member of Congress; urge them to support bipartisan bills to protect the independent #Russia  investigation    |false|925034679136346117|/commoncausefl/status/925034679136346117
commoncausefl|2017-10-16 09:50:28|0|0|HAPPENING NOW: @CommonCause  is in court in North Carolina challenging partisan gerrymandering.  http://commoncause.org/rucho    #FairMaps|HAPPENING NOW: @CommonCause  is in court in North Carolina challenging partisan gerrymandering.      #FairMaps|false|919923501787738113|/commoncausefl/status/919923501787738113
