username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
ConvoyofHope|2017-09-06 13:34:18|3|7|A special thanks to our friends at Central Bank of the Ozarks, @CentralBankSTL  and @AGCreditUnion  for their support with #HurricaneHarvey .|A special thanks to our friends at Central Bank of the Ozarks, @CentralBankSTL  and @AGCreditUnion  for their support with #HurricaneHarvey .|false|905484313784975362|/ConvoyofHope/status/905484313784975362||||
ConvoyofHope|2017-10-16 16:12:34|18|46|We have served more than 71,000 hurricane survivors in 40+ areas across Puerto Rico. This is only possible thanks to friends like you! pic.twitter.com/D5tcX1aAMP|We have served more than 71,000 hurricane survivors in 40+ areas across Puerto Rico. This is only possible thanks to friends like you! |false|920019659377795072|/ConvoyofHope/status/920019659377795072||||
ConvoyofHope|2017-10-02 19:04:34|10|41|Our teams in Florida have distributed more than 2 million lbs of relief supplies to survivors of Hurricane Irma! Thank you for your support! pic.twitter.com/04I13YAzE6|Our teams in Florida have distributed more than 2 million lbs of relief supplies to survivors of Hurricane Irma! Thank you for your support! |false|914989515391012869|/ConvoyofHope/status/914989515391012869||||
ConvoyofHope|2017-10-01 11:01:04|18|47|'In response to Hurricanes Harvey, Irma & Maria, we''ve sent relief to the BVI, Turks and Caicos, Puerto Rico & more than 100 U.S. cities. pic.twitter.com/RY9LuPVgEY'|'In response to Hurricanes Harvey, Irma & Maria, we''ve sent relief to the BVI, Turks and Caicos, Puerto Rico & more than 100 U.S. cities. '|false|914505448384024577|/ConvoyofHope/status/914505448384024577||||
ConvoyofHope|2017-10-08 15:18:16|17|44|'As we continue to serve hurricane survivors in Puerto Rico, we''ve distributed hundreds of Sawyer Water Filters to help them get clean water. pic.twitter.com/Gj4e4ePuec'|'As we continue to serve hurricane survivors in Puerto Rico, we''ve distributed hundreds of Sawyer Water Filters to help them get clean water. '|false|917106889187569665|/ConvoyofHope/status/917106889187569665||||
ConvoyofHope|2017-09-12 11:51:47|0|0|Thank you for your support!|Thank you for your support!|false|907632843433693184|/ConvoyofHope/status/907632843433693184||||
ConvoyofHope|2017-09-17 14:17:32|26|104|Thank you for helping us deliver 140 truckloads of supplies to survivors of #HurricaneHarvey ! pic.twitter.com/pS4EDINcAJ|Thank you for helping us deliver 140 truckloads of supplies to survivors of #HurricaneHarvey ! |false|909481463468511232|/ConvoyofHope/status/909481463468511232||||
ConvoyofHope|2017-10-23 16:08:01|4|4|'As we respond to the recent disasters, we''re also serving Guests of Honor at our Community Events. Learn more: http://h.ope.is/1gn2KfV  '|'As we respond to the recent disasters, we''re also serving Guests of Honor at our Community Events. Learn more:   '|false|922555227085131777|/ConvoyofHope/status/922555227085131777||||
ConvoyofHope|2017-09-11 22:46:17|18|33|Your remarkable support has enabled us to do great things during our #HurricaneHarvey  response! Watch the video below to learn more. pic.twitter.com/ckZS9FzDgJ|Your remarkable support has enabled us to do great things during our #HurricaneHarvey  response! Watch the video below to learn more. |false|907435164967620609|/ConvoyofHope/status/907435164967620609||||
ConvoyofHope|2017-10-25 11:58:54|13|42|'You help us deliver hope! Thanks to wonderful friends like you, we''ve served more than 90,000 Hurricane Maria survivors in Puerto Rico. pic.twitter.com/60XTQG8A8J'|'You help us deliver hope! Thanks to wonderful friends like you, we''ve served more than 90,000 Hurricane Maria survivors in Puerto Rico. '|false|923217312928489473|/ConvoyofHope/status/923217312928489473||||
ConvoyofHope|2017-09-07 16:58:28|12|36|Thanks to our friends at @NestleWatersNA  for helping us provide water to communities affected by #HurricaneHarvey  and #HurricaneIrma . pic.twitter.com/huzVZEQQzi|Thanks to our friends at @NestleWatersNA  for helping us provide water to communities affected by #HurricaneHarvey  and #HurricaneIrma . |false|905898084567310337|/ConvoyofHope/status/905898084567310337||||
ConvoyofHope|2017-09-16 14:37:06|16|42|We are so grateful to our wonderful partners in Haiti who helped us load up relief supplies to send to Turks and Caicos this week. pic.twitter.com/ud2VOIf3Lh|We are so grateful to our wonderful partners in Haiti who helped us load up relief supplies to send to Turks and Caicos this week. |false|909123998843379712|/ConvoyofHope/status/909123998843379712||||
ConvoyofHope|2017-09-23 17:13:59|7|9|The 2017 Atlantic Hurricane Season has been the most active since 1995, said @weatherchannel . Follow our responses:  http://convoyofhope.org   . pic.twitter.com/HNyNaGFItj|The 2017 Atlantic Hurricane Season has been the most active since 1995, said @weatherchannel . Follow our responses:     . |false|911700192969285632|/ConvoyofHope/status/911700192969285632||||
ConvoyofHope|2017-09-20 22:19:50|1|6|Our friend, @philwickham , is live right now for #NightofHope . Check it out at  http://facebook.com/convoyofhope   !|Our friend, @philwickham , is live right now for #NightofHope . Check it out at     !|false|910689999133089792|/ConvoyofHope/status/910689999133089792||||
ConvoyofHope|2017-09-07 11:01:08|11|34|'We''ve delivered more than 100 loads of supplies to survivors of #HurricaneHarvey ! This is only possible thanks to generous friends like you! pic.twitter.com/000DapbTFt'|'We''ve delivered more than 100 loads of supplies to survivors of #HurricaneHarvey ! This is only possible thanks to generous friends like you! '|false|905808158819540992|/ConvoyofHope/status/905808158819540992||||
