username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
FeedingAmerica|2017-10-23 14:36:01|8|21|More #foodrescue  results in fewer hungry people. Are you doing your part?__NEWLINE__  http://feeding.am/601787byx   pic.twitter.com/oBZx8tq11x|More #foodrescue  results in fewer hungry people. Are you doing your part?__NEWLINE__     |false|922532077345693697|/FeedingAmerica/status/922532077345693697||||
FeedingAmerica|2017-09-12 15:24:25|3|17|On behalf of the people we serve, thank you for your support in this time of need. #HandInHand|On behalf of the people we serve, thank you for your support in this time of need. #HandInHand|false|907686355202985984|/FeedingAmerica/status/907686355202985984||||
FeedingAmerica|2017-10-19 17:36:56|24|52|Keep up the amazing work, Sunshine! http://feeding.am/601887bVi  |Keep up the amazing work, Sunshine!   |false|921128055145422848|/FeedingAmerica/status/921128055145422848||||
FeedingAmerica|2017-09-19 11:38:35|0|1|Thank you for your generosity and support in the fight to end hunger, @Brawny ! #HungerActionMonth|Thank you for your generosity and support in the fight to end hunger, @Brawny ! #HungerActionMonth|false|910166236524351489|/FeedingAmerica/status/910166236524351489||||
FeedingAmerica|2017-09-30 11:03:21|33|39|Empty plates are a reality for millions of people facing hunger in America. Stay connected:  http://feeding.am/601284y2n    #HungerActionMonth pic.twitter.com/1wW7lnKQbW|Empty plates are a reality for millions of people facing hunger in America. Stay connected:      #HungerActionMonth |false|914143637277208577|/FeedingAmerica/status/914143637277208577||||
FeedingAmerica|2017-10-02 12:29:40|0|3|Thank you for your support during this critical time of need, Bethenny.|Thank you for your support during this critical time of need, Bethenny.|false|914890134545420289|/FeedingAmerica/status/914890134545420289||||
FeedingAmerica|2017-09-25 17:43:05|6|16|Thanks for supporting @foodbankmetrodc , @HungerIs ! Proud to partner to #MakeBreakfastHappen . https://twitter.com/HungerIs/statu s/910107702000541697   …|Thanks for supporting @foodbankmetrodc , @HungerIs ! Proud to partner to #MakeBreakfastHappen .  s/910107702000541697   …|false|912432291586215947|/FeedingAmerica/status/912432291586215947||||
FeedingAmerica|2017-10-12 11:39:05|1|4|A1.4 Good point! Check out our Map the Meal Gap to see what hunger looks like in your community:  http://map.feedingamerica.org /     #FightingHunger|A1.4 Good point! Check out our Map the Meal Gap to see what hunger looks like in your community:   /     #FightingHunger|false|918501281827868673|/FeedingAmerica/status/918501281827868673||||
FeedingAmerica|2017-09-21 11:24:00|0|1|@ ScottHamilton84  We are grateful for your continued support, including raising your voice in wake of disaster, Scott! #WorldGratitudeDay|@ ScottHamilton84  We are grateful for your continued support, including raising your voice in wake of disaster, Scott! #WorldGratitudeDay|false|910887341446877184|/FeedingAmerica/status/910887341446877184||||
FeedingAmerica|2017-09-05 13:28:29|3|10|'Thanks @Disney ''s @thechew  for supporting @HoustonFoodBank ''s #HarveyRelief  efforts! Check out the work on the ground:  http://feeding.am/60148LcmA  '|'Thanks @Disney ''s @thechew  for supporting @HoustonFoodBank ''s #HarveyRelief  efforts! Check out the work on the ground:    '|false|905120461541003264|/FeedingAmerica/status/905120461541003264||||
FeedingAmerica|2017-10-31 14:32:01|1|6|'.@rachaelray ''s gifts for Puerto Rico & @FeedingFlorida  provide critical funds to help support people most impacted by the recent hurricanes.'|'.@rachaelray ''s gifts for Puerto Rico & @FeedingFlorida  provide critical funds to help support people most impacted by the recent hurricanes.'|false|925430173159378946|/FeedingAmerica/status/925430173159378946||||
FeedingAmerica|2017-09-06 17:05:30|1|1|Thanks for using your voice to help raise awareness of hunger in America, Alan! #HungerActionMonth|Thanks for using your voice to help raise awareness of hunger in America, Alan! #HungerActionMonth|false|905537464642756608|/FeedingAmerica/status/905537464642756608||||
FeedingAmerica|2017-09-14 10:03:01|27|37|'It''s #HungerActionDay ! Have you turned on our Facebook profile frame to help raise awareness?  http://feeding.am/60128FEkM    #HungerActionMonth pic.twitter.com/O6yPQeskmZ'|'It''s #HungerActionDay ! Have you turned on our Facebook profile frame to help raise awareness?      #HungerActionMonth '|false|908330245668950016|/FeedingAmerica/status/908330245668950016||||
FeedingAmerica|2017-10-13 10:39:09|36|39|Fight food waste in your own kitchen with these tips from @Budget_Bytes :  http://feeding.am/60198fG89   pic.twitter.com/cPGQifPd2r|Fight food waste in your own kitchen with these tips from @Budget_Bytes :     |false|918848587907371015|/FeedingAmerica/status/918848587907371015||||
FeedingAmerica|2017-10-19 10:34:44|3|10|The @FeedingAmerica  network is made of 200 food banks that serve virtually every community in the U.S. Find yours:  http://bit.ly/2yt3Vij  |The @FeedingAmerica  network is made of 200 food banks that serve virtually every community in the U.S. Find yours:    |false|921021803560128514|/FeedingAmerica/status/921021803560128514||||
FeedingAmerica|2017-10-02 11:12:06|27|65|Our hearts and deepest sympathies are with the people of Las Vegas and everyone impacted by last night’s tragedy.|Our hearts and deepest sympathies are with the people of Las Vegas and everyone impacted by last night’s tragedy.|false|914870614552432641|/FeedingAmerica/status/914870614552432641||||
FeedingAmerica|2017-09-20 16:11:53|0|0|Thanks for your support! Complete your donation now: https://gdw.io/21385b  |Thanks for your support! Complete your donation now:   |false|910597400502296577|/FeedingAmerica/status/910597400502296577||||
FeedingAmerica|2017-09-29 14:22:00|4|11|Next #NationalCoffeeDay  coffee break stop: @SeattlesBest ! Thanks for your partnership in the fight to end hunger. http://feeding.am/601684yEY  |Next #NationalCoffeeDay  coffee break stop: @SeattlesBest ! Thanks for your partnership in the fight to end hunger.   |false|913831239731294208|/FeedingAmerica/status/913831239731294208||||
FeedingAmerica|2017-09-23 08:29:39|1|1|Thanks for your support! Complete your donation now: https://gdw.io/7a66cd  |Thanks for your support! Complete your donation now:   |false|911568239771115520|/FeedingAmerica/status/911568239771115520||||
FeedingAmerica|2017-09-21 11:20:00|0|0|@ TheTuscanGun  @debimazar  We are grateful for you generosity and support in the fight to end hunger! #WorldGratitudeDay|@ TheTuscanGun  @debimazar  We are grateful for you generosity and support in the fight to end hunger! #WorldGratitudeDay|false|910886334943948800|/FeedingAmerica/status/910886334943948800||||
FeedingAmerica|2017-10-29 16:45:02|23|30|The Feeding America network of food banks is helping to preserve and improve the quality of rural life every day:  http://feeding.am/60128fDkE   pic.twitter.com/1uNeoSH5Ld|The Feeding America network of food banks is helping to preserve and improve the quality of rural life every day:     |false|924738869702033408|/FeedingAmerica/status/924738869702033408||||
FeedingAmerica|2017-10-17 15:40:32|10|38|'Fresh strawberries shouldn''t just be a special treat. Children deserve to have fresh berries:  http://feeding.am/60178AhbX   pic.twitter.com/Dydx2SckKr'|'Fresh strawberries shouldn''t just be a special treat. Children deserve to have fresh berries:     '|false|920373985933656064|/FeedingAmerica/status/920373985933656064||||
FeedingAmerica|2017-09-06 12:54:51|6|9|'School may be starting up again, but we''re still celebrating some awesome summer meal sites:  http://feeding.am/60198LQtP    #HungryToHelp pic.twitter.com/N7elpqUuxm'|'School may be starting up again, but we''re still celebrating some awesome summer meal sites:      #HungryToHelp '|false|905474387243085827|/FeedingAmerica/status/905474387243085827||||
FeedingAmerica|2017-09-21 11:12:00|0|0|@ jamiechung1  We appreciate your ongoing support, Jamie! Thinking about you and all of our supporters this #WorldGratitudeDay .|@ jamiechung1  We appreciate your ongoing support, Jamie! Thinking about you and all of our supporters this #WorldGratitudeDay .|false|910884321682235397|/FeedingAmerica/status/910884321682235397||||
FeedingAmerica|2017-10-14 23:23:00|33|104|Thank you @somosunavoz_  for bringing people together to benefit disaster relief. Together we are one voice! #OneVoiceSOMOSLive|Thank you @somosunavoz_  for bringing people together to benefit disaster relief. Together we are one voice! #OneVoiceSOMOSLive|false|919403204227600385|/FeedingAmerica/status/919403204227600385||||
FeedingAmerica|2017-10-11 17:22:02|19|18|Many rural and farm communities – the very places where crops are grown to feed the world – face hunger.  http://feeding.am/60178fDuP   pic.twitter.com/TROWI8lkEP|Many rural and farm communities – the very places where crops are grown to feed the world – face hunger.     |false|918225200080138241|/FeedingAmerica/status/918225200080138241||||
FeedingAmerica|2017-09-12 15:46:27|1|3|'Thank you for your support in this time of need. We''re honored to stand #HandInHand  with @FeedingFlorida  and @FeedingTexas  food banks!'|'Thank you for your support in this time of need. We''re honored to stand #HandInHand  with @FeedingFlorida  and @FeedingTexas  food banks!'|false|907691900131520513|/FeedingAmerica/status/907691900131520513||||
FeedingAmerica|2017-10-12 11:42:43|0|1|A2.1 Proper nutrition is critical to a child’s development.  Kids who face hunger may have problems at school:  http://bit.ly/2kj8PIF  |A2.1 Proper nutrition is critical to a child’s development.  Kids who face hunger may have problems at school:    |false|918502198350409729|/FeedingAmerica/status/918502198350409729||||
FeedingAmerica|2017-09-21 08:10:06|17|47|'Happy #WorldGratitudeDay ! We’ve had an amazing year of support and there''s no better time to thank everyone. Join us in showing some love! pic.twitter.com/b3mlNFHNtW'|'Happy #WorldGratitudeDay ! We’ve had an amazing year of support and there''s no better time to thank everyone. Join us in showing some love! '|false|910838543987167237|/FeedingAmerica/status/910838543987167237||||
FeedingAmerica|2017-10-12 11:57:46|3|5|A5.2 Reminder: here’s our link to donate  http://www. feedingamerica.org/kellogg    Thanks for your support! #FightingHunger|A5.2 Reminder: here’s our link to donate   feedingamerica.org/kellogg    Thanks for your support! #FightingHunger|false|918505986154991618|/FeedingAmerica/status/918505986154991618||||
FeedingAmerica|2017-09-03 11:04:01|59|73|'Kids can''t be kids on an empty stomach. Raise awareness for the 1 in 6 facing hunger in America:  http://feeding.am/60118IN9S    #HungerActionMonth pic.twitter.com/OHLeFV9SFl'|'Kids can''t be kids on an empty stomach. Raise awareness for the 1 in 6 facing hunger in America:      #HungerActionMonth '|false|904359331545718785|/FeedingAmerica/status/904359331545718785||||
FeedingAmerica|2017-10-04 10:04:06|18|28|Despite living in the very place food is grown – Donna faces hunger. Share her story. pic.twitter.com/LEMGwlZia8|Despite living in the very place food is grown – Donna faces hunger. Share her story. |false|915578275149303814|/FeedingAmerica/status/915578275149303814||||
FeedingAmerica|2017-10-05 12:46:02|0|1|Thank you for your generosity and support, Bob!|Thank you for your generosity and support, Bob!|false|915981417317752832|/FeedingAmerica/status/915981417317752832||||
FeedingAmerica|2017-10-12 11:57:30|0|3|A5.1 Give. Whether it’s money, time, food or sharing stories to raise awareness, every little bit helps. #FightingHunger|A5.1 Give. Whether it’s money, time, food or sharing stories to raise awareness, every little bit helps. #FightingHunger|false|918505916655439872|/FeedingAmerica/status/918505916655439872||||
