username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
globalmedicdmgf|2017-10-19 14:52:54|10|14|Thank you @AirCanada  for supporting our relief work in Puerto Rico.  A cargo plane of aid enroute now. 60,000 people will be helped! pic.twitter.com/SmtUxJ5Vnj|Thank you @AirCanada  for supporting our relief work in Puerto Rico.  A cargo plane of aid enroute now. 60,000 people will be helped! |false|921086775036067840|/globalmedicdmgf/status/921086775036067840||||
globalmedicdmgf|2017-09-12 09:10:18|12|16|This is what 1,100,000L of safe drinking water looks like! Donate to help us do more for victims of Hurricane Irma:  http://ow.ly/K28d30f5fy6   pic.twitter.com/egwIGktOQv|This is what 1,100,000L of safe drinking water looks like! Donate to help us do more for victims of Hurricane Irma:     |false|907592204260167680|/globalmedicdmgf/status/907592204260167680||||
globalmedicdmgf|2017-09-09 15:08:51|4|9|Members of the community from St. Maarten are helping pack 500 FEK kits and 1500 hygiene kits! Help us to do more!  http://ow.ly/keu130f2boc   pic.twitter.com/1Sqq4GAEIL|Members of the community from St. Maarten are helping pack 500 FEK kits and 1500 hygiene kits! Help us to do more!     |false|906595274872762368|/globalmedicdmgf/status/906595274872762368||||
globalmedicdmgf|2017-09-20 13:18:45|5|17|Thanks @WeirFoulds  for helping pack water and hygiene kits for #hurricane  affected people in the #Caribbean pic.twitter.com/vVbl5z8CaX|Thanks @WeirFoulds  for helping pack water and hygiene kits for #hurricane  affected people in the #Caribbean |false|910553833541120001|/globalmedicdmgf/status/910553833541120001||||
globalmedicdmgf|2017-09-16 15:05:14|2|6|'CityTV@GM. Build''g supplies & other aid sent by @AirCanada  Tks @HomeDepotCanada   for the plywood to help rebuild!  http://ow.ly/I1Py30fcRPl   pic.twitter.com/jiXgCauBKa'|'CityTV@GM. Build''g supplies & other aid sent by @AirCanada  Tks @HomeDepotCanada   for the plywood to help rebuild!     '|false|909131078765596677|/globalmedicdmgf/status/909131078765596677||||
globalmedicdmgf|2017-09-28 13:08:52|5|7|Your donation can help families in #Dominica  after #HurricaneMaria  __NEWLINE__ https://goo.gl/DXW9Wy   pic.twitter.com/AqcK21xXrw|Your donation can help families in #Dominica  after #HurricaneMaria  __NEWLINE__    |false|913450446349570049|/globalmedicdmgf/status/913450446349570049||||
globalmedicdmgf|2017-10-14 14:46:39|7|18|Our Rapid Response Team is in #Dominica  distributing water purification units. #hurricaneMaria pic.twitter.com/pgBtzbpwDK|Our Rapid Response Team is in #Dominica  distributing water purification units. #hurricaneMaria |false|919273261866856448|/globalmedicdmgf/status/919273261866856448||||
globalmedicdmgf|2017-09-13 08:55:14|10|28|Sachets to purify 1.1M litres of water were sent to Cuba yesterday by @SunwingVacay   Thanks for your continued support of our response! pic.twitter.com/jb0CRnmpEl|Sachets to purify 1.1M litres of water were sent to Cuba yesterday by @SunwingVacay   Thanks for your continued support of our response! |false|907950801859031040|/globalmedicdmgf/status/907950801859031040||||
globalmedicdmgf|2017-09-13 15:01:26|4|7|Matt on Breakfast Television talking about our RescUAV and water response to Hurricane Irma  http://ow.ly/u2Dw30f71L8     @aeryonlabs pic.twitter.com/ioAjCatxju|Matt on Breakfast Television talking about our RescUAV and water response to Hurricane Irma       @aeryonlabs |false|908042956057321479|/globalmedicdmgf/status/908042956057321479||||
globalmedicdmgf|2017-09-14 13:07:41|12|18|Waterloo Record story on the RescUAV mission in St. Maarten:  http://ow.ly/zHwX30f9PWq    @aeryonlabs  @pix4d pic.twitter.com/XqwQTxsBmb|Waterloo Record story on the RescUAV mission in St. Maarten:      @aeryonlabs  @pix4d |false|908376719274516480|/globalmedicdmgf/status/908376719274516480||||
globalmedicdmgf|2017-09-16 00:14:08|6|22|The RRT and @AeroVisionUAV  were flown to Antigua today by @SunwingVacay  along with relief supplies for victims of Hurricane Irma. pic.twitter.com/ujVEcrJ4ZD|The RRT and @AeroVisionUAV  were flown to Antigua today by @SunwingVacay  along with relief supplies for victims of Hurricane Irma. |false|908906826795712512|/globalmedicdmgf/status/908906826795712512||||
globalmedicdmgf|2017-09-19 15:42:20|17|47|We are packing Family Emergency Kits for #Dominica  today. Thx @PGeverydayCA  for donating Pampers for #hurricane  relief pic.twitter.com/q1auNVy6Oj|We are packing Family Emergency Kits for #Dominica  today. Thx @PGeverydayCA  for donating Pampers for #hurricane  relief |false|910227578568486912|/globalmedicdmgf/status/910227578568486912||||
globalmedicdmgf|2017-09-28 16:57:21|1|3|# Toronto , #workout  to support our #hurricane  relief efforts this Sat, Sept 30.  http://welltodo.ca/sweat-to-suppo rt   …|# Toronto , #workout  to support our #hurricane  relief efforts this Sat, Sept 30.   rt   …|false|913507945694007296|/globalmedicdmgf/status/913507945694007296||||
globalmedicdmgf|2017-10-05 08:02:13|5|29|Yesterday we distributed water purification and hygiene kits to #earthquake  affected families in #Mexico pic.twitter.com/q33VDpS73U|Yesterday we distributed water purification and hygiene kits to #earthquake  affected families in #Mexico |false|915909993475530753|/globalmedicdmgf/status/915909993475530753||||
globalmedicdmgf|2017-09-18 08:55:16|9|11|Have a look at the first UAV footage coming from our team in Barbuda. The damage is catastrophic!  http://ow.ly/gyKo30fe4dD    __NEWLINE__@AeroVisionUAV pic.twitter.com/0WZn87oJED|Have a look at the first UAV footage coming from our team in Barbuda. The damage is catastrophic!      __NEWLINE__@AeroVisionUAV |false|909762747235172352|/globalmedicdmgf/status/909762747235172352||||
globalmedicdmgf|2017-09-14 08:45:15|4|8|Director Rahul Singh on CTV discussing the urgent needs for victims of Hurricane Irma:   http://ow.ly/Jse630f8xsM   pic.twitter.com/mwP1X1H6LU|Director Rahul Singh on CTV discussing the urgent needs for victims of Hurricane Irma:      |false|908310677751832577|/globalmedicdmgf/status/908310677751832577||||
globalmedicdmgf|2017-09-18 22:03:16|13|35|Our Rapid Response Team is monitoring #HurricaneMaria  and stand ready to assist #Dominica|Our Rapid Response Team is monitoring #HurricaneMaria  and stand ready to assist #Dominica|false|909961053693505538|/globalmedicdmgf/status/909961053693505538||||
globalmedicdmgf|2017-10-23 12:05:28|1|14|A big thanks to the @stratfest  for donating the space for our packing event this weekend! 500 kits were built! pic.twitter.com/N20meLLTCS|A big thanks to the @stratfest  for donating the space for our packing event this weekend! 500 kits were built! |false|922494188075323393|/globalmedicdmgf/status/922494188075323393||||
globalmedicdmgf|2017-09-10 12:28:14|8|25|The team is wheels down in Saint Maarten and will begin work shortly. @aeryonlabs  @SunwingVacay|The team is wheels down in Saint Maarten and will begin work shortly. @aeryonlabs  @SunwingVacay|false|906917239131013120|/globalmedicdmgf/status/906917239131013120||||
globalmedicdmgf|2017-09-15 11:54:22|3|11|'Erik is doing double-duty! Driv''g a donated ambulance to Nicaragua & enroute distributing aid in Mexico for GM! http://ow.ly/wwvl30fbyCw  '|'Erik is doing double-duty! Driv''g a donated ambulance to Nicaragua & enroute distributing aid in Mexico for GM!   '|false|908720656442937344|/globalmedicdmgf/status/908720656442937344||||
globalmedicdmgf|2017-09-20 19:44:58|0|0|Thanks @scottmac  We are working with our service provider to get it up and running. Please try again later!|Thanks @scottmac  We are working with our service provider to get it up and running. Please try again later!|false|910651027019456512|/globalmedicdmgf/status/910651027019456512||||
globalmedicdmgf|2017-10-27 15:29:48|1|1|Thank you for your support!|Thank you for your support!|false|923995163097206784|/globalmedicdmgf/status/923995163097206784||||
globalmedicdmgf|2017-09-29 11:08:57|4|9|Your donations can help us and @AirCanada  bring water purification and hygiene supplies for #Mexico  #Earthquake  __NEWLINE__ https://www. canadahelps.org/dn/31926   pic.twitter.com/2wgVz87Wx1|Your donations can help us and @AirCanada  bring water purification and hygiene supplies for #Mexico  #Earthquake  __NEWLINE__  canadahelps.org/dn/31926   |false|913782659725348865|/globalmedicdmgf/status/913782659725348865||||
globalmedicdmgf|2017-10-16 12:10:24|3|12|750 more families in Dominica are about to receive clean water and hygiene items thanks to Canadian donors! pic.twitter.com/5yU2JSd5RU|750 more families in Dominica are about to receive clean water and hygiene items thanks to Canadian donors! |false|919958714689511424|/globalmedicdmgf/status/919958714689511424||||
globalmedicdmgf|2017-09-30 11:05:47|1|2|@ aircanada  and @globalmedicdmgf  #volunteers  are packing aid for #Mexico  #earthquake  this morning pic.twitter.com/e2KbnDDwR1|@ aircanada  and @globalmedicdmgf  #volunteers  are packing aid for #Mexico  #earthquake  this morning |false|914144247678464002|/globalmedicdmgf/status/914144247678464002||||
globalmedicdmgf|2017-09-15 16:43:10|0|0|@ sunwingvacay  Here are the Hygiene Kits you packed this morning, loading onto our flight to Antigua! #HurricaneIrma pic.twitter.com/N8jWrYWOEv|@ sunwingvacay  Here are the Hygiene Kits you packed this morning, loading onto our flight to Antigua! #HurricaneIrma |false|908793337150308353|/globalmedicdmgf/status/908793337150308353||||
globalmedicdmgf|2017-09-16 12:31:52|46|113|GM is at @AirCanada  packing 1K Family Emergency Kits to provide 5K+ people w/ safe drinking water #HurricaneIrma  #AirCanadaFoundation pic.twitter.com/nclRFnBxpQ|GM is at @AirCanada  packing 1K Family Emergency Kits to provide 5K+ people w/ safe drinking water #HurricaneIrma  #AirCanadaFoundation |false|909092481383501826|/globalmedicdmgf/status/909092481383501826||||
globalmedicdmgf|2017-10-17 12:36:10|1|6|Thanks @WFP  for moving our #drone  team to #Dominica  to assist with #hurricane  relief pic.twitter.com/MM7EUOVxIC|Thanks @WFP  for moving our #drone  team to #Dominica  to assist with #hurricane  relief |false|920327587892690944|/globalmedicdmgf/status/920327587892690944||||
globalmedicdmgf|2017-09-13 10:01:33|3|6|Footage from the @aeryonlabs  SkyRanger taken while doing damage assessments in Grand Bay, St. Maarten http://ow.ly/bJ8J30f7BMq  |Footage from the @aeryonlabs  SkyRanger taken while doing damage assessments in Grand Bay, St. Maarten   |false|907967489245683712|/globalmedicdmgf/status/907967489245683712||||
globalmedicdmgf|2017-09-13 18:15:14|2|4|A quick look at the 3D models we are generating for recovery efforts in St. Maarten made w/ the support of @pix4d   http://ow.ly/JGj630f7DD6   pic.twitter.com/lHEHIDmfU0|A quick look at the 3D models we are generating for recovery efforts in St. Maarten made w/ the support of @pix4d      |false|908091727482900482|/globalmedicdmgf/status/908091727482900482||||
