username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
MayoClinic|2017-10-23 17:16:03|55|63|# HomeRemedies : How to stop a #nosebleed  in 4 steps.  http://mayocl.in/2gDdZOw   pic.twitter.com/IHBRJkLMv6|# HomeRemedies : How to stop a #nosebleed  in 4 steps.     |false|922572349123190784|/MayoClinic/status/922572349123190784||||
MayoClinic|2017-10-29 08:25:01|16|29|'Fitting in fitness: It''s important to plan ahead so other "to-do" items don''t push fitness off your radar.  http://mayocl.in/2yUNNFW   pic.twitter.com/MKJgNMRspH'|'Fitting in fitness: It''s important to plan ahead so other "to-do" items don''t push fitness off your radar.     '|false|924613040410169344|/MayoClinic/status/924613040410169344||||
MayoClinic|2017-09-11 14:36:39|47|62|When does a burn need medical attention? Dr. Henry Schiller replies in this #MayoClinicQandA .  http://mayocl.in/2w18EqY    #BurnCare pic.twitter.com/kp479jph0S|When does a burn need medical attention? Dr. Henry Schiller replies in this #MayoClinicQandA .      #BurnCare |false|907311943429623808|/MayoClinic/status/907311943429623808||||
MayoClinic|2017-10-05 10:30:00|13|17|Did you know as many as 1 in 100 women live with a #BleedingDisorder ? The most common is #vonWillebrand . Learn more. http://mayocl.in/2gbHpQG  |Did you know as many as 1 in 100 women live with a #BleedingDisorder ? The most common is #vonWillebrand . Learn more.   |false|915947182368411648|/MayoClinic/status/915947182368411648||||
MayoClinic|2017-09-08 16:34:46|17|38|'We cover the opioid epidemic in America with Dr. Michael Hooten on this weekend''s #MayoClinicRadio  program:  http://mayocl.in/2vTULus   pic.twitter.com/eKtKjFzlx5'|'We cover the opioid epidemic in America with Dr. Michael Hooten on this weekend''s #MayoClinicRadio  program:     '|false|906254508195553280|/MayoClinic/status/906254508195553280||||
MayoClinic|2017-10-10 14:15:01|4|6|Join us tomorrow at 9:50 a.m. CT for a Live Q&A with Dr. Maisha Robinson on #PalliativeCare . http://mayocl.in/2yqrHI4  |Join us tomorrow at 9:50 a.m. CT for a Live Q&A with Dr. Maisha Robinson on #PalliativeCare .   |false|917815747941937152|/MayoClinic/status/917815747941937152||||
MayoClinic|2017-10-26 11:23:03|31|32|'Don''t let the stigma of #mentalillness  stand in the way of getting treatment.  http://mayocl.in/2yCEU4h   pic.twitter.com/AD9RUrXga1'|'Don''t let the stigma of #mentalillness  stand in the way of getting treatment.     '|false|923570677038440450|/MayoClinic/status/923570677038440450||||
MayoClinic|2017-10-27 21:18:01|23|82|Care team goes above and beyond for #cancer  patient determined to see her daughter get married.  http://mayocl.in/2yEj1BH    #HospitalWedding pic.twitter.com/cTRxtC5Qgk|Care team goes above and beyond for #cancer  patient determined to see her daughter get married.      #HospitalWedding |false|924082794237751301|/MayoClinic/status/924082794237751301||||
MayoClinic|2017-10-15 21:22:01|5|11|The 10/14/17 #MayoClinicRadio  podcast is now available:  http://mayocl.in/2wTpKDi   . pic.twitter.com/bE5JLASOM3|The 10/14/17 #MayoClinicRadio  podcast is now available:     . |false|919735145049001984|/MayoClinic/status/919735145049001984||||
MayoClinic|2017-09-29 14:00:02|5|9|A lab tech credits her co-worker with saving her life after she began choking.  http://bit.ly/2yxoExu    via @KIMTNews3  #HeimlichManeuver|A lab tech credits her co-worker with saving her life after she began choking.      via @KIMTNews3  #HeimlichManeuver|false|913825711273791488|/MayoClinic/status/913825711273791488||||
MayoClinic|2017-10-17 08:15:00|36|28|Almost 4 out of 10 adults & 18.5% of kids aged 2-19 now meet clinical definition of #obesity .  http://bit.ly/2x0uRSs    via @HealthDayEditor|Almost 4 out of 10 adults & 18.5% of kids aged 2-19 now meet clinical definition of #obesity .      via @HealthDayEditor|false|920261865116258309|/MayoClinic/status/920261865116258309||||
MayoClinic|2017-09-06 19:42:00|85|84|# Melanoma , the most serious form of #skincancer , is often curable if you find it early.  http://mayocl.in/2gz6swj   pic.twitter.com/NsSLwrNC1Y|# Melanoma , the most serious form of #skincancer , is often curable if you find it early.     |false|905576851921408001|/MayoClinic/status/905576851921408001||||
