'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
ReachOutWW|2017-09-23 17:29:26|54|177|We're now working our way to Puerto Rico to face Hurricane Maria. Donate at  http://game4paul.com    to lend a helping hand pic.twitter.com/ZQTOgEONBx|We're now working our way to Puerto Rico to face Hurricane Maria. Donate at      to lend a helping hand |false|911704083400073216|/ReachOutWW/status/911704083400073216
ReachOutWW|2017-09-12 11:16:01|76|281|# ReachOutWorldWide  is excited to announce #Game4Paul3  with @Xbox . Donate today at  http://www. game4paul.com   https://youtu.be/2oTTRy0mMiI  |# ReachOutWorldWide  is excited to announce #Game4Paul3  with @Xbox . Donate today at   game4paul.com     |false|907623842746556418|/ReachOutWW/status/907623842746556418
ReachOutWW|2017-09-24 15:09:03|40|215|Meet Art, one of the #Houston  locals who has been helping out #TeamROWW 's efforts. Who says you can't work and have fun too? pic.twitter.com/eY1vk6BvSb|Meet Art, one of the #Houston  locals who has been helping out #TeamROWW 's efforts. Who says you can't work and have fun too? |false|912031139874840576|/ReachOutWW/status/912031139874840576
ReachOutWW|2017-09-29 16:07:00|98|357|We're happy to report that ROWW is deploying a team to aid friends and victims in Puerto Rico this weekend #TeamROWW pic.twitter.com/eLX5FFfhlg|We're happy to report that ROWW is deploying a team to aid friends and victims in Puerto Rico this weekend #TeamROWW |false|913857665561800704|/ReachOutWW/status/913857665561800704
ReachOutWW|2017-10-24 16:11:54|0|10|Thank you for your support!|Thank you for your support!|false|922918592399544320|/ReachOutWW/status/922918592399544320
ReachOutWW|2017-10-24 16:14:19|0|1|Thank you!|Thank you!|false|922919203572563969|/ReachOutWW/status/922919203572563969
ReachOutWW|2017-10-09 18:33:11|2|12|Great work, Rich! Thank you for leading our team in Puerto Rico.|Great work, Rich! Thank you for leading our team in Puerto Rico.|false|917518330180673542|/ReachOutWW/status/917518330180673542
ReachOutWW|2017-09-28 16:03:57|37|139|Thank you to the Pasadena Firefighters who joined #TeamROWW  in Florida to help with #HurricaneIrma  @PasadenaFD   @ca_rtf_4 pic.twitter.com/oT2nTc80Bj|Thank you to the Pasadena Firefighters who joined #TeamROWW  in Florida to help with #HurricaneIrma  @PasadenaFD   @ca_rtf_4 |false|913494510562242560|/ReachOutWW/status/913494510562242560
ReachOutWW|2017-10-02 15:30:28|69|273|We're happy to announce that #Game4Paul  met the $150,000 goal of money raised for #ROWW ! __NEWLINE____NEWLINE__Rewards still available:  http://game4paul.com   pic.twitter.com/u2gxZJt8QU|We're happy to announce that #Game4Paul  met the $150,000 goal of money raised for #ROWW ! __NEWLINE____NEWLINE__Rewards still available:     |false|914935635554689025|/ReachOutWW/status/914935635554689025
ReachOutWW|2017-09-30 12:23:00|70|199|Only day left till #Game4Paul ! The event raises money for ROWW's efforts in honor of @RealPaulWalker __NEWLINE____NEWLINE__Donate at  http://game4paul.com   pic.twitter.com/CoSL6b0myd|Only day left till #Game4Paul ! The event raises money for ROWW's efforts in honor of @RealPaulWalker __NEWLINE____NEWLINE__Donate at     |false|914163682002784258|/ReachOutWW/status/914163682002784258
ReachOutWW|2017-09-26 13:59:28|42|156|We're proud to have had Bennie Sims on #TeamROWW  performing search and rescue in Mexico City after the deadly earthquakes last week pic.twitter.com/ONY71ShJiQ|We're proud to have had Bennie Sims on #TeamROWW  performing search and rescue in Mexico City after the deadly earthquakes last week |false|912738406538534913|/ReachOutWW/status/912738406538534913
ReachOutWW|2017-09-08 17:32:53|57|234|# TeamROWW  is geared up and on standby ready to respond to #HurricaneIrma . Our thoughts are with those in the path. Be smart and be safe!|# TeamROWW  is geared up and on standby ready to respond to #HurricaneIrma . Our thoughts are with those in the path. Be smart and be safe!|false|906269132655439872|/ReachOutWW/status/906269132655439872
ReachOutWW|2017-09-12 20:59:03|4|19|Please write to us at responders@roww.org|Please write to us at responders@roww.org|false|907770567196950528|/ReachOutWW/status/907770567196950528
ReachOutWW|2017-10-24 16:16:34|0|1|Yes, at  http://shoproww.org   !|Yes, at     !|false|922919769497411585|/ReachOutWW/status/922919769497411585
ReachOutWW|2017-09-12 16:57:32|63|227|# TeamROWW  performing ongoing Search & Rescue and access clearing in Naples, FL after #HurricaneIrma . Learn more at  http://game4paul.com   pic.twitter.com/eGJjbjh4j1|# TeamROWW  performing ongoing Search & Rescue and access clearing in Naples, FL after #HurricaneIrma . Learn more at     |false|907709788196237312|/ReachOutWW/status/907709788196237312
ReachOutWW|2017-09-25 20:29:01|47|153|We're working hand-in-hand aiding victims of Hurricane Maria, Irma, and Harvey. head to  http://Game4paul.com    to learn how to help too pic.twitter.com/4Y0X49mZu8|We're working hand-in-hand aiding victims of Hurricane Maria, Irma, and Harvey. head to      to learn how to help too |false|912474049716072449|/ReachOutWW/status/912474049716072449
ReachOutWW|2017-09-12 19:53:33|4|26|We are grateful for their time and service. Thank you!|We are grateful for their time and service. Thank you!|false|907754083200622592|/ReachOutWW/status/907754083200622592
