'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
SalArmyEDS|2017-10-16 10:16:13|8|18|Full Story & Service Locations: #SalvationArmy  Feeding Assistance Continues after Northern California Wildfires  https://buff.ly/2yptHRT   pic.twitter.com/EcmwHq6Fk3|Full Story & Service Locations: #SalvationArmy  Feeding Assistance Continues after Northern California Wildfires     |false|919929982348156929|/SalArmyEDS/status/919929982348156929
SalArmyEDS|2017-09-09 16:58:01|64|80|THANK YOU! Gena & Chuck Norris Donate 4,000 Gallons of CForce Water to @SalvationArmyUS  #HurricaneHarvey  relief  https://buff.ly/2gQXZEW   pic.twitter.com/YeY4C1Woqe|THANK YOU! Gena & Chuck Norris Donate 4,000 Gallons of CForce Water to @SalvationArmyUS  #HurricaneHarvey  relief     |false|906622745320067073|/SalArmyEDS/status/906622745320067073
SalArmyEDS|2017-10-18 13:08:05|6|17|# SalvationArmy  welcomes, provides assistance to #HurricaneMaria  evacuees arriving at Orlando and Miami airports  https://buff.ly/2ywUGwu   pic.twitter.com/UwpW7FliH5|# SalvationArmy  welcomes, provides assistance to #HurricaneMaria  evacuees arriving at Orlando and Miami airports     |false|920698009322754049|/SalArmyEDS/status/920698009322754049
SalArmyEDS|2017-09-05 09:06:09|9|8|Help for Texas comes from all over; 5 #SalvationArmy  workers from San Diego & Imperial county deploy to Houston  https://buff.ly/2gBMRM4   pic.twitter.com/xdLigH7b7m|Help for Texas comes from all over; 5 #SalvationArmy  workers from San Diego & Imperial county deploy to Houston     |false|905054445922385920|/SalArmyEDS/status/905054445922385920
SalArmyEDS|2017-09-15 09:06:20|26|11|Best way to help after #Irma2017  is to donate money to a disaster charity. For #SalvationArmy  call 1-800-SAL-ARMY or  http://helpsalvationarmy.org   pic.twitter.com/aaHu7aTQz9|Best way to help after #Irma2017  is to donate money to a disaster charity. For #SalvationArmy  call 1-800-SAL-ARMY or     |false|908678371223195648|/SalArmyEDS/status/908678371223195648
SalArmyEDS|2017-09-15 12:02:39|8|3|We are responding to #Harvey2017 . We are responding to #Irma2017 . You can help. Give at 1-800-SAL-ARMY or  http://helpsalvationarmy.org   pic.twitter.com/wFdbiHw8IV|We are responding to #Harvey2017 . We are responding to #Irma2017 . You can help. Give at 1-800-SAL-ARMY or     |false|908722742224199687|/SalArmyEDS/status/908722742224199687
SalArmyEDS|2017-10-10 07:56:45|2|4|Grateful for your support of our ongoing relief efforts! https://twitter.com/joethomaswchv/ status/917713971356078081   …|Grateful for your support of our ongoing relief efforts!  status/917713971356078081   …|false|917720554219634688|/SalArmyEDS/status/917720554219634688
SalArmyEDS|2017-09-17 15:18:10|1|3|Oh ... that is REALLY cool! https://twitter.com/clmcgown/statu s/909494088751251456   …|Oh ... that is REALLY cool!  s/909494088751251456   …|false|909496718886146053|/SalArmyEDS/status/909496718886146053
SalArmyEDS|2017-09-29 16:58:02|11|13|FULL STORY: How The #SalvationArmy  Continues to Provide Assistance in Bayside Texas After #HurricaneHarvey   https://buff.ly/2xPEpCP   pic.twitter.com/0Fj78D5Y25|FULL STORY: How The #SalvationArmy  Continues to Provide Assistance in Bayside Texas After #HurricaneHarvey      |false|913870506432110592|/SalArmyEDS/status/913870506432110592
SalArmyEDS|2017-09-12 09:10:36|1|4|Proud to serve! https://twitter.com/dkftampa/statu s/907590326344470529   …|Proud to serve!  s/907590326344470529   …|false|907592280634257408|/SalArmyEDS/status/907592280634257408
SalArmyEDS|2017-09-14 15:39:03|1|1|We all do ... go away hurricanes! https://twitter.com/julibear5466/s tatus/908412248284155905   …|We all do ... go away hurricanes!  tatus/908412248284155905   …|false|908414812060872709|/SalArmyEDS/status/908414812060872709
SalArmyEDS|2017-10-13 09:06:02|1|4|October 28 in Seaside Park, NJ -- break a world record & help #SalvationArmy  hurricane relief -- be a 'sandy angel'  https://buff.ly/2kJPLnb   pic.twitter.com/MK59r8FnjS|October 28 in Seaside Park, NJ -- break a world record & help #SalvationArmy  hurricane relief -- be a 'sandy angel'     |false|918825154884653056|/SalArmyEDS/status/918825154884653056
SalArmyEDS|2017-09-28 12:02:16|54|61|HUGE THANK YOU TO COCA-COLA! Supporting @SalvationArmyUS  hurricane relief  in Puerto Rico, Latin America & Caribbean https://buff.ly/2fCnRaN  |HUGE THANK YOU TO COCA-COLA! Supporting @SalvationArmyUS  hurricane relief  in Puerto Rico, Latin America & Caribbean   |false|913433689404698625|/SalArmyEDS/status/913433689404698625
SalArmyEDS|2017-09-12 20:33:23|45|80|Thanks @ZZTop  and @SmartLiveTX  for donating $100K to #TheSalvationArmy  for #HurricaneHarvey  relief! #doingthemostgood pic.twitter.com/OLhHRNE78u|Thanks @ZZTop  and @SmartLiveTX  for donating $100K to #TheSalvationArmy  for #HurricaneHarvey  relief! #doingthemostgood |false|907764106958163968|/SalArmyEDS/status/907764106958163968
SalArmyEDS|2017-10-06 15:13:51|11|7|# SalvationArmy  Providing Bilingual Assistance for #HurricaneIrma  Survivors, Helping People Register for FEMA Aid  https://buff.ly/2y5kdN8   pic.twitter.com/YJrezc5wcE|# SalvationArmy  Providing Bilingual Assistance for #HurricaneIrma  Survivors, Helping People Register for FEMA Aid     |false|916381003215704064|/SalArmyEDS/status/916381003215704064
SalArmyEDS|2017-09-11 17:47:20|4|5|You should be able to use this link, just be sure write 'Irma -Caribbean' in the specific use field --  https://secure20.salvationarmy.org/donation.jsp   https://twitter.com/bigtoneuk/stat us/907346493765545984   …|You should be able to use this link, just be sure write 'Irma -Caribbean' in the specific use field --      us/907346493765545984   …|false|907359932684566528|/SalArmyEDS/status/907359932684566528
SalArmyEDS|2017-09-19 13:03:36|0|2|Doing our best! https://twitter.com/julibear5466/s tatus/910129676177362944   …|Doing our best!  tatus/910129676177362944   …|false|910187632818360320|/SalArmyEDS/status/910187632818360320
SalArmyEDS|2017-09-03 11:02:27|17|12|An update on @SalvationArmyUS  #HurricaneHarvey  relief efforts.  http://ow.ly/Bedd30eSrzi   pic.twitter.com/pum0laNRST|An update on @SalvationArmyUS  #HurricaneHarvey  relief efforts.     |false|904358939336245249|/SalArmyEDS/status/904358939336245249
SalArmyEDS|2017-09-14 16:58:12|2|1|"We know folks are hurting; that’s why we have these crews in town." #SalvationArmy  feeding in Highlands County, FL  https://buff.ly/2x4nsnn   pic.twitter.com/nlaVQ1Oomd|"We know folks are hurting; that’s why we have these crews in town." #SalvationArmy  feeding in Highlands County, FL     |false|908434731007651845|/SalArmyEDS/status/908434731007651845
SalArmyEDS|2017-10-03 17:11:44|2|10|This could be the best tweet we've ever received ... thank you Christina ... honored to have been able to help! https://twitter.com/c_bonsell/stat us/915315987091787776   …|This could be the best tweet we've ever received ... thank you Christina ... honored to have been able to help!  us/915315987091787776   …|false|915323507969597440|/SalArmyEDS/status/915323507969597440
