username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
SamaritansPurse|2017-09-11 14:36:19|1|2|We appreciate your faithful support of our ministry. God bless!|We appreciate your faithful support of our ministry. God bless!|false|907311861086945280|/SamaritansPurse/status/907311861086945280||||
SamaritansPurse|2017-10-25 16:30:17|27|80|See how a doctor serving w/World Medical Mission shares the love of God w/a woman made to feel invisible by society. http://sampur.se/2yKKGkh  |See how a doctor serving w/World Medical Mission shares the love of God w/a woman made to feel invisible by society.   |false|923285607903911937|/SamaritansPurse/status/923285607903911937||||
SamaritansPurse|2017-09-17 13:40:07|35|116|Our team is hard at work removing debris & down trees in Naples, #Florida . Sign up to #volunteer  here.  http://sampur.se/2wv6VFR   pic.twitter.com/s08GsHyTwC|Our team is hard at work removing debris & down trees in Naples, #Florida . Sign up to #volunteer  here.     |false|909472044911415303|/SamaritansPurse/status/909472044911415303||||
SamaritansPurse|2017-09-29 16:36:50|1|14|Thank you for generously donating to support our teams bringing relief to hurricane victims. God bless.|Thank you for generously donating to support our teams bringing relief to hurricane victims. God bless.|false|913865172162433024|/SamaritansPurse/status/913865172162433024||||
SamaritansPurse|2017-10-23 21:00:23|25|68|You can #givehope  & provide a child w/hot meals for an entire week for just $7! Learn more here:  http://sampur.se/2h4b0fk   pic.twitter.com/QyrYucKwpa|You can #givehope  & provide a child w/hot meals for an entire week for just $7! Learn more here:     |false|922628804354461696|/SamaritansPurse/status/922628804354461696||||
SamaritansPurse|2017-09-06 16:09:21|0|0|You can donate to support our teams in Texas here:  http://sampur.se/2wJjJdk    God bless!|You can donate to support our teams in Texas here:      God bless!|false|905523335823593472|/SamaritansPurse/status/905523335823593472|TX|31.8160381|-99.5120986|464.57546726754583
SamaritansPurse|2017-10-02 16:35:07|73|205|Local residents praise the Lord for His blessings before afternoon distributions in #PuertoRico  begin.  http://sampur.se/2fECkzo   pic.twitter.com/fOMoMugHJE|Local residents praise the Lord for His blessings before afternoon distributions in #PuertoRico  begin.     |false|914951902038777856|/SamaritansPurse/status/914951902038777856||||
SamaritansPurse|2017-09-07 15:05:11|0|5|Thank you for your donation! You can mail a check to PO BOX 3000 Boone, NC 28607. God bless.|Thank you for your donation! You can mail a check to PO BOX 3000 Boone, NC 28607. God bless.|false|905869576684138497|/SamaritansPurse/status/905869576684138497|Boone, NC 28607|36.216795|-81.6745517|
SamaritansPurse|2017-10-04 14:25:05|32|111|Volunteers at @OCC_shoeboxes  processing centers ensure each shoebox is full w/items to help a child feel loved.  http://sampur.se/2wxTXYI   pic.twitter.com/RPR4YWEcTi|Volunteers at @OCC_shoeboxes  processing centers ensure each shoebox is full w/items to help a child feel loved.     |false|915643953784905728|/SamaritansPurse/status/915643953784905728||||
SamaritansPurse|2017-09-06 09:48:47|4|14|Thank you for generously supporting our teams bringing relief to families in need after #HurricaneHarvey . God bless.|Thank you for generously supporting our teams bringing relief to families in need after #HurricaneHarvey . God bless.|false|905427564176474114|/SamaritansPurse/status/905427564176474114||||
