username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
SavetheChildren|2017-09-25 14:52:10|4|13|.@gabrielahearst  @NETAPORTER  @Bergdorfs  Raise Awareness for the Hunger Crisis & Impending Famine in Kenya: http://ow.ly/EuZu30fpI6t  |.@gabrielahearst  @NETAPORTER  @Bergdorfs  Raise Awareness for the Hunger Crisis & Impending Famine in Kenya:   |false|912389281485918215|/SavetheChildren/status/912389281485918215||||
SavetheChildren|2017-09-20 12:01:45|12|24|Donate using #ApplePay  and help us provide kids in the U.S and around the opportunity to learn and thrive. pic.twitter.com/XcL2N61eIB|Donate using #ApplePay  and help us provide kids in the U.S and around the opportunity to learn and thrive. |false|910534452488605696|/SavetheChildren/status/910534452488605696||||
SavetheChildren|2017-10-18 09:01:29|3|5|@ StateDept  Thanks DepSec Sullivan for meeting w/ @IamAhmedmaryam  & @carolynsave  on the importance of empowering girls! #DayoftheGirl pic.twitter.com/p3UyxLT5qG|@ StateDept  Thanks DepSec Sullivan for meeting w/ @IamAhmedmaryam  & @carolynsave  on the importance of empowering girls! #DayoftheGirl |false|920635950945927168|/SavetheChildren/status/920635950945927168||||
SavetheChildren|2017-09-11 12:02:03|21|63|How You Can Help #Irma  Victims  http://ow.ly/ugyb30f4j2A     @weatherchannel|How You Can Help #Irma  Victims       @weatherchannel|false|907273040878333952|/SavetheChildren/status/907273040878333952||||
SavetheChildren|2017-11-01 12:05:20|47|75|'As the #Rohingya  crisis continues, we''re providing support on the ground to the region & to the people most in need: http://ow.ly/EjGG30ghmaj  '|'As the #Rohingya  crisis continues, we''re providing support on the ground to the region & to the people most in need:   '|false|925755647483924483|/SavetheChildren/status/925755647483924483||||
SavetheChildren|2017-09-29 19:00:33|21|38|Mom & daughter hug in the calm corner, a space for kids in our #Hearts4Kids  programs to unwind. You can support here  http://bit.ly/Hearts4Kids   pic.twitter.com/q9vlpxhkCc|Mom & daughter hug in the calm corner, a space for kids in our #Hearts4Kids  programs to unwind. You can support here     |false|913901338106454016|/SavetheChildren/status/913901338106454016||||
SavetheChildren|2017-10-18 11:20:03|12|51|'Your support as a #Partner4Children  helps us provide lifesaving aid to refugee kids like Amena who''ve made treacherous journeys to safety. pic.twitter.com/f9Pwb6A3yy'|'Your support as a #Partner4Children  helps us provide lifesaving aid to refugee kids like Amena who''ve made treacherous journeys to safety. '|false|920670818690125824|/SavetheChildren/status/920670818690125824||||
SavetheChildren|2017-09-03 20:00:16|27|72|'We''re in Texas setting up Child Friendly Spaces in evacuation shelters to help kids & families affected by #HurricaneHarvey . Please donate. pic.twitter.com/XVLwmfAWho'|'We''re in Texas setting up Child Friendly Spaces in evacuation shelters to help kids & families affected by #HurricaneHarvey . Please donate. '|false|904494283583041537|/SavetheChildren/status/904494283583041537||||
SavetheChildren|2017-10-29 14:00:21|19|37|Learn how you can change a child’s life through the power of a letter:  http://ow.ly/wblu30g6lAI    #WhyISponsor pic.twitter.com/i78CkeSKix|Learn how you can change a child’s life through the power of a letter:      #WhyISponsor |false|924697427734560768|/SavetheChildren/status/924697427734560768||||
SavetheChildren|2017-09-13 15:00:24|16|36|'We provide a helping hand to #hurricaneharvey ''s littlest survivors. Your support gives relief to families in need.  http://ow.ly/1rUN30f8euj   pic.twitter.com/NZvx7FoCOP'|'We provide a helping hand to #hurricaneharvey ''s littlest survivors. Your support gives relief to families in need.     '|false|908042699567222785|/SavetheChildren/status/908042699567222785||||
