'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
MiamiFoundation|2017-10-20 11:01:02|0|4|Thanks to the thousands of Miamians who shared their stories with us. See more photos of #MyMiamiStory  on Facebook:  https://www. facebook.com/pg/themiamifou ndation/photos/?tab=album&album_id=1847116168649341   … pic.twitter.com/vipSD3U0hE|Thanks to the thousands of Miamians who shared their stories with us. See more photos of #MyMiamiStory  on Facebook:   facebook.com/pg/themiamifou ndation/photos/?tab=album&album_id=1847116168649341   … |false|921390809618046977|/MiamiFoundation/status/921390809618046977
MiamiFoundation|2017-10-17 20:37:19|4|13|Join a board. Volunteer. Let's hold each other accountable to build a greater #Miami  - @IamVinfinite #MyMiamiStory pic.twitter.com/GSbVhAA8Nl|Join a board. Volunteer. Let's hold each other accountable to build a greater #Miami  - @IamVinfinite #MyMiamiStory |false|920448674597163009|/MiamiFoundation/status/920448674597163009
MiamiFoundation|2017-10-07 11:31:00|1|3|What’s your Miami story? Connect, collaborate, commit to change:  http://MyMiamiStory.org    #MyMiamiStory pic.twitter.com/NJHl8A2TqM|What’s your Miami story? Connect, collaborate, commit to change:      #MyMiamiStory |false|916687311546458113|/MiamiFoundation/status/916687311546458113
MiamiFoundation|2017-09-09 05:27:23|0|1|Thank you, @ibarguen .|Thank you, @ibarguen .|false|906448940366778368|/MiamiFoundation/status/906448940366778368
MiamiFoundation|2017-10-13 13:43:00|0|3|Thanks to @bnymellonwealth  stepping up to support the #GiveMiamiDay  Bonus Pool. @jafernan11|Thanks to @bnymellonwealth  stepping up to support the #GiveMiamiDay  Bonus Pool. @jafernan11|false|918894857510297601|/MiamiFoundation/status/918894857510297601
MiamiFoundation|2017-09-28 16:02:00|0|0|9.30: "Unity in the Community" family-friendly event with @ccfc, @catalystmiami , @mexamcouncil .__NEWLINE__ https://www. facebook.com/events/1816077 595349570   … pic.twitter.com/gCCGLguzCP|9.30: "Unity in the Community" family-friendly event with @ccfc, @catalystmiami , @mexamcouncil .__NEWLINE__  facebook.com/events/1816077 595349570   … |false|913494019258413056|/MiamiFoundation/status/913494019258413056
MiamiFoundation|2017-10-12 14:58:00|2|2|How can we build a more resilient #Miami  post #Irma ? Sharing our stories is a start. Join in #MyMiamiStory :  http://MyMiamiStory.org   pic.twitter.com/vddLim1cv2|How can we build a more resilient #Miami  post #Irma ? Sharing our stories is a start. Join in #MyMiamiStory :     |false|918551342112632833|/MiamiFoundation/status/918551342112632833
MiamiFoundation|2017-09-15 11:12:01|6|6|.@nwsymphony 's concert on Sat. will benefit #HurricaneIrma  relief efforts. Join in:  http://nwsym.ph/2ybAUEJ   https://twitter.com/nwsymphony/sta tus/908673424138080257   …|.@nwsymphony 's concert on Sat. will benefit #HurricaneIrma  relief efforts. Join in:      tus/908673424138080257   …|false|908709997751750657|/MiamiFoundation/status/908709997751750657
MiamiFoundation|2017-09-29 08:46:24|7|20|With #climatechange , fearmongering doesn't get people engaged. Have to talk about opportunities, solutions - @Matthew_Beatty  #ComNet17 pic.twitter.com/AewzbPFYiK|With #climatechange , fearmongering doesn't get people engaged. Have to talk about opportunities, solutions - @Matthew_Beatty  #ComNet17 |false|913746782131277824|/MiamiFoundation/status/913746782131277824
MiamiFoundation|2017-09-09 15:34:00|14|11|# HurricaneIrma2017  relief organizations you can support:  http://miamifoundation.org/irmarelief    @UnitedWayMiami  @VolunteerFla  @FeedingSFL pic.twitter.com/RFyaFBwQXp|# HurricaneIrma2017  relief organizations you can support:      @UnitedWayMiami  @VolunteerFla  @FeedingSFL |false|906601603657900032|/MiamiFoundation/status/906601603657900032
