username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
UnitedWay|2017-10-13 10:00:25|3|14|Mentoring may take practice, but it matters. Join us in celebrating #mentors  and #AmGrad  Day with @PBS  tomorrow.  http://unitedway.co/2g0gMxg   pic.twitter.com/jmZP17KZ0A|Mentoring may take practice, but it matters. Join us in celebrating #mentors  and #AmGrad  Day with @PBS  tomorrow.     |false|918838842559533056|/UnitedWay/status/918838842559533056||||
UnitedWay|2017-09-04 10:00:00|6|7|Cultivating our youth can boost the workforce and provide critical job skills to fill a growing void. http://unitedway.co/2vDGrl1  |Cultivating our youth can boost the workforce and provide critical job skills to fill a growing void.   |false|904705610041757696|/UnitedWay/status/904705610041757696||||
UnitedWay|2017-09-10 18:45:20|31|25|2-1-1 can connect you to information on shelter, food, and how to access disaster programs. Text "Irma" to 898-211. #HurricaneIrma pic.twitter.com/uSPCqqIvIM|2-1-1 can connect you to information on shelter, food, and how to access disaster programs. Text "Irma" to 898-211. #HurricaneIrma |false|907012139109535744|/UnitedWay/status/907012139109535744||||
UnitedWay|2017-09-24 17:57:07|18|26|'That''s right. #LIVEUNITED https://twitter.com/NFL/status/911 972323263172608   …'|'That''s right. #LIVEUNITED  972323263172608   …'|false|912073436041744385|/UnitedWay/status/912073436041744385||||
UnitedWay|2017-10-19 14:00:00|5|18|"Connecting with smart, passionate and powerful women enriches my perspective," says #WomenUnited  leader Maria Blet http://unitedway.co/2zyoo2L  |"Connecting with smart, passionate and powerful women enriches my perspective," says #WomenUnited  leader Maria Blet   |false|921073462722121731|/UnitedWay/status/921073462722121731||||
UnitedWay|2017-09-12 17:00:59|15|15|Communities small and large need help rebuilding. You can give to the greatest need. Learn more:  http://unitedway.co/2gVGwee   pic.twitter.com/OLLpWUxuau|Communities small and large need help rebuilding. You can give to the greatest need. Learn more:     |false|907710657252007937|/UnitedWay/status/907710657252007937||||
UnitedWay|2017-10-26 07:00:00|3|10|We fight for the health of every person in every community, including the 1/8 women impacted by this disease. http://unitedway.co/2h42CMH  |We fight for the health of every person in every community, including the 1/8 women impacted by this disease.   |false|923504481161109506|/UnitedWay/status/923504481161109506||||
UnitedWay|2017-09-07 12:00:00|23|27|Storms like #Harvey  or #Irma  can be confusing and frightening for little people. Great advice from @GirlScouts . http://unitedway.co/2wJvKzp  |Storms like #Harvey  or #Irma  can be confusing and frightening for little people. Great advice from @GirlScouts .   |false|905822972841254912|/UnitedWay/status/905822972841254912||||
UnitedWay|2017-10-23 11:30:38|5|20|With @NFL  we’ve helped more than 80K middle schoolers develop healthier relationships.  http://unitedway.co/2xQjfku   pic.twitter.com/02u5ZkGtdy|With @NFL  we’ve helped more than 80K middle schoolers develop healthier relationships.     |false|922485423271759872|/UnitedWay/status/922485423271759872||||
UnitedWay|2017-10-11 07:00:00|10|18|Domestic abuse is often unreported, frequently due to a victim’s fear or not knowing where to turn. We can help. http://unitedway.co/2xvUdMk  |Domestic abuse is often unreported, frequently due to a victim’s fear or not knowing where to turn. We can help.   |false|918068662845759488|/UnitedWay/status/918068662845759488||||
UnitedWay|2017-09-11 08:00:00|39|63|Today is National Day of Service and Remembrance. Let’s make it a day to embrace and strengthen community. http://unitedway.co/2xn4utA  |Today is National Day of Service and Remembrance. Let’s make it a day to embrace and strengthen community.   |false|907212126577676288|/UnitedWay/status/907212126577676288||||
UnitedWay|2017-10-15 08:00:00|1|9|Sometimes a backpack is more than just a backpack. http://unitedway.co/2yiY3qP  |Sometimes a backpack is more than just a backpack.   |false|919533313966080002|/UnitedWay/status/919533313966080002||||
UnitedWay|2017-10-09 08:40:10|52|35|2-1-1 is a free and confidential service that could save a life.  http://unitedway.co/2xstpML    #DomesticViolenceAwarenessMonth|2-1-1 is a free and confidential service that could save a life.      #DomesticViolenceAwarenessMonth|false|917369095569461248|/UnitedWay/status/917369095569461248||||
