username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
WomensFundMiami|2017-10-25 16:30:35|0|0|# MeToo  Reaches Illinois Capitol As Open Letter Details Misogyny In Springfield https://buff.ly/2lg1x91  |# MeToo  Reaches Illinois Capitol As Open Letter Details Misogyny In Springfield   |false|923285682700906498|/WomensFundMiami/status/923285682700906498||||
WomensFundMiami|2017-10-21 10:28:06|0|2|Support the fight for #equalpay  by supporting @WomensFundMiami  on #GiveMiamiDay  Nov 16! pic.twitter.com/KbkLLggaxG|Support the fight for #equalpay  by supporting @WomensFundMiami  on #GiveMiamiDay  Nov 16! |false|921744909769629696|/WomensFundMiami/status/921744909769629696||||
WomensFundMiami|2017-09-25 12:08:16|2|1|Study Finds Women See Female Lawmakers As More Competent, Having More Integrity https://buff.ly/2hoKHU2  |Study Finds Women See Female Lawmakers As More Competent, Having More Integrity   |false|912348032158568448|/WomensFundMiami/status/912348032158568448||||
WomensFundMiami|2017-10-05 12:08:10|2|3|Check out our series of 5 workshops for #nonprofit  leaders launching Nov.1! Learn more and register:  https://buff.ly/2y3mLvQ   pic.twitter.com/hK5L0SrFhY|Check out our series of 5 workshops for #nonprofit  leaders launching Nov.1! Learn more and register:     |false|915971885380272128|/WomensFundMiami/status/915971885380272128||||
WomensFundMiami|2017-10-03 12:08:04|0|0|New Study: 61% Of Women And 46% Of Men Think Kids Should Be Raised Without Gender Stereotypes  https://buff.ly/2xdFksX   pic.twitter.com/7Dlxp1DPl3|New Study: 61% Of Women And 46% Of Men Think Kids Should Be Raised Without Gender Stereotypes     |false|915247087591329792|/WomensFundMiami/status/915247087591329792||||
WomensFundMiami|2017-10-18 08:44:00|0|0|Why we need diversity among Boards of Directors  https://buff.ly/2gNUDTT    #gendergap|Why we need diversity among Boards of Directors      #gendergap|false|920631549225299969|/WomensFundMiami/status/920631549225299969||||
WomensFundMiami|2017-10-02 16:30:47|0|1|The gender #wagegap  just shrank for the first time in a decade https://buff.ly/2xTqKdF  |The gender #wagegap  just shrank for the first time in a decade   |false|914950811322585088|/WomensFundMiami/status/914950811322585088||||
WomensFundMiami|2017-10-13 15:15:30|1|1|Watch @pinecrestfl  manager Yocelyn Galiano talk about how they passed an #EqualPay  resolution   http://buff.ly/2kNobVZ  |Watch @pinecrestfl  manager Yocelyn Galiano talk about how they passed an #EqualPay  resolution     |false|918918132592455681|/WomensFundMiami/status/918918132592455681||||
WomensFundMiami|2017-10-03 09:26:01|0|0|'Join us Oct 12 for @CREW_Miami_FL  signature annual event benefitting The Women''s Fund Miami. Register here    https://buff.ly/2xdr7MF   pic.twitter.com/HjNlnVE6km'|'Join us Oct 12 for @CREW_Miami_FL  signature annual event benefitting The Women''s Fund Miami. Register here       '|false|915206306256039936|/WomensFundMiami/status/915206306256039936||||
WomensFundMiami|2017-10-26 12:08:07|1|2|'9 Essential Women''s Rights Protections You Could Lose By The End Of 2017 https://buff.ly/2gKbVoh  '|'9 Essential Women''s Rights Protections You Could Lose By The End Of 2017   '|false|923582018759380992|/WomensFundMiami/status/923582018759380992||||
WomensFundMiami|2017-10-11 08:44:07|1|1|Join us TOMORROW at St. John Boutique in @AventuraMall  Oct. 12! Proceeds from the event will benefit #womensfundmiami pic.twitter.com/G5hnOcbuxB|Join us TOMORROW at St. John Boutique in @AventuraMall  Oct. 12! Proceeds from the event will benefit #womensfundmiami |false|918094863719194624|/WomensFundMiami/status/918094863719194624||||
WomensFundMiami|2017-09-28 10:22:52|0|1|8 Ways Women Can Overcome Compensation Gaps https://www. linkedin.com/pulse/eight-wa ys-women-can-overcome-compensation-gaps-diane-butler   …|8 Ways Women Can Overcome Compensation Gaps  linkedin.com/pulse/eight-wa ys-women-can-overcome-compensation-gaps-diane-butler   …|false|913408672486879232|/WomensFundMiami/status/913408672486879232||||
WomensFundMiami|2017-10-25 21:18:01|1|1|'Equal pay laws could be scrapped after Brexit, women''s rights groups warn — The Independent https://buff.ly/2gJ9zWm  '|'Equal pay laws could be scrapped after Brexit, women''s rights groups warn — The Independent   '|false|923358019655798784|/WomensFundMiami/status/923358019655798784||||
