'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
MoveTheWorldUS|2017-09-29 15:20:37|11|13|After flooding in #India  and #Nepal , animals were in dire need, but we were there to help. Read more:  http://ow.ly/KafK30eJkSR     pic.twitter.com/WaTYt8v22o|After flooding in #India  and #Nepal , animals were in dire need, but we were there to help. Read more:       |false|913845991148855296|/MoveTheWorldUS/status/913845991148855296
MoveTheWorldUS|2017-09-22 10:59:03|0|0|Thank you for your kind support, Andrea. Please consider following us here for updates. |Thank you for your kind support, Andrea. Please consider following us here for updates. |false|911243452637224960|/MoveTheWorldUS/status/911243452637224960
MoveTheWorldUS|2017-10-05 11:12:45|0|0|Ruth! Thank you for taking action. Please consider following us here for updates on this campaign and others. |Ruth! Thank you for taking action. Please consider following us here for updates on this campaign and others. |false|915957941794148352|/MoveTheWorldUS/status/915957941794148352
MoveTheWorldUS|2017-10-13 11:14:07|19|11|# Sloths  belong in trees, not in people's arms. Sign the #Wildlife  Selfie Code today:  http://ow.ly/XLtu30fRaSU     pic.twitter.com/Xo8zWipvf5|# Sloths  belong in trees, not in people's arms. Sign the #Wildlife  Selfie Code today:       |false|918857387649503233|/MoveTheWorldUS/status/918857387649503233
MoveTheWorldUS|2017-09-12 16:24:21|20|12|“An abandoned island full of #animals  roaming on their own. Help is on the way.”__NEWLINE__ http://ow.ly/OlSx30f6AJL   pic.twitter.com/nsWBIqjerZ|“An abandoned island full of #animals  roaming on their own. Help is on the way.”__NEWLINE__    |false|907701438473756672|/MoveTheWorldUS/status/907701438473756672
MoveTheWorldUS|2017-10-01 14:25:07|9|5|# WildAnimals  belong in the wild and should not prop up this sordid industry.__NEWLINE__ http://ow.ly/VlwA30dNirL    via @nytimes pic.twitter.com/ATUYf9mqGk|# WildAnimals  belong in the wild and should not prop up this sordid industry.__NEWLINE__     via @nytimes |false|914556800392990720|/MoveTheWorldUS/status/914556800392990720
MoveTheWorldUS|2017-10-31 11:18:33|0|0|Thanks for taking action and sharing, Patty! Please consider following us here for updates on this campaign and others. |Thanks for taking action and sharing, Patty! Please consider following us here for updates on this campaign and others. |false|925381485477154817|/MoveTheWorldUS/status/925381485477154817
MoveTheWorldUS|2017-10-17 18:50:09|3|2|On @instagram , we're sharing stories and photos of our work to protect #animals  worldwide. Join us there today:  http://ow.ly/caNn30fWPOx   pic.twitter.com/W81ktf4uRs|On @instagram , we're sharing stories and photos of our work to protect #animals  worldwide. Join us there today:     |false|920421704807141376|/MoveTheWorldUS/status/920421704807141376
MoveTheWorldUS|2017-10-03 15:46:05|1|1|Ruth, thank you so much for your kind support. Please consider following us here for updates on our work. |Ruth, thank you so much for your kind support. Please consider following us here for updates on our work. |false|915301952921178113|/MoveTheWorldUS/status/915301952921178113
MoveTheWorldUS|2017-10-01 15:15:10|31|31|Three Chinese #travel  companies join the movement to end #elephant  rides and shows:  http://ow.ly/uHbI30fwXsl     pic.twitter.com/ZaA3wEDNPN|Three Chinese #travel  companies join the movement to end #elephant  rides and shows:       |false|914569394948395008|/MoveTheWorldUS/status/914569394948395008
MoveTheWorldUS|2017-10-05 17:18:18|0|0|Susan! Thanks so much for taking action and for sharing. We appreciate it. Please consider following us here for updates. |Susan! Thanks so much for taking action and for sharing. We appreciate it. Please consider following us here for updates. |false|916049934117429248|/MoveTheWorldUS/status/916049934117429248
MoveTheWorldUS|2017-09-13 11:51:28|5|4|# HurricaneIrma  update: We've arrived in #Antigua  and we are ready to get out there and start helping #animals .  http://ow.ly/MziD30f7UZF   pic.twitter.com/HAvbmGUdim|# HurricaneIrma  update: We've arrived in #Antigua  and we are ready to get out there and start helping #animals .     |false|907995149690695680|/MoveTheWorldUS/status/907995149690695680
MoveTheWorldUS|2017-09-20 15:39:22|20|25|Our disaster teams are in the Caribbean working to feed, rescue, and care for desperate animals affected by #HurricaneIrma    pic.twitter.com/TXeylTJbCE|Our disaster teams are in the Caribbean working to feed, rescue, and care for desperate animals affected by #HurricaneIrma    |false|910589219000737792|/MoveTheWorldUS/status/910589219000737792
MoveTheWorldUS|2017-09-23 09:15:15|6|1|With preparation, you can lessen your stress & be ready to get you and your #pets  to safety during disasters:  http://ow.ly/pDPT30fmyCB   pic.twitter.com/IHCqG7aJdQ|With preparation, you can lessen your stress & be ready to get you and your #pets  to safety during disasters:     |false|911579715051376640|/MoveTheWorldUS/status/911579715051376640
MoveTheWorldUS|2017-10-18 14:38:31|2|1|Head over to  https://www. facebook.com/WorldAnimalPro tectionCanada/   …  at 6:30pm ET for the @Facebook  live event! https://twitter.com/MoveTheWorldCA /status/920327199810519040   …|Head over to   facebook.com/WorldAnimalPro tectionCanada/   …  at 6:30pm ET for the @Facebook  live event!  /status/920327199810519040   …|false|920720767792418820|/MoveTheWorldUS/status/920720767792418820
MoveTheWorldUS|2017-09-28 13:19:08|0|0|Thanks for sharing this story. We appreciate it! Please consider following us here for updates on all of our campaigns. |Thanks for sharing this story. We appreciate it! Please consider following us here for updates on all of our campaigns. |false|913453033115275264|/MoveTheWorldUS/status/913453033115275264
MoveTheWorldUS|2017-10-05 15:46:30|0|1|Thanks so much for taking action and for sharing Kristen! |Thanks so much for taking action and for sharing Kristen! |false|916026834252206080|/MoveTheWorldUS/status/916026834252206080
