'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WFPUSA|2017-10-10 10:23:09|0|2|"When it comes to a hungry child, Democrats and Republicans put aside their differences." –@WFPChief  #ZeroHunger http://bit.ly/2gsSfSa  |"When it comes to a hungry child, Democrats and Republicans put aside their differences." –@WFPChief  #ZeroHunger   |false|917757398118535168|/WFPUSA/status/917757398118535168
WFPUSA|2017-10-27 12:53:59|0|1|"The U.S. must continue to lead the global response to these global crises."  —@WFPUSA 's Rick Leach via @WashDC100 http://bit.ly/2gIim7w  |"The U.S. must continue to lead the global response to these global crises."  —@WFPUSA 's Rick Leach via @WashDC100   |false|923955949932548096|/WFPUSA/status/923955949932548096
WFPUSA|2017-09-11 21:32:01|0|1|"It's comforting to know that you've been with hundreds of people in one the most difficult times of their lives." http://bit.ly/2xPZb2a  |"It's comforting to know that you've been with hundreds of people in one the most difficult times of their lives."   |false|907416475778109441|/WFPUSA/status/907416475778109441
WFPUSA|2017-10-26 11:13:34|1|2|Going trick-or-treating this week? Let's demystify these spooky numbers and feed those most in need this #Halloween :  http://bit.ly/2i5tCez   pic.twitter.com/2yYq75wilX|Going trick-or-treating this week? Let's demystify these spooky numbers and feed those most in need this #Halloween :     |false|923568291293122561|/WFPUSA/status/923568291293122561
WFPUSA|2017-10-04 19:00:22|1|8|"When it comes to a hungry child, #Republicans  and #Democrats  put their differences aside." -@WFPChief  David Beasley|"When it comes to a hungry child, #Republicans  and #Democrats  put their differences aside." -@WFPChief  David Beasley|false|915713230818955264|/WFPUSA/status/915713230818955264
WFPUSA|2017-09-15 18:37:01|0|0|Despite the easing of #famine  conditions in #SouthSudan  - more aid is needed to dissipate the crisis completely.  http://bit.ly/2x1Ix2O  |Despite the easing of #famine  conditions in #SouthSudan  - more aid is needed to dissipate the crisis completely.    |false|908821987723759616|/WFPUSA/status/908821987723759616
WFPUSA|2017-10-23 16:55:47|0|0|Children & pregnant women are severely malnourished—health consequences will be tragic if not urgently dealt with. http://bit.ly/2zKIWF9  |Children & pregnant women are severely malnourished—health consequences will be tragic if not urgently dealt with.   |false|922567250682429440|/WFPUSA/status/922567250682429440
WFPUSA|2017-09-06 22:21:01|1|1|.@WFP  is collaborating with the government of #ElSalvador  to deliver an offline #app  tackling malnutrition.  http://bit.ly/2eI2STH  |.@WFP  is collaborating with the government of #ElSalvador  to deliver an offline #app  tackling malnutrition.    |false|905616869184479233|/WFPUSA/status/905616869184479233
WFPUSA|2017-09-04 13:11:14|3|2|Ahead of disasters like #HurricaneIrma , @WFP  pre-positions emergency food to reach families faster—Show your support  http://bit.ly/2eLZO5F  |Ahead of disasters like #HurricaneIrma , @WFP  pre-positions emergency food to reach families faster—Show your support    |false|904753735003492353|/WFPUSA/status/904753735003492353
WFPUSA|2017-10-02 16:38:35|2|4|With the men at war or herding cattle, women live by their wits, farming, caregiving & working to support families. http://bit.ly/2yF4qSI  |With the men at war or herding cattle, women live by their wits, farming, caregiving & working to support families.   |false|914952776807063553|/WFPUSA/status/914952776807063553
WFPUSA|2017-09-13 21:15:01|46|70|.@WFP  has provided more than 68,800 people with food relief since as they arrive seeking shelter in #Bangladesh .  http://reut.rs/2h2ptHu  |.@WFP  has provided more than 68,800 people with food relief since as they arrive seeking shelter in #Bangladesh .    |false|908136974770470913|/WFPUSA/status/908136974770470913
WFPUSA|2017-10-25 15:48:21|4|8|What does #foodwaste  mean for developing nations where, on average, 40% of food is lost before it reaches the plate?  http://bit.ly/2yOpqcE  |What does #foodwaste  mean for developing nations where, on average, 40% of food is lost before it reaches the plate?    |false|923275053453791235|/WFPUSA/status/923275053453791235
WFPUSA|2017-09-20 23:56:03|11|34|# UNGA  Here is what @WFP  has been doing last year: pic.twitter.com/KSOyi3pQoV|# UNGA  Here is what @WFP  has been doing last year: |false|910714213215211522|/WFPUSA/status/910714213215211522
WFPUSA|2017-10-18 17:25:48|3|12|Our partner @MichaelKors  talked about the #WatchHungerStop  campaign on @GoodMorningAmerica this week. Check it out! pic.twitter.com/CF8Ki48ggr|Our partner @MichaelKors  talked about the #WatchHungerStop  campaign on @GoodMorningAmerica this week. Check it out! |false|920762863647711234|/WFPUSA/status/920762863647711234
WFPUSA|2017-10-10 20:13:01|0|0|One of the best investments in #peace  and security is to help families who can’t feed their children. #ZeroHunger http://bit.ly/2yYcYUR  |One of the best investments in #peace  and security is to help families who can’t feed their children. #ZeroHunger   |false|917905842950852608|/WFPUSA/status/917905842950852608
WFPUSA|2017-10-18 12:21:26|3|11|"These children will never reach their full potential in physical or intellectual milestones."@AJEnglish  #ZeroHunger   http://bit.ly/2yAj6pc   pic.twitter.com/lYOGDMYgm9|"These children will never reach their full potential in physical or intellectual milestones."@AJEnglish  #ZeroHunger      |false|920686266190041091|/WFPUSA/status/920686266190041091
WFPUSA|2017-09-28 11:18:36|1|8|Thank you @facebook  for supporting @WFP ’s relief efforts in the #Caribbean . Your support will help provide immediate #aid .|Thank you @facebook  for supporting @WFP ’s relief efforts in the #Caribbean . Your support will help provide immediate #aid .|false|913422699283861505|/WFPUSA/status/913422699283861505
WFPUSA|2017-10-15 09:55:13|1|4|Thank you to our friends at @CuddleandKind ! They’re doubling the impact of each purchase made this week in honor of #WorldFoodDay .|Thank you to our friends at @CuddleandKind ! They’re doubling the impact of each purchase made this week in honor of #WorldFoodDay .|false|919562306421342208|/WFPUSA/status/919562306421342208
WFPUSA|2017-09-20 14:00:22|9|8|Good news: @WFP  efforts eased #famine  conditions and prevented famine from from spreading. But there is bad news. http://bit.ly/2xSuKwp  |Good news: @WFP  efforts eased #famine  conditions and prevented famine from from spreading. But there is bad news.   |false|910564303350173697|/WFPUSA/status/910564303350173697
WFPUSA|2017-09-11 11:11:25|3|6|Finding solutions to tackle #hunger  is of critical importance. And that is what @WFPInnovation  does.  http://bit.ly/2wSHxhq  |Finding solutions to tackle #hunger  is of critical importance. And that is what @WFPInnovation  does.    |false|907260296686862338|/WFPUSA/status/907260296686862338
WFPUSA|2017-09-14 15:17:16|0|1|Thanks to @WFP  and its supporters, Fulgencia can rely on lunch in the classroom. Each meal costs just ¢25. http://bit.ly/2vX0FH8  |Thanks to @WFP  and its supporters, Fulgencia can rely on lunch in the classroom. Each meal costs just ¢25.   |false|908409329769959424|/WFPUSA/status/908409329769959424
WFPUSA|2017-11-01 17:41:02|0|6|Find out more about #Yemen  and @WFP 's work in #FightingFamine   http://bit.ly/2iPzwod  |Find out more about #Yemen  and @WFP 's work in #FightingFamine     |false|925840127049338880|/WFPUSA/status/925840127049338880
WFPUSA|2017-10-05 18:18:01|0|1|Learn how @WFP  helped 5th grader Fulgencia return to the classroom after #hunger  and #poverty  pulled her out. http://bit.ly/2yqSOGM  |Learn how @WFP  helped 5th grader Fulgencia return to the classroom after #hunger  and #poverty  pulled her out.   |false|916064962447060992|/WFPUSA/status/916064962447060992
WFPUSA|2017-09-06 19:21:01|0|0|Cash gives dignity, control, and flexibility to people affected by disasters. http://read.bi/2gHwhKL  |Cash gives dignity, control, and flexibility to people affected by disasters.   |false|905571570227273728|/WFPUSA/status/905571570227273728
