username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
COTNews|2017-09-10 10:00:08|8|6|Now is the time to complete ur preparations. Outside prep should be wrapped ASAP before weather conditions deteriorate. #IrmaTLH|Now is the time to complete ur preparations. Outside prep should be wrapped ASAP before weather conditions deteriorate. #IrmaTLH|false|906879968893968384|/COTNews/status/906879968893968384||||
COTNews|2017-09-08 16:50:16|0|0|I submitted your issue thru our DigiTally app. The number is#3138074.  http://bit.ly/2uJIFic    #IrmaTLH  ^HT|I submitted your issue thru our DigiTally app. The number is#3138074.      #IrmaTLH  ^HT|false|906258405601546240|/COTNews/status/906258405601546240||||
COTNews|2017-09-07 19:40:03|6|4|.@TallyPD  offers Safety Tips as #HurricaneIrma  approaches our area. @abc27  #IrmaTLH   http://bit.ly/2vOEd7c   pic.twitter.com/Inxo0UlvtS|.@TallyPD  offers Safety Tips as #HurricaneIrma  approaches our area. @abc27  #IrmaTLH      |false|905938745144348672|/COTNews/status/905938745144348672||||
COTNews|2017-09-16 12:09:01|5|8|If your usual garbage/recycling pick up is on Friday, your collection will be tomorrow, Sunday, this week. Red week for yard/bulk items.|If your usual garbage/recycling pick up is on Friday, your collection will be tomorrow, Sunday, this week. Red week for yard/bulk items.|false|909086731915456517|/COTNews/status/909086731915456517||||
COTNews|2017-09-27 20:57:39|1|0|Changes to policy 7.4.0 of Concurrency Management System Policy & Procedures Manual approved. Detail in agenda  http://bit.ly/2tV2Cqp  |Changes to policy 7.4.0 of Concurrency Management System Policy & Procedures Manual approved. Detail in agenda    |false|913206033111224321|/COTNews/status/913206033111224321||||
COTNews|2017-09-11 16:33:55|0|0|Crews are aware of your outage. ^AH|Crews are aware of your outage. ^AH|false|907341454900711424|/COTNews/status/907341454900711424||||
COTNews|2017-10-31 09:24:53|0|1|'This info will be very helpful for the signal timing engineer to make adjustments. Thank you! We''ll send it to him. ^LK'|'This info will be very helpful for the signal timing engineer to make adjustments. Thank you! We''ll send it to him. ^LK'|false|925352879589875712|/COTNews/status/925352879589875712||||
COTNews|2017-10-20 11:36:08|3|3|'.@RideStarMetro  & @cotfire  are among the many City departments excited to share career info w/participants at today''s Leon Works Expo. pic.twitter.com/S72c0nltiK'|'.@RideStarMetro  & @cotfire  are among the many City departments excited to share career info w/participants at today''s Leon Works Expo. '|false|921399642302140416|/COTNews/status/921399642302140416||||
COTNews|2017-09-11 23:31:15|0|0|Crews are actively working 24/7 until full restoration occurs. ^JB|Crews are actively working 24/7 until full restoration occurs. ^JB|false|907446482730721281|/COTNews/status/907446482730721281||||
COTNews|2017-09-11 09:31:42|0|0|Do you mind reporting this via DigiTally? It goes directly to our crews responding. You can include the pic, too. #IrmaTLH  ^HT|Do you mind reporting this via DigiTally? It goes directly to our crews responding. You can include the pic, too. #IrmaTLH  ^HT|false|907235202874974208|/COTNews/status/907235202874974208||||
COTNews|2017-09-12 08:13:43|0|0|'For now, crews are focused on restoring power here. After we''re up, they very well may travel to other cities to help. #IrmaTLH  ^HT'|'For now, crews are focused on restoring power here. After we''re up, they very well may travel to other cities to help. #IrmaTLH  ^HT'|false|907577962928668674|/COTNews/status/907577962928668674||||
