username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
GulfPower|2017-10-16 18:00:40|0|0|Gulf Power is joining utilities across the US to crack down on scams. Educate yourself - and share this. #StopScams   http://ow.ly/yfrh30fOdRg   pic.twitter.com/NFP60Y0GKC|Gulf Power is joining utilities across the US to crack down on scams. Educate yourself - and share this. #StopScams      |false|920046861544837120|/GulfPower/status/920046861544837120||||
GulfPower|2017-10-08 09:10:56|0|0|Ashley, crews have been working throughout the night to restore power & will continue to work in shifts around the clock until all are back.|Ashley, crews have been working throughout the night to restore power & will continue to work in shifts around the clock until all are back.|false|917014450431057920|/GulfPower/status/917014450431057920||||
GulfPower|2017-10-03 18:01:29|0|0|# oneNWFL https://twitter.com/PCNHJohn/statu s/915223050748092416   …|# oneNWFL  s/915223050748092416   …|false|915336027094560768|/GulfPower/status/915336027094560768||||
GulfPower|2017-09-20 13:00:15|0|0|Join Bike Pensacola Saturday for the Slow Ride. For more information, call Bike Pensacola at 850-687-9968.  http://bit.ly/2xvIA6N   pic.twitter.com/VQwUM8k9qN|Join Bike Pensacola Saturday for the Slow Ride. For more information, call Bike Pensacola at 850-687-9968.     |false|910549177951596544|/GulfPower/status/910549177951596544||||
GulfPower|2017-10-12 13:14:03|0|0|Whether paying your bill or reporting an outage, our website has been designed to make that easy. Head to  http://gulfpower.com    today! pic.twitter.com/u9Khv1xiP8|Whether paying your bill or reporting an outage, our website has been designed to make that easy. Head to      today! |false|918525183459241984|/GulfPower/status/918525183459241984||||
GulfPower|2017-10-03 10:53:16|0|0|Thanks Keith! Great event! Glad to be a part of #oneNWFL  #NWFLforward|Thanks Keith! Great event! Glad to be a part of #oneNWFL  #NWFLforward|false|915228260820291584|/GulfPower/status/915228260820291584||||
GulfPower|2017-10-04 09:24:20|0|0|'Joe, the consultants help customers with questions, not take payments. We''ve added more locations for that.  http://gulfpower.com/wheretopay  '|'Joe, the consultants help customers with questions, not take payments. We''ve added more locations for that.    '|false|915568267586101248|/GulfPower/status/915568267586101248||||
GulfPower|2017-10-02 15:06:58|0|0|Great shot, Rob. DM us and get a selfie code! ~Steve|Great shot, Rob. DM us and get a selfie code! ~Steve|false|914929719765815296|/GulfPower/status/914929719765815296||||
GulfPower|2017-10-03 10:53:05|2|5|Military investment in our region helps support our Cyber Security workforce. Punching way above our weight class #oneNWFL  #NWFLforward|Military investment in our region helps support our Cyber Security workforce. Punching way above our weight class #oneNWFL  #NWFLforward|false|915228214557134848|/GulfPower/status/915228214557134848||||
GulfPower|2017-10-11 19:30:01|1|1|Our energy doctors also make house calls. Let us help with your home’s energy use  with our Energy Checkup.  http://ow.ly/MaVR30fDFfV   pic.twitter.com/rPuLqVgWdb|Our energy doctors also make house calls. Let us help with your home’s energy use  with our Energy Checkup.     |false|918257411156144129|/GulfPower/status/918257411156144129||||
