username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
NewsfromJEA|2017-09-11 19:25:04|0|0|We do not have estimated restoration times at this moment, but we are working as quickly and as safely as possible. (1/2)|We do not have estimated restoration times at this moment, but we are working as quickly and as safely as possible. (1/2)|false|907384529878487040|/NewsfromJEA/status/907384529878487040||||
NewsfromJEA|2017-10-26 10:01:30|0|2|As you prepare for the holidays, remember never run electric cords under rugs or carpeting.  https://goo.gl/1hXCHi   pic.twitter.com/oTlVz8LVwA|As you prepare for the holidays, remember never run electric cords under rugs or carpeting.     |false|923550157110697986|/NewsfromJEA/status/923550157110697986||||
NewsfromJEA|2017-09-10 14:10:24|0|0|Great to hear that we got you restored! Please visit  http://jea.com/outage_center/ outage_map/   …  for future outage information.|Great to hear that we got you restored! Please visit   outage_map/   …  for future outage information.|false|906942951233859588|/NewsfromJEA/status/906942951233859588||||
NewsfromJEA|2017-10-30 14:42:03|0|1|Hi @joeraposa ! Could you please send a direct message with your account number and more information, so we can further assist you?|Hi @joeraposa ! Could you please send a direct message with your account number and more information, so we can further assist you?|false|925070308138258433|/NewsfromJEA/status/925070308138258433||||
NewsfromJEA|2017-09-16 10:49:56|0|0|[2 of 2] Speak to a customer service consultant to make sure we have correct information on your situation.|[2 of 2] Speak to a customer service consultant to make sure we have correct information on your situation.|false|909066830429540352|/NewsfromJEA/status/909066830429540352||||
NewsfromJEA|2017-10-13 11:01:46|0|0|JEA is the front line of reliability. Linemen assess issues and if unable to fix them, call a specialty crew:  https://goo.gl/Hgk9zy  |JEA is the front line of reliability. Linemen assess issues and if unable to fix them, call a specialty crew:    |false|918854280018317312|/NewsfromJEA/status/918854280018317312||||
NewsfromJEA|2017-09-11 07:18:34|0|0|'Once it''s safe we will send out our crews to assess the damage and begin restoration. For info visit  http://jea.com/restoration  '|'Once it''s safe we will send out our crews to assess the damage and begin restoration. For info visit    '|false|907201699164692480|/NewsfromJEA/status/907201699164692480||||
NewsfromJEA|2017-09-17 11:00:43|0|6|The crew in this video was on Losco Road, and closed a fuse to restore power. pic.twitter.com/cQLNQbWp5g|The crew in this video was on Losco Road, and closed a fuse to restore power. |false|909431931439284224|/NewsfromJEA/status/909431931439284224||||
NewsfromJEA|2017-10-09 15:01:28|1|0|Remember to never use a generator indoors or in an attached garage. Generator Safety:  https://goo.gl/ETTSKf   pic.twitter.com/dzAqnvwfgu|Remember to never use a generator indoors or in an attached garage. Generator Safety:     |false|917465052340514816|/NewsfromJEA/status/917465052340514816||||
NewsfromJEA|2017-09-09 17:55:28|0|0|(msg 2/2) Outages usually result from storms or equipment failure.|(msg 2/2) Outages usually result from storms or equipment failure.|false|906637201974362113|/NewsfromJEA/status/906637201974362113||||
NewsfromJEA|2017-09-16 12:30:05|1|4|JEA’s Brian Pippin and Chief Customer Officer Kerri Stewart will answer your questions about the restoration process at 1 p.m. on @WOKVNews . pic.twitter.com/GJw7rs5V4y|JEA’s Brian Pippin and Chief Customer Officer Kerri Stewart will answer your questions about the restoration process at 1 p.m. on @WOKVNews . |false|909092031917641728|/NewsfromJEA/status/909092031917641728||||
NewsfromJEA|2017-09-26 12:06:07|2|2|TRAFFIC ALERT: Crews are repairing a sewer line at the intersection of San Jose Blvd. and Mapleton Rd. More info:  http://jea.com/mapleton   pic.twitter.com/S1sgCAVEmF|TRAFFIC ALERT: Crews are repairing a sewer line at the intersection of San Jose Blvd. and Mapleton Rd. More info:     |false|912709881945354246|/NewsfromJEA/status/912709881945354246||||
NewsfromJEA|2017-09-11 19:47:03|0|1|Crews are through the city assessing damage and will proceed with restoration. Track at  http://jea.com/outage_center/ outage_map   …|Crews are through the city assessing damage and will proceed with restoration. Track at   outage_map   …|false|907390062056361984|/NewsfromJEA/status/907390062056361984||||
NewsfromJEA|2017-09-12 21:41:29|0|0|There are a number of steps to restoration. The first step is to conduct an assessment when we have major damage. (1/2)|There are a number of steps to restoration. The first step is to conduct an assessment when we have major damage. (1/2)|false|907781246754975745|/NewsfromJEA/status/907781246754975745||||
NewsfromJEA|2017-09-17 11:48:53|0|0|Could you please send a direct message with a more precise address?|Could you please send a direct message with a more precise address?|false|909444051774132225|/NewsfromJEA/status/909444051774132225||||
