username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
KeysEnergy|2017-09-27 12:01:37|5|14|98% of KEYS’ customers have had their power__NEWLINE__restored. Approximately 650 KEYS’ customers (approximately 2%) remain without__NEWLINE__power.|98% of KEYS’ customers have had their power__NEWLINE__restored. Approximately 650 KEYS’ customers (approximately 2%) remain without__NEWLINE__power.|false|913071135570452480|/KeysEnergy/status/913071135570452480||||
KeysEnergy|2017-09-23 15:37:18|1|8|'KEYS'' Lineman Manny Estevez is showing this pole, or what''s left of it, who''s the boss. #Irma  #PublicPower  #WeGotThis pic.twitter.com/cyVYdgbdHn'|'KEYS'' Lineman Manny Estevez is showing this pole, or what''s left of it, who''s the boss. #Irma  #PublicPower  #WeGotThis '|false|911675862327623680|/KeysEnergy/status/911675862327623680||||
KeysEnergy|2017-09-16 08:35:00|2|8|Customers that previously had power are once again being powered via the TIELINE. #Irma  #PublicPower|Customers that previously had power are once again being powered via the TIELINE. #Irma  #PublicPower|false|909032872673251328|/KeysEnergy/status/909032872673251328||||
KeysEnergy|2017-09-06 08:54:05|1|1|'KEYS'' PRE-STORM GENERAL SAFETY TIPS & WHAT TO EXPECT:  http://www. keysenergy.com/hurricane_upda te.php   …  #PublicPower  #Irma'|'KEYS'' PRE-STORM GENERAL SAFETY TIPS & WHAT TO EXPECT:   keysenergy.com/hurricane_upda te.php   …  #PublicPower  #Irma'|false|905413798068150272|/KeysEnergy/status/905413798068150272||||
KeysEnergy|2017-09-16 17:56:38|3|25|Moving mountains, and poles, to get paradise powered back up. #Irma  #PublicPower  #WeGotThis pic.twitter.com/nMDocDm3AK|Moving mountains, and poles, to get paradise powered back up. #Irma  #PublicPower  #WeGotThis |false|909174210257461249|/KeysEnergy/status/909174210257461249||||
KeysEnergy|2017-09-16 11:00:05|0|0|Crews are assessing in the field. No need to report at this time.|Crews are assessing in the field. No need to report at this time.|false|909069383703646208|/KeysEnergy/status/909069383703646208||||
KeysEnergy|2017-09-14 19:50:33|5|10|Power restoration estimates are as follows: Key West to Sugarloaf within the week. #Irma  #PublicPower  #WeGotThis|Power restoration estimates are as follows: Key West to Sugarloaf within the week. #Irma  #PublicPower  #WeGotThis|false|908478105735585792|/KeysEnergy/status/908478105735585792||||
KeysEnergy|2017-10-25 11:00:44|0|4|High winds are causing power lines to strike each other in portions of Old Town in Key West.|High winds are causing power lines to strike each other in portions of Old Town in Key West.|false|923202676380270593|/KeysEnergy/status/923202676380270593||||
KeysEnergy|2017-09-09 16:22:50|46|33|1,300 customer along Spanish Main Dr in Cudjoe lost power @4 :00P. Restoration will commence once the storm has passed. #Irma  #PublicPower pic.twitter.com/lMdQji44tV|1,300 customer along Spanish Main Dr in Cudjoe lost power @4 :00P. Restoration will commence once the storm has passed. #Irma  #PublicPower |false|906613893140754434|/KeysEnergy/status/906613893140754434||||
KeysEnergy|2017-09-10 00:29:32|1|2|Now may be a good time to get some shut eye...may be out for the duration.|Now may be a good time to get some shut eye...may be out for the duration.|false|906736373453017093|/KeysEnergy/status/906736373453017093||||
KeysEnergy|2017-09-30 21:07:32|7|47|Reconstruction of   of all electrical feeders is complete. #Irma  #PublicPower  #WeGotThis pic.twitter.com/kP0mcq75tu|Reconstruction of   of all electrical feeders is complete. #Irma  #PublicPower  #WeGotThis |false|914295682235817984|/KeysEnergy/status/914295682235817984||||
KeysEnergy|2017-09-09 13:54:07|2|5|Current conditions (looking out from KEYS Service Building): sunny,tad breezy,some passing showers. Power in and holding. #Irma  #PublicPower pic.twitter.com/I5gV6e2nS1|Current conditions (looking out from KEYS Service Building): sunny,tad breezy,some passing showers. Power in and holding. #Irma  #PublicPower |false|906576465155805185|/KeysEnergy/status/906576465155805185||||
KeysEnergy|2017-09-26 09:46:23|0|0|'An unplanned outage is currently affecting 250 KEYS'' customers near the Key Plaza Shopping Ctr. Crews are working to restore power.'|'An unplanned outage is currently affecting 250 KEYS'' customers near the Key Plaza Shopping Ctr. Crews are working to restore power.'|false|912674714472058880|/KeysEnergy/status/912674714472058880||||
KeysEnergy|2017-09-22 13:03:19|0|3|Following you will find a general listing of when those affected customers who can accept power will be able to do so by.|Following you will find a general listing of when those affected customers who can accept power will be able to do so by.|false|911274722855440384|/KeysEnergy/status/911274722855440384||||
KeysEnergy|2017-10-06 15:34:54|2|5|next week the emergency provisions will end and all reconnects in Key West & Monroe County will require inspections. Please be advised.|next week the emergency provisions will end and all reconnects in Key West & Monroe County will require inspections. Please be advised.|false|916386302760759296|/KeysEnergy/status/916386302760759296||||
KeysEnergy|2017-10-10 08:38:30|2|11|1month after Irma devastated our community the sun is once again shinning on paradise. https://youtu.be/O0oHuY-5N6M    #Irma  #PublicPower  #WeGotThis|1month after Irma devastated our community the sun is once again shinning on paradise.     #Irma  #PublicPower  #WeGotThis|false|917731062792548354|/KeysEnergy/status/917731062792548354||||
KeysEnergy|2017-09-18 04:24:17|0|7|All previously energized feeders were back in service as of 4:23A due to local generation.|All previously energized feeders were back in service as of 4:23A due to local generation.|false|909694554105946112|/KeysEnergy/status/909694554105946112||||
KeysEnergy|2017-09-06 00:11:03|2|2|Bookmark this link so you can monitor the status of power in your no matter where you are during Hurricane #Irma  __NEWLINE____NEWLINE__ https://ubserve.kwcityelectric.com:7576/#viewer-menu-p arent   …|Bookmark this link so you can monitor the status of power in your no matter where you are during Hurricane #Irma  __NEWLINE____NEWLINE__  arent   …|false|905282169773404164|/KeysEnergy/status/905282169773404164||||
KeysEnergy|2017-09-17 12:46:12|0|0|'Check now it''s been updated.'|'Check now it''s been updated.'|false|909458478930055169|/KeysEnergy/status/909458478930055169||||
KeysEnergy|2017-09-29 12:53:28|0|0|Crews are working to isolate the damage and restore power.|Crews are working to isolate the damage and restore power.|false|913808958414114816|/KeysEnergy/status/913808958414114816||||
KeysEnergy|2017-09-14 19:50:17|0|6|'KEYS'' crews, along with 250 additional line and electrical workers, are working to restore power to customers. #Irma  #PublicPower  #WeGotThis'|'KEYS'' crews, along with 250 additional line and electrical workers, are working to restore power to customers. #Irma  #PublicPower  #WeGotThis'|false|908478036751917056|/KeysEnergy/status/908478036751917056||||
KeysEnergy|2017-10-11 17:35:10|1|6|KEYS EMPLOYEES ACHIEVE LONGEVITY MILESTONE WITH UTILITY:  http://www. keysenergy.com/news.php?nid=1 106   … pic.twitter.com/dENeWRS2Dj|KEYS EMPLOYEES ACHIEVE LONGEVITY MILESTONE WITH UTILITY:   keysenergy.com/news.php?nid=1 106   … |false|918228507884445696|/KeysEnergy/status/918228507884445696||||
KeysEnergy|2017-09-18 04:19:14|0|2|AT 1:45A THE TIELINE TRIPPED OFFLINE DUE TO A FAULT IN THE FKEC SERVICE AREA.|AT 1:45A THE TIELINE TRIPPED OFFLINE DUE TO A FAULT IN THE FKEC SERVICE AREA.|false|909693283840020482|/KeysEnergy/status/909693283840020482||||
KeysEnergy|2017-10-03 01:14:28|0|0|Crews in field but no eta|Crews in field but no eta|false|915082601274200064|/KeysEnergy/status/915082601274200064||||
KeysEnergy|2017-09-25 13:43:41|1|10|I spy...a lineman on every pole, just north of Big Pine Key. #Irma  #PublicPower  #WeGotThis pic.twitter.com/R1BaOF59Pn|I spy...a lineman on every pole, just north of Big Pine Key. #Irma  #PublicPower  #WeGotThis |false|912372044947435522|/KeysEnergy/status/912372044947435522||||
KeysEnergy|2017-10-25 11:01:06|0|1|Crews are temporarily de-energizing areas to make repairs and tighten lines as needed.|Crews are temporarily de-energizing areas to make repairs and tighten lines as needed.|false|923202766775885827|/KeysEnergy/status/923202766775885827||||
KeysEnergy|2017-09-16 15:40:13|2|1|The damage can consist of a downed power pole, transformer or power lines, but most commonly your meter center.|The damage can consist of a downed power pole, transformer or power lines, but most commonly your meter center.|false|909139880000843776|/KeysEnergy/status/909139880000843776||||
KeysEnergy|2017-09-16 15:39:31|0|0|We are about to power a series of tweets that addresses this...stay tuned.|We are about to power a series of tweets that addresses this...stay tuned.|false|909139706809585672|/KeysEnergy/status/909139706809585672||||
KeysEnergy|2017-09-26 11:07:55|0|3|Scout Key, Bahia Honda, and Long Beach Rd should be complete Saturday, September 30th, and Sunshine Key will be complete Monday, October 2|Scout Key, Bahia Honda, and Long Beach Rd should be complete Saturday, September 30th, and Sunshine Key will be complete Monday, October 2|false|912695232747237376|/KeysEnergy/status/912695232747237376||||
KeysEnergy|2017-09-24 13:12:20|3|14|Sunday pole raising on Spanish Main Drive in Cudjoe Key. #Irma  #PublicPower  #WeGotThis  *Photo credit: Jerry Lieberman pic.twitter.com/1J9zl9np5f|Sunday pole raising on Spanish Main Drive in Cudjoe Key. #Irma  #PublicPower  #WeGotThis  *Photo credit: Jerry Lieberman |false|912001770687262720|/KeysEnergy/status/912001770687262720||||
KeysEnergy|2017-09-17 14:07:28|0|1|Your home or neighborhood may have sustained damage that prevents you from receiving power from KEYS.|Your home or neighborhood may have sustained damage that prevents you from receiving power from KEYS.|false|909478926560501761|/KeysEnergy/status/909478926560501761||||
KeysEnergy|2017-09-14 19:51:55|0|0|Helpful but not enough. As we get signal we try to update.|Helpful but not enough. As we get signal we try to update.|false|908478449580478464|/KeysEnergy/status/908478449580478464||||
KeysEnergy|2017-09-09 19:07:21|60|51|800 customer in the mid-town section of Key West lost power @5 :31P. Restoration will commence once the storm has passed. #Irma  #PublicPower|800 customer in the mid-town section of Key West lost power @5 :31P. Restoration will commence once the storm has passed. #Irma  #PublicPower|false|906655293228150784|/KeysEnergy/status/906655293228150784||||
KeysEnergy|2017-09-14 19:51:23|3|2|Upper Sugarloaf to the Seven Mile Bridge plan for up to one month, but hope for sooner. #Irma  #PublicPower  #WeGotThis|Upper Sugarloaf to the Seven Mile Bridge plan for up to one month, but hope for sooner. #Irma  #PublicPower  #WeGotThis|false|908478315509542912|/KeysEnergy/status/908478315509542912||||
KeysEnergy|2017-09-26 10:10:24|0|1|The outage commenced at 9:40A and was restored at 9:59A. The cause remains under investigation.|The outage commenced at 9:40A and was restored at 9:59A. The cause remains under investigation.|false|912680758686420992|/KeysEnergy/status/912680758686420992||||
KeysEnergy|2017-10-16 16:59:46|1|6|Crews are working to restore power.|Crews are working to restore power.|false|920031535553744896|/KeysEnergy/status/920031535553744896||||
KeysEnergy|2017-09-18 12:48:39|0|1|'@ RepCurbelo  stopped by KEYS'' Stock Island facility today to thank employees for their efforts in getting paradise powered back up. #Irma pic.twitter.com/TlOhIMVLRm'|'@ RepCurbelo  stopped by KEYS'' Stock Island facility today to thank employees for their efforts in getting paradise powered back up. #Irma '|false|909821480816582656|/KeysEnergy/status/909821480816582656||||
KeysEnergy|2017-09-18 17:03:22|6|18|Powering paradise back up with smiles and good humor. #Irma  #PublicPower  #WeGotThis  __NEWLINE____NEWLINE__*Photo Credit: Manny Estevez pic.twitter.com/E0Sl6b5Y2Z|Powering paradise back up with smiles and good humor. #Irma  #PublicPower  #WeGotThis  __NEWLINE____NEWLINE__*Photo Credit: Manny Estevez |false|909885583757119488|/KeysEnergy/status/909885583757119488||||
KeysEnergy|2017-09-15 15:17:25|0|1|Sections got power last night, more on the way.|Sections got power last night, more on the way.|false|908771755787001856|/KeysEnergy/status/908771755787001856||||
KeysEnergy|2017-09-24 10:30:06|0|3|Crews are completing reconnects throughout the system for customers previously unable to accept power. Restoration times may take 1-2 days.|Crews are completing reconnects throughout the system for customers previously unable to accept power. Restoration times may take 1-2 days.|false|911960939599208451|/KeysEnergy/status/911960939599208451||||
KeysEnergy|2017-09-17 14:06:18|2|1|To check the status of power in your neighborhood please visit our online outage viewer@ https://ubserve.kwcityelectric.com:7576/#viewer-menu-p arent   … . #Irma  #PublicPower|To check the status of power in your neighborhood please visit our online outage viewer@  arent   … . #Irma  #PublicPower|false|909478634628448256|/KeysEnergy/status/909478634628448256||||
KeysEnergy|2017-09-16 07:22:34|2|5|The TIELINE has been re-energized. FKEC reports a fault north of Marathon caused it to trip offline. #Irma  #PublicPower|The TIELINE has been re-energized. FKEC reports a fault north of Marathon caused it to trip offline. #Irma  #PublicPower|false|909014646065176576|/KeysEnergy/status/909014646065176576||||
KeysEnergy|2017-09-10 00:28:42|1|3|About 14K were still energized (out of 29K) before the TIELINE went out.|About 14K were still energized (out of 29K) before the TIELINE went out.|false|906736163716726784|/KeysEnergy/status/906736163716726784||||
KeysEnergy|2017-09-04 09:44:28|5|3|Excellent supply list for #Irma . Evaluate your #hurricane  plans now & make preparations w/luxury of time still on your side. #PublicPower pic.twitter.com/Qkj9dov8IU|Excellent supply list for #Irma . Evaluate your #hurricane  plans now & make preparations w/luxury of time still on your side. #PublicPower |false|904701701793472513|/KeysEnergy/status/904701701793472513||||
KeysEnergy|2017-09-22 13:11:27|0|0|We just posted estimates for all areas...which were you wanting to know about?|We just posted estimates for all areas...which were you wanting to know about?|false|911276769738674182|/KeysEnergy/status/911276769738674182||||
KeysEnergy|2017-10-03 17:55:09|1|2|'An unplanned outage is affecting 300 KEYS'' customers in BPK. The fault occurred at 5:16P. Crews have been dispatched to restore power.'|'An unplanned outage is affecting 300 KEYS'' customers in BPK. The fault occurred at 5:16P. Crews have been dispatched to restore power.'|false|915334432076238849|/KeysEnergy/status/915334432076238849||||
KeysEnergy|2017-09-17 13:59:47|6|5|'Approximately 17,000 KEYS'' customers, out of 29,000, have now been re-energized in the aftermath of Hurricane #Irma . #PublicPower  #WeGotThis'|'Approximately 17,000 KEYS'' customers, out of 29,000, have now been re-energized in the aftermath of Hurricane #Irma . #PublicPower  #WeGotThis'|false|909476994466897920|/KeysEnergy/status/909476994466897920||||
KeysEnergy|2017-09-20 16:00:20|1|3|KEYS OFFICES TO RE-OPEN ON MONDAY, SEPTEMBER 25TH:  http://www. keysenergy.com/news.php?nid=1 099   …|KEYS OFFICES TO RE-OPEN ON MONDAY, SEPTEMBER 25TH:   keysenergy.com/news.php?nid=1 099   …|false|910594497268076545|/KeysEnergy/status/910594497268076545||||
KeysEnergy|2017-09-16 04:15:08|1|0|'An electrical fault within the Florida Keys Electric Co-op area triggered the outage affecting previously restored KEYS'' customers at 3:35A.'|'An electrical fault within the Florida Keys Electric Co-op area triggered the outage affecting previously restored KEYS'' customers at 3:35A.'|false|908967474992906240|/KeysEnergy/status/908967474992906240|FL|27.7567667|-81.4639835|210.85168210265104
KeysEnergy|2017-09-09 17:19:45|17|30|'Nearly 180 lineworkers from around the country are prepositioning to assist KEYS'' crews w/ restoration efforts once #Irma  has passed.'|'Nearly 180 lineworkers from around the country are prepositioning to assist KEYS'' crews w/ restoration efforts once #Irma  has passed.'|false|906628215212572673|/KeysEnergy/status/906628215212572673||||
KeysEnergy|2017-09-22 13:08:27|0|2|BPK: Tropical Bay Estates, Punta Brisa, BPK Acres, and__NEWLINE__Whispering Pines – estimates are not currently available.|BPK: Tropical Bay Estates, Punta Brisa, BPK Acres, and__NEWLINE__Whispering Pines – estimates are not currently available.|false|911276014248001537|/KeysEnergy/status/911276014248001537||||
KeysEnergy|2017-09-20 20:20:18|5|9|An unplanned outage is currently affecting customers from Key West to Key Haven. Crews are working to restore power.|An unplanned outage is currently affecting customers from Key West to Key Haven. Crews are working to restore power.|false|910659917392089088|/KeysEnergy/status/910659917392089088||||
KeysEnergy|2017-09-26 20:47:03|3|24|2 weeks ago today our first customers had their power restored.We see the light at the end of the tunnel.Amost there. #Irma  #PublicPower pic.twitter.com/kdnnlTyUoI|2 weeks ago today our first customers had their power restored.We see the light at the end of the tunnel.Amost there. #Irma  #PublicPower |false|912840979316641792|/KeysEnergy/status/912840979316641792||||
KeysEnergy|2017-09-29 15:20:45|1|4|'Downed power lines, related to the earlier accident near 18th Terrace, triggered a power outage shortly after 3:00P to 2,100 KEYS'' customers'|'Downed power lines, related to the earlier accident near 18th Terrace, triggered a power outage shortly after 3:00P to 2,100 KEYS'' customers'|false|913846026095681537|/KeysEnergy/status/913846026095681537||||
KeysEnergy|2017-09-17 12:46:59|0|1|Our outage manager does not reflect that.|Our outage manager does not reflect that.|false|909458675370270720|/KeysEnergy/status/909458675370270720||||
KeysEnergy|2017-09-22 11:03:31|0|0|Hopefully over the weekend.|Hopefully over the weekend.|false|911244573732741120|/KeysEnergy/status/911244573732741120||||
KeysEnergy|2017-09-18 12:49:39|0|1|What do you need clarified?|What do you need clarified?|false|909821734798446592|/KeysEnergy/status/909821734798446592||||
KeysEnergy|2017-09-15 19:32:06|4|5|The closure will allow for the removal of the transmission pole that snapped at the base below the waterline during #Irma  #PublicPower pic.twitter.com/pGMKNQT8qN|The closure will allow for the removal of the transmission pole that snapped at the base below the waterline during #Irma  #PublicPower |false|908835847306440705|/KeysEnergy/status/908835847306440705||||
KeysEnergy|2017-09-16 04:15:33|1|0|FKEC crews are working on restoring the TIELINE.|FKEC crews are working on restoring the TIELINE.|false|908967577883414528|/KeysEnergy/status/908967577883414528||||
KeysEnergy|2017-10-16 17:16:25|1|12|Tieline is back on. Customers being brought back online.|Tieline is back on. Customers being brought back online.|false|920035727131512833|/KeysEnergy/status/920035727131512833||||
KeysEnergy|2017-10-21 13:44:30|0|1|Summerland was restored just before 1pm. Ramrod and Torch Keys will be restored once repairs are complete.|Summerland was restored just before 1pm. Ramrod and Torch Keys will be restored once repairs are complete.|false|921794336903319552|/KeysEnergy/status/921794336903319552||||
KeysEnergy|2017-10-16 16:59:27|5|6|'A Transmission Line outage is currently affecting all KEYS'' customers. Systems indicate a fault in Marathon outside KEYS'' service area.'|'A Transmission Line outage is currently affecting all KEYS'' customers. Systems indicate a fault in Marathon outside KEYS'' service area.'|false|920031459494301701|/KeysEnergy/status/920031459494301701||||
