username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
KUAdirect|2017-09-16 15:43:29|0|0|The Florida Municipal Electric Association handles all municipal mutual aid requests for Florida.|The Florida Municipal Electric Association handles all municipal mutual aid requests for Florida.|false|909140702617096192|/KUAdirect/status/909140702617096192|FL|27.7567667|-81.4639835|210.85168210265104
KUAdirect|2017-09-11 18:56:25|0|2|'We''ve restored power to 23,000 customers so far today. The work continues!'|'We''ve restored power to 23,000 customers so far today. The work continues!'|false|907377319966322688|/KUAdirect/status/907377319966322688||||
KUAdirect|2017-10-11 08:07:35|6|3|How badly damaged was the electrical grid in #PuertoRico  after #HurricaneMaria ? Take a look at needed supplies.  https://www. facebook.com/mykua/photos/a .122602703934.100602.48565233934/10155327046813935/?type=3&theater   … pic.twitter.com/dzTdoaZrhk|How badly damaged was the electrical grid in #PuertoRico  after #HurricaneMaria ? Take a look at needed supplies.   facebook.com/mykua/photos/a .122602703934.100602.48565233934/10155327046813935/?type=3&theater   … |false|918085671113412614|/KUAdirect/status/918085671113412614||||
KUAdirect|2017-09-18 23:14:44|0|0|Are you following us?|Are you following us?|false|909979038789328896|/KUAdirect/status/909979038789328896||||
KUAdirect|2017-09-07 11:05:13|2|1|11 a.m. NHC update on Hurricane Irma. Hurricane Watch up for portions of Florida.   http://bit.ly/2wLJTfH    #tropics  #Irma pic.twitter.com/uCiKkkhjhC|11 a.m. NHC update on Hurricane Irma. Hurricane Watch up for portions of Florida.       #tropics  #Irma |false|905809186927374336|/KUAdirect/status/905809186927374336||||
KUAdirect|2017-09-20 20:39:48|0|3|'Your streetlight is on the list for repairs. Unfortunately, #Irma  damaged hundreds of streetlights. We''re working hard to get them restored.'|'Your streetlight is on the list for repairs. Unfortunately, #Irma  damaged hundreds of streetlights. We''re working hard to get them restored.'|false|910664826019512321|/KUAdirect/status/910664826019512321||||
KUAdirect|2017-09-11 22:58:12|0|2|'Yep, we''ve been working since 5am and still going strong!'|'Yep, we''ve been working since 5am and still going strong!'|false|907438164620533760|/KUAdirect/status/907438164620533760||||
KUAdirect|2017-09-10 19:43:35|20|12|A mandatory countywide curfew is now in effect for all of Osceola County until Monday at 6 p.m. #Irma  #HurricaneIrma pic.twitter.com/TOagxTYb0I|A mandatory countywide curfew is now in effect for all of Osceola County until Monday at 6 p.m. #Irma  #HurricaneIrma |false|907026800647315459|/KUAdirect/status/907026800647315459||||
KUAdirect|2017-09-10 22:04:46|28|21|WEATHER ALERT: Hurricane Irma has taken an eastward jog and could pound Orlando and Lake County with 100-mph gusts. #Irma  #HurricaneIrma pic.twitter.com/pYemJTa8o4|WEATHER ALERT: Hurricane Irma has taken an eastward jog and could pound Orlando and Lake County with 100-mph gusts. #Irma  #HurricaneIrma |false|907062330227339264|/KUAdirect/status/907062330227339264||||
KUAdirect|2017-09-11 23:01:07|0|0|Nope, our budget for 2018 has already been passed. No rate increase!|Nope, our budget for 2018 has already been passed. No rate increase!|false|907438898472787968|/KUAdirect/status/907438898472787968||||
KUAdirect|2017-10-20 11:25:45|11|5|A new bill payment scam continues to target small businesses in Kissimmee.  http://bit.ly/2xVp8lq    #scam  #beware  #utility  #Kissimmee pic.twitter.com/HLNMa4BmJN|A new bill payment scam continues to target small businesses in Kissimmee.      #scam  #beware  #utility  #Kissimmee |false|921397030517342210|/KUAdirect/status/921397030517342210||||
KUAdirect|2017-10-08 08:24:55|1|0|More than 300K without power after Hurricane #Nate  sloshed ashore outside Biloxi early this morning. #HurricaneNate  #tropics pic.twitter.com/ZEi9ZiFTgd|More than 300K without power after Hurricane #Nate  sloshed ashore outside Biloxi early this morning. #HurricaneNate  #tropics |false|917002867621400577|/KUAdirect/status/917002867621400577||||
KUAdirect|2017-10-11 17:06:18|13|35|Our crews will travel to #PuertoRico  to assist #HurricaneMaria  power restoration efforts!  http://bit.ly/2hCfTvk    #mutualaid  #PublicPower pic.twitter.com/nyQllyls7f|Our crews will travel to #PuertoRico  to assist #HurricaneMaria  power restoration efforts!      #mutualaid  #PublicPower |false|918221243542892544|/KUAdirect/status/918221243542892544||||
KUAdirect|2017-09-07 06:29:57|4|7|5 a.m. Update: Hurricane #Irma  winds down to 180 mph; still a strong Category 5 storm. No change in forecast path. #tropics  #Irma pic.twitter.com/Fs6FU9VlTw|5 a.m. Update: Hurricane #Irma  winds down to 180 mph; still a strong Category 5 storm. No change in forecast path. #tropics  #Irma |false|905739913097879554|/KUAdirect/status/905739913097879554||||
KUAdirect|2017-09-12 13:36:23|6|8|Flooding is significantly impacting KUA’s ability to restore power to customers in some areas.|Flooding is significantly impacting KUA’s ability to restore power to customers in some areas.|false|907659167003021312|/KUAdirect/status/907659167003021312||||
KUAdirect|2017-09-06 22:41:14|3|3|The last storm to hit Florida at #Irma ’s current intensity was the “Labor Day” hurricane of 1935.  http://bit.ly/2vNrJMY    #tropics|The last storm to hit Florida at #Irma ’s current intensity was the “Labor Day” hurricane of 1935.      #tropics|false|905621955008716800|/KUAdirect/status/905621955008716800|FL|27.7567667|-81.4639835|210.85168210265104
