'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
ABC11_WTVD|2018-09-07 17:25:23|14|10|# BreakingNews : Death investigation underway at home of rapper Mac Miller__NEWLINE__ https://abc11.tv/2wRM1U3  |# BreakingNews : Death investigation underway at home of rapper Mac Miller__NEWLINE__   |false|1038176428758523904|/ABC11_WTVD/status/1038176428758523904
ABC11_WTVD|2018-09-11 13:06:13|13|17|North Carolina Gov. Roy Cooper orders mandatory evacuations for Barrier Islands.__NEWLINE____NEWLINE__"This storm is a monster...It is an extremely dangerous, life-threatening, historic hurricane." https://abc11.com/4209428/  |North Carolina Gov. Roy Cooper orders mandatory evacuations for Barrier Islands.__NEWLINE____NEWLINE__"This storm is a monster...It is an extremely dangerous, life-threatening, historic hurricane."   |false|1039560759490035712|/ABC11_WTVD/status/1039560759490035712
ABC11_WTVD|2018-09-24 19:42:33|3|5|I-Team: 185,000 insurance claims filed after Florence - with many more to come https://abc11.com/4329675/  |I-Team: 185,000 insurance claims filed after Florence - with many more to come   |false|1044371542749192194|/ABC11_WTVD/status/1044371542749192194
ABC11_WTVD|2018-09-18 05:14:54|3|1|I-95 north of Dunn reopens __PIPE__ More road closures here  http://abc11.com/4250976/   pic.twitter.com/C6j7U0f9xe|I-95 north of Dunn reopens __PIPE__ More road closures here     |false|1041978862601756672|/ABC11_WTVD/status/1041978862601756672
ABC11_WTVD|2018-09-07 06:03:50|0|3|Florence weakens to a tropical storm, should become hurricane again next week. __NEWLINE__ http://abc11.com/4170301/   pic.twitter.com/uVZPxfKQdB|Florence weakens to a tropical storm, should become hurricane again next week. __NEWLINE__    |false|1038004909126414341|/ABC11_WTVD/status/1038004909126414341
ABC11_WTVD|2018-09-15 18:56:31|0|0|no worries. I understand the frustration :)|no worries. I understand the frustration :)|false|1041098465034625025|/ABC11_WTVD/status/1041098465034625025
ABC11_WTVD|2018-09-12 19:02:41|2|3|'We know it's dangerous': Our own @KaplanABC11  joined the #HurricaneHunters  today. https://abc11.com/4225226/  |'We know it's dangerous': Our own @KaplanABC11  joined the #HurricaneHunters  today.   |false|1040012854609555456|/ABC11_WTVD/status/1040012854609555456
ABC11_WTVD|2018-09-09 13:42:32|4|7|NC State monitoring weather conditions ahead of home football game against West Virginia  http://abc11.com/4193421/   pic.twitter.com/8FjbdAwgtS|NC State monitoring weather conditions ahead of home football game against West Virginia     |false|1038845122899795969|/ABC11_WTVD/status/1038845122899795969
ABC11_WTVD|2018-09-17 09:20:03|15|26|Durham school officials say any student absences today will be excused  http://abc11.com/4212542/  |Durham school officials say any student absences today will be excused    |false|1041678167864496128|/ABC11_WTVD/status/1041678167864496128
ABC11_WTVD|2018-09-25 05:12:58|4|1|USDA: Safeway, Target, Sam's Club stores nationwide may have received recalled ground beef http://abc11.com/4333423/  |USDA: Safeway, Target, Sam's Club stores nationwide may have received recalled ground beef   |false|1044515090417029120|/ABC11_WTVD/status/1044515090417029120
