'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
ABC45TV|2018-09-14 16:31:04|0|0|Officials work to pinpoint cause of 'Armageddon'-like blasts in at least 39 homes http://ow.ly/etOF50iKC3w  |Officials work to pinpoint cause of 'Armageddon'-like blasts in at least 39 homes   |false|1040699475826753537|/ABC45TV/status/1040699475826753537
ABC45TV|2018-09-20 14:31:19|0|0|Video: Michael Cohen reviewer put in charge of NY church sex abuse cases http://ow.ly/sOAo50j3O3V  |Video: Michael Cohen reviewer put in charge of NY church sex abuse cases   |false|1042843666694516738|/ABC45TV/status/1042843666694516738
ABC45TV|2018-09-25 11:30:58|0|0|Video: Prince's half-sister: 'He wouldn't have taken a pill like that' if he knew http://ow.ly/3ZzQ50jcxs9  |Video: Prince's half-sister: 'He wouldn't have taken a pill like that' if he knew   |false|1044610218167083009|/ABC45TV/status/1044610218167083009
ABC45TV|2018-09-18 00:15:47|0|0|Stars kick off 70th Emmys by poking fun at diversity http://ow.ly/yEVU50iUWSF  |Stars kick off 70th Emmys by poking fun at diversity   |false|1041903585695617024|/ABC45TV/status/1041903585695617024
ABC45TV|2018-09-11 20:33:17|0|0|Video: White man takes out gun to stop black students from entering apartment building http://ow.ly/HYYY50iExVT  |Video: White man takes out gun to stop black students from entering apartment building   |false|1039673267014062080|/ABC45TV/status/1039673267014062080
ABC45TV|2018-09-24 11:32:25|0|0|Video: News headlines today: Sept. 24, 2018 http://ow.ly/4K8t50jbr62  |Video: News headlines today: Sept. 24, 2018   |false|1044248194635436034|/ABC45TV/status/1044248194635436034
ABC45TV|2018-09-11 14:16:12|0|0|Charlie Puth hoped he could help Mac Miller get clean http://ow.ly/W3uf50iDKhL  |Charlie Puth hoped he could help Mac Miller get clean   |false|1039578368646103040|/ABC45TV/status/1039578368646103040
ABC45TV|2018-09-18 17:31:41|0|0|Video: President Trump holds a joint news conference with Poland's president http://ow.ly/WPEb50iXkTo  |Video: President Trump holds a joint news conference with Poland's president   |false|1042164278487330818|/ABC45TV/status/1042164278487330818
ABC45TV|2018-09-09 10:30:50|0|0|Trump promising not to enforce nondisclosure agreement against Stormy Daniels http://ow.ly/l8re50ixvZ4  |Trump promising not to enforce nondisclosure agreement against Stormy Daniels   |false|1038796878421417987|/ABC45TV/status/1038796878421417987
ABC45TV|2018-09-09 08:31:15|0|0|Florence to rapidly intensify, target Southeast as major hurricane http://ow.ly/sbsj50ixrKv  |Florence to rapidly intensify, target Southeast as major hurricane   |false|1038766785623937029|/ABC45TV/status/1038766785623937029
ABC45TV|2018-09-13 20:33:09|0|0|Video: Driver speeds around Missouri school bus http://ow.ly/9OCf50iInqt  |Video: Driver speeds around Missouri school bus   |false|1040398009752854528|/ABC45TV/status/1040398009752854528
ABC45TV|2018-09-15 06:31:47|0|0|Florence by the numbers: 5 dead, more than 900K without power http://ow.ly/6cgk50iLPUl  |Florence by the numbers: 5 dead, more than 900K without power   |false|1040911045861228544|/ABC45TV/status/1040911045861228544
ABC45TV|2018-09-13 16:16:05|0|0|Report: Mac Miller was 'dead for hours' before his body was found http://ow.ly/iYtN50iIf3r  |Report: Mac Miller was 'dead for hours' before his body was found   |false|1040333317357350919|/ABC45TV/status/1040333317357350919
ABC45TV|2018-09-12 12:04:54|0|0|With Hurricane Florence headed towards us, we want to make sure everyone is prepared__NEWLINE____NEWLINE__#HurricaneFlorence  #Weather  #PiedmontTriad  #MYWS  #GSO  #HighPoint  #NC  #WSNC  #ABC45  #WXLV  #HurricaneTips   https://www. facebook.com/abc45tv/videos /273075113545683/   …|With Hurricane Florence headed towards us, we want to make sure everyone is prepared__NEWLINE____NEWLINE__#HurricaneFlorence  #Weather  #PiedmontTriad  #MYWS  #GSO  #HighPoint  #NC  #WSNC  #ABC45  #WXLV  #HurricaneTips    facebook.com/abc45tv/videos /273075113545683/   …|false|1039907715458519040|/ABC45TV/status/1039907715458519040
ABC45TV|2018-09-13 13:16:13|0|0|Blasé invasion: ‘The Predator’ shows promise, fails to deliver http://ow.ly/LkJA50iHV5D  |Blasé invasion: ‘The Predator’ shows promise, fails to deliver   |false|1040288050440536066|/ABC45TV/status/1040288050440536066
ABC45TV|2018-09-09 16:15:40|0|0|http://abc45.com   http://ow.ly/a5nQ50iygvq  |     |false|1038883660810932225|/ABC45TV/status/1038883660810932225
ABC45TV|2018-09-27 13:16:07|0|0|Paul McCartney publishing children's picture book http://ow.ly/WqA150jeXxR  |Paul McCartney publishing children's picture book   |false|1045361454814302208|/ABC45TV/status/1045361454814302208
ABC45TV|2018-09-18 23:15:51|0|0|Lady Gaga says she pulled out of Kanye's tour to address personal mental health http://ow.ly/G9uh50iXAqy  |Lady Gaga says she pulled out of Kanye's tour to address personal mental health   |false|1042250890672046080|/ABC45TV/status/1042250890672046080
ABC45TV|2018-09-21 13:15:42|0|0|Kermit the Frog lends his face to new French fashion collection http://ow.ly/4GNR50j63v1  |Kermit the Frog lends his face to new French fashion collection   |false|1043187024528695296|/ABC45TV/status/1043187024528695296
ABC45TV|2018-09-26 23:31:08|0|0|4 key pieces of evidence offered by Kavanaugh accuser http://ow.ly/lW0h50jelsH  |4 key pieces of evidence offered by Kavanaugh accuser   |false|1045153840910274560|/ABC45TV/status/1045153840910274560
ABC45TV|2018-09-17 06:31:11|0|0|Video: Eyewitnesses recount shark attack http://ow.ly/9K5W50iSi6r  |Video: Eyewitnesses recount shark attack   |false|1041635670748524545|/ABC45TV/status/1041635670748524545
ABC45TV|2018-09-13 21:08:56|0|0|We have live ABC News coverage of Florence__NEWLINE____NEWLINE__#hurricaneFlorence http://abc45.com/live/live-abc- news-coverage-of-florence   …|We have live ABC News coverage of Florence__NEWLINE____NEWLINE__#hurricaneFlorence  news-coverage-of-florence   …|false|1040407011651932160|/ABC45TV/status/1040407011651932160
ABC45TV|2018-09-25 16:16:36|0|0|Cosby, convicted of 2004 sex assault, sentenced to 3-10 years behind bars http://ow.ly/N1jl50jcLL9  |Cosby, convicted of 2004 sex assault, sentenced to 3-10 years behind bars   |false|1044682099192721408|/ABC45TV/status/1044682099192721408
ABC45TV|2018-09-09 14:31:36|0|0|The Latest: Cruise ships redirected away from hurricane http://ow.ly/7aBD50iy9GA  |The Latest: Cruise ships redirected away from hurricane   |false|1038857469831860226|/ABC45TV/status/1038857469831860226
ABC45TV|2018-09-12 01:15:58|0|0|Lost David Bowie recording sells at auction for $52,000 http://ow.ly/puxt50iF4Hy  |Lost David Bowie recording sells at auction for $52,000   |false|1039744407438811136|/ABC45TV/status/1039744407438811136
ABC45TV|2018-09-24 19:16:06|0|0|Disney changes princess' appearance in 'Wreck-It Ralph' sequel after whitewashing backlash http://ow.ly/rwwk50jbMsv  |Disney changes princess' appearance in 'Wreck-It Ralph' sequel after whitewashing backlash   |false|1044364882576101376|/ABC45TV/status/1044364882576101376
ABC45TV|2018-09-17 14:31:20|0|0|Video: Brett Kavanaugh accuser willing to testify http://ow.ly/BfwH50iU2rx  |Video: Brett Kavanaugh accuser willing to testify   |false|1041756503735234560|/ABC45TV/status/1041756503735234560
ABC45TV|2018-09-10 20:32:43|0|0|Video: Tennis officials stand by US Open umpire in Serena Williams flap http://ow.ly/RoaQ50iBh2V  |Video: Tennis officials stand by US Open umpire in Serena Williams flap   |false|1039310737171251205|/ABC45TV/status/1039310737171251205
