username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
CitySalisburyNC|2018-09-15 15:14:31|1|3|Follow @rowan_county_wx  for up-to-date information on #FlorenceRoCo . https://twitter.com/rowan_county_w x/status/1041032458676912136   …|Follow @rowan_county_wx  for up-to-date information on #FlorenceRoCo .  x/status/1041032458676912136   …|false|1041042597819633665|/CitySalisburyNC/status/1041042597819633665||||
CitySalisburyNC|2018-09-17 17:12:22|0|0|City Council will now review the Consent Agenda.|City Council will now review the Consent Agenda.|false|1041797029482176514|/CitySalisburyNC/status/1041797029482176514||||
CitySalisburyNC|2018-09-22 17:19:12|0|0|This will be an additional fire station- Station #6.|This will be an additional fire station- Station #6.|false|1043610689020092417|/CitySalisburyNC/status/1043610689020092417||||
CitySalisburyNC|2018-09-13 13:16:09|5|15|There’s still time to prepare for impending storm, #FlorenceNC . These helpful tips, provided by Salisbury Fire Battalion Chief Nick Martin and Salisbury Deputy Police Chief Shon Barnes, apply to any hazardous weather threat: https://vimeo.com/289696559  |There’s still time to prepare for impending storm, #FlorenceNC . These helpful tips, provided by Salisbury Fire Battalion Chief Nick Martin and Salisbury Deputy Police Chief Shon Barnes, apply to any hazardous weather threat:   |false|1040288034137296896|/CitySalisburyNC/status/1040288034137296896||||
CitySalisburyNC|2018-09-18 09:01:17|3|5|Having an emergency kit is an important step to prepare and protect your household for unforeseen events. We encourage residents to restock and store your emergency kit for later use or donate it to the Red Cross. For more information, visit  http://salisburync.gov/Hurricane   . #SalisburyNC pic.twitter.com/IaQwv0SXH2|Having an emergency kit is an important step to prepare and protect your household for unforeseen events. We encourage residents to restock and store your emergency kit for later use or donate it to the Red Cross. For more information, visit     . #SalisburyNC |false|1042035833602158593|/CitySalisburyNC/status/1042035833602158593||||
CitySalisburyNC|2018-09-17 17:33:35|0|0|City Council will now receive a report and hold a public hearing regarding the FY2017-2018 Consolidated Annual Planning and Evaluation Report (CAPER) for__NEWLINE__Community Development Block Grant (CDBG) and HOME Program fund.|City Council will now receive a report and hold a public hearing regarding the FY2017-2018 Consolidated Annual Planning and Evaluation Report (CAPER) for__NEWLINE__Community Development Block Grant (CDBG) and HOME Program fund.|false|1041802371473522689|/CitySalisburyNC/status/1041802371473522689||||
CitySalisburyNC|2018-09-11 16:37:32|0|1|Check on all family members, set up emergency back up plans, and check on elderly neighbors. You can tell a friend or family member who lives outside the area where you will stay during the storm. pic.twitter.com/u51N7GyMQ9|Check on all family members, set up emergency back up plans, and check on elderly neighbors. You can tell a friend or family member who lives outside the area where you will stay during the storm. |false|1039613936293871616|/CitySalisburyNC/status/1039613936293871616||||
CitySalisburyNC|2018-09-20 09:18:07|1|8|Today, our #ThrowbackThursday  photo highlights Salisbury Transit. We would like to say #ThankYou  to our past and present bus drivers for your dedication to the residents of #SalisburyNC  and #RowanCountyNC . #GoTransitMonth  #SalisburyTransit  #TBT pic.twitter.com/pdFnnyPGrO|Today, our #ThrowbackThursday  photo highlights Salisbury Transit. We would like to say #ThankYou  to our past and present bus drivers for your dedication to the residents of #SalisburyNC  and #RowanCountyNC . #GoTransitMonth  #SalisburyTransit  #TBT |false|1042764846641688577|/CitySalisburyNC/status/1042764846641688577||||
CitySalisburyNC|2018-09-17 17:12:37|0|0|City Council has approved the Consent Agenda.|City Council has approved the Consent Agenda.|false|1041797092891676673|/CitySalisburyNC/status/1041797092891676673||||
CitySalisburyNC|2018-09-17 17:40:12|0|0|The public hearing is now closed.|The public hearing is now closed.|false|1041804036213809157|/CitySalisburyNC/status/1041804036213809157||||
