'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
CityofDurhamNC|2018-09-14 18:30:11|0|0|Think ahead! Be Prepared. #HurricaneFlorence2018  #ncwx  #durhamnc  Be sure to follow @AlertDurham  for all emergency updates https://twitter.com/AlertDurham/st atus/1040716383510769664   …|Think ahead! Be Prepared. #HurricaneFlorence2018  #ncwx  #durhamnc  Be sure to follow @AlertDurham  for all emergency updates  atus/1040716383510769664   …|false|1040729452194488320|/CityofDurhamNC/status/1040729452194488320
CityofDurhamNC|2018-09-17 09:20:00|0|0|cc: @NCCourts|cc: @NCCourts|false|1041678154576871424|/CityofDurhamNC/status/1041678154576871424
CityofDurhamNC|2018-09-26 09:38:29|0|1|Hi Joe. Per @movesafedurham  & @GoDurhamTransit , current diesels are 15+ years old, have operated almost 1 million miles & are very expensive to maintain. They will be retired & sold at auction. Electric vehicles are better for our environment due to emissions reductions.|Hi Joe. Per @movesafedurham  & @GoDurhamTransit , current diesels are 15+ years old, have operated almost 1 million miles & are very expensive to maintain. They will be retired & sold at auction. Electric vehicles are better for our environment due to emissions reductions.|false|1044944298331000832|/CityofDurhamNC/status/1044944298331000832
CityofDurhamNC|2018-09-13 17:33:40|1|1|Be sure to follow @AlertDurham  for all emergency updates for #Florence https://twitter.com/AlertDurham/st atus/1040352130375344128   …|Be sure to follow @AlertDurham  for all emergency updates for #Florence  atus/1040352130375344128   …|false|1040352841691488257|/CityofDurhamNC/status/1040352841691488257
CityofDurhamNC|2018-09-18 08:31:30|1|6|ICYMI: Due to the growing number of #Durham  residents who speak English as a 2nd language, we are partnering with Fair Housing Project of Legal Aid of NC & @NCHConline  on a 9/20 listening session focusing on housing discrimination due to national origin:  https://durhamnc.gov/DocumentCenter /View/23700/Durham-Hosts-Housing-Discrimination-Listening-Session-September-20   … pic.twitter.com/Hng6f5TyV7|ICYMI: Due to the growing number of #Durham  residents who speak English as a 2nd language, we are partnering with Fair Housing Project of Legal Aid of NC & @NCHConline  on a 9/20 listening session focusing on housing discrimination due to national origin:   /View/23700/Durham-Hosts-Housing-Discrimination-Listening-Session-September-20   … |false|1042028336908783617|/CityofDurhamNC/status/1042028336908783617
CityofDurhamNC|2018-09-20 08:27:01|0|3|Love 'em both, but gotta throw our vote to the bone-heeled bat booties. Enjoy your time in the Bull City tonight!|Love 'em both, but gotta throw our vote to the bone-heeled bat booties. Enjoy your time in the Bull City tonight!|false|1042751986788130818|/CityofDurhamNC/status/1042751986788130818
CityofDurhamNC|2018-09-10 15:51:43|9|11|Hurricane #Florence  is coming our way & our departments are preparing now to keep operations running. Are you preparing too? Visit  https://www. ready.gov/build-a-kit    for items you need in your emergency kit & be sure to follow @AlertDurham  for #Durham  #NCwx  updates throughout this storm. pic.twitter.com/Oz7U8zLn0o|Hurricane #Florence  is coming our way & our departments are preparing now to keep operations running. Are you preparing too? Visit   ready.gov/build-a-kit    for items you need in your emergency kit & be sure to follow @AlertDurham  for #Durham  #NCwx  updates throughout this storm. |false|1039240018013941760|/CityofDurhamNC/status/1039240018013941760
CityofDurhamNC|2018-09-15 15:51:32|0|0|pic.twitter.com/R4RxSDep62||false|1041051911170994182|/CityofDurhamNC/status/1041051911170994182
CityofDurhamNC|2018-09-11 08:19:48|0|0|Hey @DurhamWater  & @AlertDurham  -- will you share your details about the safety of our municipal water after power loss, please? Thanks!|Hey @DurhamWater  & @AlertDurham  -- will you share your details about the safety of our municipal water after power loss, please? Thanks!|false|1039488679331409926|/CityofDurhamNC/status/1039488679331409926
CityofDurhamNC|2018-09-18 21:52:55|1|4|pic.twitter.com/334h1XJyDb||false|1042230023313338369|/CityofDurhamNC/status/1042230023313338369
CityofDurhamNC|2018-09-17 10:42:18|8|3|Flash flood warning for #Durham  until 12:15 p.m. today. Be sure you're following @AlertDurham  for all emergency #ncwx  updates for the Bull City. https://twitter.com/NWSRaleigh/sta tus/1041697399692042240   …|Flash flood warning for #Durham  until 12:15 p.m. today. Be sure you're following @AlertDurham  for all emergency #ncwx  updates for the Bull City.  tus/1041697399692042240   …|false|1041698868159762433|/CityofDurhamNC/status/1041698868159762433
CityofDurhamNC|2018-09-08 20:33:18|1|8|Wondering how you should prepare yourself & your family for #Florence ? Check out this @AlertDurham  video for more on what should be in your 72-hour kits. https://twitter.com/AlertDurham/st atus/1038582617921208320   …|Wondering how you should prepare yourself & your family for #Florence ? Check out this @AlertDurham  video for more on what should be in your 72-hour kits.  atus/1038582617921208320   …|false|1038586107850620928|/CityofDurhamNC/status/1038586107850620928
CityofDurhamNC|2018-09-27 14:16:21|2|9|# HurricaneFlorence  left litter strewn along our #Durham  creeks & roadsides. Help @DurhamBeautiful , @DurhamStormH2O  & @DCoSWCD  protect fish & wildlife from harmful litter & boost the Bull City’s appearance by volunteering for #DurhamBigSweep :  http://www. durhambigsweep.org   pic.twitter.com/ETGZeZmSVp|# HurricaneFlorence  left litter strewn along our #Durham  creeks & roadsides. Help @DurhamBeautiful , @DurhamStormH2O  & @DCoSWCD  protect fish & wildlife from harmful litter & boost the Bull City’s appearance by volunteering for #DurhamBigSweep :   durhambigsweep.org   |false|1045376613196730369|/CityofDurhamNC/status/1045376613196730369
CityofDurhamNC|2018-09-15 18:09:19|1|9|On a day with so much tragic Hurricane #Florence  news about our NC neighbors, this did our   good. #ThrowTheHorns  #DurhamStrong https://twitter.com/AlertDurham/st atus/1041084446374600704   …|On a day with so much tragic Hurricane #Florence  news about our NC neighbors, this did our   good. #ThrowTheHorns  #DurhamStrong  atus/1041084446374600704   …|false|1041086585331240961|/CityofDurhamNC/status/1041086585331240961
CityofDurhamNC|2018-09-17 07:36:39|3|2|Tornado warning   issued for Bahama in northern portion of #Durham  County until 8 a.m. @AlertDurham https://twitter.com/NWSRaleigh/sta tus/1041651281776074753   …|Tornado warning   issued for Bahama in northern portion of #Durham  County until 8 a.m. @AlertDurham  tus/1041651281776074753   …|false|1041652148797407232|/CityofDurhamNC/status/1041652148797407232
CityofDurhamNC|2018-09-10 08:43:36|1|2|Outside help is needed in @DurhamWater ’s work to evaluate #Durham ’s sewer system. Find out why on #BullCityToday . pic.twitter.com/Mvxhjjbfpy|Outside help is needed in @DurhamWater ’s work to evaluate #Durham ’s sewer system. Find out why on #BullCityToday . |false|1039132282345467904|/CityofDurhamNC/status/1039132282345467904
CityofDurhamNC|2018-09-11 20:27:01|22|19|Latest rainfall projections have #Durham  receiving 10-15 inches of rain from Hurricane #Florence . Remember to never drive through flood waters! More flood safety info here:  https://www. weather.gov/safety/flood   . Don’t forget to follow @AlertDurham  for emergency info throughout this storm. https://twitter.com/NWSRaleigh/sta tus/1039628648737906688   …|Latest rainfall projections have #Durham  receiving 10-15 inches of rain from Hurricane #Florence . Remember to never drive through flood waters! More flood safety info here:   weather.gov/safety/flood   . Don’t forget to follow @AlertDurham  for emergency info throughout this storm.  tus/1039628648737906688   …|false|1039671689603440640|/CityofDurhamNC/status/1039671689603440640
CityofDurhamNC|2018-09-20 08:30:24|5|2|Morgan St. between Main St. & Great Jones St. in downtown #Durham  will be closed tomorrow due to @DurhamWater  sewer maintenance work. More details on this temporary closure from @movesafedurham  below. https://twitter.com/movesafedurham /status/1042752151783661568   …|Morgan St. between Main St. & Great Jones St. in downtown #Durham  will be closed tomorrow due to @DurhamWater  sewer maintenance work. More details on this temporary closure from @movesafedurham  below.  /status/1042752151783661568   …|false|1042752838315728896|/CityofDurhamNC/status/1042752838315728896
CityofDurhamNC|2018-09-14 15:34:49|0|0|No rest for the wicked or the weary! #HurricaneFlorence2018  #ncwx  Be sure to follow @AlertDurham  for all emergency updates https://twitter.com/AlertDurham/st atus/1040683256079962114   …|No rest for the wicked or the weary! #HurricaneFlorence2018  #ncwx  Be sure to follow @AlertDurham  for all emergency updates  atus/1040683256079962114   …|false|1040685316653371392|/CityofDurhamNC/status/1040685316653371392
CityofDurhamNC|2018-09-12 07:07:18|1|1|Do you have comments on the draft #NC98Study ? Share your feedback with the @DCHCMPO  Board during their public hearing at 9 a.m. today in our #Durham  City Hall Committee Room:  http://nc98corridor.com /  |Do you have comments on the draft #NC98Study ? Share your feedback with the @DCHCMPO  Board during their public hearing at 9 a.m. today in our #Durham  City Hall Committee Room:   /  |false|1039832820699615232|/CityofDurhamNC/status/1039832820699615232
CityofDurhamNC|2018-09-26 19:49:31|0|3|If you know a #Durham  high school student who loves the arts, make sure they check out this new @DPAC  program. https://twitter.com/DPAC/status/10 45001275761479680   …|If you know a #Durham  high school student who loves the arts, make sure they check out this new @DPAC  program.  45001275761479680   …|false|1045098071653306368|/CityofDurhamNC/status/1045098071653306368
CityofDurhamNC|2018-09-12 15:43:36|0|0|See below for an announcement about #Durham  County courts and their modified schedule this week due to Hurricane #Florence . @AlertDurham https://twitter.com/NCCourts/statu s/1039897862841266177   …|See below for an announcement about #Durham  County courts and their modified schedule this week due to Hurricane #Florence . @AlertDurham  s/1039897862841266177   …|false|1039962750812934145|/CityofDurhamNC/status/1039962750812934145
CityofDurhamNC|2018-09-11 09:36:56|5|11|Wondering about #Durham ’s municipal   supply during & after Hurricane #Florence ? @DurhamWater  has got it covered. Read their thread  . Also, be sure you’re following @AlertDurham  for emergency   info during this #NCwx . https://twitter.com/DurhamWater/st atus/1039502860730474497   …|Wondering about #Durham ’s municipal   supply during & after Hurricane #Florence ? @DurhamWater  has got it covered. Read their thread  . Also, be sure you’re following @AlertDurham  for emergency   info during this #NCwx .  atus/1039502860730474497   …|false|1039508088238297088|/CityofDurhamNC/status/1039508088238297088
CityofDurhamNC|2018-09-08 16:34:42|3|5|Our #Durham  Youth Commission joined City Council & @DurhamCounty  Commissioners to compete in a scavenger hunt today while also exploring downtown historic sites & markers. Afterwards, they participated in group discussions about what is needed for youth empowerment & leadership. pic.twitter.com/w7KMGjNitO|Our #Durham  Youth Commission joined City Council & @DurhamCounty  Commissioners to compete in a scavenger hunt today while also exploring downtown historic sites & markers. Afterwards, they participated in group discussions about what is needed for youth empowerment & leadership. |false|1038526061590601729|/CityofDurhamNC/status/1038526061590601729
