username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
CityofGastonia|2018-09-12 11:52:25|0|0|'Latest #Florence  update from NOAA''s National Hurricane Center.  https://www. facebook.com/CityofGastonia /posts/533880563740396   …'|'Latest #Florence  update from NOAA''s National Hurricane Center.   facebook.com/CityofGastonia /posts/533880563740396   …'|false|1039904573543071745|/CityofGastonia/status/1039904573543071745||||
CityofGastonia|2018-09-10 08:40:55|0|0|'Keep an eye on #Florence  and download #Gastonia ''s TRU app to easily report any power outages.  http://www. cityofgastonia.com/report-problem s.html   … pic.twitter.com/apxqHma8NO'|'Keep an eye on #Florence  and download #Gastonia ''s TRU app to easily report any power outages.   cityofgastonia.com/report-problem s.html   … '|false|1039131605544198144|/CityofGastonia/status/1039131605544198144||||
CityofGastonia|2018-09-14 15:45:08|0|0|Flood warning issued for the South Fork River __NEWLINE__Sunday through Wednesday.  https://www. facebook.com/CityofGastonia /posts/534867620308357   …|Flood warning issued for the South Fork River __NEWLINE__Sunday through Wednesday.   facebook.com/CityofGastonia /posts/534867620308357   …|false|1040687915989430272|/CityofGastonia/status/1040687915989430272||||
CityofGastonia|2018-09-14 16:44:14|0|0|Important information from FEMA for rumor control   https://www. fema.gov/florence-rumors     https://www. fema.gov/florence-rumors  |Important information from FEMA for rumor control    fema.gov/florence-rumors      fema.gov/florence-rumors  |false|1040702788295118851|/CityofGastonia/status/1040702788295118851||||
CityofGastonia|2018-09-20 09:50:43|0|1|'Can''t wait! Be there to support our children!  https://www. facebook.com/CityofGastonia /posts/537546543373798   …'|'Can''t wait! Be there to support our children!   facebook.com/CityofGastonia /posts/537546543373798   …'|false|1042773047915233280|/CityofGastonia/status/1042773047915233280||||
CityofGastonia|2018-09-14 20:18:55|0|0|Important information from NC Emergency Management  https://www. facebook.com/CityofGastonia /posts/534943313634121   …|Important information from NC Emergency Management   facebook.com/CityofGastonia /posts/534943313634121   …|false|1040756812780392451|/CityofGastonia/status/1040756812780392451||||
CityofGastonia|2018-09-16 14:44:47|0|0|There are several accidents on I-85  https://www. facebook.com/CityofGastonia /posts/535800143548438   …|There are several accidents on I-85   facebook.com/CityofGastonia /posts/535800143548438   …|false|1041397501922877440|/CityofGastonia/status/1041397501922877440||||
CityofGastonia|2018-09-17 07:37:28|1|2|'More roads are being closed in NC because of rising rivers. Your GPS might not know which roads are flooded. Here''s more great advice from NCDOT:  https://www. ncdot.gov/travel-maps/tr affic-travel/severe-weather/Pages/hurricane-florence.aspx   …'|'More roads are being closed in NC because of rising rivers. Your GPS might not know which roads are flooded. Here''s more great advice from NCDOT:   ncdot.gov/travel-maps/tr affic-travel/severe-weather/Pages/hurricane-florence.aspx   …'|false|1041652353861136384|/CityofGastonia/status/1041652353861136384||||
CityofGastonia|2018-09-19 10:19:49|0|2|'Video of last night''s #Gastonia  City Council meeting:  http://cityofgastonia.granicus.com/MediaPlayer.ph p?clip_id=283   … pic.twitter.com/Ol5KnsRWna'|'Video of last night''s #Gastonia  City Council meeting:   p?clip_id=283   … '|false|1042417986492145666|/CityofGastonia/status/1042417986492145666||||
CityofGastonia|2018-09-14 08:52:52|2|1|Winds in excess of 39 miles per hour are expected in #Gastonia  starting later today. pic.twitter.com/sDxN4GopJi|Winds in excess of 39 miles per hour are expected in #Gastonia  starting later today. |false|1040584165996015617|/CityofGastonia/status/1040584165996015617||||
CityofGastonia|2018-09-17 16:35:44|2|6|'What was #Gastonia ''s respond to #Florence ? Find out how many customers lost power, how the City is helping with storm debris, and where our firefighters are helping down east: https://cityofgastonia.news/2018/09/city-o f-gastonias-response-to-tropical-storm-florence/   …'|'What was #Gastonia ''s respond to #Florence ? Find out how many customers lost power, how the City is helping with storm debris, and where our firefighters are helping down east:  f-gastonias-response-to-tropical-storm-florence/   …'|false|1041787813044400130|/CityofGastonia/status/1041787813044400130||||
CityofGastonia|2018-09-14 13:30:47|0|0|The City of #Gastonia  sends emergency notifications via Blackboard Connect. Sign up now!  http://www. cityofgastonia.com/i-want-to/sign -up-for/notifications.html   … pic.twitter.com/sPU1Uj5TLl|The City of #Gastonia  sends emergency notifications via Blackboard Connect. Sign up now!   cityofgastonia.com/i-want-to/sign -up-for/notifications.html   … |false|1040654102139752448|/CityofGastonia/status/1040654102139752448||||
CityofGastonia|2018-09-16 08:46:55|2|1|Great way to remember the difference between a Watch and a Warning. Credit goes to to WCNC meteorologist Brad Panovich @wxbrad . pic.twitter.com/DXvVu3iowg|Great way to remember the difference between a Watch and a Warning. Credit goes to to WCNC meteorologist Brad Panovich @wxbrad . |false|1041307442833960966|/CityofGastonia/status/1041307442833960966||||
CityofGastonia|2018-09-15 07:49:27|0|2|'Follow @wxbrad  on Twitter. He''s a Charlotte meteorologist for the NBC affiliate, very active on Twitter. Websites include  http://spectrumlocalnews.com/nc/charlotte   ,  https://www. wcnc.com /   ,  http://wbtv.com    and  https://www. wsoctv.com /   . And @nwsgsp  is the nearest National Weather Service.'|'Follow @wxbrad  on Twitter. He''s a Charlotte meteorologist for the NBC affiliate, very active on Twitter. Websites include     ,   wcnc.com /   ,      and   wsoctv.com /   . And @nwsgsp  is the nearest National Weather Service.'|false|1040930593574412294|/CityofGastonia/status/1040930593574412294||||
CityofGastonia|2018-09-16 14:59:58|1|1|I-85 northbound is now clear following several accidents.|I-85 northbound is now clear following several accidents.|false|1041401323202273280|/CityofGastonia/status/1041401323202273280||||
