username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
CityofHighPoint|2018-09-17 11:29:08|5|16|City departments meet to recap our service response to #Florence . Of note, our longest power outage throughout the entire event was less than 3 hours. #ThankALineworker pic.twitter.com/V6tu0ZJxuA|City departments meet to recap our service response to #Florence . Of note, our longest power outage throughout the entire event was less than 3 hours. #ThankALineworker |false|1041710655131340800|/CityofHighPoint/status/1041710655131340800||||
CityofHighPoint|2018-09-14 09:28:49|1|0|.@DukeEnergy  customers in our area that experience an outage should call 800.POWERON to report it.|.@DukeEnergy  customers in our area that experience an outage should call 800.POWERON to report it.|false|1040593211658588160|/CityofHighPoint/status/1040593211658588160||||
CityofHighPoint|2018-09-14 09:11:14|0|3|'As wind speeds increase, here is a reminder on how City of High Point Electric customers can report/view power outages:__NEWLINE__• City''s mobile app (search for "City of High Point" on Apple Store or Google Play, created by @CivicPlus ): Click Power Outage icon. pic.twitter.com/eBWgkZ4tLL'|'As wind speeds increase, here is a reminder on how City of High Point Electric customers can report/view power outages:__NEWLINE__• City''s mobile app (search for "City of High Point" on Apple Store or Google Play, created by @CivicPlus ): Click Power Outage icon. '|false|1040588786621722624|/CityofHighPoint/status/1040588786621722624||||
CityofHighPoint|2018-09-19 16:36:18|0|0|pic.twitter.com/hRiASQ6pjT||false|1042512728513044480|/CityofHighPoint/status/1042512728513044480||||
CityofHighPoint|2018-09-13 09:03:09|7|7|Please make sure to secure your garbage, recycling and yard waste carts (and lids!) tonight through the weekend. Toters whipping around your neighborhood in the high wind gusts that we anticipate can cause a big mess and lots of damage. #Florence pic.twitter.com/hcgK9xmqho|Please make sure to secure your garbage, recycling and yard waste carts (and lids!) tonight through the weekend. Toters whipping around your neighborhood in the high wind gusts that we anticipate can cause a big mess and lots of damage. #Florence |false|1040224363428147201|/CityofHighPoint/status/1040224363428147201||||
CityofHighPoint|2018-09-17 16:39:16|0|10|'It''s been a very eventful weekend here in High Point, but that doesn''t stop us from having a #CityCouncil  meeting tonight at 5:30 p.m! You can view the agenda here:  https://highpoint.legistar.com/Calendar.aspx   pic.twitter.com/avC68OpNZX'|'It''s been a very eventful weekend here in High Point, but that doesn''t stop us from having a #CityCouncil  meeting tonight at 5:30 p.m! You can view the agenda here:     '|false|1041788700563329025|/CityofHighPoint/status/1041788700563329025||||
CityofHighPoint|2018-09-11 16:55:14|1|5|The Guilford Emergency Alert, Notification and Information System (GEANI) is an automated system to notify you of urgent and emergency info. If you have a traditional land line telephone number which is not marked as unpublished, you are automatically enrolled...|The Guilford Emergency Alert, Notification and Information System (GEANI) is an automated system to notify you of urgent and emergency info. If you have a traditional land line telephone number which is not marked as unpublished, you are automatically enrolled...|false|1039618390703460353|/CityofHighPoint/status/1039618390703460353||||
CityofHighPoint|2018-09-11 16:55:15|1|2|To avoid a phone call, you can also report a power outage (and view current outages) by visiting  http://www. highpointnc.gov/outage    and via our City of High Point mobile app.|To avoid a phone call, you can also report a power outage (and view current outages) by visiting   highpointnc.gov/outage    and via our City of High Point mobile app.|false|1039618396151865344|/CityofHighPoint/status/1039618396151865344||||
CityofHighPoint|2018-09-17 19:06:46|0|2|'We''re still annexing and amending. pic.twitter.com/E7tEIkpFyb'|'We''re still annexing and amending. '|false|1041825820002504704|/CityofHighPoint/status/1041825820002504704||||
CityofHighPoint|2018-09-14 09:11:15|0|0|'• City''s website:  http://www. highpointnc.gov/outage   . Like the mobile app, will require you to enter your utility account number or primary phone number on the account in order to report an outage.'|'• City''s website:   highpointnc.gov/outage   . Like the mobile app, will require you to enter your utility account number or primary phone number on the account in order to report an outage.'|false|1040588789087973378|/CityofHighPoint/status/1040588789087973378||||
CityofHighPoint|2018-09-19 09:31:34|0|7|'Our own @HPFD  Chief Reid working the phones for today''s @myfox8 /@SalvationArmyUS  Hurricane Florence Relief Telethon! pic.twitter.com/Ta4m7t6oze'|'Our own @HPFD  Chief Reid working the phones for today''s @myfox8 /@SalvationArmyUS  Hurricane Florence Relief Telethon! '|false|1042405842144952320|/CityofHighPoint/status/1042405842144952320||||
CityofHighPoint|2018-09-25 11:35:05|0|0|'We''re starting our volunteer recruitment for tax season and our VITA program! Volunteer to become a certified tax preparer and help your community by assisting low-to moderate-income households!__NEWLINE__   http://www. highpointnc.gov/VITA   pic.twitter.com/D3zQOSdYhx'|'We''re starting our volunteer recruitment for tax season and our VITA program! Volunteer to become a certified tax preparer and help your community by assisting low-to moderate-income households!__NEWLINE__    highpointnc.gov/VITA   '|false|1044611253140942853|/CityofHighPoint/status/1044611253140942853||||
CityofHighPoint|2018-09-17 18:19:19|0|0|'There are five Ordinances for Demolition on tonight''s agenda: 906 Carter St, 1700 Edmondson Pl, 205 E Springfield Rd, 1453 N Hamilton St, and 416 Willis Ave. pic.twitter.com/sLATQmgXbX'|'There are five Ordinances for Demolition on tonight''s agenda: 906 Carter St, 1700 Edmondson Pl, 205 E Springfield Rd, 1453 N Hamilton St, and 416 Willis Ave. '|false|1041813881218326529|/CityofHighPoint/status/1041813881218326529|906 Carter St|42.0593930263158|-76.8171598421053|0.0
CityofHighPoint|2018-09-11 16:55:14|2|4|...and will receive notifications affecting your area. Cell phone are not automatically enrolled – you must self-register:  http://readyguilford.com /   . You can opt-in to receive phone calls, texts and emails.|...and will receive notifications affecting your area. Cell phone are not automatically enrolled – you must self-register:   /   . You can opt-in to receive phone calls, texts and emails.|false|1039618391735238656|/CityofHighPoint/status/1039618391735238656||||
CityofHighPoint|2018-09-18 22:55:23|0|0|pic.twitter.com/cgMyyOKURS||false|1042245742038003715|/CityofHighPoint/status/1042245742038003715||||
CityofHighPoint|2018-09-13 11:28:33|2|10|Welcome to our friends from New York and Oklahoma who are staged here in High Point, ready to deploy and assist @DukeEnergy  with power! #HurricaneFlorence pic.twitter.com/SteE88NKTr|Welcome to our friends from New York and Oklahoma who are staged here in High Point, ready to deploy and assist @DukeEnergy  with power! #HurricaneFlorence |false|1040260955391844355|/CityofHighPoint/status/1040260955391844355||||
CityofHighPoint|2018-09-16 10:09:17|4|2|1529 residents without power currently, Burton and North substations affected. Report/view outages:  http://www. highpointnc.gov/outage   pic.twitter.com/ofdW16Bddb|1529 residents without power currently, Burton and North substations affected. Report/view outages:   highpointnc.gov/outage   |false|1041328169658314752|/CityofHighPoint/status/1041328169658314752||||
CityofHighPoint|2018-09-13 15:50:20|0|6|Ummmm you forgot the best kind!!!  pic.twitter.com/5P5uQiw9AQ|Ummmm you forgot the best kind!!!  |false|1040326834225856513|/CityofHighPoint/status/1040326834225856513||||
CityofHighPoint|2018-09-11 16:55:13|20|37| HURRICANE INFORMATION  __NEWLINE__We are working with our County and State partners in preparation for Hurricane #Florence . As we monitor the storm, here is important information to remember during this significant weather event:| HURRICANE INFORMATION  __NEWLINE__We are working with our County and State partners in preparation for Hurricane #Florence . As we monitor the storm, here is important information to remember during this significant weather event:|false|1039618388144926722|/CityofHighPoint/status/1039618388144926722||||
CityofHighPoint|2018-09-13 18:35:57|0|2|Stay safe, friends!|Stay safe, friends!|false|1040368512534040576|/CityofHighPoint/status/1040368512534040576||||
CityofHighPoint|2018-09-13 16:07:22|0|4|pic.twitter.com/54wEPOYHxC||false|1040331123698663424|/CityofHighPoint/status/1040331123698663424||||
CityofHighPoint|2018-09-18 12:04:15|0|0|https://twitter.com/NCEmergency/st atus/1041362764491567104   …| atus/1041362764491567104   …|false|1042081879506268160|/CityofHighPoint/status/1042081879506268160||||
CityofHighPoint|2018-09-24 09:19:31|0|2|pic.twitter.com/1K3BvcYuhp||false|1044214747904843776|/CityofHighPoint/status/1044214747904843776||||
CityofHighPoint|2018-09-07 16:42:01|1|1|'Don''t forget - tomorrow from 2 - 3 p.m. at #HiFest  is your chance to dunk Yours Truly in our dunk tank! #bewarneditalkalotofsmack  #GoDawgs pic.twitter.com/iJApqdBgyt'|'Don''t forget - tomorrow from 2 - 3 p.m. at #HiFest  is your chance to dunk Yours Truly in our dunk tank! #bewarneditalkalotofsmack  #GoDawgs '|false|1038165514760024066|/CityofHighPoint/status/1038165514760024066||||
CityofHighPoint|2018-09-07 14:27:47|0|1|'Sorry for the inconvenience! The call volume has been very high this week since Monday was a holiday and we were closed. The phone system has been overwhelmed from what we''ve heard. We''re working hard to get through the calls, thanks for your patience!'|'Sorry for the inconvenience! The call volume has been very high this week since Monday was a holiday and we were closed. The phone system has been overwhelmed from what we''ve heard. We''re working hard to get through the calls, thanks for your patience!'|false|1038131732917243906|/CityofHighPoint/status/1038131732917243906||||
CityofHighPoint|2018-09-25 09:37:29|4|6|The High Point Big Sweep will be here soon! On October 6, join volunteers across the city for this annual cleanup event. Breakfast, lunch & supplies are provided for participants. Donate canned food for entry into our $100 gift card drawings!__NEWLINE__  Register:  http://www. highpointnc.gov/bigsweep   pic.twitter.com/GMW3IDqbBN|The High Point Big Sweep will be here soon! On October 6, join volunteers across the city for this annual cleanup event. Breakfast, lunch & supplies are provided for participants. Donate canned food for entry into our $100 gift card drawings!__NEWLINE__  Register:   highpointnc.gov/bigsweep   |false|1044581659658543104|/CityofHighPoint/status/1044581659658543104||||
CityofHighPoint|2018-09-16 11:09:02|0|1|Thank you!|Thank you!|false|1041343207584530435|/CityofHighPoint/status/1041343207584530435||||
CityofHighPoint|2018-09-14 15:51:50|0|0|Interesting. Just reinstalled (on iPhone) and opened with no issues. Try deleting and reinstalling?|Interesting. Just reinstalled (on iPhone) and opened with no issues. Try deleting and reinstalling?|false|1040689602103832576|/CityofHighPoint/status/1040689602103832576||||
CityofHighPoint|2018-09-14 14:49:30|0|0|The map? Or the app itself?|The map? Or the app itself?|false|1040673912403701760|/CityofHighPoint/status/1040673912403701760||||
