'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
CityofNewBern|2018-09-18 16:33:43|23|142|NC Task Force 10. This is the team who jumped in boats & went swimming rescuing hundreds of storm victims in New Bern. Thank you. #FlorenceNC pic.twitter.com/QJOiUqGno6|NC Task Force 10. This is the team who jumped in boats & went swimming rescuing hundreds of storm victims in New Bern. Thank you. #FlorenceNC |false|1042149691113316352|/CityofNewBern/status/1042149691113316352
CityofNewBern|2018-09-11 16:20:44|0|2|Craven County is awaiting information from the State of NC on where shelters will be set up inland. We will share that info as soon as we receive it. The shelters are likely to be west of Raleigh.|Craven County is awaiting information from the State of NC on where shelters will be set up inland. We will share that info as soon as we receive it. The shelters are likely to be west of Raleigh.|false|1039609710884925441|/CityofNewBern/status/1039609710884925441
CityofNewBern|2018-09-21 15:39:17|59|42|Initial damage assessments have been completed in the City of New Bern. Final numbers: $74.5 million in residential damage from hurricane #FlorenceNC , $25.6 million in commercial damage.|Initial damage assessments have been completed in the City of New Bern. Final numbers: $74.5 million in residential damage from hurricane #FlorenceNC , $25.6 million in commercial damage.|false|1043223156092284928|/CityofNewBern/status/1043223156092284928
CityofNewBern|2018-09-16 14:33:53|6|6|Sewer systems were inundated with storm surge during #FlorenceNC . Check out these maps to see if your address is included & you need to conserve water to avoid a sewer backup inside your home.  http://cms7.revize.com/revize/newbern nc/PIO%20Pics/SewerInundationMaps.pdf   …|Sewer systems were inundated with storm surge during #FlorenceNC . Check out these maps to see if your address is included & you need to conserve water to avoid a sewer backup inside your home.   nc/PIO%20Pics/SewerInundationMaps.pdf   …|false|1041394760341245954|/CityofNewBern/status/1041394760341245954
CityofNewBern|2018-09-19 10:05:31|13|14|Pumping out floodwater from areas within Duffyfield. #FlorenceNC pic.twitter.com/ks8JerdQ3r|Pumping out floodwater from areas within Duffyfield. #FlorenceNC |false|1042414386722349058|/CityofNewBern/status/1042414386722349058
CityofNewBern|2018-09-18 15:18:41|1|4|City offices will remain closed on Wednesday, September 19.  Only essential staff need to report. Our EOC remains fully mobilized. #FlorenceNC|City offices will remain closed on Wednesday, September 19.  Only essential staff need to report. Our EOC remains fully mobilized. #FlorenceNC|false|1042130810940387330|/CityofNewBern/status/1042130810940387330
CityofNewBern|2018-09-21 12:10:24|6|6|If you're still without power, please contact us. #FlorenceNC pic.twitter.com/knM16fdQ7Y|If you're still without power, please contact us. #FlorenceNC |false|1043170589094170624|/CityofNewBern/status/1043170589094170624
CityofNewBern|2018-09-16 23:49:49|7|31|NC National Guard out of Charlotte came to visit us at the Emergency Operations Center. They're here assisting with hurricane #FlorenceNC  recovery. Thanks for your help! #newbernstrong  #teamwork pic.twitter.com/sFPKlzu1nC|NC National Guard out of Charlotte came to visit us at the Emergency Operations Center. They're here assisting with hurricane #FlorenceNC  recovery. Thanks for your help! #newbernstrong  #teamwork |false|1041534664324915200|/CityofNewBern/status/1041534664324915200
CityofNewBern|2018-09-19 15:33:13|0|0|For new construction?|For new construction?|false|1042496856226508801|/CityofNewBern/status/1042496856226508801
CityofNewBern|2018-09-15 13:41:44|54|71|Due to the existing and dangerous conditions, the City of New Bern has amended its city curfew. Effective immediately, the curfew will be in place until 7:00 am on September 17. Please help keep the citizens and first responders safe by staying inside where you are safe & secure.|Due to the existing and dangerous conditions, the City of New Bern has amended its city curfew. Effective immediately, the curfew will be in place until 7:00 am on September 17. Please help keep the citizens and first responders safe by staying inside where you are safe & secure.|false|1041019246850043913|/CityofNewBern/status/1041019246850043913
CityofNewBern|2018-09-17 12:23:48|8|9|Water System Update & Sewer System Update:   http://cms7.revize.com/revize/newbern nc/news_detail_T16_R16.php   …  #FlorenceNC|Water System Update & Sewer System Update:    nc/news_detail_T16_R16.php   …  #FlorenceNC|false|1041724411404070912|/CityofNewBern/status/1041724411404070912
CityofNewBern|2018-09-11 14:15:32|2|5|Setup of our Emergency Operations Center on Highway 55 West is almost complete. #FlorenceNC pic.twitter.com/JY72i8lgfT|Setup of our Emergency Operations Center on Highway 55 West is almost complete. #FlorenceNC |false|1039578202878947328|/CityofNewBern/status/1039578202878947328
CityofNewBern|2018-09-13 06:52:08|1|6|7am brief on hurricane #FlorenceNC  at Emergency Operations Center. pic.twitter.com/L6FfmxnS5E|7am brief on hurricane #FlorenceNC  at Emergency Operations Center. |false|1040191394323865600|/CityofNewBern/status/1040191394323865600
CityofNewBern|2018-09-14 09:30:35|147|173|CITY WATER IS SAFE TO DRINK! Misinformation floating around about New Bern's water system. Our water system is fine. It is stable & we have not lost pressure. The water tanks are full and our water is safe for consumption. If things change, we will issue a boil water advisory.|CITY WATER IS SAFE TO DRINK! Misinformation floating around about New Bern's water system. Our water system is fine. It is stable & we have not lost pressure. The water tanks are full and our water is safe for consumption. If things change, we will issue a boil water advisory.|false|1040593655965396993|/CityofNewBern/status/1040593655965396993
CityofNewBern|2018-09-16 15:36:06|11|52|Bears on the move again in New Bern! #FlorenceNC pic.twitter.com/s25nlYpU9K|Bears on the move again in New Bern! #FlorenceNC |false|1041410415664812032|/CityofNewBern/status/1041410415664812032
