username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
FOX46News|2018-09-26 13:21:02|1|4|'The York County Sheriff''s Office has arrested eight more people affiliated with the Bloods Gang in connection to a shooting incident that happened in #FortMill  earlier this month. http://bit.ly/2NIo3Fz  '|'The York County Sheriff''s Office has arrested eight more people affiliated with the Bloods Gang in connection to a shooting incident that happened in #FortMill  earlier this month.   '|false|1045000306071937025|/FOX46News/status/1045000306071937025||||
FOX46News|2018-09-11 19:54:45|0|2|# BREAKING : Police are investigating after shots were fired in Uptown, and a man later arrived at CMC-Main with life-threatening injuries. http://bit.ly/2CKAsDG  |# BREAKING : Police are investigating after shots were fired in Uptown, and a man later arrived at CMC-Main with life-threatening injuries.   |false|1039663570689163264|/FOX46News/status/1039663570689163264||||
FOX46News|2018-09-11 15:43:44|1|2|PREPARING FOR FLORENCE: President Trump is speaking with FEMA officials in the Oval Office ahead of Hurricane Florence.__NEWLINE____NEWLINE__WATCH LIVE:   http://bit.ly/2CL9goq   pic.twitter.com/8mOsuF7r5Y|PREPARING FOR FLORENCE: President Trump is speaking with FEMA officials in the Oval Office ahead of Hurricane Florence.__NEWLINE____NEWLINE__WATCH LIVE:      |false|1039600399282528259|/FOX46News/status/1039600399282528259||||
FOX46News|2018-09-29 16:47:25|0|0|A woman who was upset over services she received at a Gastonia hair braiding salon was arrested, according to Gastonia Police. https://bit.ly/2NT3CWk  |A woman who was upset over services she received at a Gastonia hair braiding salon was arrested, according to Gastonia Police.   |false|1046139407361814528|/FOX46News/status/1046139407361814528||||
FOX46News|2018-09-12 10:05:31|3|2|CAT 4 FLORENCE: @NC_Governor  is briefing the public now on #HurricaneFlorence . @fema  says it is imperative locals heed the evacuation warnings.__NEWLINE____NEWLINE__LIVE  http://facebook.com/fox46charlotte /videos/326150254785882/   … pic.twitter.com/YRNv1XnFrT|CAT 4 FLORENCE: @NC_Governor  is briefing the public now on #HurricaneFlorence . @fema  says it is imperative locals heed the evacuation warnings.__NEWLINE____NEWLINE__LIVE   /videos/326150254785882/   … |false|1039877672900456448|/FOX46News/status/1039877672900456448||||
FOX46News|2018-09-13 20:33:21|14|21|SCARY: Video from Avon, NC shows the storm surge is already beginning as #Florence  creeps in on the coast. The hurricane is expected to make landfall tomorrow morning or early afternoon. __NEWLINE____NEWLINE__CREDIT: Jason Cole Photography__NEWLINE__TRACKING FLORENCE:  http://bit.ly/2CQlxIa   pic.twitter.com/cPLcwB0ZY9|SCARY: Video from Avon, NC shows the storm surge is already beginning as #Florence  creeps in on the coast. The hurricane is expected to make landfall tomorrow morning or early afternoon. __NEWLINE____NEWLINE__CREDIT: Jason Cole Photography__NEWLINE__TRACKING FLORENCE:     |false|1040398059849609216|/FOX46News/status/1040398059849609216|Avon, NC|35.352123|-75.5104308|
FOX46News|2018-09-12 16:52:13|0|0|DETAILS-->  http://bit.ly/2CPi1Od   https://twitter.com/BrettFOX46/sta tus/1039976041928974337   …|DETAILS-->      tus/1039976041928974337   …|false|1039980022575063041|/FOX46News/status/1039980022575063041||||
FOX46News|2018-09-15 23:17:18|0|0|Where is this tree located?|Where is this tree located?|false|1041164093258981376|/FOX46News/status/1041164093258981376||||
FOX46News|2018-09-07 20:57:38|0|0|Around 250 fish found dead in west Charlotte tributary after fuel spill https://bit.ly/2NYko2a  |Around 250 fish found dead in west Charlotte tributary after fuel spill   |false|1038229841500352517|/FOX46News/status/1038229841500352517||||
FOX46News|2018-09-12 14:09:12|1|0|'.@POTUS  is urging those in the path of #HurricaneFlorerence  to act now, telling residents, "Don''t play games with it. It''s a big one." http://bit.ly/2QkjZZA  '|'.@POTUS  is urging those in the path of #HurricaneFlorerence  to act now, telling residents, "Don''t play games with it. It''s a big one."   '|false|1039938994610556929|/FOX46News/status/1039938994610556929||||
