'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
NCDOT|2018-09-21 10:00:37|0|0|Ashley:  If you had an appointment at a driver license office that was missed due to the storm, a representative from DMV will contact you to reschedule your appointment.|Ashley:  If you had an appointment at a driver license office that was missed due to the storm, a representative from DMV will contact you to reschedule your appointment.|false|1043137929806340096|/NCDOT/status/1043137929806340096
NCDOT|2018-09-17 15:10:35|307|287|For those asking about I-40... #FlorenceNC https://twitter.com/NCDOT_Trogdon/ status/1041763936427814914   …|For those asking about I-40... #FlorenceNC  status/1041763936427814914   …|false|1041766384131350528|/NCDOT/status/1041766384131350528
NCDOT|2018-09-19 16:32:13|0|2|Check  http://Drivenc.gov    for closures and updates on road conditions.  Here's the current Durham Co. list (state-maintained roads only). Look for "weather events."  https://tims.ncdot.gov/TIMS/RegionSum mary.aspx?co=32   …|Check      for closures and updates on road conditions.  Here's the current Durham Co. list (state-maintained roads only). Look for "weather events."   mary.aspx?co=32   …|false|1042511702506594305|/NCDOT/status/1042511702506594305
NCDOT|2018-09-11 09:18:16|1|1|There are no plans to reverse eastbound lanes so coastal evacuees can use all lanes. This can work well in some places, but an N.C. State University study several years ago determined that traffic would actually flow better out of Wilmington WITHOUT reversed lanes on I-40.|There are no plans to reverse eastbound lanes so coastal evacuees can use all lanes. This can work well in some places, but an N.C. State University study several years ago determined that traffic would actually flow better out of Wilmington WITHOUT reversed lanes on I-40.|false|1039503390710161408|/NCDOT/status/1039503390710161408
NCDOT|2018-09-18 17:14:59|0|1|Road conditions are still changing and we advise you stay off the roads. What’s open now may become impassable. You’ll have to use  http://DriveNC.gov    to find a route that isn’t closed.|Road conditions are still changing and we advise you stay off the roads. What’s open now may become impassable. You’ll have to use      to find a route that isn’t closed.|false|1042160077409595392|/NCDOT/status/1042160077409595392
NCDOT|2018-09-14 11:30:31|55|57|We urge you to stay home unless travel is imperative as #FlorenceNC  impacts North Carolina. Conditions will worsen as rivers and creeks rise, moreso over the next few days. Barricades and road closed signs are there to keep you and responders safe. #Florence pic.twitter.com/owZZp8cBVi|We urge you to stay home unless travel is imperative as #FlorenceNC  impacts North Carolina. Conditions will worsen as rivers and creeks rise, moreso over the next few days. Barricades and road closed signs are there to keep you and responders safe. #Florence |false|1040623838114000901|/NCDOT/status/1040623838114000901
NCDOT|2018-09-15 18:47:40|0|0|Absolutely not. The worst of the storm is just getting to the area, and many roads are already closed because of flooding or downed trees. Conditions are quickly getting worse and travel is strongly discouraged|Absolutely not. The worst of the storm is just getting to the area, and many roads are already closed because of flooding or downed trees. Conditions are quickly getting worse and travel is strongly discouraged|false|1041096239406886912|/NCDOT/status/1041096239406886912
NCDOT|2018-09-12 10:53:27|6|8|Heading from Wilmington on I-40 to I-95 north?  Here’s a shortcut:  Take I-40 west to Exit 355 (Faison), turn right on NC 403, north on US 117, and north on I-795 until you reach I-95 near Wilson. #HurricaneFlorence|Heading from Wilmington on I-40 to I-95 north?  Here’s a shortcut:  Take I-40 west to Exit 355 (Faison), turn right on NC 403, north on US 117, and north on I-795 until you reach I-95 near Wilson. #HurricaneFlorence|false|1039889732103274497|/NCDOT/status/1039889732103274497
NCDOT|2018-09-16 12:57:46|0|1|Yes, we have 5-1-1 and  http://drivenc.gov    for road updates.|Yes, we have 5-1-1 and      for road updates.|false|1041370572737916931|/NCDOT/status/1041370572737916931
NCDOT|2018-09-12 13:57:01|5|6|This week on NCDOT Now: Hurricane #Florence  is heading straight for North Carolina. Here are tips to help you throughout the storm.  https://bit.ly/2CQ7yly    #NCwx pic.twitter.com/eGp8BDJk2c|This week on NCDOT Now: Hurricane #Florence  is heading straight for North Carolina. Here are tips to help you throughout the storm.      #NCwx |false|1039935930348589056|/NCDOT/status/1039935930348589056
