'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
TownofGarner|2018-09-14 17:57:14|0|0|That’s in the county. We’re aware, tho. We understand there are power line issues there too.|That’s in the county. We’re aware, tho. We understand there are power line issues there too.|false|1040721157211807744|/TownofGarner/status/1040721157211807744
TownofGarner|2018-09-21 09:43:47|1|3|.@GarnerPRCR  hires new recreation superintendent. Congratulations, Megan!  http://www. garnernc.gov/Home/Component s/News/News/714/17   …  @NCRPA|.@GarnerPRCR  hires new recreation superintendent. Congratulations, Megan!   garnernc.gov/Home/Component s/News/News/714/17   …  @NCRPA|false|1043133691952881664|/TownofGarner/status/1043133691952881664
TownofGarner|2018-09-13 19:19:31|0|0|They will accept anything new and unopened.|They will accept anything new and unopened.|false|1040379479506472960|/TownofGarner/status/1040379479506472960
TownofGarner|2018-09-16 17:23:22|4|5|UPDATE: @GarnerPRCR  parks won’t be open Monday morning. Crews will start with debris removal and trails maintenance at Lake Benson and White Deer Parks first thing in morning. We’ll keep you posted about when those parks and others are reopened. @GarnerPolice  @Garner_NC|UPDATE: @GarnerPRCR  parks won’t be open Monday morning. Crews will start with debris removal and trails maintenance at Lake Benson and White Deer Parks first thing in morning. We’ll keep you posted about when those parks and others are reopened. @GarnerPolice  @Garner_NC|false|1041437410406617096|/TownofGarner/status/1041437410406617096
TownofGarner|2018-09-19 08:36:23|2|6|This park will be near the @TownofGarner ’s growth area. Drop in at this meeting, learn about the project and offer your thoughts. @WakeGovParks  @WakeGOV https://twitter.com/WakeGOV/status /1042143746773737473   …|This park will be near the @TownofGarner ’s growth area. Drop in at this meeting, learn about the project and offer your thoughts. @WakeGovParks  @WakeGOV  /1042143746773737473   …|false|1042391953843871744|/TownofGarner/status/1042391953843871744
TownofGarner|2018-09-15 18:18:41|1|0|(2 of 3) Motorists on 70 can detour using U-turns past U.S. 70-White Oak/Jones Sausage intersection. Traffic on White Oak northbound can detour via Timber Dr to NC 50 (Benson Rd) to 70. Motorists traveling southbound on Jones Sausage can detour via Cabela Dr to 70 westbound.|(2 of 3) Motorists on 70 can detour using U-turns past U.S. 70-White Oak/Jones Sausage intersection. Traffic on White Oak northbound can detour via Timber Dr to NC 50 (Benson Rd) to 70. Motorists traveling southbound on Jones Sausage can detour via Cabela Dr to 70 westbound.|false|1041088943800897537|/TownofGarner/status/1041088943800897537
TownofGarner|2018-09-07 20:06:18|4|6|This is one of #Garner ’s most popular annual events. Hope to see you there! https://twitter.com/GarnerFire/sta tus/1038197064717488128   …|This is one of #Garner ’s most popular annual events. Hope to see you there!  tus/1038197064717488128   …|false|1038216926030385152|/TownofGarner/status/1038216926030385152
TownofGarner|2018-09-15 14:48:46|14|48|Big thanks to our @GarnerPolice  officers who are out directing traffic at 70/White Oak. REMEMBER: When lights are out at an intersection and there are no officers directing traffic, you MUST treat it as a 4-way stop. @GarnerFire  @WakeGOV pic.twitter.com/aM20hzyzRf|Big thanks to our @GarnerPolice  officers who are out directing traffic at 70/White Oak. REMEMBER: When lights are out at an intersection and there are no officers directing traffic, you MUST treat it as a 4-way stop. @GarnerFire  @WakeGOV |false|1041036118727290880|/TownofGarner/status/1041036118727290880
TownofGarner|2018-09-18 11:10:36|3|12|ALL @GarnerPRCR  parks have reopened. Thank you, Public Works, for your hard work to get them cleaned up and made safe!|ALL @GarnerPRCR  parks have reopened. Thank you, Public Works, for your hard work to get them cleaned up and made safe!|false|1042068378205257728|/TownofGarner/status/1042068378205257728
TownofGarner|2018-09-12 15:11:14|0|0|More storm-related news. #HurricaneFlorence2018 https://twitter.com/GarnerPRCR/sta tus/1039947810177736706   …|More storm-related news. #HurricaneFlorence2018  tus/1039947810177736706   …|false|1039954609387790336|/TownofGarner/status/1039954609387790336
TownofGarner|2018-09-15 19:08:16|0|1|.@DukeEnergy  needs to answer that directly.|.@DukeEnergy  needs to answer that directly.|false|1041101423268843525|/TownofGarner/status/1041101423268843525
TownofGarner|2018-09-13 22:40:34|1|1|.@WakeGOV  says: “Donations for shelter victims can be dropped off at the Wake County Emergency Services Education Center at 221 S. Rogers Lane in Raleigh. Personal hygiene items are in highest demand. #HurricaneFlorence ”|.@WakeGOV  says: “Donations for shelter victims can be dropped off at the Wake County Emergency Services Education Center at 221 S. Rogers Lane in Raleigh. Personal hygiene items are in highest demand. #HurricaneFlorence ”|false|1040430073684389891|/TownofGarner/status/1040430073684389891
TownofGarner|2018-09-15 18:19:44|2|1|(3 of 3) The goal is to limit cross-traffic on 70 and thereby reduce risk to motorists and to police officers who have been directing traffic at the intersection. These closures are anticipated to stay in effect until power is restored in White Oak area.|(3 of 3) The goal is to limit cross-traffic on 70 and thereby reduce risk to motorists and to police officers who have been directing traffic at the intersection. These closures are anticipated to stay in effect until power is restored in White Oak area.|false|1041089206687354880|/TownofGarner/status/1041089206687354880
TownofGarner|2018-09-13 15:44:05|5|4|Info from Johnston County about their shelters--and where they stand in terms of being at capacity. Totals at shelters at 3 pm:__NEWLINE__N Johnston Middle  230 (FULL) __NEWLINE__Benson Middle 33 (capacity is 232)__NEWLINE__W Johnston High (pet friendly) 242 (capacity is 462)__NEWLINE__Clayton High 26 (capacity is 464)|Info from Johnston County about their shelters--and where they stand in terms of being at capacity. Totals at shelters at 3 pm:__NEWLINE__N Johnston Middle  230 (FULL) __NEWLINE__Benson Middle 33 (capacity is 232)__NEWLINE__W Johnston High (pet friendly) 242 (capacity is 462)__NEWLINE__Clayton High 26 (capacity is 464)|false|1040325263157092353|/TownofGarner/status/1040325263157092353
TownofGarner|2018-09-16 17:09:13|6|33|Congratulations @TheNyNy7  and thanks for sending a little   our way  this weekend. Keep making Garner proud. https://twitter.com/Colts/status/1 041387597396828160   …|Congratulations @TheNyNy7  and thanks for sending a little   our way  this weekend. Keep making Garner proud.  041387597396828160   …|false|1041433850797346817|/TownofGarner/status/1041433850797346817
TownofGarner|2018-09-17 13:37:15|5|7|Good news! We are opening Lake Benson and White Deer Parks now. @GarnerPRCR  @GarnerPolice  @WakeGOV|Good news! We are opening Lake Benson and White Deer Parks now. @GarnerPRCR  @GarnerPolice  @WakeGOV|false|1041742896653893633|/TownofGarner/status/1041742896653893633
TownofGarner|2018-09-13 19:21:04|4|7|Want to donate to the shelter at Garner Magnet HS? They will accept anything new and unopened. @Garner_NC|Want to donate to the shelter at Garner Magnet HS? They will accept anything new and unopened. @Garner_NC|false|1040379868473643008|/TownofGarner/status/1040379868473643008
TownofGarner|2018-09-15 14:32:37|0|0|pic.twitter.com/S6JvBNIEg7||false|1041032053523918849|/TownofGarner/status/1041032053523918849
TownofGarner|2018-09-27 12:13:44|2|5|The Garner Veterans Memorial was designed to honor all veterans and stands tall at the entrance of Lake Benson Park. Free guided group tours are available upon request. Contact Katie Lockhart from @GarnerPRCR  at klockhart@garnnernc.gov to schedule a tour for your group today. pic.twitter.com/rlvFtwAJ8u|The Garner Veterans Memorial was designed to honor all veterans and stands tall at the entrance of Lake Benson Park. Free guided group tours are available upon request. Contact Katie Lockhart from @GarnerPRCR  at klockhart@garnnernc.gov to schedule a tour for your group today. |false|1045345754414551047|/TownofGarner/status/1045345754414551047
