username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
TownofMorehead|2018-09-14 06:16:32|2|2|Hurricane Florance 0600 Advisory:__NEWLINE__ https://www. nhc.noaa.gov/text/refresh/M IATCUAT1+shtml/140950.shtml   … ?|Hurricane Florance 0600 Advisory:__NEWLINE__  nhc.noaa.gov/text/refresh/M IATCUAT1+shtml/140950.shtml   … ?|false|1040544820085907456|/TownofMorehead/status/1040544820085907456||||
TownofMorehead|2018-09-11 10:23:45|1|2|Carteret County Issues Evacuation Notice Ahead of Hurricane Florence pic.twitter.com/6TTxBaoKdi|Carteret County Issues Evacuation Notice Ahead of Hurricane Florence |false|1039519873309843456|/TownofMorehead/status/1039519873309843456||||
TownofMorehead|2018-09-27 11:12:20|1|1|Town of Morehead City - Update 09/27/2018 pic.twitter.com/3HCkCgkJED|Town of Morehead City - Update 09/27/2018 |false|1045330304750292992|/TownofMorehead/status/1045330304750292992||||
TownofMorehead|2018-09-14 08:21:18|10|6|Cont from MC Fire-EMS:__NEWLINE__Their is no power in Morehead City at this time. All three Morehead City Fire and EMS station have received water damage. We will provided information as it comes available.|Cont from MC Fire-EMS:__NEWLINE__Their is no power in Morehead City at this time. All three Morehead City Fire and EMS station have received water damage. We will provided information as it comes available.|false|1040576221220884480|/TownofMorehead/status/1040576221220884480||||
TownofMorehead|2018-09-15 06:40:11|0|1|Florence Public Advisory:__NEWLINE__ https://www. nhc.noaa.gov/text/refresh/M IATCPAT1+shtml/150849.shtml   …|Florence Public Advisory:__NEWLINE__  nhc.noaa.gov/text/refresh/M IATCPAT1+shtml/150849.shtml   …|false|1040913159995973633|/TownofMorehead/status/1040913159995973633||||
TownofMorehead|2018-09-24 10:13:24|2|2|pic.twitter.com/9Bv5rzVsHC||false|1044228307783495680|/TownofMorehead/status/1044228307783495680||||
TownofMorehead|2018-09-13 13:13:08|1|0|Key Message Advisory 57:__NEWLINE__ https://www. nhc.noaa.gov/refresh/graphi cs_at1+shtml/152247.shtml?key_messages#contents   …|Key Message Advisory 57:__NEWLINE__  nhc.noaa.gov/refresh/graphi cs_at1+shtml/152247.shtml?key_messages#contents   …|false|1040287272703275008|/TownofMorehead/status/1040287272703275008||||
TownofMorehead|2018-09-24 16:51:18|6|4|Town of Morehead City Update: 09/24/2018__NEWLINE__City Hall is set to reopen Tuesday, September 25th throughout the rest of the week from 8am-4pm. City Hall will have all departments up and running, but may have some limited functionality with certain matters. Thank you for your patience. pic.twitter.com/vMqTXTOaA6|Town of Morehead City Update: 09/24/2018__NEWLINE__City Hall is set to reopen Tuesday, September 25th throughout the rest of the week from 8am-4pm. City Hall will have all departments up and running, but may have some limited functionality with certain matters. Thank you for your patience. |false|1044328443326976007|/TownofMorehead/status/1044328443326976007||||
TownofMorehead|2018-09-13 14:13:15|6|1|Power Outages: __NEWLINE__We are starting to receive notices of power outages. As the day goes on make sure you have full charges on devices and have your power loss items ready!  See below:__NEWLINE__ https://www. ready.gov/power-outages  |Power Outages: __NEWLINE__We are starting to receive notices of power outages. As the day goes on make sure you have full charges on devices and have your power loss items ready!  See below:__NEWLINE__  ready.gov/power-outages  |false|1040302402526765058|/TownofMorehead/status/1040302402526765058||||
TownofMorehead|2018-09-13 18:34:55|7|5|From Morehead City Fire-EMS:__NEWLINE__With the current weather conditions Morehead City Fire and EMS will be responding to true life threatening emergencies only. We are evaluating the conditions as this event continues.|From Morehead City Fire-EMS:__NEWLINE__With the current weather conditions Morehead City Fire and EMS will be responding to true life threatening emergencies only. We are evaluating the conditions as this event continues.|false|1040368254940786688|/TownofMorehead/status/1040368254940786688||||
TownofMorehead|2018-09-10 16:43:23|3|1|State of Emergency Issued, @TownofMorehead  .  See attached Statement from Mayor Jones pic.twitter.com/OxlRcOq2c9|State of Emergency Issued, @TownofMorehead  .  See attached Statement from Mayor Jones |false|1039253021757263873|/TownofMorehead/status/1039253021757263873||||
TownofMorehead|2018-09-14 16:23:15|1|1|Hurricane Florence Update Statement:__NEWLINE__ https://www. nhc.noaa.gov/text/refresh/M IATCUAT1+shtml/141955.shtml   … ?|Hurricane Florence Update Statement:__NEWLINE__  nhc.noaa.gov/text/refresh/M IATCUAT1+shtml/141955.shtml   … ?|false|1040697508031328258|/TownofMorehead/status/1040697508031328258||||
TownofMorehead|2018-09-13 18:35:49|6|9|From Morehead City Fire-EMS: Continued:__NEWLINE__We are aware that power lines are down and trees are down, we are not responding to these events until conditions improve. As night falls it is very important that you do NOT attempt to travel. The darkness hides many very dangerous hazards|From Morehead City Fire-EMS: Continued:__NEWLINE__We are aware that power lines are down and trees are down, we are not responding to these events until conditions improve. As night falls it is very important that you do NOT attempt to travel. The darkness hides many very dangerous hazards|false|1040368479700955136|/TownofMorehead/status/1040368479700955136||||
TownofMorehead|2018-09-13 17:04:32|1|0|Key Messages Advisory 58:__NEWLINE__ https://www. nhc.noaa.gov/refresh/graphi cs_at1+shtml/152247.shtml?key_messages#contents   …|Key Messages Advisory 58:__NEWLINE__  nhc.noaa.gov/refresh/graphi cs_at1+shtml/152247.shtml?key_messages#contents   …|false|1040345507556671488|/TownofMorehead/status/1040345507556671488||||
TownofMorehead|2018-09-14 08:21:01|9|6|'From Morehead City Fire-EMS:__NEWLINE__The Morehead City Fire and EMS is still restricting response to Life Threatening Emergencies only at this time. The Town of Morehead City has received significant damage, hundreds if not thousands of tree''s are down.'|'From Morehead City Fire-EMS:__NEWLINE__The Morehead City Fire and EMS is still restricting response to Life Threatening Emergencies only at this time. The Town of Morehead City has received significant damage, hundreds if not thousands of tree''s are down.'|false|1040576147225018368|/TownofMorehead/status/1040576147225018368||||
TownofMorehead|2018-09-13 16:17:36|4|1|Press Release from Carteret County Emergency Services pic.twitter.com/FCH0Oa3ABU|Press Release from Carteret County Emergency Services |false|1040333698401546245|/TownofMorehead/status/1040333698401546245||||
TownofMorehead|2018-09-14 10:30:49|4|2|pic.twitter.com/cPLTpeIrQZ||false|1040608814125465602|/TownofMorehead/status/1040608814125465602||||
TownofMorehead|2018-09-13 19:56:14|1|2|County Tornado Warning Until 8:15. Please take shelter|County Tornado Warning Until 8:15. Please take shelter|false|1040388715904937984|/TownofMorehead/status/1040388715904937984||||
TownofMorehead|2018-09-15 07:16:14|5|7|pic.twitter.com/vC3xMAhHEE||false|1040922233475084288|/TownofMorehead/status/1040922233475084288||||
