'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WHKY|2018-09-18 13:57:04|0|0|Tree Falls, Shuts Down Road In Lenoir  http://dlvr.it/Qkc8qw   pic.twitter.com/ZRJK0hfEhp|Tree Falls, Shuts Down Road In Lenoir     |false|1042110268480806913|/WHKY/status/1042110268480806913
WHKY|2018-09-25 14:52:05|0|0|Hickory Woman Indicted On Murder Charge  http://dlvr.it/QlLwfh   pic.twitter.com/OSff5nlqKa|Hickory Woman Indicted On Murder Charge     |false|1044660831097520128|/WHKY/status/1044660831097520128
WHKY|2018-09-20 04:50:45|0|0|Catawba County Teenager One Of New Suspects On Area Most Wanted List http://dlvr.it/QknV8B  |Catawba County Teenager One Of New Suspects On Area Most Wanted List   |false|1042697559947399168|/WHKY/status/1042697559947399168
WHKY|2018-09-25 12:36:56|0|0|App's Jones Named Sun Belt Conference Special Teams Player of the Week  http://dlvr.it/QlLGkH   pic.twitter.com/TThWQjkPxb|App's Jones Named Sun Belt Conference Special Teams Player of the Week     |false|1044626817108205568|/WHKY/status/1044626817108205568
WHKY|2018-09-20 17:55:03|0|0|Lincolnton Daycare Worker Given Suspended Sentence in Child Abuse Case  http://dlvr.it/QksGLS   pic.twitter.com/5kpnCNGDEH|Lincolnton Daycare Worker Given Suspended Sentence in Child Abuse Case     |false|1042894936893403136|/WHKY/status/1042894936893403136
WHKY|2018-09-12 05:21:03|0|0|Residents Of Lenoir Home Charged With Felony Drug Offenses http://dlvr.it/QjwgYf  |Residents Of Lenoir Home Charged With Felony Drug Offenses   |false|1039806082980298753|/WHKY/status/1039806082980298753
WHKY|2018-09-19 22:16:02|0|0|App Cross Country Sweeps Sun Belt Runner Awards http://dlvr.it/Qkm6dZ  |App Cross Country Sweeps Sun Belt Runner Awards   |false|1042598228481388544|/WHKY/status/1042598228481388544
WHKY|2018-09-28 08:40:06|0|0|High School Volleyball Results From Thursday, 9/27/18  http://dlvr.it/Qlg4fk   pic.twitter.com/OcVY5NJsAk|High School Volleyball Results From Thursday, 9/27/18     |false|1045654382581178368|/WHKY/status/1045654382581178368
WHKY|2018-09-27 12:44:54|0|0|Morning Arrest In Burke County Results In Felony Drug Charges  http://dlvr.it/QlZQ83   pic.twitter.com/U6AkWhRf2T|Morning Arrest In Burke County Results In Felony Drug Charges     |false|1045353597829971969|/WHKY/status/1045353597829971969
WHKY|2018-09-28 05:57:06|0|0|Public Comment Period Underway For Local Road Project Proposals  http://dlvr.it/QlfHkz   pic.twitter.com/O4kt5OAvBw|Public Comment Period Underway For Local Road Project Proposals     |false|1045613362250313731|/WHKY/status/1045613362250313731
WHKY|2018-09-21 10:54:05|0|0|H.P.D. Investigating Armed Robbery at Cubbard Express  http://dlvr.it/QkxHPw   pic.twitter.com/1A5HmIQYDB|H.P.D. Investigating Armed Robbery at Cubbard Express     |false|1043151382709075968|/WHKY/status/1043151382709075968
WHKY|2018-09-09 23:12:04|1|3|Lenoir-Rhyne Tennis Teams Open Fall Play at Wingate Invitational  http://dlvr.it/QjgSDK   pic.twitter.com/4Uz9T1WYGX|Lenoir-Rhyne Tennis Teams Open Fall Play at Wingate Invitational     |false|1038988448365834240|/WHKY/status/1038988448365834240
