'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
WITN|2018-09-28 08:45:00|0|0|Saving Graces: Everette is up for adoption https://www. witn.com/content/news/S aving-Graces-Everette-is-up-for-adoption-494597651.html   …|Saving Graces: Everette is up for adoption  witn.com/content/news/S aving-Graces-Everette-is-up-for-adoption-494597651.html   …|false|1045655616394600448|/WITN/status/1045655616394600448
WITN|2018-09-28 06:45:02|5|10|Congratulations to Tom Harrison of Plymouth, our Bojangles' Sunrise Photo Contest winner of the week! He snapped this photo of a Post-Florence Sunrise and has won a $20 gift card to Bojangles'! pic.twitter.com/qiqCTORyzp|Congratulations to Tom Harrison of Plymouth, our Bojangles' Sunrise Photo Contest winner of the week! He snapped this photo of a Post-Florence Sunrise and has won a $20 gift card to Bojangles'! |false|1045625425681092608|/WITN/status/1045625425681092608
WITN|2018-09-16 10:49:20|2|10|# florencehurricane  #MenAtWork https://twitter.com/TylerFeldmanTV /status/1040857125365399553   …|# florencehurricane  #MenAtWork  /status/1040857125365399553   …|false|1041338249959104513|/WITN/status/1041338249959104513
WITN|2018-09-19 05:00:01|1|0|Power outage update: 252,596 remain without electricity Wednesday http://www. witn.com/content/news/P ower-outage-update-500000-remain-without-electricity-493453371.html   …|Power outage update: 252,596 remain without electricity Wednesday  witn.com/content/news/P ower-outage-update-500000-remain-without-electricity-493453371.html   …|false|1042337504240828416|/WITN/status/1042337504240828416
WITN|2018-09-13 17:15:01|2|0|We have an updated list of curfews across Eastern Carolina. Click the link to see if your community if affected. http://bit.ly/2CRCuSH  |We have an updated list of curfews across Eastern Carolina. Click the link to see if your community if affected.   |false|1040348147476819970|/WITN/status/1040348147476819970
WITN|2018-09-13 17:54:38|0|1|@ EngelWX  says we're up to 4.2 inches of rain in Newport and Havelock.  He'll have updates throughout the night.  Parts of the viewing area could be facing 24 hours of tropical storm conditions.  #HurricaneFlorence|@ EngelWX  says we're up to 4.2 inches of rain in Newport and Havelock.  He'll have updates throughout the night.  Parts of the viewing area could be facing 24 hours of tropical storm conditions.  #HurricaneFlorence|false|1040358115676438530|/WITN/status/1040358115676438530
WITN|2018-09-16 12:00:16|6|3|WITN is looking for a John boat or something similar in the Jacksonville area so we can get fuel to our news crews.  If you can help please contact our news room at WITN 252-439-7770|WITN is looking for a John boat or something similar in the Jacksonville area so we can get fuel to our news crews.  If you can help please contact our news room at WITN 252-439-7770|false|1041356100904345600|/WITN/status/1041356100904345600
WITN|2018-09-10 13:53:31|5|9|East Carolina University says classes scheduled to start after noon Tuesday will be cancelled. All classes will then be cancelled for the remainder of the week.  http://www. witn.com/content/news/E CU-cancelling-classes-ahead-of-Hurricane-Florence-492874701.html   … pic.twitter.com/5Z5J6S1Cbz|East Carolina University says classes scheduled to start after noon Tuesday will be cancelled. All classes will then be cancelled for the remainder of the week.   witn.com/content/news/E CU-cancelling-classes-ahead-of-Hurricane-Florence-492874701.html   … |false|1039210272404242432|/WITN/status/1039210272404242432
WITN|2018-09-11 17:24:42|8|3|Hurricane Florence (Currents as of Tuesday evening)__NEWLINE__Category: Category 4 Hurricane__NEWLINE__Sustained Winds: 140 mph__NEWLINE__Pressure: 950 mb__NEWLINE__Movement: West-Northwest 17 mph__NEWLINE__Location: 27.5N, 67.1W or about 700 miles SE of Cape Hatteras, NC  http://www. witn.com/content/news/T ropical-Update-Tropical-Storm-Florence-forms-in-the-eastern-Atlantic-492248861.html   … pic.twitter.com/6RzfNJwU6e|Hurricane Florence (Currents as of Tuesday evening)__NEWLINE__Category: Category 4 Hurricane__NEWLINE__Sustained Winds: 140 mph__NEWLINE__Pressure: 950 mb__NEWLINE__Movement: West-Northwest 17 mph__NEWLINE__Location: 27.5N, 67.1W or about 700 miles SE of Cape Hatteras, NC   witn.com/content/news/T ropical-Update-Tropical-Storm-Florence-forms-in-the-eastern-Atlantic-492248861.html   … |false|1039625808309088256|/WITN/status/1039625808309088256
WITN|2018-09-14 11:22:19|7|7|Runaway bear.  #NewBern  #FlorenceHurricane2018 https://twitter.com/CityofNewBern/ status/1040616093100986370   …|Runaway bear.  #NewBern  #FlorenceHurricane2018  status/1040616093100986370   …|false|1040621773744758784|/WITN/status/1040621773744758784
WITN|2018-09-28 10:50:02|0|1|Greene County was added to the list of counties where people are eligible for assistance on Thursday, September 27.  https://www. witn.com/content/news/G reene-County-designated-for-individual-assistance-494569221.html   … pic.twitter.com/gy0BmRx9aU|Greene County was added to the list of counties where people are eligible for assistance on Thursday, September 27.   witn.com/content/news/G reene-County-designated-for-individual-assistance-494569221.html   … |false|1045687078477074433|/WITN/status/1045687078477074433
WITN|2018-09-27 14:04:45|0|0|The death toll now stands at 48 deaths in three states, 37 of them in North Carolina.  https://www. witn.com/content/news/F lorence-death-toll-increases-1500-still-in-NC-shelters-494526121.html   … pic.twitter.com/IitsW6L21e|The death toll now stands at 48 deaths in three states, 37 of them in North Carolina.   witn.com/content/news/F lorence-death-toll-increases-1500-still-in-NC-shelters-494526121.html   … |false|1045373695546585094|/WITN/status/1045373695546585094
WITN|2018-09-26 13:15:05|0|0|Releases of more water from two dams in the Raleigh area should bring no additional flooding to the Neuse & Cape Fear rivers, according to the U.S. Army Corps of Engineers.  https://www. witn.com/content/news/F EDS--Raleigh-dam-releases-should-bring-no-addition-flooding-to-Neuse-494390131.html   … pic.twitter.com/uoETHSBObI|Releases of more water from two dams in the Raleigh area should bring no additional flooding to the Neuse & Cape Fear rivers, according to the U.S. Army Corps of Engineers.   witn.com/content/news/F EDS--Raleigh-dam-releases-should-bring-no-addition-flooding-to-Neuse-494390131.html   … |false|1044998808218849281|/WITN/status/1044998808218849281
WITN|2018-09-19 13:27:34|0|0|A woman who helped kidnap Elizabeth Smart when she was a teenager and stood by as the Utah girl was sexually assaulted was released Wednesday after spending 15 years in prison. http://www. witn.com/content/news/E lizabeth-Smart-Kidnapping-accomplices-apology-fell-short-493723471.html   …|A woman who helped kidnap Elizabeth Smart when she was a teenager and stood by as the Utah girl was sexually assaulted was released Wednesday after spending 15 years in prison.  witn.com/content/news/E lizabeth-Smart-Kidnapping-accomplices-apology-fell-short-493723471.html   …|false|1042465234831765512|/WITN/status/1042465234831765512
