username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
WLOS_13|2018-09-19 10:55:00|1|3|'Sesame Street wants to clarify: Bert and Ernie aren''t gay  http://bit.ly/2pmL9mt   pic.twitter.com/UrF49VecLY'|'Sesame Street wants to clarify: Bert and Ernie aren''t gay     '|false|1042426838927265792|/WLOS_13/status/1042426838927265792||||
WLOS_13|2018-09-13 09:40:00|0|0|Haywood County accommodates Hurricane Florence evacuees  http://bit.ly/2Mq9cK4   pic.twitter.com/QqYan1hnvA|Haywood County accommodates Hurricane Florence evacuees     |false|1040233636866347008|/WLOS_13/status/1040233636866347008||||
WLOS_13|2018-09-14 15:14:50|4|2|Police: Mother, infant first fatalities of Hurricane Florence in Wilmington  http://bit.ly/2NIiFBn   pic.twitter.com/XSzCRXPERM|Police: Mother, infant first fatalities of Hurricane Florence in Wilmington     |false|1040680288916045824|/WLOS_13/status/1040680288916045824||||
WLOS_13|2018-09-16 17:58:15|0|0|Officials have confirmed a 16th death attributed to Florence  http://bit.ly/2Qz0r3O   pic.twitter.com/eoGaP4LhRj|Officials have confirmed a 16th death attributed to Florence     |false|1041446191718907905|/WLOS_13/status/1041446191718907905||||
WLOS_13|2018-09-25 08:15:00|1|3|'A top prospect making a great catch at the back of the endzone--an 85 yard TD run and the exciting wrapup to the grand opening of a brand new sporting facility. We''ve got it all in our Top 5 Plays of the Week  http://bit.ly/2IfSPj0   pic.twitter.com/v91OwTBWyH'|'A top prospect making a great catch at the back of the endzone--an 85 yard TD run and the exciting wrapup to the grand opening of a brand new sporting facility. We''ve got it all in our Top 5 Plays of the Week     '|false|1044560900361936897|/WLOS_13/status/1044560900361936897||||
WLOS_13|2018-09-26 21:00:01|0|0|Third accuser says she witnessed sexually aggressive behavior by Kavanaugh in high school  http://bit.ly/2NEqKYB   pic.twitter.com/d8UdxszeQq|Third accuser says she witnessed sexually aggressive behavior by Kavanaugh in high school     |false|1045115810321240064|/WLOS_13/status/1045115810321240064||||
WLOS_13|2018-09-18 06:20:00|1|1|'South Carolina Gov. Henry McMaster''s flight over soggy parts of the state Monday turned from an observation trip to a rescue mission when he spotted two people stranded atop a flooded vehicle  http://bit.ly/2xl4NDF   pic.twitter.com/8hvA8frqTd'|'South Carolina Gov. Henry McMaster''s flight over soggy parts of the state Monday turned from an observation trip to a rescue mission when he spotted two people stranded atop a flooded vehicle     '|false|1041995244798181377|/WLOS_13/status/1041995244798181377||||
WLOS_13|2018-09-12 12:19:32|0|0|Haywood Regional initiates Emergency Response Plan in preparation for Hurricane Florence  http://bit.ly/2x9LNqX   pic.twitter.com/avMp6lERd5|Haywood Regional initiates Emergency Response Plan in preparation for Hurricane Florence     |false|1039911396169981952|/WLOS_13/status/1039911396169981952||||
WLOS_13|2018-09-25 18:10:00|1|2|WNC schools help with Hurricane Florence aid  http://bit.ly/2Dufx8q   pic.twitter.com/CQVYCIzL6M|WNC schools help with Hurricane Florence aid     |false|1044710637186637824|/WLOS_13/status/1044710637186637824||||
WLOS_13|2018-09-27 07:20:00|0|2|1 person seriously injured in crash on U.S. 64 in Henderson County  http://bit.ly/2ONTpXv   pic.twitter.com/O3y2Xa42Oh|1 person seriously injured in crash on U.S. 64 in Henderson County     |false|1045271834952851457|/WLOS_13/status/1045271834952851457||||
WLOS_13|2018-09-10 18:00:01|1|0|WANTED, PLEASE SHARE Asheville Police ask for help finding woman with multiple open warrants  http://bit.ly/2NzYzZS   pic.twitter.com/Y0pSs72omL|WANTED, PLEASE SHARE Asheville Police ask for help finding woman with multiple open warrants     |false|1039272307208859648|/WLOS_13/status/1039272307208859648||||
WLOS_13|2018-09-14 08:15:00|0|2|People who live near massive slide on Highway 9 worry about heavy rain from Florence  http://bit.ly/2OjNrh7   pic.twitter.com/qEVIlULqxf|People who live near massive slide on Highway 9 worry about heavy rain from Florence     |false|1040574634964348928|/WLOS_13/status/1040574634964348928||||
