username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
WRAL|2018-09-17 05:00:09|0|0|New story: 86-year-old couple killed in Fayetteville house fire during Florence  http://wr.al/1CtNW    #wral|New story: 86-year-old couple killed in Fayetteville house fire during Florence      #wral|false|1041612761686568961|/WRAL/status/1041612761686568961||||
WRAL|2018-09-14 21:22:50|0|0|What town, please?|What town, please?|false|1040772899429408768|/WRAL/status/1040772899429408768||||
WRAL|2018-09-27 08:33:05|0|5|'New story: Here''s why there are no more chairs at Disneyland  http://wr.al/1D0Q4    #wral'|'New story: Here''s why there are no more chairs at Disneyland      #wral'|false|1045290229526130689|/WRAL/status/1045290229526130689||||
WRAL|2018-09-21 07:06:05|0|0|New story: Colorado meatpacker recalls ground beef after E. coli death  http://wr.al/1CwUE    #wral|New story: Colorado meatpacker recalls ground beef after E. coli death      #wral|false|1043094005385445376|/WRAL/status/1043094005385445376||||
WRAL|2018-09-08 22:39:08|6|2|New story: NC Wanted: Despite eyewitnesses, 2010 murder of FSU student remains unsolved  http://wr.al/1CoPs    #wral|New story: NC Wanted: Despite eyewitnesses, 2010 murder of FSU student remains unsolved      #wral|false|1038617775303020545|/WRAL/status/1038617775303020545||||
WRAL|2018-09-26 17:24:04|2|3|New story: After church floods, community members help rebuild  http://wr.al/1D0GM    #wral|New story: After church floods, community members help rebuild      #wral|false|1045061467685494784|/WRAL/status/1045061467685494784||||
WRAL|2018-09-20 13:33:04|1|1|'New story: Foreign government hackers target US senators, aides'' Gmail  http://wr.al/1CwEC    #wral'|'New story: Foreign government hackers target US senators, aides'' Gmail      #wral'|false|1042829007887233024|/WRAL/status/1042829007887233024||||
WRAL|2018-09-12 16:45:06|0|1|New story: Drake, Cardi B lead American Music Awards with 8 nods each  http://wr.al/1CqUU    #wral|New story: Drake, Cardi B lead American Music Awards with 8 nods each      #wral|false|1039978229984096259|/WRAL/status/1039978229984096259||||
WRAL|2018-09-27 16:42:05|1|3|New story: Russian paper: Villagers ID Russian suspect in UK poisoning  http://wr.al/1D0e0    #wral|New story: Russian paper: Villagers ID Russian suspect in UK poisoning      #wral|false|1045413289348476928|/WRAL/status/1045413289348476928|Villagers, ID|||
WRAL|2018-09-13 13:42:04|27|31|Starting to see power outages stack up along the coast as #Florence  impacts the shore, via Duke Energy outage tracker. That spot on the end near Carteret County is more than 3,000 customers. #wral  #florence pic.twitter.com/E2Xt6bHcrP|Starting to see power outages stack up along the coast as #Florence  impacts the shore, via Duke Energy outage tracker. That spot on the end near Carteret County is more than 3,000 customers. #wral  #florence |false|1040294555164258306|/WRAL/status/1040294555164258306||||
