username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
WXII|2018-09-20 07:45:20|0|0|13 rare dog breeds that make the best pets  http://bit.ly/2MQ8h5W   pic.twitter.com/6w799sNy2j|13 rare dog breeds that make the best pets     |false|1042741495386787840|/WXII/status/1042741495386787840||||
WXII|2018-09-07 13:20:08|0|1|WATCH: Keeping an Eye on Florence and Weekend Storm Chances  http://dlvr.it/QjSW86   pic.twitter.com/CQ3WlFpca6|WATCH: Keeping an Eye on Florence and Weekend Storm Chances     |false|1038114707440189440|/WXII/status/1038114707440189440||||
WXII|2018-09-12 21:20:19|1|0|Here is the latest satellite view of #HurricaneFlorence . For how to prepare & more details on the hurricane click here:  http://bit.ly/WXIIFlorence   pic.twitter.com/obuXKDKeKF|Here is the latest satellite view of #HurricaneFlorence . For how to prepare & more details on the hurricane click here:     |false|1040047490433789955|/WXII/status/1040047490433789955||||
WXII|2018-09-27 00:00:54|0|1|Judge: Driver must spend anniversary of deadly crash in jail — every year for next 10 years  http://bit.ly/2QdqZqs   pic.twitter.com/WqOLAYkD8n|Judge: Driver must spend anniversary of deadly crash in jail — every year for next 10 years     |false|1045161330863480832|/WXII/status/1045161330863480832||||
WXII|2018-09-28 20:15:17|1|7|US flag that caused waves during Hurricane Florence going for thousands at auction  http://bit.ly/2QebeiX   pic.twitter.com/HqLnXdAPfa|US flag that caused waves during Hurricane Florence going for thousands at auction     |false|1045829329610043392|/WXII/status/1045829329610043392||||
WXII|2018-09-12 11:08:19|0|0|Woman accused of making up firefighter husband to get $11,000 in donations  http://dlvr.it/QjySZP   pic.twitter.com/ddUW41q5Qt|Woman accused of making up firefighter husband to get $11,000 in donations     |false|1039893476559663104|/WXII/status/1039893476559663104||||
WXII|2018-09-27 05:59:06|0|0|'Body of woman believed to be missing 89-year-old found in sex offender''s trunk  http://dlvr.it/QlXCJ1   pic.twitter.com/TtMdbMVacJ'|'Body of woman believed to be missing 89-year-old found in sex offender''s trunk     '|false|1045251478229725184|/WXII/status/1045251478229725184||||
WXII|2018-09-24 06:45:21|1|0|Argument over Bruno Mars song leads to fight, drawn gun  http://bit.ly/2PW9aMi   pic.twitter.com/KW4YDIm223|Argument over Bruno Mars song leads to fight, drawn gun     |false|1044175953096790017|/WXII/status/1044175953096790017||||
WXII|2018-09-21 10:15:10|0|1|Trump calls out Brett Kavanaugh’s accuser on Twitter  http://dlvr.it/Qkx4kj   pic.twitter.com/6aw6rJFZHy|Trump calls out Brett Kavanaugh’s accuser on Twitter     |false|1043141589105704961|/WXII/status/1043141589105704961||||
WXII|2018-09-17 17:00:11|1|3|Firm says Florence has caused billions in damage  http://dlvr.it/QkVz35   pic.twitter.com/6HgJLPptut|Firm says Florence has caused billions in damage     |false|1041793966616719362|/WXII/status/1041793966616719362||||
WXII|2018-09-23 16:15:20|1|2|WeWilmRebuild group works to collect donations for hurricane victims  http://bit.ly/2O2tSgh   pic.twitter.com/TVtGx4RhEa|WeWilmRebuild group works to collect donations for hurricane victims     |false|1043957006170820608|/WXII/status/1043957006170820608||||
WXII|2018-09-29 00:30:36|0|0|'Family''s tragic loss transforms into help for kids  http://bit.ly/2QmlYvV   pic.twitter.com/spn0jGC4ZV'|'Family''s tragic loss transforms into help for kids     '|false|1045893582274605056|/WXII/status/1045893582274605056||||
WXII|2018-09-11 02:15:30|0|0|'New ''Sunday Night Football'' song by Carrie Underwood is making NFL fans upset  http://bit.ly/2O5plGM   pic.twitter.com/Tv9JD3QDtA'|'New ''Sunday Night Football'' song by Carrie Underwood is making NFL fans upset     '|false|1039396999710134273|/WXII/status/1039396999710134273||||
WXII|2018-09-24 12:17:11|0|1|Get a first look at Joaquin Phoenix as the Joker  http://dlvr.it/QlDGkt   pic.twitter.com/X5efW3RrED|Get a first look at Joaquin Phoenix as the Joker     |false|1044259459277578240|/WXII/status/1044259459277578240||||
WXII|2018-09-13 21:23:11|5|3|# HurricaneFlorence  continues moving near the NC Coast. Gusts may reach as high as 50 mph in the Triad, 35 mph in the Foothills, and 20-30 mph  in the mountains.  Flash Flood Watches are also in effect for some parts of the Piedmont:  http://bit.ly/WXIIFlorence   pic.twitter.com/w3TnoiZVqB|# HurricaneFlorence  continues moving near the NC Coast. Gusts may reach as high as 50 mph in the Triad, 35 mph in the Foothills, and 20-30 mph  in the mountains.  Flash Flood Watches are also in effect for some parts of the Piedmont:     |false|1040410601569349634|/WXII/status/1040410601569349634||||
WXII|2018-09-20 04:15:32|1|2|3.4 million poultry, 5,500 hogs drowned in Florence flooding  http://bit.ly/2MK7bJ6   pic.twitter.com/g8lmm5m66y|3.4 million poultry, 5,500 hogs drowned in Florence flooding     |false|1042688697341304832|/WXII/status/1042688697341304832||||
WXII|2018-09-16 23:06:16|1|1|WXII WEATHER ALERT: Flash Flood Warning for Carroll, Grayson, Patrick and City of Galax in VA until 3:00am Monday. Radar at  http://Bit.ly/WXIIRadar    #VAWX|WXII WEATHER ALERT: Flash Flood Warning for Carroll, Grayson, Patrick and City of Galax in VA until 3:00am Monday. Radar at      #VAWX|false|1041523706088968193|/WXII/status/1041523706088968193||||
WXII|2018-09-20 17:21:05|0|0|The top 12 best jobs you can do from home  http://dlvr.it/Qks8jl   pic.twitter.com/0XH1g1ow1q|The top 12 best jobs you can do from home     |false|1042886386284556288|/WXII/status/1042886386284556288||||
WXII|2018-09-14 13:24:06|1|2|The latest reported wind gusts from #HurricaneFlorence  are listed below.  WIND GUSTS inland  near the Triad may reach near 50 mph, 35 mph for the Foothills, 20-30 mph in the Mountains. Rainfall forecast inland is TRACK DEPENDENT:  http://bit.ly/WXIIFlorence   pic.twitter.com/XZCWtgdeFv|The latest reported wind gusts from #HurricaneFlorence  are listed below.  WIND GUSTS inland  near the Triad may reach near 50 mph, 35 mph for the Foothills, 20-30 mph in the Mountains. Rainfall forecast inland is TRACK DEPENDENT:     |false|1040652422530691073|/WXII/status/1040652422530691073||||
WXII|2018-09-20 23:53:05|0|0|WATCH: Stray Friday Storms and Weekend Storm Chances!  http://dlvr.it/QktR4r   pic.twitter.com/Rvc5ch23AV|WATCH: Stray Friday Storms and Weekend Storm Chances!     |false|1042985038181097472|/WXII/status/1042985038181097472||||
WXII|2018-09-22 09:45:16|1|2|Caught on cam: Shopper finds dropped wallet, hightails it out of store, police say  http://bit.ly/2O1KhBH   pic.twitter.com/agEHUkzEB7|Caught on cam: Shopper finds dropped wallet, hightails it out of store, police say     |false|1043496454411771904|/WXII/status/1043496454411771904||||
WXII|2018-09-11 13:35:09|4|5|Here’s what it looks like to fly directly into eye of Hurricane Florence  http://dlvr.it/QjsDzK   pic.twitter.com/xm9engymhB|Here’s what it looks like to fly directly into eye of Hurricane Florence     |false|1039568039761436672|/WXII/status/1039568039761436672||||
WXII|2018-09-16 07:34:11|5|7|Wow. These photos of North Carolina before and after #HurricaneFlorence  made landfall are truly eerie.  https://bit.ly/2OrpCE9   pic.twitter.com/vFjoGKrVF9|Wow. These photos of North Carolina before and after #HurricaneFlorence  made landfall are truly eerie.     |false|1041289136928444416|/WXII/status/1041289136928444416||||
WXII|2018-09-18 18:42:07|0|0|WATCH: Drying out, less humid too  http://dlvr.it/QkdJMn   pic.twitter.com/HnxQNJvETv|WATCH: Drying out, less humid too     |false|1042182004047994880|/WXII/status/1042182004047994880||||
WXII|2018-09-07 17:15:23|0|0|Official: Woman lit dynamite, thinking it was candle; blew off fingers  http://bit.ly/2NY94Dm   pic.twitter.com/KpxfqCYrnp|Official: Woman lit dynamite, thinking it was candle; blew off fingers     |false|1038173911425404928|/WXII/status/1038173911425404928||||
WXII|2018-09-26 06:43:06|0|0|'Dad calls middle school ''inappropriate'' for asking kids to dress based on relationship status  http://dlvr.it/QlQP7k   pic.twitter.com/oeHhEW7ALt'|'Dad calls middle school ''inappropriate'' for asking kids to dress based on relationship status     '|false|1044900163372822533|/WXII/status/1044900163372822533||||
WXII|2018-09-22 04:58:07|0|0|‘America’s Got Talent’ finalist Michael Ketterer arrested for domestic violence  http://dlvr.it/Ql1BKk   pic.twitter.com/LkENhdAfRq|‘America’s Got Talent’ finalist Michael Ketterer arrested for domestic violence     |false|1043424189716213760|/WXII/status/1043424189716213760||||
WXII|2018-09-23 15:30:46|1|0|Church that firefighter was supposed to be married in bursts into flames  http://bit.ly/2O5lSuV   pic.twitter.com/e9eYPectL2|Church that firefighter was supposed to be married in bursts into flames     |false|1043945789863735296|/WXII/status/1043945789863735296||||
WXII|2018-09-22 10:30:32|1|4|Salute to Heroes: Former Greensboro mayor helps bring Carolina Field of Honor to Triad  http://bit.ly/2PS33Zw   pic.twitter.com/DtKAR2bNXu|Salute to Heroes: Former Greensboro mayor helps bring Carolina Field of Honor to Triad     |false|1043507847290662912|/WXII/status/1043507847290662912||||
WXII|2018-09-21 00:45:31|3|0|'Hes gonna kill me if I don''t get away'': Woman sends frightening texts before vanishing  http://bit.ly/2ppva6X   pic.twitter.com/EQWjaMwEm6'|'Hes gonna kill me if I don''t get away'': Woman sends frightening texts before vanishing     '|false|1042998233390186498|/WXII/status/1042998233390186498||||
WXII|2018-09-13 00:20:20|0|0|Here is the latest satellite view of #HurricaneFlorence . For how to prepare & more details on the hurricane click here:  http://bit.ly/WXIIFlorence   pic.twitter.com/EgqPH1h31r|Here is the latest satellite view of #HurricaneFlorence . For how to prepare & more details on the hurricane click here:     |false|1040092794629644288|/WXII/status/1040092794629644288||||
WXII|2018-09-10 20:00:51|0|0|'This woman''s dream home turned into a toxic mold nightmare  http://bit.ly/2oVFN15   pic.twitter.com/OnLc5savSl'|'This woman''s dream home turned into a toxic mold nightmare     '|false|1039302715413876741|/WXII/status/1039302715413876741||||
WXII|2018-09-13 16:18:38|1|1|Wife arrested after pouring hot sauce into husband’s eyes during argument, police say  http://dlvr.it/Qk68K9   pic.twitter.com/htVIGFV5s3|Wife arrested after pouring hot sauce into husband’s eyes during argument, police say     |false|1040333955277348864|/WXII/status/1040333955277348864||||
WXII|2018-09-21 08:20:03|1|0|Golden retriever dies of heatstroke after groomer leaves him alone under dryer  http://dlvr.it/QkwTtM   pic.twitter.com/hQyYEgLjhD|Golden retriever dies of heatstroke after groomer leaves him alone under dryer     |false|1043112621912649729|/WXII/status/1043112621912649729||||
WXII|2018-09-29 01:15:21|0|4|Elton John, his husband still send each other weekly love letters  http://bit.ly/2QgTp2C   pic.twitter.com/1ayCY9OQHJ|Elton John, his husband still send each other weekly love letters     |false|1045904842458365952|/WXII/status/1045904842458365952||||
WXII|2018-09-22 03:45:22|0|0|Police: Group armed with rifles rob man outside of Winston-Salem store  http://bit.ly/2O0ie5y   pic.twitter.com/AvvXcpn4Cn|Police: Group armed with rifles rob man outside of Winston-Salem store     |false|1043405880954433536|/WXII/status/1043405880954433536||||
WXII|2018-09-19 11:15:08|1|0|Small dog found stuffed in garbage bag, abandoned  http://dlvr.it/QkjDfh   pic.twitter.com/v5cykecgoc|Small dog found stuffed in garbage bag, abandoned     |false|1042431905436557312|/WXII/status/1042431905436557312||||
WXII|2018-09-21 13:45:18|1|2|Great white shark lair found in Pacific Ocean  http://bit.ly/2OHNS50   pic.twitter.com/Z7A3Av8hvp|Great white shark lair found in Pacific Ocean     |false|1043194473315008512|/WXII/status/1043194473315008512||||
WXII|2018-09-12 22:30:51|1|0|List of shelters available for Hurricane Florence evacuees in North Carolina  http://bit.ly/2p43hS4   pic.twitter.com/wCUAthPn70|List of shelters available for Hurricane Florence evacuees in North Carolina     |false|1040065241281974272|/WXII/status/1040065241281974272||||
