'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'
asheville|2018-09-19 11:27:33|0|0|Trump visits North Carolina to survey Florence devastation: Live updates  http://dlvr.it/QkjJW0    #avlnews pic.twitter.com/JFtn4QUg6a|Trump visits North Carolina to survey Florence devastation: Live updates      #avlnews |false|1042435030616694784|/asheville/status/1042435030616694784
asheville|2018-09-11 10:30:26|27|57|Your safety comes first. __NEWLINE__We're dropping our paywall at  http://citizentimes.com    indefinitely as #Florence  makes its way across the Carolinas, bringing you the latest updates from our journalists stationed across the state.__NEWLINE__What info do you need as the storm approaches? #AvlNews pic.twitter.com/FTr6drzAkW|Your safety comes first. __NEWLINE__We're dropping our paywall at      indefinitely as #Florence  makes its way across the Carolinas, bringing you the latest updates from our journalists stationed across the state.__NEWLINE__What info do you need as the storm approaches? #AvlNews |false|1039521552545533952|/asheville/status/1039521552545533952
asheville|2018-09-13 09:43:35|0|1|Live updates: Hurricane Florence less than 24 hours from landfall  http://dlvr.it/Qk45V2    #avlnews pic.twitter.com/08ehL9ychq|Live updates: Hurricane Florence less than 24 hours from landfall      #avlnews |false|1040234539602206720|/asheville/status/1040234539602206720
asheville|2018-09-18 14:09:33|1|4|President Trump to visit Carolinas to assess Florence damage  http://dlvr.it/QkcClS    #avlnews pic.twitter.com/JwPiT1s3kM|President Trump to visit Carolinas to assess Florence damage      #avlnews |false|1042113412765843456|/asheville/status/1042113412765843456
asheville|2018-09-18 13:51:05|5|1|Fayetteville flooding worse than Hurricane Matthew as Florence causes Cape Fear to surge  http://dlvr.it/Qkc7Cl    #avlnews pic.twitter.com/3DSW8TrF6v|Fayetteville flooding worse than Hurricane Matthew as Florence causes Cape Fear to surge      #avlnews |false|1042108762956283904|/asheville/status/1042108762956283904
asheville|2018-09-12 12:33:33|1|3|Hurricane Florence: Storm generating 83-foot waves, landfall forecast changes  http://dlvr.it/Qjyx7v    #avlnews pic.twitter.com/pPWWiI68sq|Hurricane Florence: Storm generating 83-foot waves, landfall forecast changes      #avlnews |false|1039914924699353089|/asheville/status/1039914924699353089
asheville|2018-09-24 12:01:04|3|1|Health department advises people stay out of French Broad River after sewage spill  http://dlvr.it/QlD9Zz    #avlnews pic.twitter.com/ZQyyi2rh7c|Health department advises people stay out of French Broad River after sewage spill      #avlnews |false|1044255405851832321|/asheville/status/1044255405851832321
asheville|2018-09-19 13:30:33|0|5|Photos: Trump visits coastal North Carolina  http://dlvr.it/QkjxnY    #avlnews pic.twitter.com/fsBXHY8pZE|Photos: Trump visits coastal North Carolina      #avlnews |false|1042465986228629505|/asheville/status/1042465986228629505
asheville|2018-09-11 12:27:33|1|1|Hurricane Florence might bring deluge to Western North Carolina — or just an inch or two  http://dlvr.it/QjrvVd    #avlnews pic.twitter.com/rBXvCdYV7y|Hurricane Florence might bring deluge to Western North Carolina — or just an inch or two      #avlnews |false|1039551026716495872|/asheville/status/1039551026716495872
asheville|2018-09-16 14:08:06|1|1|Florence bringing 'catastrophic' flooding, mudslides deep into North Carolina; 15 dead  http://dlvr.it/QkNntB    #avlnews pic.twitter.com/EsKPh857gj|Florence bringing 'catastrophic' flooding, mudslides deep into North Carolina; 15 dead      #avlnews |false|1041388268984532992|/asheville/status/1041388268984532992
