username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
blueridgeemc|2018-09-21 16:27:09|2|3|A look back at some of the packing and preparing that went on earlier in the week, prior to our line technicians departaring to assist @CarteretCraven  with restoration efforts following #Florence . pic.twitter.com/JmvmZJHznh|A look back at some of the packing and preparing that went on earlier in the week, prior to our line technicians departaring to assist @CarteretCraven  with restoration efforts following #Florence . |false|1043235202825445377|/blueridgeemc/status/1043235202825445377||||
blueridgeemc|2018-09-17 09:04:43|4|4|Pictures of conditions in Ashe County this morning, where our line crews remain cut off from accessing some of our poles, as the South and North Fork of the New River exceeds its banks. Please continue to report outages to 1-800-448-2383. #Florence pic.twitter.com/QHcO7fhZdg|Pictures of conditions in Ashe County this morning, where our line crews remain cut off from accessing some of our poles, as the South and North Fork of the New River exceeds its banks. Please continue to report outages to 1-800-448-2383. #Florence |false|1041674311810072576|/blueridgeemc/status/1041674311810072576||||
blueridgeemc|2018-09-14 22:49:36|3|1|SAFETY WARNING: Generators can pose dangers to line technicians and you, especially if they ‘back-feed’ onto power lines! This can happen even if your power is out. Check out this video for safety tips while using a generator. More info:  http://BlueRidgeEnergy.com/resources/safe ty/portable-generator-safety   … . pic.twitter.com/NoUtccpUgV|SAFETY WARNING: Generators can pose dangers to line technicians and you, especially if they ‘back-feed’ onto power lines! This can happen even if your power is out. Check out this video for safety tips while using a generator. More info:   ty/portable-generator-safety   … . |false|1040794733562527744|/blueridgeemc/status/1040794733562527744||||
blueridgeemc|2018-09-17 20:44:58|1|13|Such a sweet thank you to her uncle Eddie! #thankalineman  #Florence https://twitter.com/JoyJoyb13/stat us/1041820413922369538   …|Such a sweet thank you to her uncle Eddie! #thankalineman  #Florence  us/1041820413922369538   …|false|1041850534792232962|/blueridgeemc/status/1041850534792232962||||
blueridgeemc|2018-09-12 13:56:21|0|0|We’re hiring!  Check out this link for more information and how to apply.__NEWLINE__Job: Consumer Accountant __PIPE__  Lenoir NC  https://blueridgeemc.applicantpool.com/jobs/271731-21 460.html   …  #jobs  #NC|We’re hiring!  Check out this link for more information and how to apply.__NEWLINE__Job: Consumer Accountant __PIPE__  Lenoir NC   460.html   …  #jobs  #NC|false|1039935763704623105|/blueridgeemc/status/1039935763704623105|Lenoir, NC|35.9140196|-81.5389849|
blueridgeemc|2018-09-16 21:25:57|0|2|Thank you @tnlindaj ! https://twitter.com/tnlindaj/statu s/1041495524489277440   …|Thank you @tnlindaj !  s/1041495524489277440   …|false|1041498457914187776|/blueridgeemc/status/1041498457914187776||||
blueridgeemc|2018-09-17 09:38:38|1|2|Thank you, @TuscapeD ! https://twitter.com/TuscapeD/statu s/1041676938757267456   …|Thank you, @TuscapeD !  s/1041676938757267456   …|false|1041682843431305218|/blueridgeemc/status/1041682843431305218||||
blueridgeemc|2018-09-16 08:00:23|6|9|With heavy hearts for eastern NC, we provide an update for Blue Ridge Energy area: Sun, 7:30 am: crews currently working to restore: Watauga Cnty: 56 members; Alleghany: 49 members; Ashe: 26 members; Caldwell: 17 members. PowerLine: 1-800-448-2383 or mobile app to report outages.|With heavy hearts for eastern NC, we provide an update for Blue Ridge Energy area: Sun, 7:30 am: crews currently working to restore: Watauga Cnty: 56 members; Alleghany: 49 members; Ashe: 26 members; Caldwell: 17 members. PowerLine: 1-800-448-2383 or mobile app to report outages.|false|1041295730651136000|/blueridgeemc/status/1041295730651136000||||
blueridgeemc|2018-09-22 14:16:00|1|0|Yosef & ASU cheerleaders give thumbs up to driving electric! Thanks for stopping by our EV Tailgate!!   Drop by if you’re at today’s ASU game! pic.twitter.com/kl2pNToEBu|Yosef & ASU cheerleaders give thumbs up to driving electric! Thanks for stopping by our EV Tailgate!!   Drop by if you’re at today’s ASU game! |false|1043564585184309249|/blueridgeemc/status/1043564585184309249||||
blueridgeemc|2018-09-07 14:48:34|2|1|'It''s good to review safety plans and stock emergency kits this time of year! Include items such as non-perishable food, water, medications, a first aid kit, flashlights, batteries, blankets and a weather radio. Visit  http://BlueRidgeEnergy.com/prepare-for-st orm   …  for more! #Florence  #Preparedness https://twitter.com/wxbrad/status/ 1038076334281506816   …'|'It''s good to review safety plans and stock emergency kits this time of year! Include items such as non-perishable food, water, medications, a first aid kit, flashlights, batteries, blankets and a weather radio. Visit   orm   …  for more! #Florence  #Preparedness  1038076334281506816   …'|false|1038136965726650368|/blueridgeemc/status/1038136965726650368||||
