username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
publicmediaNC|2018-09-27 15:35:01|3|1|FREE! Meet Read-a-roo and check out our new ride, the Rootle Roadster, __NEWLINE__Oct. 5th from 5–7 PM at Eastway Elementary in #Durham .  We’ll have lots of terrific takeaways, school readiness resources & a chance for you to win a ticket to the @NCStateFair ! pic.twitter.com/16bFcuVAuk|FREE! Meet Read-a-roo and check out our new ride, the Rootle Roadster, __NEWLINE__Oct. 5th from 5–7 PM at Eastway Elementary in #Durham .  We’ll have lots of terrific takeaways, school readiness resources & a chance for you to win a ticket to the @NCStateFair ! |false|1045396410169020419|/publicmediaNC/status/1045396410169020419||||
publicmediaNC|2018-09-22 20:35:00|0|1| TONIGHT at 10 PM on The Explorer Channel CATCH-"Great British Royal Ships Britannia: Secrets of the Royal Yacht." For 44 years the Royal Yacht Britannia was a floating palace at sea, hosting world leaders and projecting British "soft power" around the globe.| TONIGHT at 10 PM on The Explorer Channel CATCH-"Great British Royal Ships Britannia: Secrets of the Royal Yacht." For 44 years the Royal Yacht Britannia was a floating palace at sea, hosting world leaders and projecting British "soft power" around the globe.|false|1043659963812536320|/publicmediaNC/status/1043659963812536320|The Explorer Channel, CA|||
publicmediaNC|2018-09-15 15:29:15|2|2|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at 3:30 p.m.  http://unctv.org/florence   pic.twitter.com/2oL6jk3xdq|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at 3:30 p.m.     |false|1041046305244700679|/publicmediaNC/status/1041046305244700679||||
publicmediaNC|2018-09-14 11:30:12|0|0| Learn about the process that powers most of the living world-photosynthesis:  https://bit.ly/2M4Id6H   pic.twitter.com/PrU2cJziXR| Learn about the process that powers most of the living world-photosynthesis:     |false|1040623757168136193|/publicmediaNC/status/1040623757168136193||||
publicmediaNC|2018-09-20 21:23:01|1|4|CATCH "Our State" featuring New River Adventure & The Chocolate Drops, tonight at 10:30 PM on the NC Channel. pic.twitter.com/LqEkoKxsEE|CATCH "Our State" featuring New River Adventure & The Chocolate Drops, tonight at 10:30 PM on the NC Channel. |false|1042947273599201280|/publicmediaNC/status/1042947273599201280||||
publicmediaNC|2018-09-15 09:52:00|0|0|The My Home, #NorthCarolina  team shares adventures from across the state including interesting people, food and music as well as special giveaways and news every month. Sign up to receive the My Home email:  http://bit.ly/2JG6gZB   pic.twitter.com/rhNfOAPLCQ|The My Home, #NorthCarolina  team shares adventures from across the state including interesting people, food and music as well as special giveaways and news every month. Sign up to receive the My Home email:     |false|1040961435407474689|/publicmediaNC/status/1040961435407474689||||
publicmediaNC|2018-09-20 16:59:00|7|6|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at 5pm  http://unctv.org/florence   pic.twitter.com/405MLZ0wCg|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at 5pm     |false|1042880832694878208|/publicmediaNC/status/1042880832694878208||||
publicmediaNC|2018-09-26 20:46:18|0|0|Learn more about the devastating impact that #HurricaneFlorence  had on Scotland County farmers 2018 cotton harvest. Watch here:  https://bit.ly/2ONmxOK   pic.twitter.com/rToXMxjnkP|Learn more about the devastating impact that #HurricaneFlorence  had on Scotland County farmers 2018 cotton harvest. Watch here:     |false|1045112358404849664|/publicmediaNC/status/1045112358404849664||||
publicmediaNC|2018-09-16 12:41:01|0|1|  Watch the latest series from the team behind @chefsouth ! __NEWLINE__Food Town: #Durham  stars @scratchdurham  & @Chefpreneur  of @SaltboxSeafood  on @PBSFood http://to.pbs.org/2p6ss6e  |  Watch the latest series from the team behind @chefsouth ! __NEWLINE__Food Town: #Durham  stars @scratchdurham  & @Chefpreneur  of @SaltboxSeafood  on @PBSFood   |false|1041366357282041856|/publicmediaNC/status/1041366357282041856||||
publicmediaNC|2018-09-17 11:58:02|0|0|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at noon  http://unctv.org/florence   pic.twitter.com/80APvwylZs|WATCH LIVE: @NCEmergency  has an update on #FlorenceNC  from @nc_governor  beginning at noon     |false|1041717925202329600|/publicmediaNC/status/1041717925202329600||||
publicmediaNC|2018-09-26 10:52:02|0|0| Join #NCWekend  as we visit orchards and cideries throughout #HendersonvilleNC :  https://bit.ly/2uCdfgD   pic.twitter.com/WOXokDTuDV| Join #NCWekend  as we visit orchards and cideries throughout #HendersonvilleNC :     |false|1044962806578237440|/publicmediaNC/status/1044962806578237440||||
publicmediaNC|2018-09-13 14:54:01|1|1| Join us for a discussion on "Collaboration to Build a Better Workforce" from New Bern, NC. Watch here:  https://bit.ly/2OTsrhQ   __NEWLINE__#CARESNewBern pic.twitter.com/uXpjRNuipR| Join us for a discussion on "Collaboration to Build a Better Workforce" from New Bern, NC. Watch here:     __NEWLINE__#CARESNewBern |false|1040312660745707520|/publicmediaNC/status/1040312660745707520|New Bern, NC|35.1084931|-77.0441143|
