username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
thecw22|2018-09-07 09:53:16|0|0|Check out the latest Game of the Week!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … __NEWLINE__The airs tonight on MyRDC-28 and will be online early next week.__NEWLINE__ http://myrdctv.com/sports/friday- night-rivals   … pic.twitter.com/ZoDrB2GKmS|Check out the latest Game of the Week!__NEWLINE__  -the-week   … __NEWLINE__The airs tonight on MyRDC-28 and will be online early next week.__NEWLINE__  night-rivals   … |false|1038062647403573248|/thecw22/status/1038062647403573248||||
thecw22|2018-09-07 09:01:49|0|0|@ football_cghsnc  Thanks for being our Game of the Week!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … __NEWLINE__The game airs live tonight on MyRDC-28 and will be available to watch online early next week.__NEWLINE__ http://myrdctv.com/sports/friday- night-rivals   …|@ football_cghsnc  Thanks for being our Game of the Week!__NEWLINE__  -the-week   … __NEWLINE__The game airs live tonight on MyRDC-28 and will be available to watch online early next week.__NEWLINE__  night-rivals   …|false|1038049699662573568|/thecw22/status/1038049699662573568||||
thecw22|2018-09-07 09:04:14|0|1|@ CvHSABC  Thanks for being our Game of the Week!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … __NEWLINE__The game airs live tonight on MyRDC-28 and will be available to watch online early next week.__NEWLINE__ http://myrdctv.com/sports/friday- night-rivals   …|@ CvHSABC  Thanks for being our Game of the Week!__NEWLINE__  -the-week   … __NEWLINE__The game airs live tonight on MyRDC-28 and will be available to watch online early next week.__NEWLINE__  night-rivals   …|false|1038050310839664640|/thecw22/status/1038050310839664640||||
thecw22|2018-09-21 09:13:42|0|0|@ EnloeHSfb  Thanks for being our Game of the Week!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … __NEWLINE__You can watch the game live tonight at 7 on MyRDC28! pic.twitter.com/lPW8y2CHsE|@ EnloeHSfb  Thanks for being our Game of the Week!__NEWLINE__  -the-week   … __NEWLINE__You can watch the game live tonight at 7 on MyRDC28! |false|1043126120852410370|/thecw22/status/1043126120852410370||||
thecw22|2018-09-29 19:10:48|0|0|Remember to stop by the Charmed Escape Room tonight! The escape room is FREE! Come play at the Crabtree Mall. We are by H&M on the lower level |Remember to stop by the Charmed Escape Room tonight! The escape room is FREE! Come play at the Crabtree Mall. We are by H&M on the lower level |false|1046175490346815488|/thecw22/status/1046175490346815488||||
thecw22|2018-09-28 08:14:24|0|0|@ HillsideHS  __NEWLINE__Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … pic.twitter.com/kKo2mSGvgs|@ HillsideHS  __NEWLINE__Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__  -the-week   … |false|1045647915572744192|/thecw22/status/1045647915572744192||||
thecw22|2018-09-19 09:52:03|0|1|We at WLFL are standing strong with our friends and colleagues in the Carolinas as they recover from #Florence . __NEWLINE____NEWLINE__Join us as we support our relief effort by donating to the @SalvationArmyUS .__NEWLINE____NEWLINE__Donate here, or text "Florence" to 91999:  http://salar.my/SinclairCares   pic.twitter.com/ChLUenREm9|We at WLFL are standing strong with our friends and colleagues in the Carolinas as they recover from #Florence . __NEWLINE____NEWLINE__Join us as we support our relief effort by donating to the @SalvationArmyUS .__NEWLINE____NEWLINE__Donate here, or text "Florence" to 91999:     |false|1042410999297593344|/thecw22/status/1042410999297593344||||
thecw22|2018-09-11 13:18:52|0|0|'It''s on the website today. http://myrdctv.com/sports/friday- night-rivals   …'|'It''s on the website today.  night-rivals   …'|false|1039563942350278656|/thecw22/status/1039563942350278656||||
thecw22|2018-09-28 08:08:39|7|6|@ JordanFalconsFB  Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … pic.twitter.com/44Z0LgzZO9|@ JordanFalconsFB  Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__  -the-week   … |false|1045646465085902848|/thecw22/status/1045646465085902848||||
thecw22|2018-09-28 08:09:25|2|3|@ JordanFalcons  Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … pic.twitter.com/cxkXJe2qmY|@ JordanFalcons  Thanks for being our Game of the Week! And the game will be broadcast live on MyRDC28!__NEWLINE__  -the-week   … |false|1045646657797476352|/thecw22/status/1045646657797476352||||
thecw22|2018-09-21 09:15:15|0|0|@ SandersonFB  Thanks for being our Game of the Week!__NEWLINE__ http://raleighcw.com/sports/game-of -the-week   … __NEWLINE__You can watch the game live tonight at 7 on MyRDC28! pic.twitter.com/ogFEp1z3Dh|@ SandersonFB  Thanks for being our Game of the Week!__NEWLINE__  -the-week   … __NEWLINE__You can watch the game live tonight at 7 on MyRDC28! |false|1043126513196064773|/thecw22/status/1043126513196064773||||
