username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
wcti12|2018-09-06 22:44:18|0|0|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on  http://wcti12.com/weather/maps    and looking in the HURRICANE SEASON 2018 section. #ecarwx pic.twitter.com/tdnhsg9wJ5'|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on      and looking in the HURRICANE SEASON 2018 section. #ecarwx '|false|1037894299848003584|/wcti12/status/1037894299848003584||||
wcti12|2018-09-11 07:49:54|0|2|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on  http://wcti12.com/weather/maps    and looking in the HURRICANE SEASON 2018 section. #ecarwx pic.twitter.com/Otgtod4ssV'|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on      and looking in the HURRICANE SEASON 2018 section. #ecarwx '|false|1039481155500818432|/wcti12/status/1039481155500818432||||
wcti12|2018-09-11 19:25:02|2|2|Evacuations are going on now for residents who live in our coastal counties. @cthompson_wcti  @NateBeltWCTI https://wcti12.com/weather/hurric ane-stories/evacuations-going-on-now-in-onslow-craven-other-coastal-counties   …|Evacuations are going on now for residents who live in our coastal counties. @cthompson_wcti  @NateBeltWCTI  ane-stories/evacuations-going-on-now-in-onslow-craven-other-coastal-counties   …|false|1039656092060536839|/wcti12/status/1039656092060536839||||
wcti12|2018-09-14 04:19:28|1|1|The National Weather Center indicates the eye of Hurricane Florence is almost on our coast. https://wcti12.com/weather/hurric ane-stories/national-hurricane-center-reports-florence-eyewall-beginning-to-reach-nc-coast   …|The National Weather Center indicates the eye of Hurricane Florence is almost on our coast.  ane-stories/national-hurricane-center-reports-florence-eyewall-beginning-to-reach-nc-coast   …|false|1040515361123299328|/wcti12/status/1040515361123299328||||
wcti12|2018-09-16 01:16:01|1|2|More than 2 feet of rain had fallen in places, and the drenching went on and on, with forecasters saying there could be an additional 1½ feet by the end of the weekend. https://wcti12.com/news/nation-wo rld/death-toll-rises-to-7-as-florence-pours-on-the-rain   …|More than 2 feet of rain had fallen in places, and the drenching went on and on, with forecasters saying there could be an additional 1½ feet by the end of the weekend.  rld/death-toll-rises-to-7-as-florence-pours-on-the-rain   …|false|1041193968183259136|/wcti12/status/1041193968183259136||||
wcti12|2018-09-06 21:00:02|0|0|It is one of the largest mass graves discovered so far in Mexico, where drug cartels frequently use such clandestine pits to dispose of their victims. https://wcti12.com/news/nation-wo rld/mexican-prosecutors-find-166-skulls-in-mass-graves   …|It is one of the largest mass graves discovered so far in Mexico, where drug cartels frequently use such clandestine pits to dispose of their victims.  rld/mexican-prosecutors-find-166-skulls-in-mass-graves   …|false|1037868057287221251|/wcti12/status/1037868057287221251||||
wcti12|2018-09-25 22:30:00|0|0|Cargill Meat Solutions recalled ground beef due to a possible E.coli contamination. https://wcti12.com/news/nation-wo rld/usda-safeway-target-sams-club-may-have-received-recalled-ground-beef-nationwide   …|Cargill Meat Solutions recalled ground beef due to a possible E.coli contamination.  rld/usda-safeway-target-sams-club-may-have-received-recalled-ground-beef-nationwide   …|false|1044776069201518592|/wcti12/status/1044776069201518592||||
wcti12|2018-09-24 04:00:00|0|2|The Morehead City-Beaufort Elks Lodge has been busy helping those in need after Hurricane Florence with hot meals. @Angenette5 https://wcti12.com/weather/hurric ane-stories/morehead-city-beaufort-elks-lodge-feeds-over-1000-in-need   …|The Morehead City-Beaufort Elks Lodge has been busy helping those in need after Hurricane Florence with hot meals. @Angenette5  ane-stories/morehead-city-beaufort-elks-lodge-feeds-over-1000-in-need   …|false|1044134341415260160|/wcti12/status/1044134341415260160||||
wcti12|2018-09-20 21:23:52|2|3|Students were wearing gloves and masks as they removed debris, raked the yard of leaves and branches and provided lots of smiles and support. @GregPayneWCTI  @DaishaJonesWCTI https://wcti12.com/weather/hurric ane-stories/new-bern-high-school-students-aid-in-cleanup-after-hurricane-florence   …|Students were wearing gloves and masks as they removed debris, raked the yard of leaves and branches and provided lots of smiles and support. @GregPayneWCTI  @DaishaJonesWCTI  ane-stories/new-bern-high-school-students-aid-in-cleanup-after-hurricane-florence   …|false|1042947488657956864|/wcti12/status/1042947488657956864||||
wcti12|2018-09-09 21:00:00|0|0|JUST IN: CBS announced the move was effective immediately. https://wcti12.com/news/nation-wo rld/cbs-leslie-moonves-resigns-amid-sexual-misconduct-allegations   …|JUST IN: CBS announced the move was effective immediately.  rld/cbs-leslie-moonves-resigns-amid-sexual-misconduct-allegations   …|false|1038955215666466817|/wcti12/status/1038955215666466817||||
wcti12|2018-09-25 10:54:19|0|1|MISSING: Godley normally has blonde hair but dyed it auburn/ brown before she went missing. https://wcti12.com/news/local/mis sing-beaufort-county-woman   …|MISSING: Godley normally has blonde hair but dyed it auburn/ brown before she went missing.  sing-beaufort-county-woman   …|false|1044600996356399104|/wcti12/status/1044600996356399104||||
wcti12|2018-09-19 16:10:20|0|1|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on  http://wcti12.com/weather/maps    and looking in the HURRICANE SEASON 2018 section. #ecarwx pic.twitter.com/eUr8wkohcX'|'Here''s the latest on Hurricane Florence that we are tracking. Stay updated by clicking on      and looking in the HURRICANE SEASON 2018 section. #ecarwx '|false|1042506195733495810|/wcti12/status/1042506195733495810||||
wcti12|2018-09-14 21:45:06|0|5|From 90-mile-per-hour winds, a 10-foot storm surge and flooding Florence is leaving a path of destruction in its wake. https://wcti12.com/news/nation-wo rld/video-hurricane-florence-leaves-behind-a-mess-to-clean-up-in-wilmington-north-carolina   …|From 90-mile-per-hour winds, a 10-foot storm surge and flooding Florence is leaving a path of destruction in its wake.  rld/video-hurricane-florence-leaves-behind-a-mess-to-clean-up-in-wilmington-north-carolina   …|false|1040778504290222081|/wcti12/status/1040778504290222081||||
wcti12|2018-09-12 01:34:43|0|0|Here is the latest on Tropical Storm Isaac that we are tracking. Stay updated by clicking on  http://wcti12.com/weather/maps    and looking in the HURRICANE SEASON 2018 section. #ecarwx pic.twitter.com/yiLdqGP31U|Here is the latest on Tropical Storm Isaac that we are tracking. Stay updated by clicking on      and looking in the HURRICANE SEASON 2018 section. #ecarwx |false|1039749122981601281|/wcti12/status/1039749122981601281||||
wcti12|2018-09-28 23:30:01|0|2|Much of the forest is still closed due to damage from Hurricane Florence. https://wcti12.com/news/local/us- forest-service-gives-update-to-croatan-national-forest-storm-damage   …|Much of the forest is still closed due to damage from Hurricane Florence.  forest-service-gives-update-to-croatan-national-forest-storm-damage   …|false|1045878334658232320|/wcti12/status/1045878334658232320||||
wcti12|2018-09-10 21:24:41|1|0|'If you''re looking for supplies like bottled water ... you''re not the only one. @cthompson_wcti https://wcti12.com/weather/hurric ane-stories/grocery-stories-doing-their-best-to-stay-stocked-for-hurricane-floyd   …'|'If you''re looking for supplies like bottled water ... you''re not the only one. @cthompson_wcti  ane-stories/grocery-stories-doing-their-best-to-stay-stocked-for-hurricane-floyd   …'|false|1039323812133855232|/wcti12/status/1039323812133855232||||
wcti12|2018-09-13 02:00:00|0|0|Trump administration officials pushed back Wednesday against a Democratic senator’s claim that nearly $10 million from FEMA was transferred to ICE. https://bit.ly/2x76zZ4  |Trump administration officials pushed back Wednesday against a Democratic senator’s claim that nearly $10 million from FEMA was transferred to ICE.   |false|1040117874931642368|/wcti12/status/1040117874931642368||||
wcti12|2018-09-14 23:45:06|0|1|Thanks, Ben,|Thanks, Ben,|false|1040808703996223488|/wcti12/status/1040808703996223488||||
wcti12|2018-09-27 15:00:00|0|0|Bertie and Gates County play tonight as Week 6 of the high school football season gets going a day early. Click here to see the schedule games for the next few days:  https://bit.ly/2wRGhcf   pic.twitter.com/dEsaIyXM3b|Bertie and Gates County play tonight as Week 6 of the high school football season gets going a day early. Click here to see the schedule games for the next few days:     |false|1045387600213807104|/wcti12/status/1045387600213807104||||
wcti12|2018-09-27 02:30:00|0|0|“Not wanting to fire Rod Rosenstein is consistent with what I have understood for weeks, not just days,” said Rep. Mark Meadows, a North Carolina Republican who talks to Trump often. https://wcti12.com/news/nation-wo rld/trump-says-he-prefer-not-to-fire-deputy-attorney-general   …|“Not wanting to fire Rod Rosenstein is consistent with what I have understood for weeks, not just days,” said Rep. Mark Meadows, a North Carolina Republican who talks to Trump often.  rld/trump-says-he-prefer-not-to-fire-deputy-attorney-general   …|false|1045198854344175616|/wcti12/status/1045198854344175616||||
