username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
wectnews|2018-09-20 21:45:03|6|0|1.3 million gallons of wastewater discharges at Whiteville pump station.  https://buff.ly/2NXKFB1   pic.twitter.com/34BNaoFQcm|1.3 million gallons of wastewater discharges at Whiteville pump station.     |false|1042952815725826048|/wectnews/status/1042952815725826048||||
wectnews|2018-09-15 18:13:57|7|17|UPDATE: In response to the looting, WPD will enforce an extended curfew for residents living near the store. https://twitter.com/wectnews/statu s/1041070383334674435   …|UPDATE: In response to the looting, WPD will enforce an extended curfew for residents living near the store.  s/1041070383334674435   …|false|1041087752232685568|/wectnews/status/1041087752232685568||||
wectnews|2018-09-18 06:13:23|7|20|A group will sharpen chainsaws for free in Wilmington this morning  https://buff.ly/2D7bNJD   pic.twitter.com/ZnBjUO4Pzt|A group will sharpen chainsaws for free in Wilmington this morning     |false|1041993578845806592|/wectnews/status/1041993578845806592||||
wectnews|2018-09-27 09:55:36|17|13|Pet Supermarket, located at 3908 Oleander Drive, will give away free pet food and supplies starting at 10 a.m. on Saturday.|Pet Supermarket, located at 3908 Oleander Drive, will give away free pet food and supplies starting at 10 a.m. on Saturday.|false|1045310994979934208|/wectnews/status/1045310994979934208|3908 Oleander Drive|34.2138342857143|-77.8991420714286|0.0
wectnews|2018-09-17 16:45:20|10|9|"We’ve been through storms but I’ve never seen it being devastated like this"__NEWLINE____NEWLINE__Residents in Boil Spring Lakes dealt a serious blow during #HurricaneFlorence .  https://buff.ly/2xr1biS   pic.twitter.com/78G5p4BXBF|"We’ve been through storms but I’ve never seen it being devastated like this"__NEWLINE____NEWLINE__Residents in Boil Spring Lakes dealt a serious blow during #HurricaneFlorence .     |false|1041790227843608576|/wectnews/status/1041790227843608576||||
wectnews|2018-09-15 07:13:22|4|8|Tornado watch issued for southeastern NC until 5 p.m.  https://buff.ly/2CYpVVs   pic.twitter.com/bLxrFQWejq|Tornado watch issued for southeastern NC until 5 p.m.     |false|1040921511861870592|/wectnews/status/1040921511861870592||||
wectnews|2018-09-22 13:01:38|1|1|This is the area under curfew in the Kelly and Rowan communities -->  https://bit.ly/2OJ06u7   pic.twitter.com/5D9V3CtWmc|This is the area under curfew in the Kelly and Rowan communities -->     |false|1043545870329884674|/wectnews/status/1043545870329884674||||
wectnews|2018-09-11 12:05:21|3|3|.@IndependenceMall plans to close at 2 p.m. and will reopen once #HurricaneFlorence  passes.|.@IndependenceMall plans to close at 2 p.m. and will reopen once #HurricaneFlorence  passes.|false|1039545439320788992|/wectnews/status/1039545439320788992||||
wectnews|2018-09-13 23:50:25|24|29|All emergency response operations suspended in Carolina Beach since winds have exceeded 50 mph.|All emergency response operations suspended in Carolina Beach since winds have exceeded 50 mph.|false|1040447652381437952|/wectnews/status/1040447652381437952||||
wectnews|2018-09-16 14:27:15|3|8|The Latest: Florence death toll rises to 15 >>  https://buff.ly/2pccSWJ   pic.twitter.com/MAKLFsKwae|The Latest: Florence death toll rises to 15 >>     |false|1041393088541982720|/wectnews/status/1041393088541982720||||
wectnews|2018-09-18 23:18:33|6|7|Per @KaileyWECT , the restriction has been lifted. https://twitter.com/wectnews/statu s/1042235604526874624   …|Per @KaileyWECT , the restriction has been lifted.  s/1042235604526874624   …|false|1042251571386638337|/wectnews/status/1042251571386638337||||
wectnews|2018-09-28 03:40:51|5|3|'‘Everything is destroyed’: Six feet of water ruins Currie family''s home.  https://buff.ly/2xZ8aQ3   pic.twitter.com/gZmjIWt6zG'|'‘Everything is destroyed’: Six feet of water ruins Currie family''s home.     '|false|1045579073840435200|/wectnews/status/1045579073840435200||||
wectnews|2018-09-16 07:27:15|1|2|Tornado Warning in Brunswick County until 7:45 a.m. https://livestream.com/accounts/11205 802/events/3629935/player?width=640&height=360&autoPlay=true&mute=false   …|Tornado Warning in Brunswick County until 7:45 a.m.  802/events/3629935/player?width=640&height=360&autoPlay=true&mute=false   …|false|1041287394421555200|/wectnews/status/1041287394421555200||||
wectnews|2018-09-20 14:12:46|5|9|Curfew lifted in Carolina Beach|Curfew lifted in Carolina Beach|false|1042838996123041792|/wectnews/status/1042838996123041792||||
wectnews|2018-09-10 12:42:58|12|9|Leland issues a state of emergency effective at 1 p.m. Monday.__NEWLINE____NEWLINE__Similar to Brunswick Co, a mandatory evacuation will be in effect for those living in low-lying or flood-prone areas or substandard or mobile homes, starting at 7 a.m. Tuesday.|Leland issues a state of emergency effective at 1 p.m. Monday.__NEWLINE____NEWLINE__Similar to Brunswick Co, a mandatory evacuation will be in effect for those living in low-lying or flood-prone areas or substandard or mobile homes, starting at 7 a.m. Tuesday.|false|1039192517756022785|/wectnews/status/1039192517756022785||||
wectnews|2018-09-25 05:37:18|13|29|I-40 has officially reopened! https://buff.ly/2QX2y1G  |I-40 has officially reopened!   |false|1044521216470601728|/wectnews/status/1044521216470601728||||
wectnews|2018-09-14 05:23:39|28|14|VIDEO: Wilmington gas station damaged in storm #FloreneILM   https://buff.ly/2MuJx3g   pic.twitter.com/remIz7Gpbh|VIDEO: Wilmington gas station damaged in storm #FloreneILM      |false|1040531514847571968|/wectnews/status/1040531514847571968||||
wectnews|2018-09-19 11:08:54|3|9|HEADS UP: PNC Bank will open a mobile unit at noon on Oleander Dr. equipped with a 24-hr ATM. pic.twitter.com/2zxQjDZHey|HEADS UP: PNC Bank will open a mobile unit at noon on Oleander Dr. equipped with a 24-hr ATM. |false|1042430336548986880|/wectnews/status/1042430336548986880||||
wectnews|2018-09-15 01:59:28|8|8|Road closures in New Hanover County  https://buff.ly/2D0e7Cb   pic.twitter.com/iGupNoIflI|Road closures in New Hanover County     |false|1040842518252933120|/wectnews/status/1040842518252933120||||
wectnews|2018-09-18 22:15:06|5|5|Deputies restrict access into Columbus County as water rescues continue.  https://buff.ly/2D6uMnL   pic.twitter.com/he6w7oslEJ|Deputies restrict access into Columbus County as water rescues continue.     |false|1042235604526874624|/wectnews/status/1042235604526874624||||
wectnews|2018-09-22 17:49:40|54|30|'AERIAL AND ON RIVER VIDEO: Gray muck is flowing into the Cape Fear River from the site of a dam breach at a Wilmington power plant where an old coal ash dump had been covered over by Florence''s floodwaters. -->  https://bit.ly/2znPQlQ   pic.twitter.com/LjigcmvPmf'|'AERIAL AND ON RIVER VIDEO: Gray muck is flowing into the Cape Fear River from the site of a dam breach at a Wilmington power plant where an old coal ash dump had been covered over by Florence''s floodwaters. -->     '|false|1043618356077711366|/wectnews/status/1043618356077711366||||
wectnews|2018-09-24 10:43:21|1|1|JUST IN: Columbus County Schools will be CLOSED the rest of the week through September 28th|JUST IN: Columbus County Schools will be CLOSED the rest of the week through September 28th|false|1044235845786632193|/wectnews/status/1044235845786632193||||
wectnews|2018-09-20 05:30:38|2|4|Multiple departures from ILM canceled https://buff.ly/2poczrX  |Multiple departures from ILM canceled   |false|1042707595805503489|/wectnews/status/1042707595805503489||||
wectnews|2018-09-07 16:14:39|0|0|UPDATE: Wilmington police have identified the three victims injured in a shooting in the Creekwood area early Friday morning.  https://buff.ly/2oOIguj   pic.twitter.com/ur0A14Ios9|UPDATE: Wilmington police have identified the three victims injured in a shooting in the Creekwood area early Friday morning.     |false|1038158628170158080|/wectnews/status/1038158628170158080||||
