username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
wsoctv|2018-09-17 19:49:20|1|1|BREAKING: A dam on Highway 145 in Lilesville burst Monday, the Anson County sheriff said. https://on.wsoctv.com/2phuwZ6  |BREAKING: A dam on Highway 145 in Lilesville burst Monday, the Anson County sheriff said.   |false|1041836534046105600|/wsoctv/status/1041836534046105600||||
wsoctv|2018-09-15 20:02:39|0|1|The games scheduled for today on WSOC will be shown on our sister station, WAXN/TV64. Spectrum Channel 10 & 1230 Comporium Channel 110 & 1110 AT&T UVerse Channel 64 & 1064 DirecTV Channel 64 Dish Channel 64|The games scheduled for today on WSOC will be shown on our sister station, WAXN/TV64. Spectrum Channel 10 & 1230 Comporium Channel 110 & 1110 AT&T UVerse Channel 64 & 1064 DirecTV Channel 64 Dish Channel 64|false|1041115108594868224|/wsoctv/status/1041115108594868224||||
wsoctv|2018-09-13 09:10:31|3|5|'It''s a windy morning #HurricaneFlorence  #topsail  #9RadarReady  __NEWLINE__@JohnAhrensWSOC9  __NEWLINE__@CoreyWSOC9 pic.twitter.com/7MMPYh6gfu'|'It''s a windy morning #HurricaneFlorence  #topsail  #9RadarReady  __NEWLINE__@JohnAhrensWSOC9  __NEWLINE__@CoreyWSOC9 '|false|1040226219881623554|/wsoctv/status/1040226219881623554||||
wsoctv|2018-09-13 18:45:01|1|6|The high water has destructive waves on top, and it comes in addition to normal tides. https://on.wsoctv.com/2CVsMi9  |The high water has destructive waves on top, and it comes in addition to normal tides.   |false|1040370797246857218|/wsoctv/status/1040370797246857218||||
wsoctv|2018-09-07 23:00:02|3|3|Five guns found at Charlotte-area schools in a week. https://on.wsoctv.com/2NtEFjo  |Five guns found at Charlotte-area schools in a week.   |false|1038260646629072896|/wsoctv/status/1038260646629072896||||
wsoctv|2018-09-15 09:21:35|11|20|BREAKING: President Trump approves North Carolina disaster relief, plans to visit region next week. OPEN for how to apply for federal aid -->  https://on.wsoctv.com/2OqsYXS   pic.twitter.com/sOjczJ9faL|BREAKING: President Trump approves North Carolina disaster relief, plans to visit region next week. OPEN for how to apply for federal aid -->     |false|1040953780374839296|/wsoctv/status/1040953780374839296||||
wsoctv|2018-09-19 21:44:01|7|5|Police say a 17-year-old escapes kidnapper who forced her into prostitution.__NEWLINE____NEWLINE__Tonight at 10 and 11, a worker at a local Captain D’s restaurant talks to reporter Stephanie Tinoco about the chilling moments before CMPD made the arrest. https://on.wsoctv.com/2MLasry  |Police say a 17-year-old escapes kidnapper who forced her into prostitution.__NEWLINE____NEWLINE__Tonight at 10 and 11, a worker at a local Captain D’s restaurant talks to reporter Stephanie Tinoco about the chilling moments before CMPD made the arrest.   |false|1042590171202564096|/wsoctv/status/1042590171202564096||||
wsoctv|2018-09-13 15:30:04|3|8|Gray Man ghost appears before major hurricanes, SC legend says  https://www. wsoctv.com/news/local/cop y-of-gray-man-ghost-makes-appearance-before-major-hurricanes-south-carolina-legend-says/831237384   … pic.twitter.com/Gin0vtpVwn|Gray Man ghost appears before major hurricanes, SC legend says   wsoctv.com/news/local/cop y-of-gray-man-ghost-makes-appearance-before-major-hurricanes-south-carolina-legend-says/831237384   … |false|1040321733100810241|/wsoctv/status/1040321733100810241||||
wsoctv|2018-09-11 12:00:36|4|12|WOW https://twitter.com/NOAA_HurrHunte r/status/1039521323654021120   …|WOW  r/status/1039521323654021120   …|false|1039544244946591746|/wsoctv/status/1039544244946591746||||
wsoctv|2018-09-27 13:23:37|8|2|# BREAKING : The Charlotte Fire Department says officials are responding to a natural gas leak near the intersection of North College Street and East Trade Street. https://www. wsoctv.com/news/local/haz mat-crews-responding-to-large-gas-leak-in-heart-of-uptown/842438135   …|# BREAKING : The Charlotte Fire Department says officials are responding to a natural gas leak near the intersection of North College Street and East Trade Street.  wsoctv.com/news/local/haz mat-crews-responding-to-large-gas-leak-in-heart-of-uptown/842438135   …|false|1045363341324111872|/wsoctv/status/1045363341324111872||||
