'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
ANDAorg|2018-01-18 18:35:46|1|1|The @IACHumanRights  expresses concer over #humanrights  situation in #PuertoRico  after hurricanes Irma + Maria.__NEWLINE__ http://www. oas.org/en/iachr/media _center/PReleases/2018/004.asp   …|The @IACHumanRights  expresses concer over #humanrights  situation in #PuertoRico  after hurricanes Irma + Maria.__NEWLINE__  oas.org/en/iachr/media _center/PReleases/2018/004.asp   …|false|954135253924352000|/ANDAorg/status/954135253924352000|The @IACHumanRights  expresses concer over #humanrights  situation in #PuertoRico  after hurricanes Irma + Maria.__NEWLINE__ http://www. oas.org/en/iachr/media _center/PReleases/2018/004.asp   …
ANDAorg|2017-12-07 00:22:49|3|3|Hoy jueves estaremos junto al @CaribeHumanRts  ante la @CIDH  denunciando la situación en Puerto Rico tras el paso del Huracán María.__NEWLINE__Puedes seguir la audiencia en la página de la Comisión o a través de alguno de los espacios de retrasmisión. pic.twitter.com/RujxPaiZmS|Hoy jueves estaremos junto al @CaribeHumanRts  ante la @CIDH  denunciando la situación en Puerto Rico tras el paso del Huracán María.__NEWLINE__Puedes seguir la audiencia en la página de la Comisión o a través de alguno de los espacios de retrasmisión. |false|938639915423846400|/ANDAorg/status/938639915423846400|Today Thursday we will be next to the @CaribeHumanRts before the @CIDH denouncing the situation in Puerto Rico after the passage of Hurricane Maria .__ NEWLINE__You can follow the audience on the Commission's website or through one of the retransmission spaces. pic.twitter.com/RujxPaiZmS
ANDAorg|2017-12-15 13:26:34|1|1|"I met with people in the South of Puerto Rico living next to a mountain of completely unprotected coal ash which rains down upon them bringing illness, disability and death." __NEWLINE__Hablar de la degradación del ambiente es hablar de pobreza; es hablar de derechos humanos #PuertoRico https://twitter.com/Alston_UNSR/st atus/941724897839058944   …|"I met with people in the South of Puerto Rico living next to a mountain of completely unprotected coal ash which rains down upon them bringing illness, disability and death." __NEWLINE__Hablar de la degradación del ambiente es hablar de pobreza; es hablar de derechos humanos #PuertoRico  atus/941724897839058944   …|false|941736254944763904|/ANDAorg/status/941736254944763904|"I met with people in the South of Puerto Rico living next to a mountain of completely unprotected coal ash which rains down upon them bringing illness, disability and death." __NEWLINE__Hablar de la degradación del ambiente es hablar de pobreza; es hablar de derechos humanos #PuertoRico https://twitter.com/Alston_UNSR/st atus/941724897839058944   …
ANDAorg|2017-10-09 12:39:45|0|0|Energía solar es el camino. Ayudemos a @IDEBAJO  a crea comunidades solares en #PuertoRico __NEWLINE__ https://www. youcaring.com/comitedialogoa mbientalycoquisolar-739871   …|Energía solar es el camino. Ayudemos a @IDEBAJO  a crea comunidades solares en #PuertoRico __NEWLINE__  youcaring.com/comitedialogoa mbientalycoquisolar-739871   …|false|917429388043538432|/ANDAorg/status/917429388043538432|Solar energy is the way. Let's help @IDEBAJO to create solar communities in #PuertoRico __NEWLINE__ https: // www. youcaring.com/comitedialogoa mbientalycoquisolar-739871 ...
ANDAorg|2018-01-09 09:02:01|1|0|According to EPA, some plants are now running, but they’re still experiencing issues where sewage is escaping and getting into waterways. #PuertoRico  #Maria  #111days https://twitter.com/earth3r/status /950537799584964610   …|According to EPA, some plants are now running, but they’re still experiencing issues where sewage is escaping and getting into waterways. #PuertoRico  #Maria  #111days  /950537799584964610   …|false|950729375556820993|/ANDAorg/status/950729375556820993|According to EPA, some plants are now running, but they’re still experiencing issues where sewage is escaping and getting into waterways. #PuertoRico  #Maria  #111days https://twitter.com/earth3r/status /950537799584964610   …
ANDAorg|2018-03-14 09:27:55|3|2|Estudio sugiere que las #cenizas  de la planta de carbón de Guayama están contaminando las aguas subterráneas y superficiales del área. https://twitter.com/cpipr/status/9 73874853790011392   …|Estudio sugiere que las #cenizas  de la planta de carbón de Guayama están contaminando las aguas subterráneas y superficiales del área.  73874853790011392   …|false|973913619523100673|/ANDAorg/status/973913619523100673|Study suggests that #cenizas of the Guayama coal plant are contaminating the surface and groundwater of the area. https://twitter.com/cpipr/status/9 73874853790011392 ...
ANDAorg|2017-12-21 20:03:26|4|2|Sobre  la crisis ambiental post-Maria, @emorwee  de @newrepublic  pregunta: "What, exactly, is being done to remedy Puerto Rico’s environmental crisis? Will the big polluters be punished, and when will citizens get relief?" https://newrepublic.com/article/146361 /puerto-rico-gets-coal-diesel-debris-christmas   …|Sobre  la crisis ambiental post-Maria, @emorwee  de @newrepublic  pregunta: "What, exactly, is being done to remedy Puerto Rico’s environmental crisis? Will the big polluters be punished, and when will citizens get relief?"  /puerto-rico-gets-coal-diesel-debris-christmas   …|false|944010456435429376|/ANDAorg/status/944010456435429376|Sobre  la crisis ambiental post-Maria, @emorwee  de @newrepublic  pregunta: "What, exactly, is being done to remedy Puerto Rico’s environmental crisis? Will the big polluters be punished, and when will citizens get relief?" https://newrepublic.com/article/146361 /puerto-rico-gets-coal-diesel-debris-christmas   …
ANDAorg|2017-09-30 21:44:43|0|1|85% of food in #PR  is imported. Now #Maria  has affected local farms. Consider supporting sustainable agriculture … https://fo ndoderesilienciapuertorico.tumblr.com  |85% of food in #PR  is imported. Now #Maria  has affected local farms. Consider supporting sustainable agriculture …  ndoderesilienciapuertorico.tumblr.com  |false|914305041535610881|/ANDAorg/status/914305041535610881|85% of food in #PR  is imported. Now #Maria  has affected local farms. Consider supporting sustainable agriculture … https://fo ndoderesilienciapuertorico.tumblr.com  
ANDAorg|2017-09-30 21:48:57|1|1|# PR  importa 85% de la comida. #Maria  afectó seriamente la agricultura. Considere apoyar la agricultura sostenible __NEWLINE__ … https://fo ndoderesilienciapuertorico.tumblr.com/links  |# PR  importa 85% de la comida. #Maria  afectó seriamente la agricultura. Considere apoyar la agricultura sostenible __NEWLINE__ …  ndoderesilienciapuertorico.tumblr.com/links  |false|914306106587058177|/ANDAorg/status/914306106587058177|# PR imports 85% of the food. #Maria seriously affected agriculture. Consider supporting sustainable agriculture __NEWLINE__ ... https: // fo ndoderesilienciapuertorico.tumblr.com/links
ANDAorg|2017-09-28 20:41:39|1|1|http://www. pbs.org/newshour/rundo wn/can-help-hurricane-victims-puerto-rico/   …| pbs.org/newshour/rundo wn/can-help-hurricane-victims-puerto-rico/   …|false|913564395933970432|/ANDAorg/status/913564395933970432|http://www. pbs.org/newshour/rundo wn/can-help-hurricane-victims-puerto-rico/   …
