username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
DeptofDefense|2017-12-08 10:16:06|109|352|Live Now: Leadership Reaction Course at the @ConstitutionCtr , Philadelphia, for the Patriot Games! https://www. pscp.tv/w/bPlStjY2OTY0 OTN8MXluSk9vamR5RXlKUiSg4LUrsMdRZGXskVR2gVSfv5_wwZWpL-n4_sr6c8Ob   …|Live Now: Leadership Reaction Course at the @ConstitutionCtr , Philadelphia, for the Patriot Games!  pscp.tv/w/bPlStjY2OTY0 OTN8MXluSk9vamR5RXlKUiSg4LUrsMdRZGXskVR2gVSfv5_wwZWpL-n4_sr6c8Ob   …|false|939151606578155520|/DeptofDefense/status/939151606578155520|Live Now: Leadership Reaction Course at the @ConstitutionCtr , Philadelphia, for the Patriot Games! https://www. pscp.tv/w/bPlStjY2OTY0 OTN8MXluSk9vamR5RXlKUiSg4LUrsMdRZGXskVR2gVSfv5_wwZWpL-n4_sr6c8Ob   …||||
DeptofDefense|2017-12-15 22:00:06|171|827|.@USMC  Infantryman Cpl. Cameron Martinez knew he wanted to be a #Marine  since he was a high school sophomore and never looked back. #KnowYourMil pic.twitter.com/FKkrn2n9OU|.@USMC  Infantryman Cpl. Cameron Martinez knew he wanted to be a #Marine  since he was a high school sophomore and never looked back. #KnowYourMil |false|941865489583583233|/DeptofDefense/status/941865489583583233|.@USMC  Infantryman Cpl. Cameron Martinez knew he wanted to be a #Marine  since he was a high school sophomore and never looked back. #KnowYourMil pic.twitter.com/FKkrn2n9OU||||
DeptofDefense|2017-11-09 04:00:06|188|490|Watch as U.S. & German #soldiers  fire missile systems at the @NATO  Missile Firing Installation in #Greece  during exercise #ArtemisStrike . pic.twitter.com/iWKLUF2rGB|Watch as U.S. & German #soldiers  fire missile systems at the @NATO  Missile Firing Installation in #Greece  during exercise #ArtemisStrike . |false|928547736244207616|/DeptofDefense/status/928547736244207616|Watch as U.S. & German #soldiers  fire missile systems at the @NATO  Missile Firing Installation in #Greece  during exercise #ArtemisStrike . pic.twitter.com/iWKLUF2rGB||||
DeptofDefense|2017-09-07 22:00:00|128|463|Navigating the water. #Ukranian  amphibious armored personnel carrier moves though a lake during training in western #Ukraine . #WeAreNATO pic.twitter.com/dxNrS9WCZG|Navigating the water. #Ukranian  amphibious armored personnel carrier moves though a lake during training in western #Ukraine . #WeAreNATO |false|905973968242401280|/DeptofDefense/status/905973968242401280|Navigating the water. #Ukranian  amphibious armored personnel carrier moves though a lake during training in western #Ukraine . #WeAreNATO pic.twitter.com/dxNrS9WCZG||||
DeptofDefense|2018-02-25 16:00:01|72|317|Operation Adorable!  __NEWLINE____NEWLINE__A @USNavy  pediatrician @NHJAX , #Florida  monitors an infant’s  beat during an exam. #KnowYourMil pic.twitter.com/uXTqQJitFG|Operation Adorable!  __NEWLINE____NEWLINE__A @USNavy  pediatrician @NHJAX , #Florida  monitors an infant’s  beat during an exam. #KnowYourMil |false|967866800267345920|/DeptofDefense/status/967866800267345920|Operation Adorable!  __NEWLINE____NEWLINE__A @USNavy  pediatrician @NHJAX , #Florida  monitors an infant’s  beat during an exam. #KnowYourMil pic.twitter.com/uXTqQJitFG||||
DeptofDefense|2017-11-15 08:00:06|346|1096|Tri-Carriers at work! #USSNimitz , #USSTheodoreRoosevelt  & #USSRonaldReagan  carried out operations in the @US7thFleet  area of responsibility. pic.twitter.com/3Iuj3QE0BA|Tri-Carriers at work! #USSNimitz , #USSTheodoreRoosevelt  & #USSRonaldReagan  carried out operations in the @US7thFleet  area of responsibility. |false|930782462959017984|/DeptofDefense/status/930782462959017984|Tri-Carriers at work! #USSNimitz , #USSTheodoreRoosevelt  & #USSRonaldReagan  carried out operations in the @US7thFleet  area of responsibility. pic.twitter.com/3Iuj3QE0BA||||
DeptofDefense|2017-09-18 22:00:01|233|581|# MedalofHonorMonday : The only Hispanic-American @NavalAcademy  grad to receive the #MOH  gave his life to save others:  https://go.usa.gov/xRMTK   pic.twitter.com/kzL4JJxa3t|# MedalofHonorMonday : The only Hispanic-American @NavalAcademy  grad to receive the #MOH  gave his life to save others:     |false|909960237460987909|/DeptofDefense/status/909960237460987909|# MedalofHonorMonday : The only Hispanic-American @NavalAcademy  grad to receive the #MOH  gave his life to save others:  https://go.usa.gov/xRMTK   pic.twitter.com/kzL4JJxa3t||||
DeptofDefense|2017-09-15 16:00:01|62|180|17 Nations, 12 sports, 8 days of incredible adaptive sport competition! Follow @InvictusToronto  & become inspired. #IAM  #InvictusGames pic.twitter.com/XPCt19XuMm|17 Nations, 12 sports, 8 days of incredible adaptive sport competition! Follow @InvictusToronto  & become inspired. #IAM  #InvictusGames |false|908782477002498048|/DeptofDefense/status/908782477002498048|17 Nations, 12 sports, 8 days of incredible adaptive sport competition! Follow @InvictusToronto  & become inspired. #IAM  #InvictusGames pic.twitter.com/XPCt19XuMm||||
DeptofDefense|2017-09-05 16:00:01|144|302|During natural disasters, fast access to resources is critical. Find service member #mentalhealth  resources here:  https://go.usa.gov/xRsQJ   pic.twitter.com/NHj2xz5Abh|During natural disasters, fast access to resources is critical. Find service member #mentalhealth  resources here:     |false|905158597234933760|/DeptofDefense/status/905158597234933760|During natural disasters, fast access to resources is critical. Find service member #mentalhealth  resources here:  https://go.usa.gov/xRsQJ   pic.twitter.com/NHj2xz5Abh||||
DeptofDefense|2018-03-15 08:00:03|77|252|Rev up the engine! Check under the hood! They don’t make   like they used to … with pure American steel. If you appreciate classic cars like this @USMC  #Marine , watch this!  http://go.usa.gov/xntk9    #KnowYourMil  #BeyondtheUniform pic.twitter.com/7QUA1mHOa8|Rev up the engine! Check under the hood! They don’t make   like they used to … with pure American steel. If you appreciate classic cars like this @USMC  #Marine , watch this!      #KnowYourMil  #BeyondtheUniform |false|974253894741106688|/DeptofDefense/status/974253894741106688|Rev up the engine! Check under the hood! They don’t make   like they used to … with pure American steel. If you appreciate classic cars like this @USMC  #Marine , watch this!  http://go.usa.gov/xntk9    #KnowYourMil  #BeyondtheUniform pic.twitter.com/7QUA1mHOa8||||
DeptofDefense|2017-10-24 00:00:01|707|2572|“You guys train too much!”__NEWLINE____NEWLINE__First of all, this is a spa day. Training starts next week.  pic.twitter.com/wKhmCpP1dB|“You guys train too much!”__NEWLINE____NEWLINE__First of all, this is a spa day. Training starts next week.  |false|922674012882219011|/DeptofDefense/status/922674012882219011|“You guys train too much!”__NEWLINE____NEWLINE__First of all, this is a spa day. Training starts next week.  pic.twitter.com/wKhmCpP1dB||||
DeptofDefense|2018-03-11 08:00:01|414|1616|And you thought your days could get a little touch and go sometimes.__NEWLINE____NEWLINE__Watch this #C17  perform a touch and go on the flight line. #KnowYourMil pic.twitter.com/qFGCqXOhAR|And you thought your days could get a little touch and go sometimes.__NEWLINE____NEWLINE__Watch this #C17  perform a touch and go on the flight line. #KnowYourMil |false|972804331371155456|/DeptofDefense/status/972804331371155456|And you thought your days could get a little touch and go sometimes.__NEWLINE____NEWLINE__Watch this #C17  perform a touch and go on the flight line. #KnowYourMil pic.twitter.com/qFGCqXOhAR||||
DeptofDefense|2018-02-28 22:00:02|97|452|These twin brothers do everything together, including joining the #military . Find out how they are continuing their service with @USACEHQ :  https://go.usa.gov/xneyg    #KnowYourMil pic.twitter.com/7T5bpFW2DW|These twin brothers do everything together, including joining the #military . Find out how they are continuing their service with @USACEHQ :      #KnowYourMil |false|969044562411835393|/DeptofDefense/status/969044562411835393|These twin brothers do everything together, including joining the #military . Find out how they are continuing their service with @USACEHQ :  https://go.usa.gov/xneyg    #KnowYourMil pic.twitter.com/7T5bpFW2DW||||
DeptofDefense|2017-10-21 00:00:02|229|716|# Sailors  transport a patient from a local   hospital to #USNSComfort . #DoD  is supporting @FEMA  #reliefefforts  following #HurricaneMaria . pic.twitter.com/gcCVjbGbA8|# Sailors  transport a patient from a local   hospital to #USNSComfort . #DoD  is supporting @FEMA  #reliefefforts  following #HurricaneMaria . |false|921586850422231045|/DeptofDefense/status/921586850422231045|# Sailors  transport a patient from a local   hospital to #USNSComfort . #DoD  is supporting @FEMA  #reliefefforts  following #HurricaneMaria . pic.twitter.com/gcCVjbGbA8||||
DeptofDefense|2018-03-02 22:00:02|202|712|Cold nose, warm heart. This pup is providing comfort to sexual assault survivors just by being there. #KnowYourMil pic.twitter.com/wsa9uTnuh0|Cold nose, warm heart. This pup is providing comfort to sexual assault survivors just by being there. #KnowYourMil |false|969769336935137281|/DeptofDefense/status/969769336935137281|Cold nose, warm heart. This pup is providing comfort to sexual assault survivors just by being there. #KnowYourMil pic.twitter.com/wsa9uTnuh0||||
DeptofDefense|2017-09-20 08:48:58|1|0|Anabelle is a cutie!|Anabelle is a cutie!|false|910485939859984385|/DeptofDefense/status/910485939859984385|Anabelle is a cutie!||||
DeptofDefense|2017-10-13 12:00:00|118|313|.@southcomwatch  at work! @USCG  team works to recover jettisoned cocaine bales in the #PacificOcean . The boarding team recovered 17 bales. pic.twitter.com/hZdyvcILJB|.@southcomwatch  at work! @USCG  team works to recover jettisoned cocaine bales in the #PacificOcean . The boarding team recovered 17 bales. |false|918868936153862144|/DeptofDefense/status/918868936153862144|.@southcomwatch  at work! @USCG  team works to recover jettisoned cocaine bales in the #PacificOcean . The boarding team recovered 17 bales. pic.twitter.com/hZdyvcILJB||||
DeptofDefense|2017-11-08 08:00:02|110|398|The Afghan air force performs a live-fire demo after a year and a half of incorporating the aircraft into daily operations @ResoluteSupport pic.twitter.com/bzpY1VFcQw|The Afghan air force performs a live-fire demo after a year and a half of incorporating the aircraft into daily operations @ResoluteSupport |false|928245731038601217|/DeptofDefense/status/928245731038601217|The Afghan air force performs a live-fire demo after a year and a half of incorporating the aircraft into daily operations @ResoluteSupport pic.twitter.com/bzpY1VFcQw||||
DeptofDefense|2018-01-11 18:46:29|15|91|Correction: It’s @theCaGuard .|Correction: It’s @theCaGuard .|false|951601238453510144|/DeptofDefense/status/951601238453510144|Correction: It’s @theCaGuard .||||
DeptofDefense|2017-09-11 22:00:01|260|714|# MedalofHonorMonday : The youngest @USMC  #Marine  to receive the #MOH  escaped death twice.  https://go.usa.gov/xRFNU   pic.twitter.com/CqGbRrJk52|# MedalofHonorMonday : The youngest @USMC  #Marine  to receive the #MOH  escaped death twice.     |false|907423523618086913|/DeptofDefense/status/907423523618086913|# MedalofHonorMonday : The youngest @USMC  #Marine  to receive the #MOH  escaped death twice.  https://go.usa.gov/xRFNU   pic.twitter.com/CqGbRrJk52||||
DeptofDefense|2017-09-21 08:00:03|131|395|Splish splash! An amphibious assault vehicle launches into the ocean from #USSAshland  south of #Japan . pic.twitter.com/pdWBQp23yF|Splish splash! An amphibious assault vehicle launches into the ocean from #USSAshland  south of #Japan . |false|910836015111311360|/DeptofDefense/status/910836015111311360|Splish splash! An amphibious assault vehicle launches into the ocean from #USSAshland  south of #Japan . pic.twitter.com/pdWBQp23yF||||
DeptofDefense|2017-12-24 17:20:16|3062|13366|.@POTUS  called the #Marines  and #sailors  of Special Purpose Marine Air-Ground Task Force - Crisis Response - Central Command to thank them for their service and wish them a Merry Christmas. __NEWLINE__@CENTCOM pic.twitter.com/Hwqr8rfoOz|.@POTUS  called the #Marines  and #sailors  of Special Purpose Marine Air-Ground Task Force - Crisis Response - Central Command to thank them for their service and wish them a Merry Christmas. __NEWLINE__@CENTCOM |false|945056556458106880|/DeptofDefense/status/945056556458106880|.@POTUS  called the #Marines  and #sailors  of Special Purpose Marine Air-Ground Task Force - Crisis Response - Central Command to thank them for their service and wish them a Merry Christmas. __NEWLINE__@CENTCOM pic.twitter.com/Hwqr8rfoOz||||
DeptofDefense|2017-09-03 00:00:55|440|1361|Although #militarychaplains  are not always in the forefront, they play a vital role when transporting fallen #warriors  back home. pic.twitter.com/HPOZ3cnP6n|Although #militarychaplains  are not always in the forefront, they play a vital role when transporting fallen #warriors  back home. |false|904192456207474689|/DeptofDefense/status/904192456207474689|Although #militarychaplains  are not always in the forefront, they play a vital role when transporting fallen #warriors  back home. pic.twitter.com/HPOZ3cnP6n||||
DeptofDefense|2018-03-15 12:02:18|153|272|LIVE: @ChiefPentSpox  Dana White briefs reporters@the #Pentagon . https://www. pscp.tv/w/bXqQiTY2OTY0 OTN8MU95S0FObGxhd3pHYi73RrlZ9EUzGWDE-AgxWnot2Y0GKcEalBhOw80RZA0R   …|LIVE: @ChiefPentSpox  Dana White briefs reporters@the #Pentagon .  pscp.tv/w/bXqQiTY2OTY0 OTN8MU95S0FObGxhd3pHYi73RrlZ9EUzGWDE-AgxWnot2Y0GKcEalBhOw80RZA0R   …|false|974314855145488385|/DeptofDefense/status/974314855145488385|LIVE: @ChiefPentSpox  Dana White briefs reporters@the #Pentagon . https://www. pscp.tv/w/bXqQiTY2OTY0 OTN8MU95S0FObGxhd3pHYi73RrlZ9EUzGWDE-AgxWnot2Y0GKcEalBhOw80RZA0R   …||||
DeptofDefense|2017-12-12 16:00:05|76|380|“Water is the great equalizer. Water does not care who you are.” __NEWLINE____NEWLINE__These #Marines  know how to survive in   with their gear and guns on. Just watch. #KnowYourMil pic.twitter.com/eAln2jga8k|“Water is the great equalizer. Water does not care who you are.” __NEWLINE____NEWLINE__These #Marines  know how to survive in   with their gear and guns on. Just watch. #KnowYourMil |false|940687725438517248|/DeptofDefense/status/940687725438517248|“Water is the great equalizer. Water does not care who you are.” __NEWLINE____NEWLINE__These #Marines  know how to survive in   with their gear and guns on. Just watch. #KnowYourMil pic.twitter.com/eAln2jga8k||||
DeptofDefense|2018-03-23 04:00:00|612|1712|Happy #NationalPuppyDay . Did you know, only the most skilled pups become military working dogs? #DYK  #KnowYourMil   pic.twitter.com/PAeYg4SZnc|Happy #NationalPuppyDay . Did you know, only the most skilled pups become military working dogs? #DYK  #KnowYourMil   |false|977092586656673792|/DeptofDefense/status/977092586656673792|Happy #NationalPuppyDay . Did you know, only the most skilled pups become military working dogs? #DYK  #KnowYourMil   pic.twitter.com/PAeYg4SZnc||||
DeptofDefense|2017-10-30 16:00:02|214|924|We fly high, no lie, you know this  Two Super Hornets & a Growler fly off the coast of Wake Island during a @USNavy  event. pic.twitter.com/rA1bHuC5fE|We fly high, no lie, you know this  Two Super Hornets & a Growler fly off the coast of Wake Island during a @USNavy  event. |false|925089934972633092|/DeptofDefense/status/925089934972633092|We fly high, no lie, you know this  Two Super Hornets & a Growler fly off the coast of Wake Island during a @USNavy  event. pic.twitter.com/rA1bHuC5fE||||
DeptofDefense|2018-02-23 22:00:01|124|440|HART Training__NEWLINE__A rescue technician with the South Carolina Helicopter Aquatic Rescue Team guides a stretcher during exercise #PatriotSouth18  at Camp Shelby, #Mississippi . The joint-agency exercise focused on natural disaster preparedness. pic.twitter.com/KNSzVgoB1c|HART Training__NEWLINE__A rescue technician with the South Carolina Helicopter Aquatic Rescue Team guides a stretcher during exercise #PatriotSouth18  at Camp Shelby, #Mississippi . The joint-agency exercise focused on natural disaster preparedness. |false|967232618663038976|/DeptofDefense/status/967232618663038976|HART Training__NEWLINE__A rescue technician with the South Carolina Helicopter Aquatic Rescue Team guides a stretcher during exercise #PatriotSouth18  at Camp Shelby, #Mississippi . The joint-agency exercise focused on natural disaster preparedness. pic.twitter.com/KNSzVgoB1c||||
DeptofDefense|2018-01-07 19:03:47|0|2|That’s great! Thank you for sharing!|That’s great! Thank you for sharing!|false|950156037662957568|/DeptofDefense/status/950156037662957568|That’s great! Thank you for sharing!||||
DeptofDefense|2018-03-12 08:00:03|67|207|On #NationalGirlScoutDay , we celebrate the @GirlScouts  and the contributions they make to communities across the country. #girlpower pic.twitter.com/sznASvGJIp|On #NationalGirlScoutDay , we celebrate the @GirlScouts  and the contributions they make to communities across the country. #girlpower |false|973166729915400192|/DeptofDefense/status/973166729915400192|On #NationalGirlScoutDay , we celebrate the @GirlScouts  and the contributions they make to communities across the country. #girlpower pic.twitter.com/sznASvGJIp||||
DeptofDefense|2017-10-06 07:45:00|92|229|WATCH LIVE: @fema  and #DoD  officials provide an update on #HurricaneMaria  #ReliefEfforts  at 8 a.m. EDT on  http://defense.gov/live   pic.twitter.com/XACeYFXel2|WATCH LIVE: @fema  and #DoD  officials provide an update on #HurricaneMaria  #ReliefEfforts  at 8 a.m. EDT on     |false|916268047802834944|/DeptofDefense/status/916268047802834944|WATCH LIVE: @fema  and #DoD  officials provide an update on #HurricaneMaria  #ReliefEfforts  at 8 a.m. EDT on  http://defense.gov/live   pic.twitter.com/XACeYFXel2||||
DeptofDefense|2018-01-02 09:14:06|0|10|Thank you for your service!|Thank you for your service!|false|948195700352929793|/DeptofDefense/status/948195700352929793|Thank you for your service!||||
