username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
HHSGov|2017-09-28 10:30:49|87|67|Flu season is coming! #FightFlu  and protect yourself and your loved ones with a flu vaccine this season.  http://thndr.me/lNMA8z   pic.twitter.com/EQ6b6ZAyVf|Flu season is coming! #FightFlu  and protect yourself and your loved ones with a flu vaccine this season.     |false|913410674147065856|/HHSGov/status/913410674147065856|Flu season is coming! #FightFlu  and protect yourself and your loved ones with a flu vaccine this season.  http://thndr.me/lNMA8z   pic.twitter.com/EQ6b6ZAyVf||||
HHSGov|2018-03-08 17:03:41|28|15|# Mumps  outbreaks can occur in places where people have had prolonged, close contact with a person who has mumps, like schools, colleges, and camps. Know the signs and symptoms:  http://bit.ly/2FuHIAB  |# Mumps  outbreaks can occur in places where people have had prolonged, close contact with a person who has mumps, like schools, colleges, and camps. Know the signs and symptoms:    |false|971869086727786496|/HHSGov/status/971869086727786496|# Mumps  outbreaks can occur in places where people have had prolonged, close contact with a person who has mumps, like schools, colleges, and camps. Know the signs and symptoms:  http://bit.ly/2FuHIAB  ||||
HHSGov|2017-11-08 11:00:02|7|4|Need tips on how to manage your diabetes? Join @FDAOMH  and @Health360X  for a Twitter chat today at 1 PM ET to discuss diabetes management. pic.twitter.com/pr67B6dJKj|Need tips on how to manage your diabetes? Join @FDAOMH  and @Health360X  for a Twitter chat today at 1 PM ET to discuss diabetes management. |false|928291025805824001|/HHSGov/status/928291025805824001|Need tips on how to manage your diabetes? Join @FDAOMH  and @Health360X  for a Twitter chat today at 1 PM ET to discuss diabetes management. pic.twitter.com/pr67B6dJKj||||
HHSGov|2017-09-18 16:48:02|9|6|Do you eat papayas? Several companies have recalled Maradol papayas after outbreaks linked to their papayas.    https://go.usa.gov/xRezp   pic.twitter.com/u8MTvgirqi|Do you eat papayas? Several companies have recalled Maradol papayas after outbreaks linked to their papayas.       |false|909881725005828098|/HHSGov/status/909881725005828098|Do you eat papayas? Several companies have recalled Maradol papayas after outbreaks linked to their papayas.    https://go.usa.gov/xRezp   pic.twitter.com/u8MTvgirqi||||
HHSGov|2018-02-03 15:30:02|37|32|Watching the #SuperBowl  this weekend? Try to avoid contact with people with flu symptoms--and remember, no double dipping!  http://bit.ly/2hwi42Q     #FightFlu pic.twitter.com/OP6UVNNkRH|Watching the #SuperBowl  this weekend? Try to avoid contact with people with flu symptoms--and remember, no double dipping!       #FightFlu |false|959886718768951296|/HHSGov/status/959886718768951296|Watching the #SuperBowl  this weekend? Try to avoid contact with people with flu symptoms--and remember, no double dipping!  http://bit.ly/2hwi42Q     #FightFlu pic.twitter.com/OP6UVNNkRH||||
HHSGov|2018-02-20 09:21:36|33|27|.@hhsgov , @usdol , @ustreasury  issue proposed rule to expand availability of short-term, limited-duration health insurance https://www. hhs.gov/about/news/201 8/02/20/trump-administration-works-give-relief-americans-facing-high-premiums-fewer-choices.html   …|.@hhsgov , @usdol , @ustreasury  issue proposed rule to expand availability of short-term, limited-duration health insurance  hhs.gov/about/news/201 8/02/20/trump-administration-works-give-relief-americans-facing-high-premiums-fewer-choices.html   …|false|965954593552306176|/HHSGov/status/965954593552306176|.@hhsgov , @usdol , @ustreasury  issue proposed rule to expand availability of short-term, limited-duration health insurance https://www. hhs.gov/about/news/201 8/02/20/trump-administration-works-give-relief-americans-facing-high-premiums-fewer-choices.html   …||||
HHSGov|2018-03-16 17:26:18|19|24|HHS is committed to a transformation of the healthcare system that promotes quality care and real value for every American.  https://go.usa.gov/xQ3WJ   pic.twitter.com/RRzno2PzWl|HHS is committed to a transformation of the healthcare system that promotes quality care and real value for every American.     |false|974758781878984704|/HHSGov/status/974758781878984704|HHS is committed to a transformation of the healthcare system that promotes quality care and real value for every American.  https://go.usa.gov/xQ3WJ   pic.twitter.com/RRzno2PzWl||||
HHSGov|2017-12-03 10:42:01|13|18|You don’t have to be perfect to be a perfect parent. Teens need strong, loving, permanent families to help them live healthy and productive lives. For more information on how you can adopt, visit  http://AdoptUSKids.org   . pic.twitter.com/IdliGlk7jL|You don’t have to be perfect to be a perfect parent. Teens need strong, loving, permanent families to help them live healthy and productive lives. For more information on how you can adopt, visit     . |false|937346189518884865|/HHSGov/status/937346189518884865|You don’t have to be perfect to be a perfect parent. Teens need strong, loving, permanent families to help them live healthy and productive lives. For more information on how you can adopt, visit  http://AdoptUSKids.org   . pic.twitter.com/IdliGlk7jL||||
HHSGov|2017-10-22 16:22:01|14|10|# GenericDrugs  can cost as much as 80-85% less, but are not lower quality. Learn more at  http://www. FDA.gov/GenericDrugs   pic.twitter.com/VNPi6DsdSL|# GenericDrugs  can cost as much as 80-85% less, but are not lower quality. Learn more at   FDA.gov/GenericDrugs   |false|922196363881975808|/HHSGov/status/922196363881975808|# GenericDrugs  can cost as much as 80-85% less, but are not lower quality. Learn more at  http://www. FDA.gov/GenericDrugs   pic.twitter.com/VNPi6DsdSL||||
HHSGov|2018-02-07 11:54:36|12|8|# DYK  that #opioid  and other drug/alcohol use can increase your risk for #HIV ? Learn how:  http://bit.ly/drugalcoholuse    @HIVGov pic.twitter.com/OpGL5D56S3|# DYK  that #opioid  and other drug/alcohol use can increase your risk for #HIV ? Learn how:      @HIVGov |false|961282054049665026|/HHSGov/status/961282054049665026|# DYK  that #opioid  and other drug/alcohol use can increase your risk for #HIV ? Learn how:  http://bit.ly/drugalcoholuse    @HIVGov pic.twitter.com/OpGL5D56S3||||
