username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
NASA_SPoRT|2017-09-18 09:02:45|49|60|# Jose  expected to stay offshore but far-reaching impacts have prompted a tropical storm watch for parts of the east coast. See @NHC_Atlantic pic.twitter.com/76H6iKIxpR|# Jose  expected to stay offshore but far-reaching impacts have prompted a tropical storm watch for parts of the east coast. See @NHC_Atlantic |false|909764633585766400|/NASA_SPoRT/status/909764633585766400|# Jose  expected to stay offshore but far-reaching impacts have prompted a tropical storm watch for parts of the east coast. See @NHC_Atlantic pic.twitter.com/76H6iKIxpR||||
NASA_SPoRT|2017-09-11 17:10:38|734|1281|Updated history of Hurricanes #Irma  & #Jose : 1 Sept. - 11 Sept. 2017. This is a bit slower of an animation that uses 15-min. #GOES16  data. pic.twitter.com/hkGpKgUoEP|Updated history of Hurricanes #Irma  & #Jose : 1 Sept. - 11 Sept. 2017. This is a bit slower of an animation that uses 15-min. #GOES16  data. |false|907350697712242689|/NASA_SPoRT/status/907350697712242689|Updated history of Hurricanes #Irma  & #Jose : 1 Sept. - 11 Sept. 2017. This is a bit slower of an animation that uses 15-min. #GOES16  data. pic.twitter.com/hkGpKgUoEP||||
NASA_SPoRT|2018-03-07 12:15:22|226|344|'# Lightning  in heavy snowfall (AKA #thundersnow ) detected by @NOAA ''s #GOES16  #GLM  over New York City in the last 10 minutes. #TSSN pic.twitter.com/L9WfHZFnYc'|'# Lightning  in heavy snowfall (AKA #thundersnow ) detected by @NOAA ''s #GOES16  #GLM  over New York City in the last 10 minutes. #TSSN '|false|971434142956212225|/NASA_SPoRT/status/971434142956212225|'# Lightning  in heavy snowfall (AKA #thundersnow ) detected by @NOAA ''s #GOES16  #GLM  over New York City in the last 10 minutes. #TSSN pic.twitter.com/L9WfHZFnYc'||||
NASA_SPoRT|2017-10-13 08:32:21|45|41|'# Hurricane  #Ophelia ''s winds have increased to 105 MPH. No further strengthening expected by @NHC_Atlantic . Moving ENE@8 MPH. @NOAA  #GOES16 pic.twitter.com/tfmbpeNzwq'|'# Hurricane  #Ophelia ''s winds have increased to 105 MPH. No further strengthening expected by @NHC_Atlantic . Moving ENE@8 MPH. @NOAA  #GOES16 '|false|918816676023586816|/NASA_SPoRT/status/918816676023586816|'# Hurricane  #Ophelia ''s winds have increased to 105 MPH. No further strengthening expected by @NHC_Atlantic . Moving ENE@8 MPH. @NOAA  #GOES16 pic.twitter.com/tfmbpeNzwq'||||
NASA_SPoRT|2018-03-09 12:21:34|1|10|# ICEPOP  Update: Plenty of Fresh Powder for Paralympic Winter Games in #PyeongChang : Three Snowstorms in Eight Days #Paralympics  __NEWLINE____NEWLINE__ https://nasasport.wordpress.com/2018/03/08/ple nty-of-fresh-powder-for-paralympic-winter-games-in-pyeongchang-three-snowstorms-in-eight-days/   … pic.twitter.com/AGPgwuAGLd|# ICEPOP  Update: Plenty of Fresh Powder for Paralympic Winter Games in #PyeongChang : Three Snowstorms in Eight Days #Paralympics  __NEWLINE____NEWLINE__  nty-of-fresh-powder-for-paralympic-winter-games-in-pyeongchang-three-snowstorms-in-eight-days/   … |false|972160476728713217|/NASA_SPoRT/status/972160476728713217|# ICEPOP  Update: Plenty of Fresh Powder for Paralympic Winter Games in #PyeongChang : Three Snowstorms in Eight Days #Paralympics  __NEWLINE____NEWLINE__ https://nasasport.wordpress.com/2018/03/08/ple nty-of-fresh-powder-for-paralympic-winter-games-in-pyeongchang-three-snowstorms-in-eight-days/   … pic.twitter.com/AGPgwuAGLd||||
NASA_SPoRT|2017-09-18 21:10:42|1230|894|# Maria  is about to make landfall in #Dominica  as a powerful Category 5 major hurricane with sustained winds of 160 MPH. #GOES16 pic.twitter.com/7nnYJrWoPR|# Maria  is about to make landfall in #Dominica  as a powerful Category 5 major hurricane with sustained winds of 160 MPH. #GOES16 |false|909947826754457600|/NASA_SPoRT/status/909947826754457600|# Maria  is about to make landfall in #Dominica  as a powerful Category 5 major hurricane with sustained winds of 160 MPH. #GOES16 pic.twitter.com/7nnYJrWoPR||||
NASA_SPoRT|2018-03-14 10:10:16|4|1|AM Update: Some of our data feeds have been restored, but others still need attention and will likely be down at least through the morning. https://twitter.com/NASA_SPoRT/sta tus/973715263639162880   …|AM Update: Some of our data feeds have been restored, but others still need attention and will likely be down at least through the morning.  tus/973715263639162880   …|false|973924273600585728|/NASA_SPoRT/status/973924273600585728|AM Update: Some of our data feeds have been restored, but others still need attention and will likely be down at least through the morning. https://twitter.com/NASA_SPoRT/sta tus/973715263639162880   …||||
NASA_SPoRT|2017-09-07 15:21:39|457|358|Tropical trinity: #Katia  (left; 80 MPH), #Irma  (center; 175 MPH), and #Jose  (right; 105 MPH). Certainly a busy day for forecasters. #GOES16 pic.twitter.com/ueNbmFdtC1|Tropical trinity: #Katia  (left; 80 MPH), #Irma  (center; 175 MPH), and #Jose  (right; 105 MPH). Certainly a busy day for forecasters. #GOES16 |false|905873716722196480|/NASA_SPoRT/status/905873716722196480|Tropical trinity: #Katia  (left; 80 MPH), #Irma  (center; 175 MPH), and #Jose  (right; 105 MPH). Certainly a busy day for forecasters. #GOES16 pic.twitter.com/ueNbmFdtC1||||
NASA_SPoRT|2018-01-04 11:24:50|116|174|'The Air Mass RGB product from @NOAA ''s #GOES16  satellite helps to diagnose the environment during deep cyclogenesis by enhancing temperature and moisture characteristics of air masses, as is the case this morning with the deepening storm off the US east coast. #blizzard pic.twitter.com/GIut3RVl8w'|'The Air Mass RGB product from @NOAA ''s #GOES16  satellite helps to diagnose the environment during deep cyclogenesis by enhancing temperature and moisture characteristics of air masses, as is the case this morning with the deepening storm off the US east coast. #blizzard '|false|948953376187961345|/NASA_SPoRT/status/948953376187961345|'The Air Mass RGB product from @NOAA ''s #GOES16  satellite helps to diagnose the environment during deep cyclogenesis by enhancing temperature and moisture characteristics of air masses, as is the case this morning with the deepening storm off the US east coast. #blizzard pic.twitter.com/GIut3RVl8w'||||
NASA_SPoRT|2018-02-12 08:28:38|140|138|The Polynesian state of Tonga in the south Pacific has taken a direct hit by Tropical Cyclone #Gita  with max sustained winds of 125 KT, gusting to 150 KT - the equivalent of a Category 4 hurricane. (#JMA  Himwarai imagery) pic.twitter.com/Cw0cuoTwOB|The Polynesian state of Tonga in the south Pacific has taken a direct hit by Tropical Cyclone #Gita  with max sustained winds of 125 KT, gusting to 150 KT - the equivalent of a Category 4 hurricane. (#JMA  Himwarai imagery) |false|963042163771797504|/NASA_SPoRT/status/963042163771797504|The Polynesian state of Tonga in the south Pacific has taken a direct hit by Tropical Cyclone #Gita  with max sustained winds of 125 KT, gusting to 150 KT - the equivalent of a Category 4 hurricane. (#JMA  Himwarai imagery) pic.twitter.com/Cw0cuoTwOB||||
