username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
NWSCharlestonSC|2017-12-19 10:24:23|13|11|Winter solstice will occur at 11:28 AM this Thursday, 12/21. Today through Saturday, we will only see 9 hours and 59 minutes of daylight per day. #Solstice2017  #shortestdayoftheyear pic.twitter.com/CNCDLGIUUj|Winter solstice will occur at 11:28 AM this Thursday, 12/21. Today through Saturday, we will only see 9 hours and 59 minutes of daylight per day. #Solstice2017  #shortestdayoftheyear |false|943139958759583744|/NWSCharlestonSC/status/943139958759583744|Winter solstice will occur at 11:28 AM this Thursday, 12/21. Today through Saturday, we will only see 9 hours and 59 minutes of daylight per day. #Solstice2017  #shortestdayoftheyear pic.twitter.com/CNCDLGIUUj||||
NWSCharlestonSC|2017-12-20 08:01:07|0|0|'It''s foggy out there. Use caution if driving or boating! https://twitter.com/LauraPavlides/ status/943458317443223552   …'|'It''s foggy out there. Use caution if driving or boating!  status/943458317443223552   …'|false|943466291968561152|/NWSCharlestonSC/status/943466291968561152|'It''s foggy out there. Use caution if driving or boating! https://twitter.com/LauraPavlides/ status/943458317443223552   …'||||
NWSCharlestonSC|2018-01-04 21:12:39|28|21|'Near record #cold  tonite. Wind chills even colder. Remember to drip pipes. Use space heaters safely. Keep heaters at least 3 ft away from anything that can ignite. Never plug into extension cord. Don''t use oven or outside grills as heaters. Make sure pets  are warm. pic.twitter.com/A3iCp3r6oz'|'Near record #cold  tonite. Wind chills even colder. Remember to drip pipes. Use space heaters safely. Keep heaters at least 3 ft away from anything that can ignite. Never plug into extension cord. Don''t use oven or outside grills as heaters. Make sure pets  are warm. '|false|949101304093257735|/NWSCharlestonSC/status/949101304093257735|'Near record #cold  tonite. Wind chills even colder. Remember to drip pipes. Use space heaters safely. Keep heaters at least 3 ft away from anything that can ignite. Never plug into extension cord. Don''t use oven or outside grills as heaters. Make sure pets  are warm. pic.twitter.com/A3iCp3r6oz'||||
NWSCharlestonSC|2018-01-03 14:04:07|8|27|Safe to say, this will not happen often. Enjoy it kids! #scwx https://twitter.com/tmccurry/statu s/948630147934162945   …|Safe to say, this will not happen often. Enjoy it kids! #scwx  s/948630147934162945   …|false|948631075072430085|/NWSCharlestonSC/status/948631075072430085|Safe to say, this will not happen often. Enjoy it kids! #scwx https://twitter.com/tmccurry/statu s/948630147934162945   …||||
NWSCharlestonSC|2017-12-02 09:41:24|0|3|'Skywarn Recognition Day continues! We''ve recently made contact with @NWSBlacksburg  @NWSLittleRock . We''re currently operating on 40 meters using call sign of WX4CHS #skywarn17  #SRD2017   https://www. weather.gov/crh/skywarnrec ognition   …'|'Skywarn Recognition Day continues! We''ve recently made contact with @NWSBlacksburg  @NWSLittleRock . We''re currently operating on 40 meters using call sign of WX4CHS #skywarn17  #SRD2017    weather.gov/crh/skywarnrec ognition   …'|false|936968546076282880|/NWSCharlestonSC/status/936968546076282880|'Skywarn Recognition Day continues! We''ve recently made contact with @NWSBlacksburg  @NWSLittleRock . We''re currently operating on 40 meters using call sign of WX4CHS #skywarn17  #SRD2017   https://www. weather.gov/crh/skywarnrec ognition   …'||||
NWSCharlestonSC|2017-09-02 04:19:23|1|5|Seeing high winds or damage around Charleston County, let us know! #chswx|Seeing high winds or damage around Charleston County, let us know! #chswx|false|903895115525181440|/NWSCharlestonSC/status/903895115525181440|Seeing high winds or damage around Charleston County, let us know! #chswx||||
NWSCharlestonSC|2017-09-29 12:11:49|20|11|Flashback: On the morning of Sep. 29, 1938, five #tornadoes  raked the SC Lowcountry. Details & Photos:  http://www. weather.gov/chs/1938Charle stonTornadoes   …  #scwx  #chswx pic.twitter.com/vCZSNvuW2M|Flashback: On the morning of Sep. 29, 1938, five #tornadoes  raked the SC Lowcountry. Details & Photos:   weather.gov/chs/1938Charle stonTornadoes   …  #scwx  #chswx |false|913798479675318272|/NWSCharlestonSC/status/913798479675318272|Flashback: On the morning of Sep. 29, 1938, five #tornadoes  raked the SC Lowcountry. Details & Photos:  http://www. weather.gov/chs/1938Charle stonTornadoes   …  #scwx  #chswx pic.twitter.com/vCZSNvuW2M||||
NWSCharlestonSC|2017-12-05 18:39:05|0|0|For student employment programs within the NWS, check here for guidelines and/or questions:  https://www. weather.gov/eeo-diversity/ eeo_student_research_opportunities   …|For student employment programs within the NWS, check here for guidelines and/or questions:   weather.gov/eeo-diversity/ eeo_student_research_opportunities   …|false|938191024635211776|/NWSCharlestonSC/status/938191024635211776|For student employment programs within the NWS, check here for guidelines and/or questions:  https://www. weather.gov/eeo-diversity/ eeo_student_research_opportunities   …||||
NWSCharlestonSC|2017-10-07 15:55:37|5|4|'Great visualization of what 11 feet of inundation looks like. Thoughts with those in Nate''s path. #scwx  #gawx  #chswx  #savwx https://twitter.com/NWSNewOrleans/ status/916733154471407616   …'|'Great visualization of what 11 feet of inundation looks like. Thoughts with those in Nate''s path. #scwx  #gawx  #chswx  #savwx  status/916733154471407616   …'|false|916753903395491841|/NWSCharlestonSC/status/916753903395491841|'Great visualization of what 11 feet of inundation looks like. Thoughts with those in Nate''s path. #scwx  #gawx  #chswx  #savwx https://twitter.com/NWSNewOrleans/ status/916733154471407616   …'||||
NWSCharlestonSC|2017-10-23 16:54:12|9|4|450 PM radar. Tornado Watch remains in effect through 9 PM. Stay weather aware! #scwx  #gawx pic.twitter.com/2dqhJyMNed|450 PM radar. Tornado Watch remains in effect through 9 PM. Stay weather aware! #scwx  #gawx |false|922566849446821888|/NWSCharlestonSC/status/922566849446821888|450 PM radar. Tornado Watch remains in effect through 9 PM. Stay weather aware! #scwx  #gawx pic.twitter.com/2dqhJyMNed||||
