username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
NWSEastern|2018-02-06 16:52:05|65|55|The latest snowfall and ice accumulation forecasts for the winter storm impacting the Eastern US during the next 36-48 hours. Be prepared for reduced visibility and slippery travel conditions Ohio Valley/Mid Atlantic tonight moving into the Northeast Wed-Wed night. pic.twitter.com/qi5Hzxf18K|The latest snowfall and ice accumulation forecasts for the winter storm impacting the Eastern US during the next 36-48 hours. Be prepared for reduced visibility and slippery travel conditions Ohio Valley/Mid Atlantic tonight moving into the Northeast Wed-Wed night. |false|960994530014134272|/NWSEastern/status/960994530014134272|The latest snowfall and ice accumulation forecasts for the winter storm impacting the Eastern US during the next 36-48 hours. Be prepared for reduced visibility and slippery travel conditions Ohio Valley/Mid Atlantic tonight moving into the Northeast Wed-Wed night. pic.twitter.com/qi5Hzxf18K|OH|40.2253569|-82.6881395|183.73432022501095
NWSEastern|2017-12-26 19:40:05|21|29|Here is the latest on the record-breaking snowfall at Erie, PA. https://twitter.com/NWSCLE/status/ 945792581618761730   …|Here is the latest on the record-breaking snowfall at Erie, PA.  945792581618761730   …|false|945816520436969477|/NWSEastern/status/945816520436969477|Here is the latest on the record-breaking snowfall at Erie, PA. https://twitter.com/NWSCLE/status/ 945792581618761730   …|Erie, PA|42.1294712|-80.0852695|4.258780727032379
NWSEastern|2018-03-25 18:01:56|101|141|With a couple more storms across the Eastern US during the last week, here is an updated look at the 2017-2018 seasonal snowfall totals. pic.twitter.com/XK1qmFN9Xo|With a couple more storms across the Eastern US during the last week, here is an updated look at the 2017-2018 seasonal snowfall totals. |false|978029242305994752|/NWSEastern/status/978029242305994752|With a couple more storms across the Eastern US during the last week, here is an updated look at the 2017-2018 seasonal snowfall totals. pic.twitter.com/XK1qmFN9Xo||||
NWSEastern|2018-01-04 17:02:49|16|18|5 pm Storm Update...Intense storm now east of Nantucket. Heavy snow bands will continue to slowly move east this evening.  Strong winds will continue overnight producing continued blowing and driftng as well as bitterly cold wind chills. pic.twitter.com/FqDHJed7wk|5 pm Storm Update...Intense storm now east of Nantucket. Heavy snow bands will continue to slowly move east this evening.  Strong winds will continue overnight producing continued blowing and driftng as well as bitterly cold wind chills. |false|949038434169090048|/NWSEastern/status/949038434169090048|5 pm Storm Update...Intense storm now east of Nantucket. Heavy snow bands will continue to slowly move east this evening.  Strong winds will continue overnight producing continued blowing and driftng as well as bitterly cold wind chills. pic.twitter.com/FqDHJed7wk||||
NWSEastern|2018-02-25 20:01:00|90|120|Updated 2017-2018 seasonal snowfall totals as of February 25th. pic.twitter.com/t1ZwsMweqW|Updated 2017-2018 seasonal snowfall totals as of February 25th. |false|967927445436485633|/NWSEastern/status/967927445436485633|Updated 2017-2018 seasonal snowfall totals as of February 25th. pic.twitter.com/t1ZwsMweqW||||
NWSEastern|2018-01-02 13:07:47|0|1|Corrected graphic - Glens Falls previous record should be 1968 pic.twitter.com/D09XeE5m5Y|Corrected graphic - Glens Falls previous record should be 1968 |false|948254511797362688|/NWSEastern/status/948254511797362688|Corrected graphic - Glens Falls previous record should be 1968 pic.twitter.com/D09XeE5m5Y||||
NWSEastern|2017-09-06 17:18:06|68|49|5pm #Irma  still 185 mph max winds. Impacts for FL likely. Turn to the north expected later this weekend w/ possible impacts GA/SC/NC Monday. pic.twitter.com/Gs5JK2aOSX|5pm #Irma  still 185 mph max winds. Impacts for FL likely. Turn to the north expected later this weekend w/ possible impacts GA/SC/NC Monday. |false|905540637013012480|/NWSEastern/status/905540637013012480|5pm #Irma  still 185 mph max winds. Impacts for FL likely. Turn to the north expected later this weekend w/ possible impacts GA/SC/NC Monday. pic.twitter.com/Gs5JK2aOSX||||
NWSEastern|2017-12-12 19:49:32|24|28|More snow the rest of this week across the Great Lakes and central Appalachians into northern New England. pic.twitter.com/AQcwfdinWj|More snow the rest of this week across the Great Lakes and central Appalachians into northern New England. |false|940745466626617344|/NWSEastern/status/940745466626617344|More snow the rest of this week across the Great Lakes and central Appalachians into northern New England. pic.twitter.com/AQcwfdinWj||||
NWSEastern|2018-03-22 09:56:22|70|86|Here is a look at the snowfall totals for the last few days (March 20-22) as of 8 am this morning. pic.twitter.com/55cvb55Ja2|Here is a look at the snowfall totals for the last few days (March 20-22) as of 8 am this morning. |false|976819878228381697|/NWSEastern/status/976819878228381697|Here is a look at the snowfall totals for the last few days (March 20-22) as of 8 am this morning. pic.twitter.com/55cvb55Ja2||||
NWSEastern|2017-12-27 20:24:58|26|26|Very cold temperatures will continue across the Eastern US for the next several days. pic.twitter.com/rljJ580lWi|Very cold temperatures will continue across the Eastern US for the next several days. |false|946190204989329409|/NWSEastern/status/946190204989329409|Very cold temperatures will continue across the Eastern US for the next several days. pic.twitter.com/rljJ580lWi||||
