'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
SenateDems|2017-11-03 12:00:27|249|236|Adviser to Pres Reagan & Bush predicts GOP will push to cut middle class programs when #TrumpTax  plan blows a hole in the deficit. WATCH: pic.twitter.com/AbFnWb8x3r|Adviser to Pres Reagan & Bush predicts GOP will push to cut middle class programs when #TrumpTax  plan blows a hole in the deficit. WATCH: |false|926479194711904256|/SenateDems/status/926479194711904256|Adviser to Pres Reagan & Bush predicts GOP will push to cut middle class programs when #TrumpTax  plan blows a hole in the deficit. WATCH: pic.twitter.com/AbFnWb8x3r
SenateDems|2017-11-09 11:48:35|152|310|"The role of immigrants in our military far exceeds the call of duty." @votevets  @will_c_fischer  joins Dems on the hill today on why we must pass the #DreamActNow    https://www. facebook.com/USSenateDemocr ats/videos/1503010369768152/   … pic.twitter.com/Eg5NEpDTKb|"The role of immigrants in our military far exceeds the call of duty." @votevets  @will_c_fischer  joins Dems on the hill today on why we must pass the #DreamActNow     facebook.com/USSenateDemocr ats/videos/1503010369768152/   … |false|928665632526266369|/SenateDems/status/928665632526266369|"The role of immigrants in our military far exceeds the call of duty." @votevets  @will_c_fischer  joins Dems on the hill today on why we must pass the #DreamActNow    https://www. facebook.com/USSenateDemocr ats/videos/1503010369768152/   … pic.twitter.com/Eg5NEpDTKb
SenateDems|2017-10-19 14:10:13|723|684|The GOP budget cuts Medicare, knocking down hardworking Americans. Remember when @realDonaldTrump  said “I’m not gonna do that”? pic.twitter.com/BHWALQgBHJ|The GOP budget cuts Medicare, knocking down hardworking Americans. Remember when @realDonaldTrump  said “I’m not gonna do that”? |false|921076032396054529|/SenateDems/status/921076032396054529|The GOP budget cuts Medicare, knocking down hardworking Americans. Remember when @realDonaldTrump  said “I’m not gonna do that”? pic.twitter.com/BHWALQgBHJ
SenateDems|2017-10-04 15:10:34|16|51|.@SenatorCarper  just joined us. Tune in! #DreamAct https://twitter.com/senatedems/sta tus/915649443046797313   …|.@SenatorCarper  just joined us. Tune in! #DreamAct  tus/915649443046797313   …|false|915655402142003200|/SenateDems/status/915655402142003200|.@SenatorCarper  just joined us. Tune in! #DreamAct https://twitter.com/senatedems/sta tus/915649443046797313   …
SenateDems|2017-11-13 17:48:14|103|173|.@SenStabenow  wants tax reform that creates jobs & puts more money in the pockets of the middle-class. That’s not what’s in the GOP bill. pic.twitter.com/YDXelHgZFs|.@SenStabenow  wants tax reform that creates jobs & puts more money in the pockets of the middle-class. That’s not what’s in the GOP bill. |false|930205693231226880|/SenateDems/status/930205693231226880|.@SenStabenow  wants tax reform that creates jobs & puts more money in the pockets of the middle-class. That’s not what’s in the GOP bill. pic.twitter.com/YDXelHgZFs
SenateDems|2017-10-31 09:13:03|966|930|Republicans need to scare up some extra $$$ to fund their tax cuts for the wealthy - so they're coming for your retirement savings. WATCH: pic.twitter.com/HtjYCLMimU|Republicans need to scare up some extra $$$ to fund their tax cuts for the wealthy - so they're coming for your retirement savings. WATCH: |false|925349900723900417|/SenateDems/status/925349900723900417|Republicans need to scare up some extra $$$ to fund their tax cuts for the wealthy - so they're coming for your retirement savings. WATCH: pic.twitter.com/HtjYCLMimU
SenateDems|2017-11-10 13:14:05|177|158|House bill, Senate bill: both GOP tax plans are good for the wealthy & biggest corporations but bad for many families like yours. pic.twitter.com/fLLX2B7Pwi|House bill, Senate bill: both GOP tax plans are good for the wealthy & biggest corporations but bad for many families like yours. |false|929049537292984321|/SenateDems/status/929049537292984321|House bill, Senate bill: both GOP tax plans are good for the wealthy & biggest corporations but bad for many families like yours. pic.twitter.com/fLLX2B7Pwi
SenateDems|2017-10-18 09:20:31|121|413|Sen @PattyMurray  is bringing the Senate together, putting the health & well-being of the American ppl above party politics. LISTEN: https://twitter.com/PattyMurray/st atus/920410376252125185   …|Sen @PattyMurray  is bringing the Senate together, putting the health & well-being of the American ppl above party politics. LISTEN:  atus/920410376252125185   …|false|920640737817055232|/SenateDems/status/920640737817055232|Sen @PattyMurray  is bringing the Senate together, putting the health & well-being of the American ppl above party politics. LISTEN: https://twitter.com/PattyMurray/st atus/920410376252125185   …
SenateDems|2018-01-16 12:17:29|29|49|Don't miss - Sen @maziehirono   questions DHS Sec Nielsen NOW:  https://www. facebook.com/USSenateDemocr ats/videos/1569411523128036/   … pic.twitter.com/PiLr5ODGIk|Don't miss - Sen @maziehirono   questions DHS Sec Nielsen NOW:   facebook.com/USSenateDemocr ats/videos/1569411523128036/   … |false|953315279668379649|/SenateDems/status/953315279668379649|Don't miss - Sen @maziehirono   questions DHS Sec Nielsen NOW:  https://www. facebook.com/USSenateDemocr ats/videos/1569411523128036/   … pic.twitter.com/PiLr5ODGIk
SenateDems|2018-03-13 21:37:25|81|139|Must-read thread from @PattyMurray : https://twitter.com/pattymurray/st atus/973712458035744768   …|Must-read thread from @PattyMurray :  atus/973712458035744768   …|false|973734815068549120|/SenateDems/status/973734815068549120|Must-read thread from @PattyMurray : https://twitter.com/pattymurray/st atus/973712458035744768   …
