username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
UKinUSA|2017-10-19 10:34:46|0|2|A Merlin Mk2 helicopter lands on the deck of the first of the RFA’s new fleet of tankers for the first time  https://www. royalnavy.mod.uk/news-and-lates t-activity/news/2017/october/19/171019-first-helicopter-deck-landing-for-rfa-tidespring   … pic.twitter.com/5RB7UVfpdW|A Merlin Mk2 helicopter lands on the deck of the first of the RFA’s new fleet of tankers for the first time   royalnavy.mod.uk/news-and-lates t-activity/news/2017/october/19/171019-first-helicopter-deck-landing-for-rfa-tidespring   … |false|921021814180114432|/UKinUSA/status/921021814180114432|A Merlin Mk2 helicopter lands on the deck of the first of the RFA’s new fleet of tankers for the first time  https://www. royalnavy.mod.uk/news-and-lates t-activity/news/2017/october/19/171019-first-helicopter-deck-landing-for-rfa-tidespring   … pic.twitter.com/5RB7UVfpdW||||
UKinUSA|2018-03-02 15:12:49|0|4|Engineers in the UK were the first to promote that optical fibres could be used as a practical tool for communication.__NEWLINE____NEWLINE__Fibre optics make up the backbone of the internet. Without them, there would be no streaming to catch up on those #Oscars  noms before Sunday! #InnovationIsGREAT pic.twitter.com/Lu3YZmiRKV|Engineers in the UK were the first to promote that optical fibres could be used as a practical tool for communication.__NEWLINE____NEWLINE__Fibre optics make up the backbone of the internet. Without them, there would be no streaming to catch up on those #Oscars  noms before Sunday! #InnovationIsGREAT |false|969666857958506496|/UKinUSA/status/969666857958506496|Engineers in the UK were the first to promote that optical fibres could be used as a practical tool for communication.__NEWLINE____NEWLINE__Fibre optics make up the backbone of the internet. Without them, there would be no streaming to catch up on those #Oscars  noms before Sunday! #InnovationIsGREAT pic.twitter.com/Lu3YZmiRKV||||
UKinUSA|2018-01-08 14:16:03|12|30|Congratulations to British #GoldenGlobes  winners Gary Oldman, Ewan McGregor & Martin McDonagh! __NEWLINE____NEWLINE__The UK TV & film industry was worth $10.4bn to the British economy in 2016. #CreativityIsGREAT   pic.twitter.com/fwMfFb1ylx|Congratulations to British #GoldenGlobes  winners Gary Oldman, Ewan McGregor & Martin McDonagh! __NEWLINE____NEWLINE__The UK TV & film industry was worth $10.4bn to the British economy in 2016. #CreativityIsGREAT   |false|950446016234446851|/UKinUSA/status/950446016234446851|Congratulations to British #GoldenGlobes  winners Gary Oldman, Ewan McGregor & Martin McDonagh! __NEWLINE____NEWLINE__The UK TV & film industry was worth $10.4bn to the British economy in 2016. #CreativityIsGREAT   pic.twitter.com/fwMfFb1ylx||||
UKinUSA|2017-12-08 16:23:51|2|7|Incredibly generous gift from the estate of @MarshallScholar  Ray @Dolby  demonstrating the enduring legacy of the links built by strong UK/US academic ties. https://twitter.com/DeptofPhysics/ status/938319645693677568   …|Incredibly generous gift from the estate of @MarshallScholar  Ray @Dolby  demonstrating the enduring legacy of the links built by strong UK/US academic ties.  status/938319645693677568   …|false|939244152939843584|/UKinUSA/status/939244152939843584|Incredibly generous gift from the estate of @MarshallScholar  Ray @Dolby  demonstrating the enduring legacy of the links built by strong UK/US academic ties. https://twitter.com/DeptofPhysics/ status/938319645693677568   …||||
UKinUSA|2017-11-09 16:14:49|7|10|7/9 Traditionally, #ArmisticeDay  and #RemembranceSunday  commemorate those that gave their lives during the First and Second World Wars, but they are now also a way to pay respects to those that have served our country in other conflicts. pic.twitter.com/MMaP1AwcPP|7/9 Traditionally, #ArmisticeDay  and #RemembranceSunday  commemorate those that gave their lives during the First and Second World Wars, but they are now also a way to pay respects to those that have served our country in other conflicts. |false|928732631902097409|/UKinUSA/status/928732631902097409|7/9 Traditionally, #ArmisticeDay  and #RemembranceSunday  commemorate those that gave their lives during the First and Second World Wars, but they are now also a way to pay respects to those that have served our country in other conflicts. pic.twitter.com/MMaP1AwcPP||||
UKinUSA|2017-12-12 13:00:08|1|1|'UK NSA @MarkSedwill : It''s important to think about defence and security interests. They now overlap with economic and trade security.'|'UK NSA @MarkSedwill : It''s important to think about defence and security interests. They now overlap with economic and trade security.'|false|940642440117194752|/UKinUSA/status/940642440117194752|'UK NSA @MarkSedwill : It''s important to think about defence and security interests. They now overlap with economic and trade security.'||||
UKinUSA|2018-02-23 10:02:02|4|8|Great #AAASmtg  event this year brought together the best British, American and international researchers to discuss the future of science. #ScienceIsGREAT  #ResearchIsGREAT pic.twitter.com/XlpwPIETAr|Great #AAASmtg  event this year brought together the best British, American and international researchers to discuss the future of science. #ScienceIsGREAT  #ResearchIsGREAT |false|967051932916502528|/UKinUSA/status/967051932916502528|Great #AAASmtg  event this year brought together the best British, American and international researchers to discuss the future of science. #ScienceIsGREAT  #ResearchIsGREAT pic.twitter.com/XlpwPIETAr||||
UKinUSA|2017-10-31 11:05:46|0|4|Six   spots perfect for a spooky #Halloween !  https://www. visitbritain.com/us/en/top-uk-g raveyards#93Sisv0fBMCWoDZ4.97   …  #OMGB pic.twitter.com/qf6WZsxKSx|Six   spots perfect for a spooky #Halloween !   visitbritain.com/us/en/top-uk-g raveyards#93Sisv0fBMCWoDZ4.97   …  #OMGB |false|925378266214686720|/UKinUSA/status/925378266214686720|Six   spots perfect for a spooky #Halloween !  https://www. visitbritain.com/us/en/top-uk-g raveyards#93Sisv0fBMCWoDZ4.97   …  #OMGB pic.twitter.com/qf6WZsxKSx||||
UKinUSA|2017-11-08 16:10:27|4|7|Today UK Defence Secretary Williamson met with US Secretary of Defense Mattis at the @NATO  meeting in Brussels.__NEWLINE____NEWLINE__Photo: @DeptofDefense pic.twitter.com/M5cXDzvNa0|Today UK Defence Secretary Williamson met with US Secretary of Defense Mattis at the @NATO  meeting in Brussels.__NEWLINE____NEWLINE__Photo: @DeptofDefense |false|928369146697584645|/UKinUSA/status/928369146697584645|Today UK Defence Secretary Williamson met with US Secretary of Defense Mattis at the @NATO  meeting in Brussels.__NEWLINE____NEWLINE__Photo: @DeptofDefense pic.twitter.com/M5cXDzvNa0||||
UKinUSA|2017-11-09 16:07:52|9|8|4/9 Poppies are the symbol of these commemorations and are worn by people from the UK and Commonwealth countries at the beginning of November. pic.twitter.com/TUsKeHNSwG|4/9 Poppies are the symbol of these commemorations and are worn by people from the UK and Commonwealth countries at the beginning of November. |false|928730885129756672|/UKinUSA/status/928730885129756672|4/9 Poppies are the symbol of these commemorations and are worn by people from the UK and Commonwealth countries at the beginning of November. pic.twitter.com/TUsKeHNSwG||||
