username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
LuisRiveraMarin|2018-02-09 07:15:07|0|0|@ ReElectNydia  and @RepGutierrez  again turn their backs to Puerto Ricans. Their role has always been to obstruct freedom, progress and opportunities for us in the island. We deserve better representation in Congress.|@ ReElectNydia  and @RepGutierrez  again turn their backs to Puerto Ricans. Their role has always been to obstruct freedom, progress and opportunities for us in the island. We deserve better representation in Congress.|false|961936496650579968|/LuisRiveraMarin/status/961936496650579968|@ ReElectNydia  and @RepGutierrez  again turn their backs to Puerto Ricans. Their role has always been to obstruct freedom, progress and opportunities for us in the island. We deserve better representation in Congress.||||
LuisRiveraMarin|2017-09-27 08:39:49|1|0|Con parte del equipo revisando gestiones del día para seguir restableciendo a Puerto Rico. #PRSeLevanta pic.twitter.com/ZmUowylm5X|Con parte del equipo revisando gestiones del día para seguir restableciendo a Puerto Rico. #PRSeLevanta |false|913020352384700416|/LuisRiveraMarin/status/913020352384700416|With part of the team reviewing day management to continue re-establishing Puerto Rico. #PRSeLevanta pic.twitter.com/ZmUowylm5X||||
LuisRiveraMarin|2017-11-03 10:10:42|3|6|Great news for the roughly 3.5 million Americans in PR. Thank you Secretary Tillerson @StateDept  @HeatherNauert   https://travel.state.gov/content/passpo rts/en/news/passport-service-in-puerto-rico-resumes.html   …|Great news for the roughly 3.5 million Americans in PR. Thank you Secretary Tillerson @StateDept  @HeatherNauert    rts/en/news/passport-service-in-puerto-rico-resumes.html   …|false|926451573013835776|/LuisRiveraMarin/status/926451573013835776|Great news for the roughly 3.5 million Americans in PR. Thank you Secretary Tillerson @StateDept  @HeatherNauert   https://travel.state.gov/content/passpo rts/en/news/passport-service-in-puerto-rico-resumes.html   …||||
LuisRiveraMarin|2017-10-18 05:37:33|6|6|Encuentran en la basura cajas llenas de comida destinadas a damnificados del huracán María en Puerto Rico http://uni.vi/WS8g100PjfT  |Encuentran en la basura cajas llenas de comida destinadas a damnificados del huracán María en Puerto Rico   |false|920584627319988224|/LuisRiveraMarin/status/920584627319988224|They find boxes full of food in the trash for victims of Hurricane Maria in Puerto Rico http://uni.vi/WS8g100PjfT||||
LuisRiveraMarin|2017-11-16 12:43:46|36|71|Thank you to @realDonaldTrump  Senior Staff for assisting the Government of Puerto Rico in rebuilding after Maria.  Productive meetings today at @WhiteHouse pic.twitter.com/DMByAc5cU4  – at  The White House|Thank you to @realDonaldTrump  Senior Staff for assisting the Government of Puerto Rico in rebuilding after Maria.  Productive meetings today at @WhiteHouse   – at  The White House|false|931216236234641409|/LuisRiveraMarin/status/931216236234641409|Thank you to @realDonaldTrump  Senior Staff for assisting the Government of Puerto Rico in rebuilding after Maria.  Productive meetings today at @WhiteHouse pic.twitter.com/DMByAc5cU4  – at  The White House||||
LuisRiveraMarin|2018-03-16 08:00:44|42|75|Acompáñanos a la Marcha por Nuestras Vidas! Más Amor y Menos Armas. El Sábado, 24 de Marzo a las 10 AM -12 PM, en el Paseo Laguna del Condado hasta el Pabellón de la Paz, Parque Luis Muñoz Rivera. __PIPE__@ricardorossello  #MarchForOurLives pic.twitter.com/Kg1SuxPb8i|Acompáñanos a la Marcha por Nuestras Vidas! Más Amor y Menos Armas. El Sábado, 24 de Marzo a las 10 AM -12 PM, en el Paseo Laguna del Condado hasta el Pabellón de la Paz, Parque Luis Muñoz Rivera. __PIPE__@ricardorossello  #MarchForOurLives |false|974616454426497024|/LuisRiveraMarin/status/974616454426497024|Join us for the March for Our Lives! More Love and Less Weapons. On Saturday, March 24 at 10 AM -12 PM, at the Laguna del Condado Walk to the Pabellón de la Paz, Luis Muñoz Rivera Park. __PIPE __ @ ricardorossello #MarchForOurLives pic.twitter.com/Kg1SuxPb8i||||
LuisRiveraMarin|2017-11-01 17:22:29|0|1|Con Noel Marcano alcalde Naguabo llevando agua, alimentos y las pastillas potalibizadoras al barrio Daguao__NEWLINE__@fortalezapr pic.twitter.com/3G62OxF6VI|Con Noel Marcano alcalde Naguabo llevando agua, alimentos y las pastillas potalibizadoras al barrio Daguao__NEWLINE__@fortalezapr |false|925835458491437057|/LuisRiveraMarin/status/925835458491437057|With Noel Marcano mayor Naguabo bringing water, food and potalibizadoras pills to Daguao neighborhood__NEWLINE __ @ fortalezapr pic.twitter.com/3G62OxF6VI||||
LuisRiveraMarin|2017-10-05 10:59:39|80|134|Agradezco profundamente a @LVidegaray  y a @CFEmx  por su apoyo técnico a Puerto Rico tras paso de huracán María. Thanks to @ENERGY  as well. pic.twitter.com/kA4rjgOwMI|Agradezco profundamente a @LVidegaray  y a @CFEmx  por su apoyo técnico a Puerto Rico tras paso de huracán María. Thanks to @ENERGY  as well. |false|915954645255753728|/LuisRiveraMarin/status/915954645255753728|I am deeply grateful to @LVidegaray and @CFEmx for their technical support to Puerto Rico following Hurricane Maria. Thanks to @ENERGY as well. pic.twitter.com/kA4rjgOwMI||||
LuisRiveraMarin|2017-11-23 07:59:51|19|96|Gracias a Dios por todas las bendiciones que nos brinda, que permita a cada familia puertorriqueña disfrutar del calor que brinda el amor.|Gracias a Dios por todas las bendiciones que nos brinda, que permita a cada familia puertorriqueña disfrutar del calor que brinda el amor.|false|933681500607995909|/LuisRiveraMarin/status/933681500607995909|Thank God for all the blessings he gives us, that allows each Puerto Rican family to enjoy the warmth that love brings.||||
LuisRiveraMarin|2017-10-13 10:44:28|0|1|Saludos; ya se están buscando mejores mecanismos para que puedan atender todo el público.|Saludos; ya se están buscando mejores mecanismos para que puedan atender todo el público.|false|918849924606906368|/LuisRiveraMarin/status/918849924606906368|Regards; We are already looking for better mechanisms so that all the public can attend.||||
