username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
ricardorossello|2017-12-07 16:04:46|18|38|https://www. metro.pr/pr/noticias/20 17/12/07/gobierno-presenta-fondo-100-millones-los-municipios.html   …| metro.pr/pr/noticias/20 17/12/07/gobierno-presenta-fondo-100-millones-los-municipios.html   …|false|938876962839216128|/ricardorossello/status/938876962839216128|https: // www. metro.pr/pr/nicias/20 17/12/07 / gobierno-presenta-fondo-100-millones-los-municipios.html ...||||
ricardorossello|2017-10-31 10:04:54|17|49|Reunido con el @LouisianaGov  y @GilEnsenat  para discutir procesos establecidos para atención a los ciudadanos con viviendas afectadas. pic.twitter.com/4Gqdaqepoj|Reunido con el @LouisianaGov  y @GilEnsenat  para discutir procesos establecidos para atención a los ciudadanos con viviendas afectadas. |false|925362949639888897|/ricardorossello/status/925362949639888897|Reunited with @LouisianaGov and @ GilEnsenat to discuss processes established to assist citizens with affected homes. pic.twitter.com/4Gqdaqepoj||||
ricardorossello|2017-10-09 12:54:28|15|21|http://www. msnbc.com/morning-joe/wa tch/we-now-have-to-transform-puerto-rico-says-governor-1066219075648   … pic.twitter.com/PbFK2AH94b| msnbc.com/morning-joe/wa tch/we-now-have-to-transform-puerto-rico-says-governor-1066219075648   … |false|917433091827912705|/ricardorossello/status/917433091827912705|http://www. msnbc.com/morning-joe/wa tch/we-now-have-to-transform-puerto-rico-says-governor-1066219075648   … pic.twitter.com/PbFK2AH94b||||
ricardorossello|2017-12-12 15:10:42|44|140|Agradezco al gobernador de Massachusetts, @CharlieBakerMA  y al alcalde de Boston, Martin Walsh, por su ayuda a Puerto Rico tras el paso del huracán María. pic.twitter.com/u8nObLDWaj|Agradezco al gobernador de Massachusetts, @CharlieBakerMA  y al alcalde de Boston, Martin Walsh, por su ayuda a Puerto Rico tras el paso del huracán María. |false|940675298831552513|/ricardorossello/status/940675298831552513|I thank the Governor of Massachusetts, @CharlieBakerMA and the Mayor of Boston, Martin Walsh, for their help to Puerto Rico after the passage of Hurricane Maria. pic.twitter.com/u8nObLDWaj||||
ricardorossello|2017-09-18 18:40:02|11|20|http://www. elvocero.com/gobierno/gober nador-se-re-ne-con-presidente-de-la-federaci-n/article_65e8a02e-9cbc-11e7-ab42-23f6685c487c.html   …| elvocero.com/gobierno/gober nador-se-re-ne-con-presidente-de-la-federaci-n/article_65e8a02e-9cbc-11e7-ab42-23f6685c487c.html   …|false|909909911290761216|/ricardorossello/status/909909911290761216|http: // www. elvocero.com/gobierno/gober nador-se-re-no-con-presidente-de-la-federación-n / article_65e8a02e-9cbc-11e7-ab42-23f6685c487c.html ...||||
ricardorossello|2018-03-15 12:35:17|69|197|Gracias a @TelenoticiasPR  por ayudarnos a conocer la historia de Oscar. Un niño valiente que tiene un gran futuro por delante. @TelemundoPR pic.twitter.com/ff2IyHmqXc|Gracias a @TelenoticiasPR  por ayudarnos a conocer la historia de Oscar. Un niño valiente que tiene un gran futuro por delante. @TelemundoPR |false|974323159313866753|/ricardorossello/status/974323159313866753|'Thanks to @TelenoticiasPR for helping us learn about Oscar''s story. A brave boy who has a great future ahead of him. @TelemundoPR pic.twitter.com/ff2IyHmqXc'||||
ricardorossello|2017-12-02 15:54:58|69|183|Thank You @NYGovCuomo  for being an ally of Puerto Rico during Hurricane María recovery efforts.  We have received help from the NY National Guard as well as work crews and specialized resources to work on our electric grid. #PRStrong  @LORNNASOTO pic.twitter.com/Pr2OwfREAR|Thank You @NYGovCuomo  for being an ally of Puerto Rico during Hurricane María recovery efforts.  We have received help from the NY National Guard as well as work crews and specialized resources to work on our electric grid. #PRStrong  @LORNNASOTO |false|937062557931712513|/ricardorossello/status/937062557931712513|Thank You @NYGovCuomo  for being an ally of Puerto Rico during Hurricane María recovery efforts.  We have received help from the NY National Guard as well as work crews and specialized resources to work on our electric grid. #PRStrong  @LORNNASOTO pic.twitter.com/Pr2OwfREAR||||
ricardorossello|2017-12-15 06:36:02|91|130|Comparto editorial del @washingtonpost , que recoge nuestra posición y establece: “trato (a los puertorriqueños) como los americanos que son”. Al no hacerlo, es un acto de hipocresía del liderato del congreso.   #TaxReform  __NEWLINE____NEWLINE__ https://www. washingtonpost.com/opinions/congr ess-should-help-puerto-rico--not-hurt-it/2017/12/14/f03226ee-e0f8-11e7-8679-a9728984779c_story.html?utm_term=.72c84b881005   … pic.twitter.com/oa9xs0TWGO|Comparto editorial del @washingtonpost , que recoge nuestra posición y establece: “trato (a los puertorriqueños) como los americanos que son”. Al no hacerlo, es un acto de hipocresía del liderato del congreso.   #TaxReform  __NEWLINE____NEWLINE__  washingtonpost.com/opinions/congr ess-should-help-puerto-rico--not-hurt-it/2017/12/14/f03226ee-e0f8-11e7-8679-a9728984779c_story.html?utm_term=.72c84b881005   … |false|941632939347054592|/ricardorossello/status/941632939347054592|Editorial share of the @washingtonpost, which collects our position and states: "I treat (Puerto Ricans) like the Americans they are." By not doing so, it is an act of hypocrisy of the leadership of the congress. #TaxReform __NEWLINE____NEWLINE__ https: // www. washingtonpost.com/opinions/congr ess-should-help-puerto-rico - not-hurt-it / 2017/12/14 / f03226ee-e0f8-11e7-8679-a9728984779c_story.html? utm_term = .72c84b881005 ... pic.twitter .com / oa9xs0TWGO||||
ricardorossello|2018-02-07 13:17:27|33|52|http://www. primerahora.com/noticias/gobie rno-politica/nota/senadorfederalreclamaacciondelcongresoenlarecuperaciondepuertorico-1267396/   …| primerahora.com/noticias/gobie rno-politica/nota/senadorfederalreclamaacciondelcongresoenlarecuperaciondepuertorico-1267396/   …|false|961302906103304199|/ricardorossello/status/961302906103304199|http: // www. primerahora.com/noticias/gobie rno-politica / nota / senadorfederalreclamaacciondelcongreso in larecuperaciondepuertorico-1267396 / ...||||
ricardorossello|2017-12-18 20:40:12|68|196|http://www. elvocero.com/economia/llega -el-crucero-m-s-nuevo-del-mundo-a-puerto/article_564228c2-e41d-11e7-9935-6bb33a3bae05.html   …| elvocero.com/economia/llega -el-crucero-m-s-nuevo-del-mundo-a-puerto/article_564228c2-e41d-11e7-9935-6bb33a3bae05.html   …|false|942932544420569088|/ricardorossello/status/942932544420569088|http: // www. elvocero.com/economia/llega -the-cruiser-m-s-new-world-to-port / article_564228c2-e41d-11e7-9935-6bb33a3bae05.html ...||||
