username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
trschatz51|2018-01-24 15:37:34|17|20|Reunido con el Lcdo. Ángel Sostre Cintrón designado como comisionado del Negociado de Sistemas de Emergencias 9-1-1. pic.twitter.com/pt4ZLQZjC3|Reunido con el Lcdo. Ángel Sostre Cintrón designado como comisionado del Negociado de Sistemas de Emergencias 9-1-1. |false|956264735598632960|/trschatz51/status/956264735598632960|Reunited with the Lcdo. Ángel Sostre Cintrón appointed as commissioner of the Bureau of Emergency Systems 9-1-1. pic.twitter.com/pt4ZLQZjC3||||
trschatz51|2017-10-12 11:02:54|21|43|Reunión del #FrentePorPR  junto al gobernador @ricardorossello , el presidente de la Cámara @JohnnyMndez36  y varios exgobernadores. pic.twitter.com/0Ya5rDZYD4|Reunión del #FrentePorPR  junto al gobernador @ricardorossello , el presidente de la Cámara @JohnnyMndez36  y varios exgobernadores. |false|918492176421675008|/trschatz51/status/918492176421675008|Meeting of #FrentePorPR with the governor @ricardorossello, the president of the Chamber @ JohnnyMndez36 and several ex-governors. pic.twitter.com/0Ya5rDZYD4||||
trschatz51|2018-03-21 16:10:45|20|24|pic.twitter.com/Qg9srMRio0||false|976551709962133506|/trschatz51/status/976551709962133506|pic.twitter.com/Qg9srMRio0||||
trschatz51|2017-12-30 15:14:21|47|120|Entrega de Regalos a los niños en el Capitolio junto a los Tres Reyes Magos de Juana Díaz.   #EsperanzaNavideñaenTuCapitolio pic.twitter.com/DHaIOrFlJh|Entrega de Regalos a los niños en el Capitolio junto a los Tres Reyes Magos de Juana Díaz.   #EsperanzaNavideñaenTuCapitolio |false|947199198738436096|/trschatz51/status/947199198738436096|Delivery of gifts to children in the Capitol next to the Three Kings of Juana Díaz. # EsperanzaNavideñaenTuCapitolio pic.twitter.com/DHaIOrFlJh||||
trschatz51|2018-03-20 19:48:15|29|37|Esta tarde atendiendo a la prensa previo a la reunión semanal con el gobernador en La Fortaleza. pic.twitter.com/UUcCDR4IAj|Esta tarde atendiendo a la prensa previo a la reunión semanal con el gobernador en La Fortaleza. |false|976244058589945859|/trschatz51/status/976244058589945859|This afternoon attending the press prior to the weekly meeting with the governor in La Fortaleza. pic.twitter.com/UUcCDR4IAj||||
trschatz51|2018-02-03 16:41:19|30|85|.Felicito en su cumpleaños al alcalde de Bayamón, @ramonluisrivera . Que pases un feliz día en compañía de tu familia y seres queridos. ¡Un abrazo! pic.twitter.com/b7YrNS8kzJ|.Felicito en su cumpleaños al alcalde de Bayamón, @ramonluisrivera . Que pases un feliz día en compañía de tu familia y seres queridos. ¡Un abrazo! |false|959904658486648832|/trschatz51/status/959904658486648832|.Felicito on his birthday to the mayor of Bayamón, @ramonluisrivera. Have a happy day in the company of your family and loved ones. A hug! pic.twitter.com/b7YrNS8kzJ||||
trschatz51|2017-10-25 14:17:07|17|27|En entrevista con Charito Fraticelli para @TelenoticiasPR pic.twitter.com/NpIxlfKmtz|En entrevista con Charito Fraticelli para @TelenoticiasPR |false|923252096710971394|/trschatz51/status/923252096710971394|In an interview with Charito Fraticelli for @TelenoticiasPR pic.twitter.com/NpIxlfKmtz||||
trschatz51|2018-01-22 13:09:09|28|52|Reunido con el Caucus de la Mayoría escuchando las propuestas de la designada a secretaria de Recreación y Deportes, Lcda. Adriana Sánchez. pic.twitter.com/oob2QjFfgB|Reunido con el Caucus de la Mayoría escuchando las propuestas de la designada a secretaria de Recreación y Deportes, Lcda. Adriana Sánchez. |false|955502612316610565|/trschatz51/status/955502612316610565|Meeting with the Majority Caucus listening to the proposals of the designated secretary of Recreation and Sports, Lcda. Adriana Sánchez pic.twitter.com/oob2QjFfgB||||
trschatz51|2018-01-01 12:50:13|33|108|¡Feliz Año Nuevo 2018! pic.twitter.com/vpeqBoDmaA|¡Feliz Año Nuevo 2018! |false|947887703122763782|/trschatz51/status/947887703122763782|Happy New Year 2018! pic.twitter.com/vpeqBoDmaA||||
trschatz51|2017-12-15 09:26:58|12|30|Ahora en entrevista con Carmen Jovet por NotiUno 630 AM.|Ahora en entrevista con Carmen Jovet por NotiUno 630 AM.|false|941675958590951425|/trschatz51/status/941675958590951425|Now in an interview with Carmen Jovet for NotiUno 630 AM.||||
