'username'|'date'|'retweets'|'favorites'|'text'|'cleantext'|'is_retweet'|'ID'|'permalink'|Translation
ClaridadPR|2017-09-25 17:18:45|5|15|A todos y todas que han preguntado por la gente de Claridad, estamos bien con los daños materiales que tiene todo...  http://fb.me/8cIDl5Dui  |A todos y todas que han preguntado por la gente de Claridad, estamos bien con los daños materiales que tiene todo...    |false|912426167621341184|/ClaridadPR/status/912426167621341184|Everyone who has asked about the people of Claridad, we are well with the material damage that everything has ... http://fb.me/8cIDl5Dui
ClaridadPR|2017-10-03 21:48:03|4|3|¡Hasta siempre compañero! http://fb.me/1Ui6LqDj4  |¡Hasta siempre compañero!   |false|915393044928712704|/ClaridadPR/status/915393044928712704|Forever with you, comrade! http://fb.me/1Ui6LqDj4
ClaridadPR|2017-11-09 20:13:01|0|1|Hoy en el Hospital San Jorge.  http://fb.me/3JyOeETlC  |Hoy en el Hospital San Jorge.    |false|928792580451651584|/ClaridadPR/status/928792580451651584|Today at the San Jorge Hospital. http://fb.me/3JyOeETlC
ClaridadPR|2017-10-23 09:28:47|0|0|"Las fuerzas más radicales de la derecha, las que encabezaron las violentas protestas meses atrás, se quedaron... http://fb.me/945As5mxd  |"Las fuerzas más radicales de la derecha, las que encabezaron las violentas protestas meses atrás, se quedaron...   |false|922454757012393984|/ClaridadPR/status/922454757012393984|"The most radical forces on the right, which led the violent protests months ago, stayed ... http://fb.me/945As5mxd
ClaridadPR|2017-12-22 15:40:15|4|8|Compra tus regalos en la Claritienda https://fb.me/2waiEcuMc  |Compra tus regalos en la Claritienda   |false|944306613757890560|/ClaridadPR/status/944306613757890560|Buy your gifts at the Claritienda https://fb.me/2waiEcuMc
ClaridadPR|2017-08-31 10:43:36|3|3|http://www. claridadpuertorico.com/content.html?n ews=D50448A2A1273E83E363CF84C2990532   … http://fb.me/1eodtqosg  | claridadpuertorico.com/content.html?n ews=D50448A2A1273E83E363CF84C2990532   …   |false|903267030983471104|/ClaridadPR/status/903267030983471104|http://www. claridadpuertorico.com/content.html?n ews=D50448A2A1273E83E363CF84C2990532   … http://fb.me/1eodtqosg  
ClaridadPR|2017-11-20 06:36:08|5|5|http://www. claridadpuertorico.com/content.html?n ews=B363AD95D9059F84942945DB63437C7C   … http://fb.me/8FjNePXJ2  | claridadpuertorico.com/content.html?n ews=B363AD95D9059F84942945DB63437C7C   …   |false|932573269902921728|/ClaridadPR/status/932573269902921728|http://www. claridadpuertorico.com/content.html?n ews=B363AD95D9059F84942945DB63437C7C   … http://fb.me/8FjNePXJ2  
ClaridadPR|2017-10-03 12:50:31|0|1|"A preguntas de este medio sobre la llegada del presidente Trump al país, precisamente hoy cuando decenas de... http://fb.me/6XYTy8YE1  |"A preguntas de este medio sobre la llegada del presidente Trump al país, precisamente hoy cuando decenas de...   |false|915257767576948736|/ClaridadPR/status/915257767576948736|"To questions of this medium about the arrival of President Trump to the country, precisely today when dozens of ... http://fb.me/6XYTy8YE1
ClaridadPR|2017-10-09 19:23:48|3|1|El paso del huracán María por Puerto Rico en su contexto http://fb.me/6GKzmrmIW  |El paso del huracán María por Puerto Rico en su contexto   |false|917531071222370304|/ClaridadPR/status/917531071222370304|The passage of Hurricane Maria for Puerto Rico in its context http://fb.me/6GKzmrmIW
ClaridadPR|2017-10-23 21:11:24|0|2|http://fb.me/1nZWCtLiF  |  |false|922631576260939776|/ClaridadPR/status/922631576260939776|http://fb.me/1nZWCtLiF  
ClaridadPR|2017-09-13 16:02:56|4|6|"Por eso no podemos tener paciencia. Porque ese llamado a la “comprensión” y a la “paciencia” es también un... http://fb.me/x91XH6MG  |"Por eso no podemos tener paciencia. Porque ese llamado a la “comprensión” y a la “paciencia” es también un...   |false|908058436004347905|/ClaridadPR/status/908058436004347905|"That's why we can not have patience, because that call to" understanding "and" patience "is also a ... http://fb.me/x91XH6MG
ClaridadPR|2017-10-31 16:05:08|0|1|Pa' llegar a los 60 http://fb.me/E1VEktby  |Pa' llegar a los 60   |false|925453604592537600|/ClaridadPR/status/925453604592537600|To reach the 60 http://fb.me/E1VEktby
ClaridadPR|2017-11-21 10:22:42|2|2|El Centro de Periodismo Investigativo lo dijo primero. __NEWLINE____NEWLINE__#HuracánMaría  #QueRindanCuentas ... http://fb.me/DWKyONET  |El Centro de Periodismo Investigativo lo dijo primero. __NEWLINE____NEWLINE__#HuracánMaría  #QueRindanCuentas ...   |false|932992675216752641|/ClaridadPR/status/932992675216752641|The Center for Investigative Journalism said it first. __NEWLINE ____ NEWLINE __ # HurricaneMaria #QueRindanCuentas ... http://fb.me/DWKyONET
ClaridadPR|2017-09-26 15:19:54|0|1|http://fb.me/Ey1mc0m5  |  |false|912758646148337665|/ClaridadPR/status/912758646148337665|http://fb.me/Ey1mc0m5  
ClaridadPR|2017-12-23 16:04:53|0|4|https://fb.me/8YfyhGdk6  |  |false|944675199521234944|/ClaridadPR/status/944675199521234944|https://fb.me/8YfyhGdk6  
ClaridadPR|2017-10-13 12:01:04|10|8|¿No te atreves ni a bañarte con toda esta incertidumbre del agua? __NEWLINE____NEWLINE__El profesor de Microbiología, Arturo Massol... http://fb.me/3eb6WmrXj  |¿No te atreves ni a bañarte con toda esta incertidumbre del agua? __NEWLINE____NEWLINE__El profesor de Microbiología, Arturo Massol...   |false|918869202223665152|/ClaridadPR/status/918869202223665152|Do not you dare to bathe with all this uncertainty of the water? __NEWLINE____NEWLINE__Microbiology professor Arturo Massol ... http://fb.me/3eb6WmrXj
ClaridadPR|2017-12-26 09:29:59|3|10|Gracias a todos(as) las(os) fotoperiodistas por  documentar y reforzar nuestro trabajo. https://fb.me/1CgE9om9b  |Gracias a todos(as) las(os) fotoperiodistas por  documentar y reforzar nuestro trabajo.   |false|945662985506295808|/ClaridadPR/status/945662985506295808|Thank you to all the photojournalists for documenting and reinforcing our work. https://fb.me/1CgE9om9b
ClaridadPR|2017-10-21 10:44:36|0|2|http://fb.me/DVXjYfKx  |  |false|921749064416407552|/ClaridadPR/status/921749064416407552|http://fb.me/DVXjYfKx  
