username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|coord_lat|coord_lon|coord_err
7Weather|2017-10-10 16:05:30|10|4|Following an Upper Low and a wave. If they do not fall apart... we may see abetter chance of rain by Thursday. pic.twitter.com/zSVwPhAImE|Following an Upper Low and a wave. If they do not fall apart... we may see abetter chance of rain by Thursday. |false|917843552335548416|/7Weather/status/917843552335548416|Following an Upper Low and a wave. If they do not fall apart... we may see abetter chance of rain by Thursday. pic.twitter.com/zSVwPhAImE||||
7Weather|2017-09-25 18:56:33|2|3|Miami sunset at 7:14 PM pic.twitter.com/34h2F4s8ge|Miami sunset at 7:14 PM |false|912450783605555200|/7Weather/status/912450783605555200|Miami sunset at 7:14 PM pic.twitter.com/34h2F4s8ge||||
7Weather|2018-01-07 21:24:18|3|2|Remember last year, on this date?  Record heat in Miami! pic.twitter.com/V68Q7CYutx|Remember last year, on this date?  Record heat in Miami! |false|950191399617617921|/7Weather/status/950191399617617921|Remember last year, on this date?  Record heat in Miami! pic.twitter.com/V68Q7CYutx||||
7Weather|2018-03-04 17:34:11|5|8|Just a few clouds and plenty of sunshine this afternoon! pic.twitter.com/rlwYWaZPSB|Just a few clouds and plenty of sunshine this afternoon! |false|970427211999268864|/7Weather/status/970427211999268864|Just a few clouds and plenty of sunshine this afternoon! pic.twitter.com/rlwYWaZPSB||||
7Weather|2017-09-10 13:25:46|1|1|Impacts -- tropical storm force winds and flood risk until early Monday morning|Impacts -- tropical storm force winds and flood risk until early Monday morning|false|906931720758419457|/7Weather/status/906931720758419457|Impacts -- tropical storm force winds and flood risk until early Monday morning||||
7Weather|2018-01-14 17:44:47|6|2|'Forecast lows overnight, Miami-Dade Co.  Back into the 50''s pic.twitter.com/GGDqFEcU0q'|'Forecast lows overnight, Miami-Dade Co.  Back into the 50''s '|false|952672874418049024|/7Weather/status/952672874418049024|'Forecast lows overnight, Miami-Dade Co.  Back into the 50''s pic.twitter.com/GGDqFEcU0q'||||
7Weather|2018-01-13 19:19:19|11|8|'Here''s the latest forecast.  Highs only near 70 with a brisk breeze... now that a cold front has crossed.  Nights in the 50''s pic.twitter.com/MGKVouXCSL'|'Here''s the latest forecast.  Highs only near 70 with a brisk breeze... now that a cold front has crossed.  Nights in the 50''s '|false|952334277668233216|/7Weather/status/952334277668233216|'Here''s the latest forecast.  Highs only near 70 with a brisk breeze... now that a cold front has crossed.  Nights in the 50''s pic.twitter.com/MGKVouXCSL'||||
7Weather|2017-10-22 22:18:11|10|5|Strong storms tonight, especially from the FL panhandle into Alabama. pic.twitter.com/3zT3DzQonO|Strong storms tonight, especially from the FL panhandle into Alabama. |false|922285997798371328|/7Weather/status/922285997798371328|Strong storms tonight, especially from the FL panhandle into Alabama. pic.twitter.com/3zT3DzQonO||||
7Weather|2017-09-18 20:13:55|101|55|Eye of Hurricane Maria is about to pass over Dominica, at Cat. 5 strength. pic.twitter.com/1kMuZfslAx|Eye of Hurricane Maria is about to pass over Dominica, at Cat. 5 strength. |false|909933535234023424|/7Weather/status/909933535234023424|Eye of Hurricane Maria is about to pass over Dominica, at Cat. 5 strength. pic.twitter.com/1kMuZfslAx||||
7Weather|2017-09-07 04:01:14|3|4|Here is the latest forecast track on #Irma pic.twitter.com/BvJ9wmRpaC|Here is the latest forecast track on #Irma |false|905702487210024960|/7Weather/status/905702487210024960|Here is the latest forecast track on #Irma pic.twitter.com/BvJ9wmRpaC||||
