username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
CNNweather|2017-11-30 12:37:33|6|10|'Greenland''s magnificent glaciers are melting faster and faster. See how 3.2 feet (1 meter) sea level rise may someday flood your city.  http://cnn.com/greenland   pic.twitter.com/CNbRo8VYhS'|'Greenland''s magnificent glaciers are melting faster and faster. See how 3.2 feet (1 meter) sea level rise may someday flood your city.     '|false|936288101743452161|/CNNweather/status/936288101743452161|'Greenland''s magnificent glaciers are melting faster and faster. See how 3.2 feet (1 meter) sea level rise may someday flood your city.  http://cnn.com/greenland   pic.twitter.com/CNbRo8VYhS'||||
CNNweather|2017-10-27 08:10:18|4|11|Floods could strike NYC every five years, climate study says  http://cnn.it/2y9V7yf  |Floods could strike NYC every five years, climate study says    |false|923884560017952768|/CNNweather/status/923884560017952768|Floods could strike NYC every five years, climate study says  http://cnn.it/2y9V7yf  ||||
CNNweather|2018-01-08 07:39:43|5|16|Icy temperatures continue to grip the US with around a quarter of Americans under winter weather advisories Monday.  http://cnn.it/2qHFxXu   pic.twitter.com/I9NxO6Np85|Icy temperatures continue to grip the US with around a quarter of Americans under winter weather advisories Monday.     |false|950346275198832640|/CNNweather/status/950346275198832640|Icy temperatures continue to grip the US with around a quarter of Americans under winter weather advisories Monday.  http://cnn.it/2qHFxXu   pic.twitter.com/I9NxO6Np85||||
CNNweather|2018-02-22 13:49:36|13|23|When #CapeTown  reaches #DayZero  residents will be forced to live on 25 liters of water per day. @VanDamCNN  and his family find out what daily life will be like. http://cnn.it/2oqsi9g  |When #CapeTown  reaches #DayZero  residents will be forced to live on 25 liters of water per day. @VanDamCNN  and his family find out what daily life will be like.   |false|966746813209473024|/CNNweather/status/966746813209473024|When #CapeTown  reaches #DayZero  residents will be forced to live on 25 liters of water per day. @VanDamCNN  and his family find out what daily life will be like. http://cnn.it/2oqsi9g  ||||
CNNweather|2017-09-14 23:52:12|4|7|Track #Jose  with us at home with our interactive tracker! http://www. cnn.com/interactive/st orm-tracker/   …|Track #Jose  with us at home with our interactive tracker!  cnn.com/interactive/st orm-tracker/   …|false|908538917498040320|/CNNweather/status/908538917498040320|Track #Jose  with us at home with our interactive tracker! http://www. cnn.com/interactive/st orm-tracker/   …||||
CNNweather|2017-09-15 21:49:11|28|63|'Meteorologist Allison Chinchar maps out #HurricaneJose ''s path and notes that the NE will not be the only part of the #UnitedStates  affected. pic.twitter.com/NTFMGj0emz'|'Meteorologist Allison Chinchar maps out #HurricaneJose ''s path and notes that the NE will not be the only part of the #UnitedStates  affected. '|false|908870348652789761|/CNNweather/status/908870348652789761|'Meteorologist Allison Chinchar maps out #HurricaneJose ''s path and notes that the NE will not be the only part of the #UnitedStates  affected. pic.twitter.com/NTFMGj0emz'||||
CNNweather|2017-09-10 14:04:19|17|22|# HurricaneIrma  still dangerous; now Cat 3 storm w/ 120 mph max winds. Worst winds headed to Marco Islands /Naples http://cnn.it/2gREG1P  |# HurricaneIrma  still dangerous; now Cat 3 storm w/ 120 mph max winds. Worst winds headed to Marco Islands /Naples   |false|906941420111572997|/CNNweather/status/906941420111572997|# HurricaneIrma  still dangerous; now Cat 3 storm w/ 120 mph max winds. Worst winds headed to Marco Islands /Naples http://cnn.it/2gREG1P  ||||
CNNweather|2017-11-22 09:13:31|1|5|Waiting sucks, but you are not the only one stuck in traffic. See who else is having travel woes here  http://cnn.it/2Bd6fs5   pic.twitter.com/g4kGMZw4CB|Waiting sucks, but you are not the only one stuck in traffic. See who else is having travel woes here     |false|933337651989671937|/CNNweather/status/933337651989671937|Waiting sucks, but you are not the only one stuck in traffic. See who else is having travel woes here  http://cnn.it/2Bd6fs5   pic.twitter.com/g4kGMZw4CB||||
CNNweather|2017-10-09 05:28:15|9|10|# TropicalDepression  Twentythree could bring upwards of 500mm to #Vinh , #Vietnam  over the next 48 hours. pic.twitter.com/Q2BZcFspGf|# TropicalDepression  Twentythree could bring upwards of 500mm to #Vinh , #Vietnam  over the next 48 hours. |false|917320797362024448|/CNNweather/status/917320797362024448|# TropicalDepression  Twentythree could bring upwards of 500mm to #Vinh , #Vietnam  over the next 48 hours. pic.twitter.com/Q2BZcFspGf||||
CNNweather|2017-10-01 16:46:57|22|18|Heavy rain from a tropical wave deluging parts of northern Florida with 7"-9" and reports of flooding in Palm Harbor #flwx pic.twitter.com/kqhW3lXykX|Heavy rain from a tropical wave deluging parts of northern Florida with 7"-9" and reports of flooding in Palm Harbor #flwx |false|914592492431052800|/CNNweather/status/914592492431052800|Heavy rain from a tropical wave deluging parts of northern Florida with 7"-9" and reports of flooding in Palm Harbor #flwx pic.twitter.com/kqhW3lXykX||||
