username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
OPB|2018-01-03 21:48:00|9|11|# Oregon  is one of 36 states nationwide reporting high levels of a flu outbreak.  http://bit.ly/2qi5X1F   `|# Oregon  is one of 36 states nationwide reporting high levels of a flu outbreak.     `|false|948747813684301824|/OPB/status/948747813684301824|# Oregon  is one of 36 states nationwide reporting high levels of a flu outbreak.  http://bit.ly/2qi5X1F   `||||
OPB|2017-11-29 23:03:00|1|7|'He doesn''t call it jazz, Christian Scott aTunde Adjuah makes "stretch music." http://bit.ly/2zPVfUu  '|'He doesn''t call it jazz, Christian Scott aTunde Adjuah makes "stretch music."   '|false|936083114496946177|/OPB/status/936083114496946177|'He doesn''t call it jazz, Christian Scott aTunde Adjuah makes "stretch music." http://bit.ly/2zPVfUu  '||||
OPB|2018-03-03 16:52:54|7|12|And these are getting smaller. http://bit.ly/2owQeso  |And these are getting smaller.   |false|970054433311670272|/OPB/status/970054433311670272|And these are getting smaller. http://bit.ly/2owQeso  ||||
OPB|2017-11-03 22:30:00|9|18|'Looking for solitude? Nothing compares to Oregon''s newest long-distance trail, 800(ish) miles through the desert.  http://bit.ly/2hbvbeu   pic.twitter.com/vmJpoSOuIX'|'Looking for solitude? Nothing compares to Oregon''s newest long-distance trail, 800(ish) miles through the desert.     '|false|926637624734781441|/OPB/status/926637624734781441|'Looking for solitude? Nothing compares to Oregon''s newest long-distance trail, 800(ish) miles through the desert.  http://bit.ly/2hbvbeu   pic.twitter.com/vmJpoSOuIX'||||
OPB|2017-12-20 00:01:00|2|2|'How life-saving PTC technology works — and why it didn''t stop the Amtrak 501 crash? http://bit.ly/2koIEhd  '|'How life-saving PTC technology works — and why it didn''t stop the Amtrak 501 crash?   '|false|943345466795704320|/OPB/status/943345466795704320|'How life-saving PTC technology works — and why it didn''t stop the Amtrak 501 crash? http://bit.ly/2koIEhd  '||||
OPB|2017-12-14 18:15:00|1|2|The risk of oil spills on the Columbia River is very low, a new study into vessel traffic and safety has found, but more tethered tug escorts might be needed if new marine terminals increase tanker traffic. http://bit.ly/2B0Xsd4  |The risk of oil spills on the Columbia River is very low, a new study into vessel traffic and safety has found, but more tethered tug escorts might be needed if new marine terminals increase tanker traffic.   |false|941446454358327297|/OPB/status/941446454358327297|The risk of oil spills on the Columbia River is very low, a new study into vessel traffic and safety has found, but more tethered tug escorts might be needed if new marine terminals increase tanker traffic. http://bit.ly/2B0Xsd4  ||||
OPB|2017-12-21 14:23:00|4|1|FamilyCare is considering a change of heart over whether it will extend its contract with the state beyond the end of the year to minimize harmful disruptions to patient care. http://bit.ly/2kVdi18  |FamilyCare is considering a change of heart over whether it will extend its contract with the state beyond the end of the year to minimize harmful disruptions to patient care.   |false|943924784110465027|/OPB/status/943924784110465027|FamilyCare is considering a change of heart over whether it will extend its contract with the state beyond the end of the year to minimize harmful disruptions to patient care. http://bit.ly/2kVdi18  ||||
OPB|2017-10-16 00:10:00|13|28|A trove of digital documentation of the poaching has already led to five people facing significant felony charges. http://bit.ly/2zbnRCV  |A trove of digital documentation of the poaching has already led to five people facing significant felony charges.   |false|919777422379241473|/OPB/status/919777422379241473|A trove of digital documentation of the poaching has already led to five people facing significant felony charges. http://bit.ly/2zbnRCV  ||||
OPB|2018-03-21 16:24:00|0|1|Spring is here ... which means, wildfire season is here too. http://bit.ly/2GUEb05  |Spring is here ... which means, wildfire season is here too.   |false|976555042806337542|/OPB/status/976555042806337542|Spring is here ... which means, wildfire season is here too. http://bit.ly/2GUEb05  ||||
OPB|2017-09-08 18:38:18|2|15|'Here''s one of our features from the Chetco Bar Fire from Aug. 24: http://bit.ly/2gQtAGK  '|'Here''s one of our features from the Chetco Bar Fire from Aug. 24:   '|false|906285597035134977|/OPB/status/906285597035134977|'Here''s one of our features from the Chetco Bar Fire from Aug. 24: http://bit.ly/2gQtAGK  '||||
