username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|Translation|address|latitude|longitude|latlongerr
Track_Irma|2017-09-04 19:11:12|155|171|Hello #Florida  you should have an evacuation plan, and emergency supply kit ready! Know your evac route, be ready for #hurricane  #Irma ! pic.twitter.com/pyiF0xY0tA|Hello #Florida  you should have an evacuation plan, and emergency supply kit ready! Know your evac route, be ready for #hurricane  #Irma ! |false|904844321295396866|/Track_Irma/status/904844321295396866|Hello #Florida  you should have an evacuation plan, and emergency supply kit ready! Know your evac route, be ready for #hurricane  #Irma ! pic.twitter.com/pyiF0xY0tA||||
Track_Irma|2017-09-04 15:50:38|35|22|EURO models have shifted #Irma  to the west a bit more. Looking more like a U.S. landfall, #Florida  to #Virgina  this weekend.  #HurricaneIrma pic.twitter.com/pKXF1rkVTp|EURO models have shifted #Irma  to the west a bit more. Looking more like a U.S. landfall, #Florida  to #Virgina  this weekend.  #HurricaneIrma |false|904793849779949569|/Track_Irma/status/904793849779949569|EURO models have shifted #Irma  to the west a bit more. Looking more like a U.S. landfall, #Florida  to #Virgina  this weekend.  #HurricaneIrma pic.twitter.com/pKXF1rkVTp||||
Track_Irma|2017-09-08 20:47:22|0|4|@ JimCantore  @StephanieAbrams  Getting questions about the FL W coast. Any chance in covering #Irma  from Tampa/Sarasota Tomorrow-Monday?|@ JimCantore  @StephanieAbrams  Getting questions about the FL W coast. Any chance in covering #Irma  from Tampa/Sarasota Tomorrow-Monday?|false|906318076085510145|/Track_Irma/status/906318076085510145|@ Jim Cantore @StephanieAbrams Getting questions about the FL coast. Any chance in covering #Irma from Tampa/Sarasota Tomorrow-Monday?||||
Track_Irma|2017-09-08 19:57:25|0|0|No, Katia will stay to the far southern Gulf of Mexico, while Irma will move N and NW across Florida.|No, Katia will stay to the far southern Gulf of Mexico, while Irma will move N and NW across Florida.|false|906305505001435136|/Track_Irma/status/906305505001435136|No, Katia will stay to the far southern Gulf of Mexico, while Irma will move N and NW across Florida.||||
Track_Irma|2017-09-07 23:01:02|8|11|Official NHC 11PM Update for #HurricaneIrma __NEWLINE__Location: 21.3°N 72.4°W__NEWLINE__ Moving: WNW at 16 mph__NEWLINE__ Min pressure: 920 mb__NEWLINE__ Max sustained: 165 mph|Official NHC 11PM Update for #HurricaneIrma __NEWLINE__Location: 21.3°N 72.4°W__NEWLINE__ Moving: WNW at 16 mph__NEWLINE__ Min pressure: 920 mb__NEWLINE__ Max sustained: 165 mph|false|905989325598404608|/Track_Irma/status/905989325598404608|Official NHC 11PM Update for #HurricaneIrma __NEWLINE__Location: 21.3°N 72.4°W__NEWLINE__ Moving: WNW at 16 mph__NEWLINE__ Min pressure: 920 mb__NEWLINE__ Max sustained: 165 mph|Official, NH|||
Track_Irma|2017-09-01 10:51:24|1|4|11AM UPDATE: LOCATION...18.5N 37.8W  WINDS...110 MPH...175 KM/H MOVEMENT...WNW AT 13 MPH...20 KM/H PRESSURE...972 MB...28.71 INCHES #irma|11AM UPDATE: LOCATION...18.5N 37.8W  WINDS...110 MPH...175 KM/H MOVEMENT...WNW AT 13 MPH...20 KM/H PRESSURE...972 MB...28.71 INCHES #irma|false|903631381267439617|/Track_Irma/status/903631381267439617|11AM UPDATE: LOCATION...18.5N 37.8W  WINDS...110 MPH...175 KM/H MOVEMENT...WNW AT 13 MPH...20 KM/H PRESSURE...972 MB...28.71 INCHES #irma||||
Track_Irma|2017-09-04 23:24:05|0|0|Stay safe and good luck sir!|Stay safe and good luck sir!|false|904907962753441794|/Track_Irma/status/904907962753441794|Stay safe and good luck sir!||||
Track_Irma|2017-09-04 22:09:41|0|0|What day would you be visiting Orlando?|What day would you be visiting Orlando?|false|904889239854342144|/Track_Irma/status/904889239854342144|What day would you be visiting Orlando?||||
Track_Irma|2017-09-08 20:27:36|66|59|8PM Offical NHC future track and forecast cone for #HurricaneIrma   Bottom line: ALL of Florida will have a severe impact! Prepare...Prepare! pic.twitter.com/ONy3Bwv9cj|8PM Offical NHC future track and forecast cone for #HurricaneIrma   Bottom line: ALL of Florida will have a severe impact! Prepare...Prepare! |false|906313102735626240|/Track_Irma/status/906313102735626240|8PM Offical NHC future track and forecast cone for #HurricaneIrma   Bottom line: ALL of Florida will have a severe impact! Prepare...Prepare! pic.twitter.com/ONy3Bwv9cj|Offical, NH|||
Track_Irma|2017-09-07 23:01:40|40|45|11PM Update: 5 Day possible track for #HurricaneIrma pic.twitter.com/wnUVxlQkr7|11PM Update: 5 Day possible track for #HurricaneIrma |false|905989487653789696|/Track_Irma/status/905989487653789696|11PM Update: 5 Day possible track for #HurricaneIrma pic.twitter.com/wnUVxlQkr7||||
Track_Irma|2017-09-08 20:50:55|44|62|Scary impressive outflow around the eye, beautiful, but so dangerous. Take a pic this is definitly a one-of-a-kind storm! #HurricaneIrma https://twitter.com/NWSTampaBay/st atus/906318555876126722   …|Scary impressive outflow around the eye, beautiful, but so dangerous. Take a pic this is definitly a one-of-a-kind storm! #HurricaneIrma  atus/906318555876126722   …|false|906318967773507584|/Track_Irma/status/906318967773507584|Scary impressive outflow around the eye, beautiful, but so dangerous. Take a pic this is definitly a one-of-a-kind storm! #HurricaneIrma https://twitter.com/NWSTampaBay/st atus/906318555876126722   …||||
Track_Irma|2017-09-04 00:04:46|0|4|Its is very possible, PR must prepare for a hurricane to be ready! The models continue to drop south each time, getting closer to PR.|Its is very possible, PR must prepare for a hurricane to be ready! The models continue to drop south each time, getting closer to PR.|false|904555813146120192|/Track_Irma/status/904555813146120192|Its is very possible, PR must prepare for a hurricane to be ready! The models continue to drop south each time, getting closer to PR.||||
Track_Irma|2017-09-05 07:58:17|10|11|8AM #hurricaneirma __NEWLINE__Location: 16.7°N 57.7°W__NEWLINE__Moving: W at 14 mph__NEWLINE__Min pressure: 929 mb__NEWLINE__Max sustained: 175 mph|8AM #hurricaneirma __NEWLINE__Location: 16.7°N 57.7°W__NEWLINE__Moving: W at 14 mph__NEWLINE__Min pressure: 929 mb__NEWLINE__Max sustained: 175 mph|false|905037367819603968|/Track_Irma/status/905037367819603968|8AM #hurricaneirma __NEWLINE__Location: 16.7°N 57.7°W__NEWLINE__Moving: W at 14 mph__NEWLINE__Min pressure: 929 mb__NEWLINE__Max sustained: 175 mph||||
Track_Irma|2017-09-08 22:13:53|0|0|JAC is looking to get Tropical Storm conditions on Monday, possibly a CAT 1 wind gust.|JAC is looking to get Tropical Storm conditions on Monday, possibly a CAT 1 wind gust.|false|906339846771404800|/Track_Irma/status/906339846771404800|JAC is looking to get Tropical Storm conditions on Monday, possibly a CAT 1 wind gust.||||
Track_Irma|2017-09-07 18:15:54|0|1|What is your location or where on the island are you?|What is your location or where on the island are you?|false|905917568409587713|/Track_Irma/status/905917568409587713|What is your location or where on the island are you?||||
Track_Irma|2017-09-06 16:54:42|60|42|If you live in Florida add this number to your phones!! https://twitter.com/FLSERT/status/ 905297484326588416   …|If you live in Florida add this number to your phones!!  905297484326588416   …|false|905534747853688832|/Track_Irma/status/905534747853688832|If you live in Florida add this number to your phones!! https://twitter.com/FLSERT/status/ 905297484326588416   …||||
Track_Irma|2017-09-03 23:56:24|77|69|# PuertoRico  You need to prepare now! Here is the Latest GFS model run showing #Irma  very close to PR on Wed-Thurs! Be Ready! Be Safe! pic.twitter.com/zhGOGdMhBg|# PuertoRico  You need to prepare now! Here is the Latest GFS model run showing #Irma  very close to PR on Wed-Thurs! Be Ready! Be Safe! |false|904553710134677504|/Track_Irma/status/904553710134677504|# PuertoRico  You need to prepare now! Here is the Latest GFS model run showing #Irma  very close to PR on Wed-Thurs! Be Ready! Be Safe! pic.twitter.com/zhGOGdMhBg||||
Track_Irma|2017-09-08 01:45:57|7|18|1:45AM Live traffic update for #Florida  evacuations for #HurricaneIrma __NEWLINE__ https://www. google.com/maps/@28.15600 69,-83.0333194,7.5z/data=!5m1!1e1   … pic.twitter.com/fZe0Ho5Yld|1:45AM Live traffic update for #Florida  evacuations for #HurricaneIrma __NEWLINE__  google.com/maps/@28.15600 69,-83.0333194,7.5z/data=!5m1!1e1   … |false|906030827267489792|/Track_Irma/status/906030827267489792|1:45AM Live traffic update for #Florida  evacuations for #HurricaneIrma __NEWLINE__ https://www. google.com/maps/@28.15600 69,-83.0333194,7.5z/data=!5m1!1e1   … pic.twitter.com/fZe0Ho5Yld||||
